Date,Open,High,Low,Close,Volume
2001-01-04,23.0,26.0,25.0,26.0,1500.0
2001-01-08,26.0,27.0,27.0,27.0,500.0
2001-01-12,27.0,28.5,28.5,28.5,500.0
2001-01-16,28.5,28.0,28.0,28.0,500.0
2001-01-30,28.0,28.5,28.0,28.5,9000.0
2001-01-31,28.5,28.5,28.5,28.5,1500.0
2001-02-02,28.5,28.5,28.5,28.5,500.0
2001-02-14,28.5,28.5,28.5,28.5,500.0
2001-02-16,28.5,28.4,26.5,28.4,1500.0
2001-02-19,28.4,32.0,30.0,31.0,6000.0
2001-02-20,31.0,31.75,31.5,31.75,1500.0
2001-02-21,31.75,32.0,32.0,32.0,1500.0
2001-02-22,32.0,31.0,30.75,30.75,3000.0
2001-02-23,30.75,30.0,30.0,30.0,1000.0
2001-03-01,30.0,31.0,31.0,31.0,3000.0
2001-03-09,31.0,31.0,30.05,30.05,500.0
2001-03-12,30.05,30.05,30.0,30.0,5500.0
2001-03-13,30.0,28.0,28.0,28.0,500.0
2001-03-14,28.0,30.0,29.0,30.0,11500.0
2001-03-26,23.5,23.5,23.5,23.5,0.0
2001-04-16,23.5,28.0,28.0,28.0,1000.0
2001-04-18,28.0,26.05,26.05,26.05,500.0
2001-04-19,26.05,28.0,26.05,26.05,4500.0
2001-04-20,26.05,28.0,28.0,28.0,500.0
2001-04-23,28.0,27.0,27.0,27.0,500.0
2001-04-24,27.0,27.0,26.0,26.0,1500.0
2001-04-25,26.0,27.5,27.0,27.5,2000.0
2001-04-26,27.5,27.0,27.0,27.0,500.0
2001-04-30,27.0,27.0,27.0,27.0,1000.0
2001-05-04,27.0,28.0,28.0,28.0,4500.0
2001-05-07,28.0,29.0,29.0,29.0,1000.0
2001-05-09,29.0,30.0,30.0,30.0,1000.0
2001-05-11,30.0,31.0,31.0,31.0,1000.0
2001-05-14,31.0,34.0,31.0,34.0,1500.0
2001-05-18,34.0,31.0,31.0,31.0,1000.0
2001-05-22,31.0,32.0,32.0,32.0,1000.0
2001-05-23,32.0,32.0,32.0,32.0,1000.0
2001-05-29,32.0,34.0,34.0,34.0,2000.0
2001-05-30,34.0,35.0,35.0,35.0,2500.0
2001-06-01,35.0,36.0,35.0,35.5,11000.0
2001-06-06,35.5,38.0,38.0,38.0,1000.0
2001-06-08,38.0,38.0,37.55,38.0,3500.0
2001-06-12,38.0,40.0,40.0,40.0,2000.0
2001-06-13,40.0,41.0,40.0,41.0,4000.0
2001-06-15,41.0,39.5,39.5,39.5,2000.0
2001-06-19,39.5,41.0,41.0,41.0,1000.0
2001-06-22,41.0,42.0,41.25,42.0,13000.0
2001-07-03,42.0,40.0,40.0,40.0,1000.0
2001-07-06,40.0,41.75,41.75,41.75,500.0
2001-07-13,41.75,42.0,40.0,42.0,5000.0
2001-07-20,42.0,41.0,40.0,41.0,2000.0
2001-08-17,41.0,43.0,41.0,43.0,2000.0
2001-08-20,43.0,41.0,41.0,41.0,1000.0
2001-08-21,41.0,41.5,41.0,41.0,2000.0
2001-08-31,41.0,40.0,40.0,40.0,1000.0
2001-09-24,40.0,40.0,40.0,40.0,0.0
2001-09-25,40.0,40.0,40.0,40.0,0.0
2001-10-05,40.0,40.0,39.75,40.0,2000.0
2001-10-25,35.0,35.0,35.0,35.0,0.0
2001-10-31,35.0,33.25,33.25,33.25,1000.0
2001-11-05,33.25,35.0,35.0,35.0,1000.0
2001-11-26,35.0,36.0,36.0,36.0,1000.0
2001-12-01,36.0,35.0,35.0,35.0,1000.0
2001-12-10,35.0,35.0,35.0,35.0,0.0
2002-03-21,35.0,35.0,35.0,35.0,8000.0
2002-03-26,34.0,34.0,34.0,34.0,0.0
2002-04-10,34.0,32.0,32.0,32.0,500.0
2002-04-11,32.0,31.7,31.7,31.7,0.0
2002-04-12,31.7,31.5,31.5,31.5,0.0
2002-04-15,31.5,31.0,31.0,31.0,500.0
2002-04-25,31.0,30.0,30.0,30.0,500.0
2002-04-26,30.0,30.0,28.0,28.0,1000.0
2002-04-29,28.0,28.4,28.4,28.4,0.0
2002-04-30,28.4,29.0,29.0,29.0,500.0
2002-05-02,29.0,28.0,28.0,28.0,4000.0
2002-05-03,28.0,28.25,28.25,28.25,0.0
2002-05-08,28.25,30.0,30.0,30.0,500.0
2002-05-15,30.0,30.0,30.0,30.0,500.0
2002-05-20,30.0,29.9,29.9,29.9,0.0
2002-06-07,29.9,30.0,29.9,30.0,1000.0
2002-06-17,30.0,29.95,29.95,29.95,0.0
2002-06-18,29.95,29.95,29.95,29.95,500.0
2002-06-19,29.95,29.9,29.9,29.9,0.0
2002-07-01,29.9,29.5,29.5,29.5,0.0
2002-07-08,29.5,29.0,29.0,29.0,0.0
2002-07-09,29.0,28.85,28.85,28.85,0.0
2002-07-10,28.85,28.5,28.0,28.0,3000.0
2002-07-18,28.0,27.5,27.5,27.5,1000.0
2002-07-19,27.5,27.75,27.75,27.75,1000.0
2002-07-23,27.75,28.45,28.45,28.45,500.0
2002-07-26,28.45,28.45,28.25,28.25,2500.0
2002-07-29,28.25,28.5,28.5,28.5,5500.0
2002-07-31,28.5,29.5,28.5,29.5,1000.0
2002-08-02,29.5,30.0,30.0,30.0,500.0
2002-08-09,30.0,32.0,32.0,32.0,500.0
2002-08-28,29.0,29.0,29.0,29.0,0.0
2002-09-18,29.0,28.5,28.5,28.5,2000.0
2002-09-19,28.5,28.0,28.0,28.0,2000.0
2002-09-25,28.0,28.2,28.2,28.2,2000.0
2002-09-26,28.2,28.5,28.5,28.5,0.0
2002-10-24,28.5,29.0,29.0,29.0,0.0
2002-10-28,29.0,28.5,28.5,28.5,2000.0
2002-11-01,28.5,29.0,29.0,29.0,0.0
2002-11-05,29.0,29.5,29.5,29.5,0.0
2002-11-06,29.5,30.0,30.0,30.0,0.0
2002-11-12,30.0,32.0,32.0,32.0,1000.0
2002-11-26,32.0,33.5,33.5,33.5,500.0
2002-11-27,33.5,34.0,33.05,34.0,1000.0
2002-12-02,34.0,34.05,34.05,34.05,0.0
2002-12-04,34.05,34.25,34.25,34.25,0.0
2002-12-12,34.25,36.8,33.8,36.8,2000.0
2002-12-23,36.8,38.0,38.0,38.0,3000.0
2002-12-24,38.0,38.25,38.0,38.25,8000.0
2002-12-27,38.25,37.5,37.5,37.5,500.0
2003-01-02,37.5,37.0,37.0,37.0,500.0
2003-01-14,37.0,37.5,37.5,37.5,2500.0
2003-01-17,37.5,37.0,37.0,37.0,2500.0
2003-01-20,37.0,37.5,37.5,37.5,0.0
2003-01-24,37.5,37.0,37.0,37.0,500.0
2003-01-30,37.0,37.25,37.25,37.25,0.0
2003-02-03,37.25,37.25,37.25,37.25,500.0
2003-02-04,37.25,37.0,37.0,37.0,2000.0
2003-02-10,37.0,35.15,35.15,35.15,1000.0
2003-02-19,35.15,35.0,35.0,35.0,0.0
2003-02-20,35.0,33.5,33.25,33.25,1500.0
2003-02-21,33.25,31.6,31.6,31.6,2000.0
2003-02-26,31.6,31.5,31.5,31.5,500.0
2003-03-20,28.5,30.5,30.5,30.5,4500.0
2003-03-24,30.5,30.55,30.55,30.55,0.0
2003-03-26,30.55,31.0,31.0,31.0,0.0
2003-03-27,31.0,31.5,31.5,31.5,0.0
2003-04-03,31.5,32.0,32.0,32.0,0.0
2003-04-07,32.0,32.5,32.5,32.5,0.0
2003-04-09,32.5,33.0,33.0,33.0,0.0
2003-04-14,33.0,35.45,35.45,35.45,500.0
2003-04-15,35.45,35.0,35.0,35.0,500.0
2003-04-16,35.0,37.25,37.0,37.25,500.0
2003-04-18,37.25,40.0,38.45,40.0,3500.0
2003-05-08,40.0,43.0,43.0,43.0,500.0
2003-05-09,43.0,45.0,45.0,45.0,500.0
2003-05-22,45.0,45.0,45.0,45.0,500.0
2003-05-23,45.0,45.0,45.0,45.0,500.0
2003-05-26,45.0,45.0,44.0,45.0,2000.0
2003-05-27,45.0,45.0,45.0,45.0,500.0
2003-06-02,45.0,43.0,43.0,43.0,8000.0
2003-06-03,43.0,43.0,43.0,43.0,500.0
2003-06-04,43.0,43.3,43.3,43.3,0.0
2003-06-12,43.3,43.5,43.5,43.5,0.0
2003-06-13,43.5,44.0,44.0,44.0,0.0
2003-06-16,44.0,43.5,43.5,43.5,3000.0
2003-06-17,43.5,44.0,43.5,44.0,3500.0
2003-06-18,44.0,46.0,45.9,46.0,2000.0
2003-06-23,46.0,46.1,46.1,46.1,0.0
2003-06-24,46.1,49.55,49.55,49.55,500.0
2003-06-27,49.55,50.05,50.05,50.05,0.0
2003-06-30,50.05,52.0,52.0,52.0,0.0
2003-07-02,52.0,51.3,51.25,51.3,4000.0
2003-07-07,51.3,53.05,53.05,53.05,2000.0
2003-07-08,53.05,53.15,53.15,53.15,2000.0
2003-07-11,53.15,54.25,54.25,54.25,2000.0
2003-07-14,54.25,56.0,56.0,56.0,2000.0
2003-07-15,56.0,58.0,57.0,58.0,4000.0
2003-07-24,58.0,58.5,58.5,58.5,0.0
2003-07-28,58.5,62.85,62.85,62.85,500.0
2003-07-30,62.85,61.0,61.0,61.0,1000.0
2003-08-04,61.0,62.0,62.0,62.0,500.0
2003-08-05,62.0,62.5,62.5,62.5,500.0
2003-08-06,62.5,63.0,63.0,63.0,1000.0
2003-08-07,63.0,63.25,63.25,63.25,500.0
2003-08-12,63.25,67.5,67.5,67.5,500.0
2003-08-19,67.5,64.5,64.5,64.5,500.0
2003-08-20,64.5,64.0,64.0,64.0,500.0
2003-08-21,64.0,64.0,64.0,64.0,500.0
2003-08-22,64.0,64.0,64.0,64.0,500.0
2003-09-02,64.0,65.75,65.75,65.75,500.0
2003-09-24,65.75,66.0,66.0,66.0,0.0
2003-09-25,66.0,67.0,67.0,67.0,0.0
