Date,Open,High,Low,Close,Volume
2001-01-01,4.6,4.85,4.5,4.5,492000.0
2001-01-02,4.5,5.55,4.7,5.05,5676000.0
2001-01-03,5.05,5.3,5.1,5.3,984000.0
2001-01-04,5.3,5.4,5.1,5.2,1368000.0
2001-01-05,5.2,5.3,5.15,5.25,842500.0
2001-01-08,5.25,5.4,5.15,5.15,470000.0
2001-01-09,5.15,5.2,5.1,5.2,338500.0
2001-01-10,5.2,5.2,5.05,5.2,302000.0
2001-01-11,5.2,5.15,4.95,4.95,448500.0
2001-01-12,4.95,4.9,4.6,4.7,570000.0
2001-01-15,4.7,4.75,4.5,4.55,308000.0
2001-01-16,4.55,4.65,4.4,4.65,1278500.0
2001-01-17,4.65,4.55,4.45,4.55,188000.0
2001-01-18,4.55,4.75,4.45,4.5,606000.0
2001-01-19,4.5,4.5,4.4,4.45,228500.0
2001-01-22,4.45,4.65,4.55,4.6,454000.0
2001-01-23,4.6,4.7,4.5,4.65,452500.0
2001-01-24,4.65,4.65,4.55,4.6,119000.0
2001-01-25,4.6,4.6,4.45,4.5,232500.0
2001-01-26,4.5,4.5,4.25,4.35,455500.0
2001-01-29,4.35,4.5,4.35,4.4,143500.0
2001-01-30,4.4,4.45,4.4,4.45,45500.0
2001-01-31,4.45,4.6,4.45,4.55,267000.0
2001-02-01,4.55,4.6,4.45,4.45,163000.0
2001-02-02,4.45,4.5,4.35,4.45,195500.0
2001-02-06,4.45,4.55,4.4,4.4,138500.0
2001-02-07,4.4,4.5,4.45,4.45,157000.0
2001-02-08,4.45,4.55,4.4,4.4,141500.0
2001-02-09,4.4,4.45,4.35,4.35,99000.0
2001-02-12,4.35,4.5,4.4,4.4,254000.0
2001-02-13,4.4,4.45,4.3,4.35,155000.0
2001-02-14,4.35,4.4,4.3,4.4,82000.0
2001-02-15,4.4,4.45,4.3,4.3,136000.0
2001-02-16,4.3,4.3,4.2,4.2,246000.0
2001-02-19,4.2,4.4,4.2,4.3,173000.0
2001-02-20,4.3,4.3,4.2,4.2,55000.0
2001-02-21,4.2,4.25,4.0,4.2,254000.0
2001-02-22,4.2,4.25,4.1,4.1,192500.0
2001-02-23,4.1,4.1,4.0,4.1,204500.0
2001-02-26,4.1,4.1,3.95,4.05,255000.0
2001-02-27,4.05,4.1,3.85,3.95,470500.0
2001-02-28,3.95,3.9,3.8,3.85,190000.0
2001-03-01,3.85,3.9,3.8,3.85,80000.0
2001-03-02,3.85,4.0,3.8,4.0,283000.0
2001-03-09,4.0,4.1,3.95,4.05,103000.0
2001-03-12,4.05,4.05,3.95,4.0,53000.0
2001-03-13,4.0,4.0,3.9,4.0,52500.0
2001-03-14,4.0,4.05,3.9,3.9,92000.0
2001-03-15,3.9,3.95,3.85,3.85,275000.0
2001-03-16,3.85,3.95,3.85,3.9,38500.0
2001-03-19,3.9,3.95,3.8,3.8,139500.0
2001-03-20,3.8,3.85,3.8,3.85,74000.0
2001-03-21,3.85,3.85,3.75,3.75,150000.0
2001-03-22,3.75,3.75,3.6,3.75,183500.0
2001-03-26,3.75,3.8,3.65,3.65,60500.0
2001-03-27,3.65,3.65,3.5,3.65,138500.0
2001-03-28,3.65,3.7,3.6,3.6,110500.0
2001-03-29,3.6,3.6,3.5,3.55,76000.0
2001-03-30,3.55,3.6,3.5,3.55,710500.0
2001-04-02,3.55,3.7,3.6,3.7,145000.0
2001-04-03,3.7,3.75,3.65,3.65,142000.0
2001-04-06,3.65,3.7,3.6,3.7,101000.0
2001-04-09,3.7,3.8,3.65,3.75,253500.0
2001-04-10,3.75,3.85,3.75,3.75,303000.0
2001-04-11,3.75,3.9,3.75,3.8,392000.0
2001-04-12,3.8,3.85,3.75,3.8,94500.0
2001-04-13,3.8,4.15,3.8,4.1,1284000.0
2001-04-16,4.1,4.3,4.1,4.25,892000.0
2001-04-17,4.25,4.35,4.2,4.2,569000.0
2001-04-18,4.2,4.2,3.95,4.0,523500.0
2001-04-19,4.0,4.15,3.95,4.0,287000.0
2001-04-20,4.0,4.05,3.95,3.95,246000.0
2001-04-23,3.95,4.05,3.95,4.0,76000.0
2001-04-24,4.0,4.0,3.9,3.9,65000.0
2001-04-25,3.9,3.95,3.9,3.95,43000.0
2001-04-26,3.95,4.0,3.95,3.95,30000.0
2001-04-27,3.95,3.95,3.75,3.75,143000.0
2001-04-30,3.75,3.85,3.75,3.8,135000.0
2001-05-02,3.8,3.9,3.8,3.9,123000.0
2001-05-03,3.9,3.9,3.85,3.9,65000.0
2001-05-04,3.9,3.9,3.75,3.9,120500.0
2001-05-07,3.9,3.85,3.8,3.8,67500.0
2001-05-08,3.8,3.8,3.75,3.75,63500.0
2001-05-09,3.75,3.75,3.65,3.7,107500.0
2001-05-10,3.7,3.75,3.65,3.7,46000.0
2001-05-11,3.7,3.7,3.55,3.7,243000.0
2001-05-14,3.7,3.65,3.6,3.65,32500.0
2001-05-15,3.65,3.75,3.65,3.75,79500.0
2001-05-16,3.75,3.8,3.7,3.8,100500.0
2001-05-17,3.8,3.8,3.7,3.75,67500.0
2001-05-18,3.75,3.85,3.6,3.7,126000.0
2001-05-21,3.7,3.7,3.65,3.65,39500.0
2001-05-22,3.65,3.7,3.65,3.65,34000.0
2001-05-23,3.65,3.65,3.55,3.6,125500.0
2001-05-24,3.6,3.65,3.6,3.6,16500.0
2001-05-25,3.6,3.65,3.5,3.65,102500.0
2001-05-28,3.65,3.6,3.55,3.55,11000.0
2001-05-29,3.55,3.65,3.6,3.6,60500.0
2001-05-30,3.6,3.95,3.6,3.85,564000.0
2001-05-31,3.85,4.0,3.75,3.95,429500.0
2001-06-01,3.95,4.4,3.95,4.35,3352500.0
2001-06-04,4.35,4.6,4.3,4.55,2762500.0
2001-06-06,4.55,4.6,4.15,4.2,1675500.0
2001-06-07,4.2,4.25,3.95,4.05,1044000.0
2001-06-08,4.05,4.0,3.9,3.95,471500.0
2001-06-11,3.95,4.25,3.9,4.2,982500.0
2001-06-12,4.2,4.2,4.1,4.1,249500.0
2001-06-13,4.1,4.1,4.05,4.1,101000.0
2001-06-14,4.1,4.15,4.0,4.0,188000.0
2001-06-15,4.0,4.1,3.95,4.0,635500.0
2001-06-18,4.0,4.1,4.05,4.1,106500.0
2001-06-19,4.1,4.05,3.8,3.9,229000.0
2001-06-20,3.9,3.95,3.8,3.9,191500.0
2001-06-21,3.9,3.95,3.8,3.85,76500.0
2001-06-22,3.85,3.85,3.7,3.75,420500.0
2001-06-25,3.75,3.85,3.75,3.8,231000.0
2001-06-26,3.8,3.8,3.7,3.75,142500.0
2001-06-27,3.75,3.8,3.7,3.8,57000.0
2001-06-28,3.8,3.8,3.7,3.75,141000.0
2001-06-29,3.75,3.85,3.75,3.75,152500.0
2001-07-03,3.75,3.8,3.7,3.7,102500.0
2001-07-04,3.7,3.9,3.7,3.8,37000.0
2001-07-05,3.8,3.8,3.65,3.7,201000.0
2001-07-06,3.7,3.7,3.6,3.6,229500.0
2001-07-09,3.6,3.7,3.6,3.6,143500.0
2001-07-10,3.6,3.65,3.6,3.6,70500.0
2001-07-11,3.6,3.6,3.55,3.6,104500.0
2001-07-12,3.6,3.65,3.6,3.65,86500.0
2001-07-13,3.65,3.65,3.5,3.55,162500.0
2001-07-16,3.55,3.7,3.6,3.65,408000.0
2001-07-17,3.65,3.65,3.55,3.55,53000.0
2001-07-18,3.55,3.6,3.5,3.55,192500.0
2001-07-19,3.55,3.6,3.5,3.55,51000.0
2001-07-20,3.55,3.5,3.35,3.35,128000.0
2001-07-23,3.35,3.35,3.3,3.35,49500.0
2001-07-24,3.35,3.5,3.3,3.5,51500.0
2001-07-25,3.5,3.5,3.35,3.35,78000.0
2001-07-26,3.35,3.35,3.25,3.3,70000.0
2001-07-27,3.3,3.35,3.25,3.3,30500.0
2001-07-30,3.3,3.3,3.2,3.3,52000.0
2001-07-31,3.3,3.3,3.15,3.2,119000.0
2001-08-01,3.2,3.3,3.1,3.25,82500.0
2001-08-02,3.25,3.45,3.2,3.2,122000.0
2001-08-03,3.2,3.4,3.2,3.3,32000.0
2001-08-06,3.3,3.5,3.15,3.35,207500.0
2001-08-07,3.35,3.4,3.25,3.4,55000.0
2001-08-08,3.4,3.4,3.35,3.35,23000.0
2001-08-09,3.35,3.4,3.3,3.3,35500.0
2001-08-10,3.3,3.3,3.25,3.25,95500.0
2001-08-13,3.25,3.4,3.35,3.4,27000.0
2001-08-15,3.4,3.45,3.35,3.35,61500.0
2001-08-16,3.35,3.55,3.35,3.45,235500.0
2001-08-17,3.45,3.5,3.4,3.5,79000.0
2001-08-20,3.5,3.45,3.3,3.4,115000.0
2001-08-21,3.4,3.45,3.35,3.45,32500.0
2001-08-22,3.45,3.45,3.3,3.45,18000.0
2001-08-23,3.45,3.35,3.3,3.3,50500.0
2001-08-24,3.3,3.3,3.3,3.3,5000.0
2001-08-27,3.3,3.3,3.25,3.25,32000.0
2001-08-28,3.25,3.25,3.2,3.25,17000.0
2001-08-29,3.25,3.25,3.2,3.25,36500.0
2001-08-30,3.25,3.25,3.2,3.25,87000.0
2001-08-31,3.25,3.2,3.15,3.2,32500.0
2001-09-03,3.2,3.2,3.15,3.15,37500.0
2001-09-04,3.15,3.2,3.1,3.1,96000.0
2001-09-05,3.1,3.2,3.15,3.15,26000.0
2001-09-06,3.15,3.25,3.15,3.15,80000.0
2001-09-07,3.15,3.15,3.1,3.1,61500.0
2001-09-10,3.1,3.15,3.1,3.15,27000.0
2001-09-11,3.15,3.15,3.05,3.1,19000.0
2001-09-12,3.1,3.05,2.9,3.0,177500.0
2001-09-13,3.0,2.95,2.9,2.95,35500.0
2001-09-14,2.95,2.85,2.5,2.55,227500.0
2001-09-24,2.55,2.6,2.45,2.45,128500.0
2001-09-25,2.45,2.6,2.35,2.6,156500.0
2001-09-26,2.6,2.65,2.55,2.6,158500.0
2001-09-27,2.6,2.65,2.5,2.65,31500.0
2001-09-28,2.65,2.65,2.55,2.55,125500.0
2001-10-01,2.55,2.55,2.45,2.45,71500.0
2001-10-02,2.45,2.4,2.35,2.35,45000.0
2001-10-03,2.35,2.45,2.25,2.35,143500.0
2001-10-04,2.35,2.45,2.3,2.45,30500.0
2001-10-05,2.45,2.55,2.4,2.45,122500.0
2001-10-08,2.45,2.35,2.35,2.35,8500.0
2001-10-09,2.35,2.6,2.3,2.55,264000.0
2001-10-10,2.55,2.75,2.45,2.45,167000.0
2001-10-11,2.45,2.6,2.5,2.5,26000.0
2001-10-12,2.5,2.6,2.4,2.6,69500.0
2001-10-15,2.6,3.15,2.7,3.15,630000.0
2001-10-16,3.15,3.3,3.0,3.05,424000.0
2001-10-17,3.05,3.25,3.1,3.2,194000.0
2001-10-18,3.2,3.3,3.1,3.2,389500.0
2001-10-19,3.2,3.3,3.2,3.25,148000.0
2001-10-22,3.25,3.65,3.4,3.5,872000.0
2001-10-23,3.5,3.85,3.5,3.5,1725500.0
2001-10-24,3.5,3.85,3.55,3.85,2508500.0
2001-10-25,3.85,4.2,3.7,3.7,3417500.0
2001-10-26,3.7,3.9,3.6,3.8,1407000.0
2001-10-29,3.8,4.0,3.75,3.75,1285000.0
2001-10-30,3.75,3.8,3.6,3.6,881500.0
2001-10-31,3.6,3.65,3.45,3.45,1020500.0
2001-11-01,3.45,3.45,3.3,3.3,325000.0
2001-11-02,3.3,3.35,3.15,3.2,125000.0
2001-11-05,3.2,3.35,3.05,3.05,334500.0
2001-11-06,3.05,3.05,2.9,2.95,429500.0
2001-11-07,2.95,3.05,2.85,2.9,498000.0
2001-11-08,2.9,3.05,2.8,3.05,419000.0
2001-11-12,3.05,3.15,2.9,3.0,811000.0
2001-11-13,3.0,3.0,2.85,2.95,782000.0
2001-11-14,2.95,3.05,2.95,3.0,236000.0
2001-11-15,3.0,3.05,3.0,3.0,112500.0
2001-11-16,3.0,3.35,3.0,3.35,1735500.0
2001-11-19,3.35,3.8,3.35,3.35,2052000.0
2001-11-20,3.35,3.5,3.2,3.2,1064500.0
2001-11-21,3.2,3.3,3.15,3.15,619000.0
2001-11-22,3.15,3.15,3.0,3.0,1211500.0
2001-11-24,3.0,3.15,2.95,3.0,859000.0
2001-11-26,3.0,3.05,2.85,2.9,408500.0
2001-11-27,2.9,3.05,2.85,3.0,226000.0
2001-11-28,3.0,3.05,2.9,2.9,408000.0
2001-11-29,2.9,2.8,2.8,2.8,100500.0
2001-12-01,2.8,2.75,2.7,2.75,710500.0
2001-12-03,2.75,2.7,2.6,2.65,171500.0
2001-12-04,2.65,2.75,2.6,2.75,210000.0
2001-12-05,2.75,2.8,2.65,2.75,85000.0
2001-12-06,2.75,2.8,2.75,2.75,20000.0
2001-12-08,2.75,2.8,2.7,2.7,137500.0
2001-12-10,2.7,2.75,2.7,2.75,153000.0
2001-12-11,2.75,2.75,2.65,2.7,67000.0
2001-12-12,2.7,3.0,2.7,3.0,609500.0
2001-12-15,3.0,3.0,2.8,2.85,37000.0
2001-12-20,2.85,2.9,2.75,2.75,81500.0
2001-12-21,2.75,2.9,2.75,2.9,113000.0
2001-12-24,2.9,2.8,2.5,2.5,400000.0
2001-12-26,2.5,2.65,2.55,2.55,106500.0
2001-12-27,2.55,2.6,2.3,2.5,178500.0
2001-12-28,2.5,2.45,2.2,2.45,41500.0
2001-12-31,2.45,2.5,2.4,2.4,107500.0
2002-01-01,2.4,2.65,2.5,2.65,91500.0
2002-01-02,2.65,2.65,2.55,2.6,197500.0
2002-01-03,2.6,2.65,2.5,2.65,176500.0
2002-01-04,2.65,2.7,2.6,2.7,103000.0
2002-01-07,2.7,2.95,2.75,2.9,313500.0
2002-01-08,2.9,2.85,2.65,2.7,160500.0
2002-01-09,2.7,2.9,2.7,2.8,296500.0
2002-01-10,2.8,2.8,2.7,2.7,175000.0
2002-01-11,2.7,2.7,2.6,2.65,90500.0
2002-01-14,2.65,2.9,2.8,2.9,403500.0
2002-01-15,2.9,3.0,2.85,2.85,640000.0
2002-01-16,2.85,2.9,2.8,2.85,124000.0
2002-01-17,2.85,2.9,2.85,2.9,176500.0
2002-01-18,2.9,3.1,2.95,3.0,507000.0
2002-01-21,3.0,3.1,2.95,2.95,355000.0
2002-01-22,2.95,3.0,2.9,2.95,142500.0
2002-01-23,2.95,3.05,2.9,3.0,271000.0
2002-01-24,3.0,3.15,3.0,3.1,1306000.0
2002-01-25,3.1,3.15,3.0,3.05,802500.0
2002-01-28,3.05,3.25,3.05,3.1,981000.0
2002-01-29,3.1,3.6,3.15,3.55,3567500.0
2002-01-30,3.55,3.75,3.55,3.6,3163500.0
2002-01-31,3.6,4.55,3.6,4.3,12611500.0
2002-02-01,4.3,5.1,4.45,4.85,8848000.0
2002-02-04,4.85,5.2,4.3,4.5,4447500.0
2002-02-06,4.5,4.7,4.0,4.05,3883000.0
2002-02-07,4.05,4.65,3.9,4.6,4215500.0
2002-02-08,4.6,4.9,4.5,4.55,3594500.0
2002-02-11,4.55,4.6,4.25,4.35,1264000.0
2002-02-12,4.35,4.5,3.5,3.85,1750000.0
2002-02-13,3.85,4.0,3.45,3.5,2670000.0
2002-02-14,3.5,3.85,3.35,3.8,3005000.0
2002-02-15,3.8,3.95,3.5,3.5,1381500.0
2002-02-18,3.5,3.6,3.2,3.2,1009500.0
2002-02-19,3.2,3.6,3.2,3.55,929000.0
2002-02-20,3.55,3.65,3.5,3.6,514500.0
2002-02-21,3.6,3.7,3.55,3.6,446000.0
2002-02-26,3.6,3.7,3.25,3.25,387500.0
2002-02-27,3.25,3.45,3.2,3.4,535500.0
2002-02-28,3.4,3.6,3.35,3.5,493500.0
2002-03-01,3.5,3.6,3.3,3.4,466000.0
2002-03-04,3.4,3.5,3.35,3.45,352000.0
2002-03-05,3.45,3.7,3.4,3.6,780000.0
2002-03-06,3.6,4.05,3.6,3.9,4945500.0
2002-03-07,3.9,4.15,3.85,3.85,3165000.0
2002-03-08,3.85,3.95,3.75,3.85,726000.0
2002-03-11,3.85,4.1,3.85,4.0,1811000.0
2002-03-12,4.0,4.1,3.95,4.0,1214000.0
2002-03-13,4.0,4.15,3.8,3.8,1337000.0
2002-03-14,3.8,4.15,3.95,4.05,1912500.0
2002-03-15,4.05,4.45,4.0,4.0,6570000.0
2002-03-18,4.0,4.45,3.9,4.15,7246500.0
2002-03-19,4.15,4.3,4.1,4.25,2632000.0
2002-03-20,4.25,4.4,4.2,4.2,2935500.0
2002-03-21,4.2,4.6,4.25,4.35,6324500.0
2002-03-22,4.35,4.45,4.25,4.35,1708000.0
2002-03-26,4.35,4.4,4.0,4.15,1538000.0
2002-03-27,4.15,4.15,3.9,3.9,1526500.0
2002-03-28,3.9,4.15,3.8,4.15,1345500.0
2002-03-29,4.15,4.25,4.05,4.2,1092000.0
2002-04-01,4.2,4.25,3.95,3.95,711000.0
2002-04-02,3.95,4.25,3.95,4.1,1872000.0
2002-04-03,4.1,4.2,4.0,4.05,1149500.0
2002-04-04,4.05,4.1,3.95,4.0,982500.0
2002-04-05,4.0,4.1,3.9,4.0,772000.0
2002-04-08,4.0,4.1,4.0,4.05,127000.0
2002-04-09,4.05,4.05,4.0,4.0,381500.0
2002-04-10,4.0,4.05,3.85,3.9,272500.0
2002-04-11,3.9,3.95,3.85,3.9,177500.0
2002-04-12,3.9,4.1,3.9,4.05,1133000.0
2002-04-15,4.05,4.2,4.1,4.2,864500.0
2002-04-16,4.2,4.25,4.1,4.2,899000.0
2002-04-17,4.2,4.2,4.05,4.1,549000.0
