Date,Open,High,Low,Close,Volume
2002-01-01,39.5,39.25,39.25,39.25,5000.0
2002-01-02,39.25,39.75,39.75,39.75,5000.0
2002-01-03,39.75,39.75,39.75,39.75,10000.0
2002-01-07,39.75,38.0,38.0,38.0,1500.0
2002-01-09,38.0,39.5,39.5,39.5,1500.0
2002-01-14,39.5,40.0,39.95,40.0,3500.0
2002-01-15,40.0,40.75,40.0,40.75,10000.0
2002-01-17,40.75,40.25,40.25,40.25,2000.0
2002-01-18,40.25,42.5,42.5,42.5,2500.0
2002-01-21,42.5,42.15,41.0,42.15,3500.0
2002-01-22,42.15,43.5,43.0,43.5,3500.0
2002-01-23,43.5,43.0,43.0,43.0,8500.0
2002-01-30,43.0,44.5,43.95,44.5,6000.0
2002-02-07,44.5,45.0,44.5,45.0,5500.0
2002-02-08,45.0,44.5,44.5,44.5,5000.0
2002-02-12,44.5,44.5,44.5,44.5,0.0
2002-02-15,44.5,44.5,44.4,44.5,24000.0
2002-02-19,44.5,44.0,42.0,42.0,4000.0
2002-02-20,42.0,43.5,43.5,43.5,2000.0
2002-02-21,43.5,44.0,42.0,44.0,5500.0
2002-03-06,44.0,44.0,44.0,44.0,6500.0
2002-03-07,44.0,44.8,44.8,44.8,500.0
2002-03-08,44.8,44.75,44.75,44.75,10000.0
2002-03-13,44.75,43.0,42.05,42.05,3000.0
2002-03-14,42.05,44.5,43.0,43.0,3000.0
2002-03-18,43.0,44.95,43.75,44.75,29000.0
2002-03-20,44.75,42.0,42.0,42.0,500.0
2002-03-21,42.0,44.0,42.25,44.0,18500.0
2002-03-22,44.0,45.0,43.5,43.5,4500.0
2002-03-26,43.5,44.0,44.0,44.0,2000.0
2002-03-27,44.0,43.9,43.9,43.9,1000.0
2002-03-28,43.9,45.0,43.95,45.0,7500.0
2002-03-29,45.0,44.95,44.95,44.95,0.0
2002-04-01,44.95,44.5,44.5,44.5,3000.0
2002-04-02,44.5,44.5,44.4,44.5,1500.0
2002-04-03,44.5,44.5,44.5,44.5,1500.0
2002-04-04,44.5,44.5,44.45,44.45,2000.0
2002-04-05,44.45,44.0,44.0,44.0,1500.0
2002-04-09,44.0,43.95,43.5,43.95,2500.0
2002-04-10,43.95,43.5,42.0,43.5,2500.0
2002-04-11,43.5,43.5,43.5,43.5,5000.0
2002-04-12,43.5,43.95,43.75,43.75,1500.0
2002-04-15,36.74,37.0,37.0,37.0,500.0
2002-04-17,37.0,38.5,38.0,38.5,1500.0
2002-04-19,38.5,38.0,37.0,37.0,2500.0
2002-04-22,37.0,39.0,38.95,39.0,5000.0
2002-04-24,39.0,40.0,39.0,40.0,1500.0
2002-04-25,40.0,41.0,39.0,41.0,6000.0
2002-04-26,41.0,40.95,40.95,40.95,14000.0
2002-04-30,40.95,40.95,40.95,40.95,5000.0
2002-05-07,40.95,41.0,40.4,41.0,3000.0
2002-05-09,41.0,42.0,41.0,41.0,5500.0
2002-05-10,41.0,42.0,41.6,41.6,1500.0
2002-05-14,41.6,41.15,41.15,41.15,0.0
2002-05-15,41.15,40.85,40.75,40.85,1000.0
2002-05-16,40.85,42.0,41.8,42.0,20000.0
2002-05-30,42.0,41.25,41.25,41.25,2000.0
2002-05-31,41.25,40.25,40.25,40.25,5000.0
2002-06-03,40.25,42.0,40.0,42.0,17500.0
2002-06-04,42.0,40.95,40.95,40.95,500.0
