Date,Open,High,Low,Close,Volume
2001-01-10,0.5,0.9,0.9,0.9,1000.0
2001-01-25,0.9,0.7,0.7,0.7,1000.0
2001-01-31,0.7,0.7,0.7,0.7,5500.0
2001-02-06,0.7,1.1,0.85,1.0,10000.0
2001-10-17,1.0,1.25,1.0,1.25,40500.0
2001-12-10,1.25,1.0,1.0,1.0,5000.0
2001-12-11,1.0,1.05,1.0,1.0,10500.0
2001-12-12,1.0,0.85,0.85,0.85,1000.0
2002-01-25,0.85,1.0,1.0,1.0,8500.0
2002-02-01,1.0,0.75,0.75,0.75,1000.0
2002-02-07,0.75,0.75,0.75,0.75,2000.0
2002-02-08,0.75,0.85,0.75,0.8,25000.0
2002-02-11,0.8,1.0,1.0,1.0,500.0
2002-02-12,1.0,1.0,1.0,1.0,23000.0
2002-02-18,1.0,1.0,0.75,0.75,10000.0
2002-03-12,0.75,1.15,1.0,1.15,3500.0
2002-03-13,1.15,1.2,1.15,1.2,15500.0
2002-03-14,1.2,1.25,1.25,1.25,3000.0
2002-03-15,1.25,1.25,1.15,1.25,6000.0
2002-03-18,1.25,1.25,1.25,1.25,500.0
2002-03-19,1.25,1.25,1.25,1.25,8000.0
2002-03-20,1.25,1.25,1.25,1.25,15000.0
2002-03-21,1.25,1.25,1.25,1.25,1000.0
2002-03-22,1.25,1.3,1.25,1.3,18000.0
2002-03-26,1.3,1.25,1.25,1.25,500.0
2002-03-27,1.25,1.25,1.25,1.25,1500.0
2002-03-28,1.25,1.25,1.25,1.25,1500.0
2002-03-29,1.25,1.25,1.15,1.25,7500.0
2002-04-01,1.25,1.35,1.3,1.3,8500.0
2002-04-02,1.3,1.5,1.4,1.4,1000.0
2002-04-03,1.4,1.75,1.5,1.75,2000.0
2002-04-04,1.75,2.1,1.6,1.9,24500.0
2002-04-05,1.9,1.85,1.75,1.85,1500.0
2002-04-08,1.85,1.85,1.6,1.8,8500.0
2002-04-09,1.8,2.0,1.8,2.0,34000.0
2002-04-10,2.0,2.0,2.0,2.0,13000.0
2002-04-11,2.0,2.0,2.0,2.0,11000.0
2002-04-12,2.0,2.25,1.8,1.8,22000.0
2002-04-15,1.8,2.15,1.9,1.95,79500.0
2002-04-16,1.95,2.1,1.9,2.0,31000.0
2002-04-17,2.0,2.0,1.95,1.95,9500.0
2002-04-18,1.95,1.8,1.7,1.8,6000.0
2002-04-19,1.8,1.75,1.75,1.75,5000.0
2002-04-22,1.75,1.75,1.75,1.75,3000.0
2002-04-23,1.75,1.7,1.7,1.7,0.0
2002-04-24,1.7,1.9,1.75,1.75,7000.0
2002-04-26,1.75,1.75,1.75,1.75,1000.0
2002-04-29,1.75,1.85,1.85,1.85,500.0
2002-04-30,1.85,1.75,1.75,1.75,100000.0
2002-05-06,1.75,1.7,1.7,1.7,5000.0
2002-05-07,1.7,1.75,1.6,1.75,6000.0
2002-05-08,1.75,1.75,1.7,1.7,3000.0
2002-05-10,1.7,1.8,1.75,1.75,12000.0
2002-05-14,1.75,1.7,1.7,1.7,5000.0
2002-05-15,1.7,1.7,1.6,1.7,22500.0
2002-05-16,1.7,1.7,1.6,1.7,5000.0
2002-05-17,1.7,1.7,1.6,1.7,50000.0
2002-05-20,1.7,1.6,1.6,1.6,0.0
2002-05-21,1.6,1.7,1.7,1.7,2500.0
2002-05-22,1.7,1.65,1.65,1.65,0.0
2002-05-24,1.65,1.8,1.6,1.8,4500.0
2002-05-27,1.8,2.0,1.8,1.8,500.0
2002-05-28,1.8,1.5,1.5,1.5,10000.0
2002-05-29,1.5,1.9,1.9,1.9,500.0
2002-05-30,1.9,1.85,1.85,1.85,0.0
2002-06-03,1.85,1.7,1.7,1.7,0.0
2002-06-04,1.7,1.8,1.5,1.5,1500.0
2002-06-05,1.5,1.6,1.4,1.6,2500.0
2002-06-06,1.6,1.5,1.5,1.5,0.0
2002-06-07,1.5,1.7,1.5,1.5,5000.0
2002-06-10,1.5,1.8,1.75,1.75,500.0
2002-06-12,1.75,1.8,1.7,1.7,5500.0
2002-06-14,1.7,1.9,1.8,1.8,500.0
2002-06-17,1.8,1.5,1.5,1.5,10000.0
2002-06-20,1.5,1.9,1.7,1.7,500.0
2002-06-25,1.7,1.65,1.65,1.65,0.0
2002-06-26,1.65,1.7,1.7,1.7,25000.0
2002-06-27,1.7,1.75,1.7,1.7,4500.0
2002-06-28,1.7,1.55,1.55,1.55,3500.0
2002-07-01,1.55,1.4,1.35,1.4,2500.0
2002-07-02,1.4,1.6,1.55,1.55,500.0
2002-07-04,1.55,1.75,1.55,1.55,500.0
2002-07-10,1.55,1.7,1.6,1.6,39000.0
2002-07-11,1.6,1.55,1.55,1.55,0.0
2002-07-15,1.55,1.5,1.3,1.5,3500.0
2002-07-16,1.5,1.6,1.4,1.4,6500.0
2002-07-19,1.4,1.55,1.55,1.55,2000.0
2002-07-22,1.55,1.5,1.4,1.5,12000.0
2002-07-30,1.5,1.45,1.45,1.45,0.0
2002-07-31,1.45,1.4,1.0,1.4,8500.0
2002-08-02,1.4,1.15,1.15,1.15,1000.0
2002-08-08,1.15,1.5,1.45,1.45,10500.0
2002-08-12,1.45,1.4,1.4,1.4,0.0
2002-08-13,1.4,1.5,1.4,1.5,8500.0
2002-08-15,1.5,1.4,1.4,1.4,0.0
2002-08-26,1.4,1.15,1.05,1.05,11500.0
2002-08-27,1.05,1.3,1.3,1.3,2500.0
2002-09-03,1.3,1.25,1.25,1.25,0.0
2002-09-04,1.25,1.25,1.25,1.25,1000.0
2002-09-06,1.25,1.5,1.4,1.5,150000.0
2002-09-09,1.5,1.45,1.4,1.4,2000.0
2002-09-12,1.4,1.5,1.45,1.45,1000.0
2002-09-16,1.45,1.4,1.4,1.4,0.0
2002-09-17,1.4,1.75,1.4,1.7,70000.0
2002-09-18,1.7,1.7,1.6,1.6,60000.0
2002-09-19,1.6,1.65,1.6,1.6,21500.0
2002-09-20,1.6,1.7,1.65,1.65,17500.0
2002-09-23,1.65,1.6,1.55,1.6,9000.0
2002-09-24,1.6,1.6,1.6,1.6,5000.0
2002-09-26,1.6,1.5,1.5,1.5,25500.0
2002-10-01,1.5,1.55,1.5,1.5,2500.0
2002-10-02,1.5,1.6,1.5,1.5,12000.0
2002-10-03,1.5,1.35,1.35,1.35,500.0
2002-10-04,1.35,1.5,1.5,1.5,9000.0
2002-10-07,1.5,1.5,1.5,1.5,2000.0
2002-10-08,1.5,1.5,1.3,1.3,12500.0
2002-10-09,1.3,1.45,1.35,1.35,16500.0
2002-10-11,1.35,1.5,1.25,1.5,10500.0
2002-10-14,1.5,1.25,1.2,1.25,28000.0
2002-10-15,1.25,1.35,1.3,1.3,12500.0
2002-10-16,0.8,1.5,1.5,1.5,500.0
2002-10-17,1.5,1.5,1.5,1.5,1500.0
2002-10-18,1.5,1.5,1.5,1.5,2500.0
2002-10-21,1.5,1.3,1.25,1.25,2000.0
2002-10-22,1.25,1.25,1.25,1.25,500.0
2002-10-24,1.25,1.4,1.3,1.3,4500.0
2002-10-25,1.3,1.4,1.25,1.4,8500.0
2002-10-28,1.4,1.5,1.5,1.5,8000.0
2002-10-30,1.5,1.5,1.5,1.5,6500.0
2002-10-31,1.5,1.75,1.6,1.6,15500.0
2002-11-01,1.6,1.6,1.6,1.6,26000.0
2002-11-04,1.6,2.0,1.7,1.95,35500.0
2002-11-05,1.95,1.75,1.45,1.75,14000.0
2002-11-06,1.75,1.95,1.75,1.95,14000.0
2002-11-07,1.95,1.8,1.75,1.75,7500.0
2002-11-08,1.75,1.75,1.75,1.75,2000.0
2002-11-11,1.75,1.6,1.6,1.6,1500.0
2002-11-12,1.6,1.5,1.5,1.5,1000.0
2002-11-13,1.5,1.75,1.75,1.75,4000.0
2002-11-15,1.75,1.75,1.75,1.75,3000.0
2002-11-20,1.75,1.9,1.8,1.9,5000.0
2002-11-21,1.9,1.65,1.65,1.65,1000.0
2002-11-22,1.65,1.8,1.8,1.8,1000.0
2002-11-25,1.8,1.8,1.8,1.8,3000.0
2002-11-26,1.8,1.75,1.75,1.75,500.0
2002-11-27,1.75,1.75,1.75,1.75,6500.0
2002-11-28,1.75,1.55,1.5,1.55,1000.0
2002-12-02,1.55,1.6,1.6,1.6,0.0
2002-12-04,1.6,1.75,1.75,1.75,2000.0
2002-12-09,1.75,1.75,1.75,1.75,3500.0
2002-12-10,1.75,1.75,1.7,1.75,8000.0
2002-12-11,1.75,1.75,1.75,1.75,16500.0
2002-12-12,1.75,1.8,1.7,1.7,24500.0
2002-12-13,1.7,1.75,1.75,1.75,500.0
2002-12-16,1.75,1.8,1.8,1.8,1500.0
2002-12-17,1.8,2.0,1.75,1.95,5500.0
2002-12-19,1.95,2.0,1.8,2.0,33000.0
2002-12-23,2.0,2.0,1.95,1.95,5000.0
2002-12-24,1.95,2.0,2.0,2.0,5000.0
2002-12-26,2.0,2.1,1.95,2.0,20000.0
2002-12-27,2.0,2.05,2.05,2.05,13500.0
2002-12-30,2.05,2.05,2.0,2.0,5000.0
2002-12-31,2.0,2.0,1.95,1.95,8000.0
2003-01-01,1.95,2.0,1.9,1.9,6000.0
2003-01-02,1.9,2.0,2.0,2.0,3000.0
2003-01-03,2.0,2.0,2.0,2.0,15000.0
2003-01-06,2.0,2.1,2.0,2.05,32500.0
2003-01-07,2.05,2.2,2.1,2.15,16500.0
2003-01-08,2.15,2.65,2.25,2.4,104500.0
2003-01-09,2.4,2.45,2.3,2.45,12000.0
2003-01-10,2.45,2.45,2.35,2.4,26500.0
2003-01-13,2.4,2.5,2.0,2.15,81000.0
2003-01-14,2.15,2.5,2.25,2.35,30000.0
2003-01-15,2.35,2.5,2.35,2.35,33000.0
2003-01-16,2.35,2.3,2.2,2.3,33000.0
2003-01-17,2.3,2.3,2.3,2.3,19000.0
2003-01-20,2.3,2.3,2.2,2.2,23000.0
2003-01-21,2.2,2.4,2.0,2.15,36500.0
2003-01-22,2.15,2.2,2.0,2.0,14000.0
2003-01-24,2.0,2.0,1.75,2.0,14000.0
2003-01-27,2.0,2.0,2.0,2.0,1000.0
2003-01-28,2.0,2.05,2.0,2.0,7000.0
2003-01-29,2.0,1.95,1.95,1.95,2000.0
2003-01-30,1.95,2.0,2.0,2.0,0.0
2003-01-31,2.0,2.0,2.0,2.0,1500.0
2003-02-03,2.0,2.1,2.05,2.1,15500.0
2003-02-04,2.1,2.2,2.05,2.1,24500.0
2003-02-06,2.1,2.15,2.15,2.15,500.0
2003-02-07,2.15,2.1,2.1,2.1,2000.0
2003-02-10,2.1,2.15,2.15,2.15,5000.0
2003-02-17,2.15,2.25,2.25,2.25,5000.0
2003-02-18,2.25,2.1,2.1,2.1,10000.0
2003-02-20,2.1,2.2,2.2,2.2,2000.0
2003-02-21,2.2,2.25,2.25,2.25,7000.0
2003-02-24,2.25,2.15,2.15,2.15,2000.0
2003-02-26,2.15,2.15,2.05,2.05,14500.0
2003-03-03,2.05,2.5,2.2,2.4,79500.0
2003-03-04,2.4,2.3,2.3,2.3,0.0
2003-03-06,2.3,2.15,2.15,2.15,500.0
2003-03-10,2.15,2.2,2.15,2.2,13500.0
2003-03-11,2.2,2.4,2.1,2.1,1000.0
2003-03-12,2.1,2.05,2.05,2.05,500.0
2003-03-17,2.05,2.2,2.2,2.2,0.0
2003-03-18,2.2,2.05,2.0,2.05,5500.0
2003-03-19,2.05,2.15,2.05,2.05,40000.0
2003-03-25,2.05,2.15,2.05,2.15,3000.0
2003-03-26,2.15,2.15,2.15,2.15,14500.0
2003-03-27,2.15,2.1,2.1,2.1,5000.0
2003-03-28,2.1,2.15,2.15,2.15,30000.0
2003-04-01,2.15,2.1,2.1,2.1,5000.0
2003-04-02,2.1,2.1,2.05,2.05,14000.0
2003-04-04,2.05,2.05,2.05,2.05,1000.0
2003-04-07,2.05,2.15,2.15,2.15,500.0
2003-04-08,2.15,2.1,2.1,2.1,2000.0
2003-04-14,2.1,2.2,2.2,2.2,5500.0
2003-04-15,2.2,2.25,2.25,2.25,10000.0
2003-04-16,2.25,2.3,2.3,2.3,5000.0
2003-04-17,2.3,2.35,2.35,2.35,2500.0
2003-04-18,2.35,2.15,2.1,2.1,30000.0
2003-04-21,2.1,2.15,2.15,2.15,0.0
2003-04-22,2.15,2.35,2.25,2.25,1000.0
2003-04-23,2.25,2.15,2.15,2.15,1500.0
2003-04-24,2.15,2.5,2.35,2.4,54500.0
2003-04-25,2.4,2.5,2.35,2.35,12000.0
2003-04-28,2.35,2.5,2.4,2.45,28500.0
2003-04-29,2.45,2.5,2.4,2.5,34500.0
2003-05-05,2.5,2.55,2.5,2.55,6000.0
2003-05-06,2.55,2.5,2.5,2.5,3000.0
2003-05-07,2.5,2.3,2.25,2.3,2500.0
2003-05-08,2.3,2.5,2.45,2.45,71000.0
2003-05-09,2.45,2.55,2.5,2.5,5500.0
2003-05-12,2.5,2.5,2.45,2.5,13000.0
2003-05-13,2.5,2.5,2.4,2.45,12000.0
2003-05-14,2.45,2.45,2.45,2.45,3000.0
2003-05-16,2.45,2.45,2.35,2.35,6000.0
2003-05-19,2.35,2.5,2.5,2.5,2000.0
2003-05-20,2.5,2.45,2.45,2.45,7000.0
2003-05-21,2.45,2.5,2.45,2.5,5500.0
2003-05-22,2.5,2.5,2.35,2.5,38000.0
2003-05-23,2.5,2.7,2.5,2.55,59500.0
2003-05-26,2.55,2.9,2.7,2.9,108500.0
2003-05-27,2.9,3.25,2.75,3.05,131000.0
2003-05-28,3.05,3.25,2.85,2.85,47000.0
2003-05-29,2.85,3.05,2.8,2.95,34000.0
2003-05-30,2.95,3.1,2.9,3.0,54500.0
2003-06-02,3.0,3.2,2.95,3.05,34500.0
2003-06-03,3.05,3.1,3.0,3.0,49500.0
2003-06-04,3.0,3.0,3.0,3.0,13000.0
2003-06-05,3.0,3.1,3.0,3.1,22500.0
2003-06-06,3.1,3.35,3.15,3.3,117000.0
2003-06-09,3.3,3.4,3.25,3.35,41000.0
2003-06-10,3.35,3.4,3.3,3.3,26500.0
2003-06-11,3.3,3.45,3.25,3.25,25000.0
2003-06-12,3.25,3.5,3.25,3.35,137000.0
2003-06-13,3.35,3.6,3.35,3.6,52000.0
2003-06-16,3.6,3.75,3.6,3.75,77500.0
2003-06-17,3.75,4.05,3.85,4.0,234500.0
2003-06-18,4.0,4.2,4.0,4.05,171500.0
2003-06-19,4.05,4.15,4.0,4.0,101500.0
2003-06-20,4.0,4.1,3.95,4.0,22500.0
2003-06-23,4.0,5.5,4.25,4.9,106500.0
2003-06-24,4.9,5.0,4.65,5.0,37000.0
2003-06-25,5.0,5.0,4.8,4.95,40000.0
2003-06-26,4.95,4.85,4.8,4.8,6000.0
2003-06-27,4.8,5.0,4.8,4.95,4000.0
2003-06-30,4.95,4.75,4.55,4.7,12500.0
2003-07-01,4.7,4.7,4.35,4.35,26500.0
2003-07-02,4.35,4.35,4.25,4.25,17500.0
2003-07-03,4.25,4.35,4.05,4.25,17000.0
2003-07-04,4.25,4.45,4.15,4.15,15000.0
2003-07-07,4.15,4.35,4.35,4.35,17500.0
2003-07-08,4.35,4.45,4.35,4.4,13000.0
