Date,Open,High,Low,Close,Volume
2002-01-08,11.75,10.95,10.95,10.95,500.0
2002-03-29,10.95,10.5,10.5,10.5,0.0
2002-04-04,10.5,9.8,9.8,9.8,500.0
2002-04-18,9.8,9.5,9.5,9.5,0.0
2002-05-02,9.5,9.8,9.8,9.8,500.0
2002-06-12,9.8,9.8,9.8,9.8,500.0
2002-06-13,9.8,9.8,9.8,9.8,500.0
2002-06-20,9.8,10.0,9.8,10.0,1500.0
2002-06-21,10.0,10.5,10.0,10.5,1500.0
2002-06-27,10.5,10.5,10.5,10.5,500.0
2002-06-28,10.5,12.0,12.0,12.0,500.0
2002-07-10,12.0,12.0,11.95,12.0,1000.0
2002-08-12,12.0,11.75,11.75,11.75,0.0
2002-08-20,11.75,11.75,11.75,11.75,500.0
2002-08-22,11.75,12.0,12.0,12.0,500.0
2002-09-06,12.0,11.0,11.0,11.0,500.0
2002-09-10,11.0,12.05,12.0,12.0,50000.0
2002-09-11,12.0,12.05,12.0,12.0,25000.0
2002-09-12,12.0,12.1,12.0,12.1,25500.0
2002-09-13,12.1,12.5,12.5,12.5,1000.0
2002-09-18,12.5,12.25,12.25,12.25,4500.0
2002-09-19,12.25,12.25,12.0,12.0,8500.0
2002-09-24,12.0,12.0,12.0,12.0,25500.0
2002-09-25,12.0,12.0,12.0,12.0,32000.0
2002-09-26,12.0,12.4,12.0,12.4,231500.0
2002-09-27,12.4,12.5,12.4,12.4,11500.0
2002-09-30,12.4,13.9,12.75,13.9,21000.0
2002-10-01,12.15,13.65,13.5,13.5,500.0
2002-10-02,13.5,13.45,12.5,12.5,10500.0
2002-10-03,12.5,12.0,12.0,12.0,500.0
2002-10-09,12.0,13.5,12.5,13.5,2000.0
2002-10-14,13.5,13.4,13.4,13.4,0.0
2002-10-15,13.4,13.2,13.2,13.2,0.0
2002-10-17,13.2,14.0,13.5,13.5,2500.0
2002-10-21,13.5,13.4,13.4,13.4,0.0
2002-10-22,13.4,14.0,13.5,14.0,1500.0
2002-10-23,14.0,14.75,14.3,14.3,235500.0
2002-10-24,14.3,14.0,14.0,14.0,0.0
2002-10-30,14.0,13.75,13.75,13.75,0.0
2002-10-31,13.75,13.7,13.7,13.7,0.0
2002-11-01,13.7,13.65,13.65,13.65,0.0
2002-11-05,13.65,15.15,15.15,15.15,1000.0
2002-11-06,15.15,14.75,14.75,14.75,0.0
2002-11-08,14.75,14.9,14.9,14.9,500.0
2002-11-12,14.9,14.5,14.5,14.5,0.0
2002-11-19,14.5,13.5,13.5,13.5,24500.0
2002-11-22,13.5,13.45,13.45,13.45,2000.0
2002-11-25,13.45,12.85,12.75,12.85,1500.0
2002-12-04,12.85,12.25,12.25,12.25,500.0
2002-12-09,12.25,13.75,13.75,13.75,2500.0
2002-12-10,13.75,13.75,13.75,13.75,1000.0
2002-12-12,13.75,13.5,13.5,13.5,0.0
2002-12-13,13.5,13.0,13.0,13.0,2000.0
2002-12-16,13.0,13.75,13.75,13.75,2500.0
2002-12-18,13.75,13.5,13.5,13.5,0.0
2002-12-19,13.5,13.75,13.75,13.75,2500.0
2002-12-24,13.75,13.1,12.8,12.9,3000.0
2002-12-26,12.9,13.75,13.75,13.75,15000.0
2002-12-27,13.75,13.5,13.5,13.5,1500.0
2003-01-08,13.5,13.25,13.25,13.25,0.0
2003-01-09,13.25,12.95,12.9,12.9,2000.0
2003-01-13,12.9,13.0,13.0,13.0,1000.0
2003-01-15,13.0,13.1,13.1,13.1,0.0
2003-01-21,13.1,13.05,13.0,13.0,3500.0
2003-01-22,13.0,13.1,13.1,13.1,500.0
2003-01-23,13.1,12.9,12.8,12.8,1000.0
2003-01-27,12.8,12.9,12.9,12.9,0.0
2003-02-03,12.9,12.8,12.8,12.8,0.0
2003-02-04,12.8,12.7,12.7,12.7,0.0
2003-02-06,12.7,12.6,12.5,12.6,1000.0
2003-02-17,12.6,12.65,12.65,12.65,0.0
2003-02-18,12.65,12.9,12.9,12.9,0.0
2003-03-06,12.9,13.0,12.75,12.75,1000.0
2003-03-17,12.75,12.6,12.6,12.6,1000.0
2003-03-18,12.6,12.6,12.6,12.6,1000.0
2003-03-20,12.6,12.65,12.65,12.65,0.0
2003-03-24,12.65,12.75,12.75,12.75,0.0
2003-03-25,12.75,12.8,12.8,12.8,0.0
2003-03-26,12.8,13.0,13.0,13.0,1000.0
2003-03-27,13.0,13.1,13.0,13.1,1000.0
2003-03-28,13.1,13.35,13.35,13.35,10000.0
2003-04-15,13.35,13.35,13.35,13.35,500.0
2003-04-21,13.35,14.25,14.25,14.25,1500.0
2003-04-22,14.25,14.0,14.0,14.0,2000.0
2003-04-28,14.0,14.0,14.0,14.0,2500.0
2003-04-29,14.0,14.0,14.0,14.0,2500.0
2003-05-12,14.0,14.75,14.75,14.75,500.0
2003-05-19,14.75,14.5,14.5,14.5,500.0
2003-05-20,14.5,14.7,14.7,14.7,6000.0
2003-05-22,14.7,15.0,14.75,15.0,2500.0
2003-05-26,15.0,15.0,15.0,15.0,500.0
2003-05-27,15.0,15.5,15.5,15.5,0.0
2003-06-04,15.5,16.0,15.4,16.0,1500.0
2003-06-05,16.0,17.5,15.0,17.5,1000.0
2003-06-09,17.5,17.6,17.6,17.6,0.0
2003-06-11,17.6,17.0,17.0,17.0,0.0
2003-06-24,17.0,18.5,16.5,16.5,1000.0
2003-06-25,16.5,16.6,16.6,16.6,0.0
2003-06-26,16.6,17.0,17.0,17.0,0.0
2003-07-08,17.0,16.0,16.0,16.0,2000.0
2003-07-14,16.0,16.45,16.45,16.45,500.0
2003-07-30,16.45,16.0,16.0,16.0,500.0
2003-07-31,16.0,16.6,16.6,16.6,500.0
2003-08-01,16.6,16.6,16.6,16.6,500.0
2003-08-04,16.6,18.0,18.0,18.0,500.0
2003-08-06,18.0,18.0,18.0,18.0,1000.0
2003-09-04,18.0,19.0,19.0,19.0,500.0
2003-09-09,19.0,19.0,19.0,19.0,500.0
2003-09-10,19.0,19.25,19.25,19.25,0.0
2003-09-11,19.25,19.0,19.0,19.0,1000.0
2003-09-12,19.0,19.25,19.0,19.25,1000.0
2003-09-18,19.25,20.0,20.0,20.0,500.0
2003-09-19,20.0,19.5,19.5,19.5,1000.0
2003-09-22,19.5,19.0,19.0,19.0,0.0
2003-09-29,19.0,18.9,18.9,18.9,0.0
2003-10-03,18.9,20.0,19.0,19.0,3500.0
2003-10-09,17.2,18.0,18.0,18.0,1000.0
2003-12-02,18.0,17.5,17.5,17.5,2500.0
2003-12-09,17.5,18.5,18.0,18.5,1500.0
2003-12-10,18.5,18.45,18.45,18.45,0.0
2003-12-18,18.45,17.45,17.45,17.45,500.0
2003-12-29,17.45,17.0,17.0,17.0,0.0
2004-01-02,17.0,16.0,16.0,16.0,0.0
2004-01-05,16.0,16.1,16.1,16.1,0.0
2004-01-07,16.1,16.1,16.1,16.1,1000.0
2004-01-08,16.1,16.15,16.15,16.15,0.0
2004-01-12,16.15,16.3,16.3,16.3,1000.0
2004-01-13,16.3,16.55,16.55,16.55,0.0
2004-02-11,16.55,17.0,17.0,17.0,0.0
2004-02-16,17.0,18.5,18.5,18.5,1000.0
2004-03-04,18.5,18.0,18.0,18.0,0.0
2004-03-05,18.0,18.0,17.9,18.0,2000.0
2004-03-19,18.0,17.0,17.0,17.0,500.0
2004-03-22,17.0,17.5,17.5,17.5,0.0
2004-03-24,17.5,18.5,18.5,18.5,0.0
2004-03-25,18.5,19.5,19.5,19.5,500.0
2004-04-02,19.5,19.25,19.25,19.25,0.0
2004-04-14,19.25,20.5,20.0,20.5,1000.0
2004-05-26,20.5,21.4,21.4,21.4,500.0
2004-05-28,21.4,21.5,21.5,21.5,500.0
2004-06-01,21.5,21.0,21.0,21.0,500.0
2004-06-18,21.0,21.6,21.6,21.6,500.0
2004-06-21,21.6,21.5,21.5,21.5,0.0
2004-06-23,21.5,21.45,21.45,21.45,0.0
2004-06-28,21.45,21.0,21.0,21.0,0.0
2004-07-22,21.0,20.9,20.9,20.9,0.0
2004-08-24,20.9,20.5,20.5,20.5,0.0
2004-08-27,20.5,20.45,20.45,20.45,0.0
2004-09-15,20.45,19.75,19.75,19.75,0.0
2004-09-16,19.75,19.5,19.5,19.5,500.0
2004-09-17,19.5,19.4,19.4,19.4,0.0
2004-09-20,19.4,19.0,19.0,19.0,0.0
2004-09-27,19.0,18.7,18.7,18.7,0.0
2004-09-28,18.7,18.5,18.5,18.5,0.0
2004-10-04,18.5,18.0,18.0,18.0,0.0
2004-10-11,16.5,18.0,18.0,18.0,2000.0
2004-10-12,18.0,17.0,17.0,17.0,5500.0
2004-10-14,17.0,17.25,17.0,17.25,5000.0
2004-10-18,17.25,17.0,17.0,17.0,0.0
2004-10-26,17.0,17.5,17.5,17.5,1000.0
2004-10-27,17.5,17.45,17.45,17.45,0.0
2004-10-29,17.45,17.0,17.0,17.0,0.0
2004-11-01,17.0,16.5,16.5,16.5,1000.0
2004-11-03,16.5,16.75,15.75,16.75,6500.0
2004-11-10,16.75,16.5,16.5,16.5,500.0
2004-11-12,16.5,16.5,16.5,16.5,500.0
2004-11-18,16.5,16.5,16.5,16.5,500.0
2004-11-22,16.5,16.75,16.75,16.75,0.0
2004-11-24,16.75,18.25,17.95,18.25,5500.0
2004-11-26,18.25,18.5,18.5,18.5,0.0
2004-11-29,18.5,18.75,18.5,18.75,2000.0
2004-11-30,18.75,18.75,18.75,18.75,500.0
2004-12-01,18.75,19.75,18.75,18.75,3000.0
2004-12-02,18.75,19.95,19.9,19.95,2000.0
2004-12-03,19.95,20.0,20.0,20.0,500.0
2004-12-07,20.0,20.75,20.75,20.75,500.0
2004-12-09,20.75,20.25,20.0,20.0,2000.0
2004-12-10,20.0,20.05,20.05,20.05,500.0
2004-12-13,20.05,21.5,21.0,21.5,1500.0
2004-12-15,21.5,21.0,21.0,21.0,500.0
2004-12-16,21.0,20.5,20.5,20.5,500.0
2004-12-17,20.5,20.75,20.75,20.75,0.0
2004-12-20,20.75,21.5,21.5,21.5,500.0
2004-12-23,21.5,21.25,21.25,21.25,500.0
2004-12-24,21.25,21.2,20.25,21.2,1500.0
2004-12-27,21.2,22.75,22.4,22.75,2500.0
2004-12-29,22.75,22.0,21.75,22.0,500.0
2004-12-31,22.0,23.55,22.05,23.0,9000.0
2005-01-03,23.0,22.05,22.05,22.05,2000.0
2005-01-05,22.05,22.4,22.4,22.4,0.0
2005-01-10,22.4,23.0,22.5,23.0,3000.0
2005-01-11,23.0,24.7,23.0,24.7,6000.0
2005-01-12,24.7,26.25,25.5,26.25,1500.0
2005-01-13,26.25,25.5,25.5,25.5,0.0
2005-01-14,25.5,24.25,24.25,24.25,500.0
2005-01-17,24.25,23.25,23.25,23.25,500.0
2005-01-18,23.25,22.25,22.25,22.25,1500.0
2005-01-19,22.25,22.0,21.8,21.9,3500.0
2005-01-24,21.9,22.9,20.9,21.0,20500.0
2005-01-25,21.0,21.0,19.95,19.95,11000.0
2005-01-26,19.95,20.3,19.0,19.0,29500.0
2005-01-27,19.0,18.6,18.0,18.5,24000.0
2005-02-01,18.5,18.65,18.65,18.65,0.0
2005-02-02,18.65,20.15,20.15,20.15,500.0
2005-02-03,20.15,21.65,19.75,21.65,10000.0
2005-02-04,21.65,21.25,21.25,21.25,500.0
2005-02-11,21.25,22.2,22.2,22.2,2500.0
2005-02-14,22.2,23.0,22.0,22.0,3500.0
2005-02-15,22.0,22.0,22.0,22.0,1500.0
2005-02-16,22.0,22.5,22.5,22.5,0.0
2005-02-18,22.5,23.25,23.0,23.0,4000.0
2005-02-22,23.0,22.95,22.5,22.95,1000.0
2005-02-23,22.95,22.5,22.5,22.5,8000.0
2005-02-25,22.5,22.6,22.6,22.6,500.0
2005-03-01,22.6,23.0,23.0,23.0,500.0
2005-03-02,23.0,22.75,22.75,22.75,0.0
2005-03-03,22.75,24.25,23.0,24.25,3000.0
2005-03-04,24.25,24.0,24.0,24.0,500.0
2005-03-07,24.0,24.5,24.5,24.5,500.0
2005-03-08,24.5,23.5,23.5,23.5,0.0
2005-03-14,23.5,23.5,23.5,23.5,500.0
2005-03-17,23.5,23.5,23.5,23.5,1000.0
2005-03-21,23.5,23.25,23.25,23.25,0.0
2005-03-22,23.25,23.0,23.0,23.0,0.0
2005-03-29,23.0,22.5,22.5,22.5,0.0
2005-04-05,22.5,21.5,21.5,21.5,500.0
2005-04-20,21.5,20.5,20.5,20.5,0.0
2005-04-29,20.5,19.5,19.5,19.5,1500.0
2005-05-02,19.5,19.5,19.5,19.5,500.0
2005-05-09,19.5,20.5,20.5,20.5,1000.0
2005-05-11,20.5,19.5,19.5,19.5,500.0
2005-06-21,19.5,19.0,19.0,19.0,1500.0
2005-06-24,19.0,19.0,18.5,18.5,1000.0
2005-07-13,18.5,18.0,17.5,18.0,1000.0
2005-07-20,18.0,18.5,17.0,18.5,4500.0
2005-07-21,18.5,18.0,17.5,17.5,1500.0
2005-08-01,17.5,18.5,18.5,18.5,500.0
2005-09-12,18.5,18.75,18.75,18.75,0.0
2005-09-14,18.75,19.0,19.0,19.0,0.0
2005-09-15,19.0,19.25,19.25,19.25,0.0
2005-09-16,19.25,19.25,19.25,19.25,1000.0
2005-09-19,19.25,18.65,18.6,18.6,3000.0
2005-09-20,18.6,18.6,18.6,18.6,1000.0
2005-09-21,18.6,18.75,17.6,18.75,1500.0
2005-09-28,18.75,18.75,18.75,18.75,1500.0
2005-10-03,18.75,18.75,18.75,18.75,2000.0
2005-10-04,18.75,18.8,18.8,18.8,0.0
2005-10-05,18.8,19.0,19.0,19.0,0.0
2005-11-22,17.5,17.0,17.0,17.0,1000.0
2005-11-23,17.0,18.0,17.8,18.0,1500.0
2005-12-08,18.0,18.5,18.5,18.5,500.0
2005-12-12,18.5,18.0,17.5,18.0,1000.0
2005-12-15,18.0,18.25,18.25,18.25,0.0
2005-12-16,18.25,19.25,19.25,19.25,500.0
2005-12-19,19.25,20.0,20.0,20.0,1000.0
2005-12-22,20.0,21.0,21.0,21.0,500.0
2006-02-13,21.0,20.5,20.0,20.5,1000.0
2006-02-15,20.5,20.4,20.4,20.4,0.0
2006-02-16,20.4,20.0,20.0,20.0,0.0
2006-02-17,20.0,20.4,20.4,20.4,500.0
2006-02-20,20.4,19.4,19.4,19.4,500.0
2006-02-21,19.4,20.1,20.1,20.1,500.0
2006-03-02,20.1,20.0,20.0,20.0,1000.0
2006-03-06,20.0,21.0,20.9,21.0,1500.0
2006-03-07,21.0,21.0,21.0,21.0,2000.0
2006-03-22,21.0,22.0,21.45,22.0,3000.0
2006-04-17,22.0,23.0,23.0,23.0,500.0
2006-04-18,23.0,24.0,23.0,23.0,1000.0
2006-04-19,23.0,23.0,23.0,23.0,500.0
2006-04-20,23.0,23.0,23.0,23.0,500.0
2006-04-24,23.0,24.0,24.0,24.0,500.0
2006-07-04,24.0,25.2,23.5,25.2,15000.0
2006-07-06,25.2,26.45,26.15,26.45,2000.0
2006-07-27,26.45,26.0,26.0,26.0,0.0
2006-07-31,26.0,25.5,25.5,25.5,0.0
2006-08-03,25.5,25.25,25.25,25.25,0.0
2006-08-07,25.25,24.75,24.75,24.75,0.0
2006-08-15,24.75,24.0,24.0,24.0,0.0
2006-08-16,24.0,23.9,23.9,23.9,0.0
2006-09-19,23.9,23.8,23.8,23.8,500.0
2006-09-28,23.8,23.9,23.9,23.9,2000.0
2006-10-03,23.9,23.8,23.8,23.8,0.0
2006-10-06,23.8,22.7,22.65,22.65,1000.0
2006-11-02,19.49,19.4,19.4,19.4,0.0
2006-11-06,19.4,19.0,19.0,19.0,0.0
2006-11-15,19.0,18.0,18.0,18.0,1000.0
2006-11-20,18.0,17.9,17.9,17.9,0.0
2006-11-23,17.9,17.5,17.5,17.5,0.0
2006-11-28,17.5,17.4,17.4,17.4,0.0
2006-12-04,17.4,17.0,17.0,17.0,0.0
2007-01-15,17.0,16.0,16.0,16.0,0.0
2007-01-16,16.0,15.0,15.0,15.0,0.0
2007-01-17,15.0,14.25,14.0,14.25,19500.0
2007-01-24,14.25,14.25,13.5,13.5,2000.0
2007-01-25,13.5,13.6,13.6,13.6,0.0
2007-01-31,13.6,14.0,14.0,14.0,0.0
2007-02-14,14.0,14.95,14.95,14.95,500.0
2007-02-19,14.95,15.0,15.0,15.0,0.0
2007-03-01,15.0,14.6,14.6,14.6,0.0
2007-03-05,14.6,14.3,14.3,14.3,0.0
2007-04-02,14.3,13.3,13.3,13.3,1000.0
2007-04-09,13.3,13.25,13.25,13.25,500.0
2007-04-13,13.25,14.25,14.25,14.25,1000.0
2007-04-16,14.25,14.25,14.25,14.25,500.0
2007-04-20,14.25,15.25,14.75,14.75,3000.0
2007-04-23,14.75,15.75,15.5,15.75,4000.0
2007-04-25,15.75,16.45,16.45,16.45,500.0
2007-04-26,16.45,16.0,15.5,15.5,6000.0
2007-06-12,15.5,16.4,16.4,16.4,1000.0
2007-06-15,16.4,16.8,16.8,16.8,500.0
2007-06-18,16.8,17.0,17.0,17.0,500.0
2007-06-19,17.0,16.75,16.75,16.75,0.0
2007-06-20,16.75,16.9,16.9,16.9,500.0
2007-06-21,16.9,16.9,16.9,16.9,1000.0
2007-06-27,16.9,16.0,16.0,16.0,500.0
2007-07-24,16.0,15.95,15.95,15.95,0.0
2007-08-20,15.95,15.7,15.7,15.7,0.0
2007-08-23,15.7,16.5,16.0,16.5,2000.0
2007-08-24,16.5,16.5,16.5,16.5,1000.0
2007-09-24,16.5,17.5,17.5,17.5,1000.0
2007-09-25,17.5,18.25,16.5,18.25,2500.0
2007-09-27,18.25,19.2,19.2,19.2,500.0
2007-09-28,19.2,20.1,20.1,20.1,500.0
2007-10-05,20.1,21.1,21.1,21.1,500.0
2007-10-08,21.1,21.5,21.5,21.5,500.0
2007-10-17,20.25,19.25,19.25,19.25,0.0
2007-10-18,19.25,19.0,19.0,19.0,0.0
2007-10-25,19.0,18.0,18.0,18.0,1000.0
2007-10-29,18.0,18.0,18.0,18.0,1000.0
2007-10-30,18.0,18.0,18.0,18.0,1000.0
2007-11-01,18.0,18.0,18.0,18.0,1500.0
2007-11-12,18.0,18.0,18.0,18.0,500.0
2007-11-20,18.0,18.5,18.0,18.5,6500.0
2007-11-21,18.5,18.25,18.0,18.25,1000.0
2007-11-22,18.25,18.25,18.25,18.25,1500.0
