Date,Open,High,Low,Close,Volume
2001-01-04,7.0,7.5,7.5,7.5,1000.0
2001-01-08,7.5,7.0,7.0,7.0,1500.0
2001-01-11,7.0,7.0,7.0,7.0,9000.0
2001-01-17,7.0,7.0,7.0,7.0,500.0
2001-01-19,7.0,7.0,7.0,7.0,1000.0
2001-01-29,7.0,7.0,7.0,7.0,4500.0
2001-02-08,7.0,7.75,7.75,7.75,500.0
2001-02-09,7.75,7.0,7.0,7.0,4500.0
2001-02-15,7.0,7.0,7.0,7.0,500.0
2001-02-19,7.0,7.0,7.0,7.0,500.0
2001-02-27,7.0,7.05,7.0,7.0,6500.0
2001-03-01,7.0,7.05,6.9,7.0,8500.0
2001-03-02,7.0,7.0,7.0,7.0,5000.0
2001-03-09,7.0,7.0,6.0,7.0,4000.0
2001-03-12,7.0,7.0,7.0,7.0,2500.0
2001-03-13,7.0,7.5,7.5,7.5,1500.0
2001-03-14,7.5,7.0,7.0,7.0,500.0
2001-03-15,7.0,7.0,7.0,7.0,2500.0
2001-03-16,7.0,7.0,7.0,7.0,7500.0
2001-03-19,7.0,7.0,7.0,7.0,13500.0
2001-03-20,7.0,7.1,7.0,7.0,3000.0
2001-03-21,7.0,7.0,7.0,7.0,3000.0
2001-03-22,7.0,7.0,7.0,7.0,1500.0
2001-03-26,6.0,6.0,6.0,6.0,0.0
2001-03-29,6.0,7.0,6.9,7.0,2000.0
2001-03-30,7.0,6.95,6.95,6.95,500.0
2001-04-02,6.95,7.0,7.0,7.0,6000.0
2001-04-03,7.0,7.0,7.0,7.0,5000.0
2001-04-16,7.0,7.5,7.5,7.5,2000.0
2001-04-20,7.5,7.5,7.5,7.5,1000.0
2001-04-23,7.5,7.5,7.5,7.5,1000.0
2001-04-24,7.5,8.0,7.9,8.0,2500.0
2001-04-26,8.0,8.0,8.0,8.0,3000.0
2001-04-27,8.0,8.5,8.5,8.5,500.0
2001-05-02,8.5,8.5,8.5,8.5,500.0
2001-05-10,8.5,9.0,8.6,9.0,2000.0
2001-05-14,9.0,9.0,9.0,9.0,2000.0
2001-05-15,9.0,9.0,9.0,9.0,6000.0
2001-05-16,9.0,9.0,9.0,9.0,2000.0
2001-05-17,9.0,9.0,9.0,9.0,2000.0
2001-05-21,9.0,9.0,9.0,9.0,1000.0
2001-05-22,9.0,9.35,9.25,9.35,4500.0
2001-05-23,9.35,9.0,9.0,9.0,1000.0
2001-05-24,9.0,9.25,9.05,9.25,1000.0
2001-05-28,9.25,9.05,9.05,9.05,1000.0
2001-05-29,9.05,9.25,9.1,9.25,3500.0
2001-05-30,9.25,9.25,9.1,9.25,5500.0
2001-06-01,9.25,9.6,9.5,9.5,1500.0
2001-06-04,9.5,9.0,9.0,9.0,5500.0
2001-06-07,9.0,9.0,9.0,9.0,1000.0
2001-06-11,9.0,9.5,9.4,9.5,7500.0
2001-06-12,9.5,9.5,9.25,9.5,3000.0
2001-06-13,9.5,9.3,9.3,9.3,500.0
2001-06-14,9.3,9.5,9.35,9.35,4500.0
2001-06-15,9.35,9.5,9.5,9.5,500.0
2001-06-19,9.5,9.5,9.5,9.5,500.0
2001-06-22,9.5,9.5,9.5,9.5,6000.0
2001-07-03,9.5,7.0,7.0,7.0,500.0
2001-07-06,7.0,6.35,6.35,6.35,1000.0
2001-07-11,6.35,6.3,6.3,6.3,500.0
2001-07-12,6.3,6.3,6.3,6.3,500.0
2001-07-18,6.3,8.5,6.9,8.5,10000.0
2001-07-19,8.5,8.5,8.0,8.5,3500.0
2001-07-26,8.5,9.0,8.9,9.0,3500.0
2001-07-27,9.0,9.0,9.0,9.0,1000.0
2001-07-30,9.0,9.0,9.0,9.0,7000.0
2001-07-31,9.0,9.0,9.0,9.0,4500.0
2001-08-01,9.0,9.0,9.0,9.0,5500.0
2001-08-02,9.0,9.1,9.0,9.1,6500.0
2001-08-03,9.1,9.1,9.1,9.1,500.0
2001-08-07,9.1,9.25,9.0,9.25,11500.0
2001-08-08,9.25,9.25,9.25,9.25,1000.0
2001-08-09,9.25,9.4,9.25,9.4,14500.0
2001-08-10,9.4,9.0,9.0,9.0,500.0
2001-08-13,9.0,9.0,9.0,9.0,1000.0
2001-08-15,9.0,9.25,9.0,9.25,9000.0
2001-08-17,9.25,9.5,9.5,9.5,500.0
2001-08-24,9.5,9.0,9.0,9.0,2500.0
2001-08-29,9.0,9.45,9.3,9.45,8000.0
2001-08-30,9.45,9.5,9.5,9.5,2500.0
2001-08-31,9.5,9.5,9.5,9.5,2500.0
2001-09-03,9.5,9.25,9.2,9.2,1000.0
2001-09-05,9.2,9.25,9.25,9.25,3500.0
2001-09-11,9.25,9.5,9.45,9.5,4000.0
2001-09-13,9.5,9.6,9.5,9.6,6500.0
2001-09-14,9.6,9.5,9.0,9.5,1500.0
2001-09-24,9.5,9.8,9.8,9.8,1000.0
2001-09-25,9.8,9.35,9.35,9.35,1000.0
2001-09-26,9.35,9.75,9.5,9.5,11000.0
2001-09-27,9.5,9.5,9.5,9.5,1500.0
2001-09-28,9.5,9.5,9.5,9.5,500.0
2001-10-01,9.5,9.5,9.5,9.5,500.0
2001-10-09,9.5,10.0,10.0,10.0,1500.0
2001-10-15,10.0,9.5,9.5,9.5,500.0
2001-10-24,9.5,10.1,10.1,10.1,1000.0
2001-10-25,10.1,10.1,10.1,10.1,1000.0
2001-10-30,10.1,10.0,10.0,10.0,500.0
2001-10-31,10.0,10.1,10.0,10.1,2000.0
2001-11-02,10.1,10.5,10.5,10.5,10000.0
2001-11-06,10.5,10.0,10.0,10.0,20000.0
2001-11-07,10.0,10.0,10.0,10.0,8000.0
2001-11-08,10.0,10.5,10.5,10.5,500.0
2001-11-12,10.5,10.5,10.5,10.5,5000.0
2001-11-13,10.5,10.0,10.0,10.0,1500.0
2001-11-14,10.0,10.0,10.0,10.0,3000.0
2001-11-15,10.0,10.0,10.0,10.0,1500.0
2001-11-20,10.0,11.0,11.0,11.0,1000.0
2001-11-28,11.0,11.0,11.0,11.0,1000.0
2001-12-03,11.0,11.0,11.0,11.0,1500.0
2001-12-04,11.0,11.05,11.05,11.05,1000.0
2001-12-06,11.05,11.0,11.0,11.0,1500.0
2001-12-08,11.0,11.0,11.0,11.0,500.0
2002-01-07,11.0,11.0,11.0,11.0,500.0
2002-01-16,11.0,11.0,11.0,11.0,1000.0
2002-01-21,11.0,11.0,11.0,11.0,1500.0
2002-01-24,11.0,11.0,11.0,11.0,500.0
2002-01-29,11.0,11.0,11.0,11.0,2000.0
