Date,Open,High,Low,Close,Volume
2003-10-27,10.0,10.0,10.0,10.0,1000.0
2003-10-28,10.0,9.9,9.9,9.9,0.0
2003-11-07,9.9,9.0,9.0,9.0,0.0
2003-11-18,9.0,8.0,8.0,8.0,3000.0
2003-11-19,8.0,8.05,8.05,8.05,0.0
2003-11-20,8.05,8.05,8.05,8.05,500.0
2003-12-04,8.05,8.05,8.0,8.05,1500.0
2003-12-11,8.05,7.9,7.9,7.9,0.0
2003-12-17,7.9,7.1,7.1,7.1,1000.0
2004-01-12,7.1,7.5,7.5,7.5,0.0
2004-01-20,7.5,8.0,7.75,8.0,2500.0
2004-01-29,8.0,8.0,7.5,7.5,7000.0
2004-02-11,7.5,7.6,7.6,7.6,0.0
2004-02-19,7.6,7.5,7.5,7.5,1500.0
2004-02-20,7.5,7.65,7.6,7.6,3000.0
2004-02-23,7.6,7.1,7.05,7.1,500.0
2004-02-25,7.1,7.05,7.0,7.05,1000.0
2004-02-26,7.05,7.2,7.2,7.2,0.0
2004-03-04,7.2,7.5,7.5,7.5,0.0
2004-03-05,7.5,8.25,8.0,8.25,5000.0
2004-03-17,8.25,8.0,8.0,8.0,500.0
2004-03-31,8.0,8.05,8.05,8.05,0.0
2004-04-07,8.05,8.25,8.25,8.25,0.0
2004-04-08,8.25,8.5,8.5,8.5,0.0
2004-04-15,8.5,9.5,9.5,9.5,1000.0
2004-04-29,9.5,9.05,9.05,9.05,1000.0
2004-04-30,9.05,9.95,9.75,9.95,1000.0
2004-05-04,9.95,9.9,9.9,9.9,0.0
2004-05-05,9.9,9.5,9.5,9.5,1000.0
2004-05-06,9.5,9.55,9.55,9.55,0.0
2004-05-11,9.55,9.15,9.15,9.15,7000.0
2004-05-18,9.15,8.5,8.5,8.5,500.0
2004-05-24,8.5,10.0,9.75,10.0,9500.0
2004-05-25,10.0,10.5,10.0,10.5,11000.0
2004-05-26,10.5,10.55,10.3,10.5,4000.0
2004-05-27,10.5,12.0,10.5,12.0,12500.0
2004-05-28,12.0,13.5,13.5,13.5,3500.0
2004-05-31,13.5,13.5,12.5,12.55,14000.0
2004-06-01,12.55,12.25,12.0,12.0,10000.0
2004-06-02,12.0,12.9,12.6,12.6,6500.0
2004-06-03,12.6,12.8,12.8,12.8,2000.0
2004-06-04,12.8,12.5,12.25,12.25,3000.0
2004-06-07,12.25,13.2,12.6,12.9,4500.0
2004-06-08,12.9,13.5,12.8,13.5,6000.0
2004-06-09,13.5,14.7,13.85,14.7,17500.0
2004-06-11,14.7,14.6,14.35,14.6,5000.0
2004-06-14,14.6,14.4,13.9,13.9,8000.0
2004-06-15,13.9,14.95,14.0,14.95,16500.0
2004-06-16,14.95,15.9,15.4,15.9,14000.0
2004-06-17,15.9,16.9,15.1,16.9,11000.0
2004-06-18,16.9,17.0,16.25,16.25,10500.0
2004-06-21,16.25,16.5,15.5,15.5,14500.0
2004-06-22,15.5,15.5,15.0,15.5,3500.0
2004-06-23,15.5,14.65,14.6,14.6,2500.0
2004-06-24,14.6,14.25,14.25,14.25,8000.0
2004-06-25,14.25,15.1,15.0,15.05,7000.0
2004-06-29,15.05,15.25,15.2,15.2,1500.0
2004-06-30,15.2,15.0,15.0,15.0,1000.0
2004-07-05,15.0,14.1,14.1,14.1,500.0
2004-07-06,14.1,14.25,14.25,14.25,2000.0
2004-07-07,14.25,14.25,14.05,14.05,1000.0
2004-07-08,14.05,13.75,13.75,13.75,500.0
2004-07-14,13.75,14.5,14.5,14.5,6000.0
2004-07-15,14.5,15.5,14.0,14.5,16500.0
2004-07-16,14.5,14.5,14.25,14.5,2000.0
2004-07-19,14.5,14.75,14.55,14.55,6000.0
2004-07-20,14.55,14.5,14.5,14.5,0.0
2004-07-21,14.5,14.25,14.25,14.25,4000.0
2004-07-22,14.25,13.9,13.9,13.9,4500.0
2004-07-23,13.9,14.0,14.0,14.0,500.0
2004-07-26,14.0,14.05,14.05,14.05,4500.0
2004-07-27,14.05,14.05,14.0,14.0,7500.0
2004-07-29,14.0,13.1,13.0,13.0,5000.0
2004-08-05,13.0,12.0,12.0,12.0,500.0
2004-08-11,12.0,11.5,11.5,11.5,1000.0
2004-08-17,11.5,12.5,12.25,12.5,4000.0
