Date,Open,High,Low,Close,Volume
2001-01-02,11.0,11.0,10.8,10.9,36000.0
2001-01-04,10.9,11.0,10.95,10.95,10500.0
2001-01-05,10.95,10.8,10.8,10.8,2000.0
2001-01-08,10.8,11.0,10.8,10.8,24500.0
2001-01-09,10.8,10.9,10.7,10.7,4000.0
2001-01-10,10.7,10.65,10.65,10.65,5000.0
2001-01-11,10.65,10.6,10.55,10.55,2000.0
2001-01-12,10.55,10.8,10.5,10.5,19500.0
2001-01-15,10.5,10.4,10.4,10.4,1000.0
2001-01-17,10.4,10.3,10.25,10.25,2000.0
2001-01-18,10.25,10.25,10.1,10.1,4500.0
2001-01-19,10.1,10.15,10.0,10.0,8500.0
2001-01-22,10.0,10.2,10.0,10.0,9000.0
2001-01-23,10.0,10.35,10.3,10.35,14500.0
2001-01-24,10.35,10.3,10.25,10.3,5500.0
2001-01-25,10.3,10.1,9.9,9.9,15500.0
2001-01-26,9.9,10.05,9.9,10.05,4000.0
2001-01-31,10.05,10.2,10.0,10.0,9500.0
2001-02-01,10.0,9.85,9.75,9.75,4000.0
2001-02-02,9.75,9.95,9.7,9.95,12500.0
2001-02-06,9.95,10.15,9.85,9.85,21000.0
2001-02-07,9.85,9.9,9.9,9.9,500.0
2001-02-08,9.9,10.0,9.75,10.0,10000.0
2001-02-09,10.0,9.9,9.75,9.75,23500.0
2001-02-12,9.75,9.9,9.5,9.9,26500.0
2001-02-13,9.9,10.1,9.8,10.0,51000.0
2001-02-14,10.0,10.05,10.0,10.05,14500.0
2001-02-15,10.05,10.0,9.75,9.95,14000.0
2001-02-16,9.95,10.0,9.7,9.75,16500.0
2001-02-19,9.75,9.95,9.7,9.7,7500.0
2001-02-20,9.7,9.75,9.7,9.7,11500.0
2001-02-21,9.7,9.75,9.75,9.75,7000.0
2001-02-22,9.75,9.9,9.6,9.6,5500.0
2001-02-23,9.6,9.75,9.45,9.5,23500.0
2001-02-26,9.5,9.75,9.5,9.75,26500.0
2001-02-27,9.75,9.5,9.5,9.5,1000.0
2001-02-28,9.5,9.6,9.6,9.6,4000.0
2001-03-01,9.6,9.55,9.45,9.55,10500.0
2001-03-02,9.55,9.5,9.45,9.45,5500.0
2001-03-12,9.45,9.5,9.5,9.5,3500.0
2001-03-13,9.5,9.45,9.45,9.45,1500.0
2001-03-14,9.45,9.4,9.25,9.4,8000.0
2001-03-15,9.4,9.5,9.3,9.3,39500.0
2001-03-16,9.3,9.5,9.35,9.35,5500.0
