Date,Open,High,Low,Close,Volume
2001-01-01,4.95,5.0,4.5,4.8,22000.0
2001-01-02,4.8,5.2,4.6,5.0,81500.0
2001-01-03,5.0,5.4,4.7,5.0,46500.0
2001-01-04,5.0,5.6,5.15,5.6,147500.0
2001-01-05,5.6,5.95,5.6,5.6,24500.0
2001-01-08,5.6,5.95,5.5,5.8,50000.0
2001-01-09,5.8,5.8,5.45,5.6,45000.0
2001-01-10,5.6,5.9,5.7,5.85,36500.0
2001-01-11,5.85,5.7,5.55,5.55,13000.0
2001-01-12,5.55,5.65,5.15,5.15,21000.0
2001-01-15,5.15,5.15,5.1,5.1,5500.0
2001-01-16,5.1,5.0,5.0,5.0,5000.0
2001-01-17,5.0,5.25,5.0,5.25,7000.0
2001-01-18,5.25,5.05,5.05,5.05,500.0
2001-01-19,5.05,5.1,5.0,5.0,4000.0
2001-01-22,5.0,5.4,5.0,5.25,13500.0
2001-01-23,5.25,5.65,5.4,5.4,1000.0
2001-01-24,5.4,5.35,5.15,5.3,19000.0
2001-01-25,5.3,5.5,5.25,5.3,11000.0
2001-01-26,5.3,5.2,5.05,5.15,10000.0
2001-01-29,5.15,5.5,5.5,5.5,1000.0
2001-01-30,5.5,5.5,5.0,5.5,36000.0
2001-01-31,5.5,5.75,5.4,5.5,15000.0
2001-02-01,5.5,5.55,5.25,5.25,14000.0
2001-02-02,5.25,5.4,5.25,5.25,3000.0
2001-02-06,5.25,5.7,5.45,5.7,11500.0
2001-02-07,5.7,5.95,5.5,5.5,59000.0
2001-02-08,5.5,5.7,5.25,5.5,14500.0
2001-02-09,5.5,5.6,5.4,5.4,7000.0
2001-02-12,5.4,5.4,5.35,5.35,9000.0
2001-02-13,5.35,5.25,5.15,5.15,9000.0
2001-02-14,5.15,5.25,5.0,5.1,4000.0
2001-02-15,5.1,5.0,4.55,4.55,10000.0
2001-02-16,4.55,4.6,4.6,4.6,500.0
2001-02-19,4.6,5.1,4.95,4.95,2000.0
2001-02-20,4.95,5.2,4.8,4.85,9000.0
2001-02-21,4.85,4.9,4.7,4.9,2000.0
2001-02-22,4.9,4.65,4.65,4.65,1500.0
2001-02-26,4.65,4.9,4.65,4.9,5000.0
2001-02-27,4.9,4.9,4.75,4.9,2000.0
2001-02-28,4.9,5.6,4.95,5.6,22000.0
2001-03-01,5.6,5.5,5.0,5.2,6500.0
2001-03-02,5.2,5.15,5.0,5.15,6000.0
2001-03-09,5.15,5.0,4.7,4.7,10500.0
2001-03-12,4.7,4.7,4.25,4.6,83000.0
2001-03-13,4.6,4.9,4.45,4.65,51000.0
2001-03-14,4.65,4.85,4.45,4.85,177500.0
2001-03-15,4.85,4.85,4.6,4.65,39500.0
2001-03-16,4.65,4.5,4.4,4.4,16500.0
2001-03-19,4.4,4.5,4.25,4.3,21000.0
2001-03-20,4.3,4.3,4.3,4.3,2000.0
2001-03-21,4.3,4.05,3.9,4.05,3500.0
2001-03-22,4.05,3.9,3.65,3.65,6500.0
2001-03-26,3.65,4.0,3.5,3.95,11000.0
2001-03-27,3.95,4.0,3.75,3.75,40000.0
2001-03-28,3.75,3.9,3.55,3.9,5500.0
2001-03-29,3.9,3.55,3.3,3.35,8500.0
2001-04-02,2.75,3.7,2.75,3.7,500.0
2001-04-03,3.7,3.65,3.65,3.65,500.0
2001-04-06,3.65,3.7,3.55,3.55,4500.0
2001-04-12,3.55,3.55,3.55,3.55,500.0
2001-04-16,3.55,4.0,4.0,4.0,1000.0
2001-04-18,4.0,3.8,3.8,3.8,2000.0
2001-04-20,3.8,3.7,3.7,3.7,1000.0
2001-04-26,3.7,4.0,4.0,4.0,500.0
2001-04-27,4.0,4.0,4.0,4.0,500.0
2001-05-03,4.0,3.6,3.6,3.6,2000.0
2001-05-07,3.6,3.65,3.5,3.5,11000.0
2001-05-08,3.5,3.5,3.5,3.5,11000.0
2001-05-10,3.5,3.2,3.2,3.2,10000.0
2001-05-15,3.2,3.2,3.2,3.2,2500.0
2001-05-16,3.2,3.45,3.15,3.15,1000.0
2001-05-18,3.15,3.15,3.15,3.15,500.0
2001-05-21,3.15,3.3,3.3,3.3,1000.0
2001-05-23,3.3,3.2,3.2,3.2,500.0
2001-05-28,3.2,3.75,2.6,3.75,2000.0
2001-05-29,3.75,3.25,3.0,3.1,31000.0
2001-05-31,3.1,3.25,3.25,3.25,500.0
2001-06-01,3.25,3.0,3.0,3.0,1000.0
2001-06-14,3.0,3.0,3.0,3.0,500.0
2001-06-15,3.0,2.75,2.75,2.75,1000.0
2001-06-29,2.75,2.75,2.75,2.75,500.0
2001-07-13,2.75,2.75,2.75,2.75,2000.0
2001-08-01,2.75,3.0,3.0,3.0,500.0
2001-08-02,3.0,2.6,2.5,2.5,2000.0
2001-08-03,2.5,2.6,2.6,2.6,5000.0
2001-08-08,2.6,2.3,2.3,2.3,3000.0
2001-08-28,2.3,2.5,2.5,2.5,1000.0
2001-08-29,2.5,2.35,2.3,2.3,5000.0
2001-09-10,2.3,2.5,2.5,2.5,3000.0
2001-09-11,2.5,2.5,2.15,2.5,20000.0
2001-09-12,2.5,2.05,2.05,2.05,1000.0
2001-10-18,2.05,2.05,2.05,2.05,3500.0
2001-10-19,2.05,2.35,2.0,2.0,26500.0
2001-10-22,2.0,2.4,2.0,2.4,5500.0
2001-10-23,2.4,2.6,2.5,2.5,3500.0
2001-10-24,2.5,2.6,2.5,2.5,3000.0
2001-10-25,2.5,2.7,2.4,2.7,7000.0
