Date,Open,High,Low,Close,Volume
2001-01-01,40.0,40.0,39.6,39.6,2500.0
2001-01-03,39.6,40.0,40.0,40.0,500.0
2001-01-04,40.0,42.0,41.9,42.0,5000.0
2001-01-05,42.0,42.5,41.05,42.5,27500.0
2001-01-08,42.5,42.5,42.1,42.5,11000.0
2001-01-09,42.5,42.5,42.5,42.5,5000.0
2001-01-10,42.5,42.5,42.0,42.0,12500.0
2001-01-12,42.0,42.0,41.05,42.0,8000.0
2001-01-16,42.0,41.35,40.9,41.35,8500.0
2001-01-17,41.35,41.0,41.0,41.0,10500.0
2001-01-19,41.0,40.6,40.6,40.6,500.0
2001-01-23,40.6,41.25,41.0,41.25,25000.0
2001-01-24,41.25,41.25,41.0,41.0,11500.0
2001-01-29,41.0,40.5,40.45,40.5,5500.0
2001-01-30,40.5,40.55,40.5,40.5,7500.0
2001-01-31,40.5,40.75,40.5,40.75,26000.0
2001-02-01,40.75,41.0,40.6,40.6,8500.0
2001-02-02,40.6,40.75,40.7,40.7,3500.0
2001-02-06,40.7,41.0,40.7,40.9,20000.0
2001-02-07,40.9,41.15,41.0,41.0,1500.0
2001-02-08,41.0,42.5,40.95,42.0,31000.0
2001-02-09,42.0,42.0,41.25,41.25,13000.0
2001-02-12,41.25,42.7,41.5,42.7,27000.0
2001-02-13,42.7,43.5,42.25,42.3,43000.0
2001-02-14,42.3,42.95,42.4,42.5,11000.0
2001-02-15,42.5,42.75,41.0,41.0,21500.0
2001-02-16,41.0,41.0,40.0,40.2,13500.0
2001-02-19,40.2,43.4,39.0,43.05,144500.0
2001-02-20,43.05,43.9,42.15,42.2,45000.0
2001-02-21,42.2,42.5,41.9,42.0,26500.0
2001-02-22,42.0,43.0,42.1,42.85,23000.0
2001-02-23,42.85,42.5,42.0,42.0,20500.0
2001-02-26,42.0,42.5,41.5,41.6,28000.0
2001-02-27,41.6,41.5,41.5,41.5,3500.0
2001-02-28,41.5,42.0,41.0,41.0,21000.0
2001-03-01,41.0,41.75,41.25,41.7,3500.0
2001-03-02,41.7,42.0,41.2,41.5,7000.0
2001-03-09,41.5,41.95,41.75,41.9,3000.0
2001-03-12,41.9,42.5,42.0,42.4,22500.0
2001-03-13,42.4,42.5,42.0,42.0,9500.0
2001-03-14,42.0,43.0,42.25,42.25,9000.0
2001-03-15,42.25,43.0,42.0,42.0,29500.0
2001-03-16,42.0,42.25,41.75,42.25,10500.0
2001-03-19,42.25,42.4,41.8,41.8,20000.0
2001-03-20,27.64,27.64,27.05,27.1,2000.0
2001-03-21,27.1,27.3,27.0,27.0,1500.0
2001-03-22,27.0,27.0,27.0,27.0,1000.0
2001-03-26,27.0,26.0,26.0,26.0,1500.0
2001-03-27,26.0,25.95,25.95,25.95,500.0
2001-03-28,25.95,31.0,26.0,26.1,4500.0
2001-03-29,26.1,26.55,26.55,26.55,1000.0
2001-03-30,26.55,26.65,26.65,26.65,500.0
2001-04-06,26.65,26.75,26.75,26.75,500.0
2001-04-10,26.75,26.75,26.7,26.7,3500.0
2001-04-11,26.7,26.6,26.6,26.6,500.0
2001-04-12,26.6,25.85,25.75,25.85,1000.0
2001-04-13,25.85,26.0,26.0,26.0,500.0
2001-04-16,26.0,26.9,26.0,26.25,6000.0
2001-04-17,26.25,26.9,26.9,26.9,1000.0
2001-04-18,26.9,26.0,26.0,26.0,5000.0
2001-04-19,26.0,26.25,26.1,26.25,3500.0
2001-04-20,26.25,26.0,26.0,26.0,3000.0
2001-04-23,26.0,25.5,25.5,25.5,500.0
2001-04-24,25.5,26.0,25.7,25.7,1000.0
2001-04-25,25.7,26.0,25.8,25.8,4000.0
2001-04-26,25.8,25.8,25.8,25.8,500.0
2001-04-27,25.8,25.9,25.8,25.8,4500.0
2001-04-30,25.8,26.0,26.0,26.0,500.0
2001-05-02,26.0,26.1,26.0,26.1,13500.0
2001-05-03,26.1,26.5,26.0,26.0,6500.0
2001-05-04,26.0,26.0,26.0,26.0,500.0
2001-05-07,26.0,26.0,26.0,26.0,500.0
2001-05-08,26.0,26.1,26.1,26.1,2000.0
2001-05-09,26.1,25.7,25.55,25.55,3000.0
2001-05-10,25.55,25.4,25.4,25.4,500.0
2001-05-11,25.4,25.55,25.55,25.55,4000.0
2001-05-14,25.55,25.5,25.0,25.0,2500.0
2001-05-15,25.0,25.35,25.1,25.35,1500.0
2001-05-16,25.35,25.6,25.5,25.6,1000.0
2001-05-18,25.6,25.75,25.75,25.75,500.0
2001-05-21,25.75,28.0,26.2,26.7,3500.0
2001-05-22,26.7,26.6,26.15,26.25,6500.0
2001-05-23,26.25,26.5,26.1,26.1,20000.0
2001-05-24,26.1,27.0,26.0,26.0,2500.0
2001-05-25,26.0,26.35,26.0,26.35,1500.0
2001-05-28,26.35,27.0,26.5,26.5,4000.0
2001-05-29,26.5,26.9,26.35,26.7,12000.0
2001-05-30,26.7,27.7,26.85,27.7,9500.0
2001-05-31,27.7,28.25,27.4,27.55,17000.0
2001-06-01,27.55,27.65,27.5,27.65,4500.0
2001-06-04,27.65,28.15,28.0,28.15,2000.0
2001-06-06,28.15,28.0,27.9,27.9,7500.0
2001-06-07,27.9,27.8,27.6,27.6,3500.0
2001-06-08,27.6,27.85,27.3,27.85,3000.0
2001-06-11,27.85,27.25,26.75,26.75,15000.0
2001-06-12,26.75,26.95,26.5,26.95,1500.0
2001-06-13,26.95,26.95,26.95,26.95,500.0
2001-06-14,26.95,27.5,26.95,26.95,3000.0
2001-06-15,26.95,26.9,26.85,26.9,2500.0
2001-06-18,26.9,27.1,26.9,27.1,6000.0
2001-06-19,27.1,27.1,27.0,27.0,7000.0
2001-06-20,27.0,27.0,26.8,26.9,11000.0
2001-06-21,26.9,26.95,26.95,26.95,3500.0
2001-06-22,26.95,26.0,26.0,26.0,500.0
2001-06-27,26.0,26.25,26.05,26.25,2000.0
2001-06-28,26.25,26.1,26.05,26.05,1000.0
2001-06-29,26.05,25.55,25.5,25.5,1000.0
2001-07-03,25.5,25.95,25.95,25.95,1000.0
2001-07-04,25.95,25.95,25.75,25.95,6000.0
2001-07-05,25.95,25.5,25.5,25.5,10000.0
2001-07-06,25.5,25.5,25.4,25.45,3000.0
2001-07-09,25.45,25.55,25.55,25.55,4000.0
2001-07-10,25.55,25.75,25.55,25.55,6000.0
2001-07-11,25.55,25.8,25.8,25.8,500.0
2001-07-17,25.8,25.45,25.45,25.45,500.0
2001-07-19,25.45,25.8,25.75,25.8,5000.0
