Date,Open,High,Low,Close,Volume
2001-01-03,1.75,1.5,1.5,1.5,1000.0
2001-01-09,1.5,2.1,2.1,2.1,1000.0
2001-01-10,2.1,2.0,2.0,2.0,500.0
2001-01-12,2.0,1.5,1.35,1.35,3000.0
2001-01-15,1.35,1.9,1.45,1.9,2000.0
2001-01-18,1.9,1.6,1.6,1.6,2000.0
2001-01-23,1.6,1.7,1.7,1.7,1000.0
2001-03-01,1.7,1.75,1.6,1.75,2000.0
2001-03-13,1.75,1.0,1.0,1.0,500.0
2001-03-16,1.0,1.0,1.0,1.0,0.0
2001-03-19,1.0,1.0,1.0,1.0,1000.0
2001-03-21,1.0,1.75,1.75,1.75,500.0
2001-03-30,1.25,1.25,1.25,1.25,0.0
2001-05-09,1.25,1.25,1.25,1.25,1000.0
2001-05-16,1.25,1.25,1.25,1.25,0.0
2001-05-17,1.25,2.5,1.75,2.5,44500.0
2001-05-18,2.5,2.5,2.5,2.5,1000.0
2001-06-04,2.5,4.0,3.0,4.0,68500.0
2001-06-06,4.0,4.5,4.5,4.5,1000.0
2001-06-08,4.5,4.0,4.0,4.0,500.0
2001-06-20,4.0,3.0,3.0,3.0,1000.0
2001-06-22,3.0,3.0,3.0,3.0,500.0
2001-06-26,3.0,3.5,3.5,3.5,500.0
2001-06-28,3.5,3.5,3.5,3.5,500.0
2001-06-29,3.5,3.5,3.5,3.5,500.0
2001-07-12,3.5,3.25,3.25,3.25,500.0
2001-07-19,3.25,3.0,3.0,3.0,500.0
2001-07-20,3.0,3.0,3.0,3.0,500.0
2001-07-30,3.0,3.0,3.0,3.0,500.0
2001-08-15,3.0,3.0,3.0,3.0,2000.0
2001-08-16,3.0,3.0,3.0,3.0,500.0
2001-08-17,3.0,3.0,3.0,3.0,2000.0
2001-08-22,3.0,3.0,3.0,3.0,500.0
2001-08-23,3.0,3.0,3.0,3.0,500.0
2001-08-24,3.0,3.0,3.0,3.0,1500.0
2001-08-30,3.0,3.0,3.0,3.0,3500.0
2001-12-24,3.0,3.0,3.0,3.0,500.0
2001-12-28,3.0,3.0,3.0,3.0,4500.0
2002-01-18,3.0,2.5,2.5,2.5,500.0
2002-01-25,2.5,2.5,2.5,2.5,1500.0
2002-01-29,2.5,2.5,2.5,2.5,5000.0
2002-02-07,2.5,2.55,2.5,2.5,1000.0
2002-02-11,2.5,2.5,2.5,2.5,500.0
2002-02-14,2.5,2.5,2.5,2.5,1000.0
2002-02-19,2.5,2.65,2.6,2.6,1000.0
2002-03-18,2.6,2.5,2.5,2.5,1000.0
2002-03-26,2.5,2.5,2.5,2.5,4000.0
2002-03-27,2.5,2.5,2.5,2.5,2000.0
2002-04-09,2.5,2.5,2.5,2.5,1000.0
2002-04-10,2.5,2.7,2.7,2.7,0.0
2002-04-15,2.7,2.8,2.8,2.8,0.0
2002-04-16,2.8,2.95,2.95,2.95,0.0
2002-04-17,2.95,2.5,2.5,2.5,1000.0
2002-04-19,2.5,2.6,2.6,2.6,0.0
2002-04-22,2.6,2.65,2.65,2.65,0.0
2002-04-25,2.65,2.75,2.75,2.75,0.0
2002-04-26,2.75,2.55,2.5,2.55,500.0
2002-04-29,2.55,2.6,2.6,2.6,0.0
2002-05-03,2.6,2.7,2.5,2.5,28000.0
2002-05-06,2.5,3.0,3.0,3.0,5500.0
2002-05-07,3.0,3.0,3.0,3.0,3000.0
2002-05-14,3.0,3.65,3.5,3.65,3000.0
2002-05-15,3.65,3.95,3.75,3.75,7500.0
2002-05-16,3.75,4.4,3.65,3.65,6000.0
2002-05-17,3.65,3.65,3.65,3.65,10000.0
2002-05-28,3.65,3.5,3.5,3.5,0.0
2002-06-10,3.5,4.0,3.6,3.6,2500.0
2002-06-18,3.6,3.6,3.6,3.6,500.0
2002-06-21,3.6,3.6,3.6,3.6,2500.0
2002-06-26,3.6,4.25,3.1,3.1,4500.0
2002-06-27,3.1,3.0,3.0,3.0,0.0
2002-07-03,3.0,2.95,2.95,2.95,0.0
2002-07-08,2.95,2.9,2.9,2.9,0.0
2002-07-11,2.9,2.95,2.9,2.95,8000.0
2002-07-26,2.95,2.9,2.9,2.9,0.0
2002-08-05,2.9,2.9,2.9,2.9,500.0
2002-08-06,2.9,3.8,2.75,3.45,11000.0
2002-08-07,3.45,3.4,3.4,3.4,0.0
