Date,Open,High,Low,Close,Volume
2002-01-01,5.9,6.8,5.9,6.8,24000.0
2002-01-02,6.8,7.0,6.6,6.6,6000.0
2002-01-03,6.6,6.8,6.75,6.75,1500.0
2002-01-04,6.75,6.75,5.75,6.0,33000.0
2002-01-07,6.0,6.5,6.0,6.05,39000.0
2002-01-08,6.05,5.85,5.6,5.6,11000.0
2002-01-09,5.6,5.8,5.8,5.8,5000.0
2002-01-10,5.8,5.65,5.6,5.65,3000.0
2002-01-14,5.65,5.75,5.7,5.75,12500.0
2002-01-15,5.75,5.75,5.6,5.6,27000.0
2002-01-16,5.6,6.1,5.75,5.75,63000.0
2002-01-17,5.75,5.85,5.7,5.75,15500.0
2002-01-18,5.75,6.05,5.95,6.05,9000.0
2002-01-21,6.05,6.35,6.05,6.35,20500.0
2002-01-22,6.35,6.45,6.2,6.45,27000.0
2002-01-23,6.45,6.5,6.4,6.5,6500.0
2002-01-24,6.5,6.65,6.0,6.25,27500.0
2002-01-25,6.25,6.5,6.5,6.5,7000.0
2002-01-29,6.5,6.85,6.65,6.85,26000.0
2002-01-30,6.85,7.5,6.9,6.9,60000.0
2002-01-31,6.9,7.5,7.25,7.3,22000.0
2002-02-01,7.3,8.0,7.5,7.5,32500.0
2002-02-04,7.5,8.3,7.9,8.3,55500.0
2002-02-06,8.3,7.9,7.5,7.5,50500.0
2002-02-07,7.5,7.8,6.8,7.8,8000.0
2002-02-08,7.8,8.0,7.5,7.6,202000.0
2002-02-11,7.6,9.0,7.3,8.6,975500.0
2002-02-12,8.6,9.0,8.0,8.0,68000.0
2002-02-13,8.0,8.1,7.55,8.0,65000.0
2002-02-14,8.0,8.1,7.6,7.9,35000.0
2002-02-15,7.9,8.45,7.7,7.7,6000.0
2002-02-18,7.7,7.75,7.5,7.5,30500.0
2002-02-19,7.5,7.55,7.5,7.5,2500.0
2002-02-20,7.5,7.4,6.9,6.9,42000.0
2002-02-21,6.9,7.05,6.95,6.95,16000.0
2002-02-26,6.95,6.75,6.75,6.75,7000.0
2002-02-27,6.75,6.75,6.6,6.7,13500.0
2002-02-28,6.7,7.0,7.0,7.0,1500.0
2002-03-01,7.0,7.0,7.0,7.0,4000.0
2002-03-04,7.0,6.8,6.5,6.8,7000.0
2002-03-06,6.8,7.0,6.5,6.8,32500.0
2002-03-07,6.8,7.0,6.85,7.0,60500.0
2002-03-08,7.0,7.0,7.0,7.0,27500.0
2002-03-11,7.0,7.15,6.9,6.9,2000.0
2002-03-12,6.9,7.1,6.9,7.0,46500.0
2002-03-13,7.0,7.1,7.0,7.0,29500.0
2002-03-14,7.0,7.0,6.75,6.85,20500.0
2002-03-18,6.85,7.0,7.0,7.0,15000.0
2002-03-19,7.0,7.1,6.8,7.1,29500.0
2002-03-20,7.1,8.0,7.0,7.0,16000.0
2002-03-22,7.0,7.95,7.0,7.25,56000.0
2002-03-26,7.25,7.35,7.15,7.3,25500.0
2002-03-27,7.3,6.95,6.8,6.9,12000.0
2002-03-28,6.9,6.9,6.6,6.9,25500.0
2002-03-29,6.9,7.1,7.1,7.1,20000.0
2002-04-01,7.1,8.0,7.5,7.6,25500.0
2002-04-02,7.6,7.4,7.4,7.4,0.0
2002-04-03,7.4,7.25,7.25,7.25,1000.0
2002-04-04,7.25,8.0,7.35,7.45,26500.0
2002-04-05,7.45,7.9,7.25,7.3,35500.0
2002-04-08,7.3,7.5,7.3,7.5,28000.0
2002-04-09,7.5,7.75,7.45,7.75,39000.0
2002-04-10,7.75,7.9,7.5,7.5,19000.0
2002-04-11,7.5,7.8,7.5,7.8,55500.0
2002-04-12,7.8,8.5,7.9,8.3,197000.0
2002-04-15,8.3,8.95,8.3,8.3,60500.0
2002-04-17,7.95,8.15,7.5,7.5,103500.0
2002-04-18,7.5,7.8,7.5,7.5,8000.0
2002-04-19,7.5,7.65,7.5,7.6,7500.0
2002-04-22,7.6,7.75,7.4,7.4,28500.0
2002-04-23,7.4,7.4,7.3,7.3,4500.0
2002-04-24,7.3,7.6,7.25,7.55,67000.0
2002-04-25,7.55,7.55,7.0,7.1,48000.0
2002-04-26,7.1,7.15,7.1,7.1,9000.0
2002-04-29,7.1,7.35,7.0,7.0,32000.0
2002-04-30,7.0,7.15,7.15,7.15,500.0
2002-05-02,7.15,7.1,7.0,7.0,9000.0
2002-05-03,7.0,7.2,7.0,7.0,3000.0
2002-05-06,7.0,7.0,7.0,7.0,5000.0
2002-05-07,7.0,6.85,6.75,6.75,3500.0
2002-05-08,6.75,7.0,6.8,6.8,1000.0
2002-05-09,6.8,6.9,6.9,6.9,2000.0
2002-05-13,6.9,6.35,6.0,6.35,17500.0
2002-05-14,6.35,6.35,6.25,6.25,17500.0
2002-05-15,6.25,6.35,6.1,6.3,65500.0
2002-05-16,6.3,6.5,6.5,6.5,1000.0
2002-05-17,6.5,6.3,6.3,6.3,12000.0
2002-05-20,6.3,5.3,5.25,5.3,12000.0
2002-05-22,5.3,5.3,5.05,5.05,12500.0
2002-05-24,5.05,6.0,5.5,6.0,9500.0
2002-05-27,6.0,5.9,5.9,5.9,1000.0
2002-05-28,5.9,5.5,5.4,5.4,1500.0
2002-05-29,5.4,5.15,5.0,5.0,6000.0
2002-05-30,5.0,5.85,5.75,5.85,1000.0
2002-06-05,5.85,5.5,5.35,5.5,11000.0
2002-06-06,5.5,5.3,5.25,5.25,17000.0
2002-06-07,5.25,5.1,5.1,5.1,3000.0
2002-06-10,5.1,6.0,5.55,6.0,10000.0
2002-06-11,6.0,6.4,5.75,5.75,166500.0
2002-06-12,5.75,6.25,6.1,6.1,1000.0
2002-06-13,6.1,6.5,6.0,6.0,17000.0
2002-06-17,6.0,5.9,5.9,5.9,1000.0
2002-06-18,5.9,5.9,5.9,5.9,500.0
2002-06-19,5.9,5.9,5.7,5.7,5000.0
2002-06-20,5.7,6.25,5.75,6.0,95500.0
2002-06-21,6.0,6.2,6.05,6.2,1000.0
2002-06-24,6.2,6.15,5.85,5.85,14000.0
2002-06-26,5.85,6.3,6.0,6.0,2500.0
2002-06-28,6.0,6.25,6.0,6.0,1000.0
2002-07-01,6.0,6.15,6.05,6.15,3000.0
2002-07-02,6.15,6.25,6.25,6.25,7500.0
2002-07-03,6.25,6.4,6.25,6.25,1500.0
2002-07-04,6.25,6.25,6.2,6.2,11000.0
2002-07-05,6.2,6.55,6.45,6.55,1500.0
2002-07-08,6.55,6.6,6.6,6.6,500.0
2002-07-09,6.6,6.5,6.2,6.2,10500.0
2002-07-10,6.2,6.25,6.1,6.1,2500.0
2002-07-15,6.1,6.0,5.6,5.9,5000.0
2002-07-18,5.9,6.0,5.9,6.0,2000.0
2002-07-19,6.0,6.0,6.0,6.0,500.0
