Date,Open,High,Low,Close,Volume
2005-04-18,52.8,52.8,50.4,50.5,3356000.0
2005-04-19,50.5,51.5,48.0,48.0,3272500.0
2005-04-20,48.0,50.25,45.75,49.35,6014500.0
2005-04-21,49.35,50.7,48.1,48.75,2759500.0
2005-04-25,48.75,50.1,48.15,48.2,1867000.0
2005-04-26,48.2,49.5,47.5,49.05,1709000.0
2005-04-27,49.05,49.5,48.5,48.75,943500.0
2005-04-28,48.75,48.9,48.1,48.35,771500.0
2005-04-29,48.35,48.45,47.25,47.7,692500.0
2005-05-02,47.7,48.45,46.65,47.0,1182300.0
2005-05-03,47.0,47.6,46.25,47.5,1355800.0
2005-05-04,47.5,48.1,47.0,47.25,1060400.0
2005-05-05,47.25,49.0,47.15,48.9,2701500.0
2005-05-06,45.4,46.35,44.8,45.25,2361600.0
2005-05-09,45.25,46.8,44.1,45.8,7201500.0
2005-05-10,45.8,46.35,45.05,45.3,2504800.0
2005-05-11,45.3,45.7,44.9,45.05,2131900.0
2005-05-12,45.05,45.25,44.0,44.05,1990900.0
2005-05-13,44.05,44.35,42.9,42.95,1274900.0
2005-05-16,42.95,43.0,40.85,40.85,1548800.0
2005-05-17,40.85,40.5,39.1,40.0,3302600.0
2005-05-18,40.0,40.25,38.1,38.25,2314700.0
2005-05-19,38.25,39.6,37.25,39.5,3837000.0
2005-05-20,39.5,39.55,38.45,38.75,1359000.0
2005-05-23,38.75,38.05,36.85,36.85,2338100.0
2005-05-24,36.85,37.0,35.35,36.65,2766600.0
2005-05-25,36.65,37.85,36.4,36.65,2329300.0
2005-05-26,36.65,37.2,35.1,35.1,2018000.0
2005-05-27,35.1,36.4,34.7,35.4,2206400.0
2005-05-30,35.4,36.8,35.4,36.75,2520600.0
2005-05-31,36.75,36.7,36.0,36.35,1379900.0
2005-06-01,36.35,37.7,36.2,37.05,2743900.0
2005-06-02,37.05,38.9,37.55,38.9,4108800.0
2005-06-03,38.9,39.35,37.1,37.8,2233800.0
2005-06-06,37.8,37.25,35.95,36.9,1867700.0
2005-06-07,36.9,38.45,37.8,38.35,1702000.0
2005-06-08,38.35,38.4,37.15,37.2,1374400.0
2005-06-09,37.2,37.8,37.3,37.35,775800.0
2005-06-10,37.35,37.5,36.95,37.45,818900.0
2005-06-13,37.45,38.0,37.3,37.55,1432500.0
2005-06-14,37.55,37.75,37.0,37.0,619600.0
2005-06-15,37.0,38.75,37.2,38.6,5730400.0
2005-06-16,38.6,40.15,38.5,39.15,13158400.0
2005-06-17,39.15,39.6,38.2,38.5,4419000.0
2005-06-20,38.5,40.0,39.05,39.85,5668700.0
2005-06-21,39.85,40.15,39.1,39.7,3853000.0
2005-06-22,39.7,39.7,38.5,38.5,2093000.0
2005-06-23,38.5,38.5,37.45,38.2,1739700.0
2005-06-24,38.2,38.65,37.85,38.5,1354500.0
2005-06-27,38.5,38.7,37.75,37.8,673900.0
2005-06-28,37.8,38.35,37.55,38.0,1210500.0
2005-06-29,38.0,38.1,37.8,38.0,784800.0
2005-06-30,38.0,38.0,37.65,37.75,406100.0
2005-07-01,37.75,38.1,37.6,37.9,1221500.0
2005-07-04,37.9,38.25,37.65,38.05,2753000.0
2005-07-05,38.05,39.35,37.75,38.85,5339500.0
2005-07-06,38.85,39.55,38.6,39.2,5381000.0
2005-07-07,39.2,40.1,39.05,39.8,5417000.0
2005-07-08,39.8,40.85,39.4,40.05,6213000.0
2005-07-11,40.05,41.1,40.05,40.25,3969000.0
2005-07-12,40.25,40.45,39.5,39.6,1489000.0
2005-07-13,39.6,40.4,39.6,39.75,1047000.0
2005-07-14,39.75,40.2,39.65,39.75,931000.0
2005-07-15,39.75,40.0,39.5,39.85,1045000.0
2005-07-18,39.85,40.1,39.5,39.65,666000.0
2005-07-19,39.65,39.6,39.0,39.2,1040500.0
2005-07-20,39.2,39.65,39.0,39.6,926000.0
2005-07-21,39.6,39.95,39.25,39.5,1008500.0
2005-07-22,39.5,39.7,39.15,39.2,841500.0
2005-07-25,39.2,39.4,39.1,39.1,408000.0
