Date,Open,High,Low,Close,Volume
2001-01-04,4.5,4.45,4.45,4.45,1000.0
2001-01-05,4.45,4.55,4.5,4.5,4000.0
2001-01-08,4.5,4.5,4.5,4.5,500.0
2001-01-09,4.5,4.8,4.6,4.65,7000.0
2001-01-10,4.65,4.6,4.6,4.6,500.0
2001-01-11,4.6,4.65,4.15,4.65,2500.0
2001-01-12,4.65,4.6,4.5,4.6,2000.0
2001-01-22,4.6,4.5,4.5,4.5,3000.0
2001-01-23,4.5,4.5,4.5,4.5,7500.0
2001-01-26,4.5,4.35,4.35,4.35,1500.0
2001-01-29,4.35,4.5,4.5,4.5,500.0
2001-02-01,4.5,4.5,4.5,4.5,500.0
2001-02-06,4.5,4.4,4.4,4.4,500.0
2001-02-07,4.4,4.5,4.5,4.5,500.0
2001-02-08,4.5,4.45,4.45,4.45,500.0
2001-02-09,4.45,4.8,4.75,4.8,1000.0
2001-02-13,4.8,4.8,4.8,4.8,2500.0
2001-02-14,4.8,5.1,4.8,5.1,7000.0
2001-02-15,5.1,5.0,5.0,5.0,6000.0
2001-02-16,5.0,5.05,5.0,5.0,8000.0
2001-02-19,5.0,5.2,5.15,5.2,2000.0
2001-02-20,5.2,5.1,5.1,5.1,4000.0
2001-02-22,5.1,5.05,5.0,5.0,1500.0
2001-02-23,5.0,4.7,4.7,4.7,500.0
2001-02-27,4.7,5.0,4.8,5.0,2000.0
2001-03-01,5.0,4.95,4.95,4.95,5000.0
2001-03-02,4.95,5.05,5.0,5.05,1000.0
2001-03-09,5.05,5.05,5.05,5.05,2000.0
2001-03-12,5.05,5.2,5.0,5.2,2000.0
2001-03-13,5.2,5.0,4.85,4.85,1000.0
2001-03-15,4.85,5.1,5.0,5.0,10500.0
2001-03-19,5.0,4.95,4.95,4.95,500.0
2001-03-20,4.95,5.0,5.0,5.0,1000.0
2001-03-21,5.0,5.0,5.0,5.0,500.0
2001-03-22,5.0,5.1,4.85,4.85,4000.0
2001-03-26,4.85,5.0,5.0,5.0,500.0
2001-03-30,5.0,4.75,4.75,4.75,1000.0
2001-04-03,4.75,4.85,4.8,4.8,6000.0
2001-04-06,4.8,4.65,4.5,4.65,3000.0
2001-04-17,4.65,4.5,4.5,4.5,1000.0
2001-04-20,4.5,4.95,4.95,4.95,1000.0
2001-04-23,4.95,4.8,4.8,4.8,500.0
2001-04-24,4.8,4.8,4.8,4.8,500.0
2001-04-26,4.8,4.8,4.8,4.8,500.0
2001-05-02,4.8,5.15,5.15,5.15,500.0
2001-05-03,5.15,5.25,5.25,5.25,1000.0
2001-05-04,5.25,5.0,5.0,5.0,500.0
2001-05-08,5.0,5.0,5.0,5.0,500.0
2001-05-09,5.0,4.95,4.85,4.85,1000.0
2001-05-10,4.85,5.1,5.1,5.1,2000.0
2001-05-11,5.1,5.0,5.0,5.0,1000.0
2001-05-14,5.0,4.8,4.8,4.8,500.0
2001-05-21,4.8,5.25,5.0,5.25,4000.0
2001-05-22,5.25,5.2,5.0,5.2,7000.0
2001-05-23,5.2,5.1,5.1,5.1,1000.0
2001-05-24,5.1,5.1,5.1,5.1,1000.0
2001-05-25,5.1,5.0,5.0,5.0,2000.0
2001-05-29,5.0,5.2,5.15,5.15,2000.0
2001-05-30,5.15,5.3,5.25,5.3,2000.0
2001-05-31,5.3,5.35,5.25,5.25,4000.0
2001-06-01,5.25,5.2,5.2,5.2,2000.0
2001-06-04,5.2,5.25,5.25,5.25,500.0
2001-06-06,5.25,5.3,5.25,5.25,3000.0
2001-06-07,5.25,5.35,5.3,5.35,1500.0
2001-06-08,5.35,5.4,5.35,5.4,3000.0
2001-06-12,5.4,5.4,5.4,5.4,2000.0
2001-06-15,5.4,5.25,5.25,5.25,500.0
2001-06-18,5.25,5.3,5.25,5.25,2500.0
2001-06-19,5.25,5.3,5.25,5.25,8000.0
2001-06-20,5.25,5.25,5.25,5.25,500.0
2001-06-21,5.25,5.25,5.25,5.25,500.0
2001-06-22,5.25,5.25,5.25,5.25,4000.0
2001-07-04,5.25,5.4,5.4,5.4,1000.0
2001-07-06,5.4,5.3,5.25,5.25,3000.0
2001-07-12,5.25,5.25,5.25,5.25,2000.0
2001-07-17,5.25,5.25,5.25,5.25,1000.0
2001-07-20,5.25,5.5,5.5,5.5,1000.0
2001-07-23,5.5,5.5,5.5,5.5,5000.0
2001-07-25,5.5,5.5,5.5,5.5,1000.0
2001-07-26,5.5,5.5,5.5,5.5,2500.0
2001-07-27,5.5,5.45,5.45,5.45,1500.0
2001-07-31,5.45,5.4,5.25,5.25,1500.0
2001-08-01,5.25,5.2,5.2,5.2,1500.0
2001-08-07,5.2,5.3,5.3,5.3,1000.0
2001-08-15,5.3,5.5,5.3,5.5,2000.0
2001-08-16,5.5,5.4,5.4,5.4,500.0
2001-08-17,5.4,5.35,5.35,5.35,1000.0
2001-08-22,5.35,5.5,5.4,5.5,4000.0
2001-08-23,5.5,5.5,5.5,5.5,2000.0
2001-08-31,5.5,5.4,5.4,5.4,1000.0
2001-09-10,5.4,5.25,5.25,5.25,500.0
2001-09-11,5.25,5.3,5.3,5.3,500.0
2001-09-14,5.3,5.05,5.0,5.0,2500.0
2001-09-24,5.0,4.9,4.75,4.75,3000.0
2001-09-25,4.75,4.8,4.8,4.8,1000.0
2001-09-27,4.8,4.8,4.8,4.8,1000.0
2001-09-28,4.8,4.75,4.75,4.75,1000.0
2001-10-11,4.75,5.0,5.0,5.0,1000.0
2001-10-15,5.0,5.25,4.75,5.25,1500.0
2001-10-17,5.25,5.0,5.0,5.0,500.0
2001-10-25,5.0,5.2,5.2,5.2,1000.0
2001-10-30,5.2,5.0,5.0,5.0,500.0
2001-11-12,5.0,5.05,5.05,5.05,2000.0
2001-11-13,5.05,5.25,5.25,5.25,500.0
2001-11-15,5.25,5.4,5.05,5.15,13500.0
2001-11-16,5.15,5.15,5.15,5.15,7500.0
2001-11-20,5.15,5.05,5.05,5.05,1500.0
2001-11-21,5.05,5.1,5.05,5.05,4000.0
2001-11-26,5.05,5.25,5.25,5.25,500.0
2001-11-27,5.25,5.25,5.25,5.25,2500.0
2001-12-06,5.25,5.35,5.35,5.35,1000.0
2001-12-08,4.35,4.35,4.35,4.35,0.0
2001-12-12,4.35,4.35,4.35,4.35,0.0
2002-01-01,4.35,4.15,3.85,4.15,3000.0
2002-01-03,4.15,3.7,3.7,3.7,500.0
2002-01-08,3.7,3.85,3.85,3.85,500.0
2002-01-14,3.85,4.25,4.25,4.25,1000.0
2002-01-15,4.25,4.6,4.6,4.6,2000.0
2002-01-16,4.6,5.25,4.25,4.9,16500.0
2002-01-17,4.9,4.9,4.9,4.9,500.0
2002-01-21,4.9,4.3,4.3,4.3,500.0
2002-01-22,4.3,4.7,4.6,4.7,2000.0
2002-01-24,4.7,4.7,4.7,4.7,1000.0
2002-01-28,4.7,4.7,4.6,4.7,1000.0
2002-01-29,4.7,5.0,4.8,5.0,1500.0
2002-01-30,5.0,5.2,4.9,4.9,3500.0
2002-02-01,4.9,4.9,4.6,4.9,1500.0
2002-02-04,4.9,5.1,4.9,4.9,11000.0
2002-02-08,4.9,4.5,4.5,4.5,500.0
2002-02-12,4.5,4.5,4.5,4.5,500.0
2002-02-20,4.5,5.0,5.0,5.0,500.0
2002-02-21,5.0,4.6,4.6,4.6,1000.0
2002-03-01,4.6,4.5,4.5,4.5,1000.0
2002-03-04,4.5,4.6,4.5,4.6,3500.0
2002-03-06,4.6,4.3,4.3,4.3,1000.0
2002-03-07,4.3,4.5,4.5,4.5,6500.0
2002-03-08,4.5,4.6,4.6,4.6,3500.0
2002-03-12,4.6,4.35,4.35,4.35,1000.0
2002-03-13,4.35,4.35,4.35,4.35,500.0
2002-03-14,4.35,4.5,4.5,4.5,500.0
2002-03-18,4.5,4.5,4.3,4.5,6000.0
2002-03-20,4.5,4.5,4.5,4.5,1500.0
2002-03-21,4.5,4.65,4.65,4.65,500.0
2002-03-22,4.65,4.65,4.1,4.65,3500.0
2002-03-26,4.65,4.6,4.6,4.6,0.0
2002-03-27,4.6,4.25,4.15,4.25,11500.0
2002-03-28,4.25,4.4,4.4,4.4,2000.0
2002-04-01,4.4,4.4,4.4,4.4,2000.0
2002-04-02,4.4,4.5,4.45,4.5,4000.0
2002-04-05,4.5,4.5,4.5,4.5,1000.0
2002-04-08,4.5,4.6,4.5,4.6,3000.0
2002-04-09,4.6,4.6,4.6,4.6,2000.0
2002-04-10,4.6,4.65,4.6,4.65,6500.0
2002-04-11,4.65,4.6,4.6,4.6,500.0
2002-04-15,4.6,4.6,4.6,4.6,500.0
2002-04-16,4.6,4.75,4.75,4.75,500.0
2002-04-17,4.75,5.0,4.9,5.0,11500.0
2002-04-18,5.0,4.8,4.8,4.8,1000.0
2002-04-19,4.8,4.95,4.85,4.85,2500.0
2002-04-24,4.85,5.0,5.0,5.0,500.0
2002-05-06,5.0,4.85,4.8,4.85,500.0
2002-05-08,4.85,4.8,4.8,4.8,0.0
2002-05-09,4.8,4.9,4.9,4.9,2000.0
2002-05-10,4.9,4.8,4.8,4.8,5000.0
2002-05-14,4.8,4.8,4.8,4.8,5000.0
2002-05-15,4.8,4.8,4.8,4.8,500.0
2002-05-16,4.8,4.8,4.8,4.8,1000.0
2002-05-17,4.8,4.65,4.65,4.65,500.0
2002-05-21,4.65,4.55,4.55,4.55,2000.0
2002-05-22,4.55,4.55,4.3,4.3,1500.0
2002-05-27,4.3,4.5,4.3,4.5,2000.0
2002-05-31,4.5,4.5,4.5,4.5,500.0
2002-06-04,4.5,4.5,4.5,4.5,500.0
2002-06-05,4.5,4.35,4.35,4.35,1000.0
2002-06-06,4.35,4.4,4.4,4.4,500.0
2002-06-10,4.4,4.35,4.35,4.35,1000.0
2002-06-11,4.35,4.35,4.35,4.35,500.0
2002-06-13,4.35,4.4,4.4,4.4,0.0
2002-06-14,4.4,4.35,4.35,4.35,500.0
2002-06-24,4.35,4.5,4.5,4.5,0.0
2002-06-25,4.5,4.7,4.5,4.5,3500.0
2002-07-01,4.5,4.4,4.4,4.4,1000.0
2002-07-03,4.4,4.4,4.3,4.4,1500.0
2002-07-04,4.4,5.25,4.5,4.5,4000.0
2002-07-05,4.5,4.55,4.55,4.55,0.0
2002-07-09,4.55,4.5,4.5,4.5,1000.0
2002-07-10,4.5,4.6,4.6,4.6,500.0
2002-07-15,4.6,4.6,4.6,4.6,1500.0
2002-07-25,4.6,4.6,4.6,4.6,1000.0
2002-07-29,4.6,4.4,4.4,4.4,500.0
2002-07-30,4.4,4.5,4.5,4.5,500.0
2002-07-31,4.5,4.6,4.5,4.5,1500.0
2002-08-07,4.5,4.5,4.5,4.5,1500.0
2002-08-08,4.5,4.65,4.5,4.65,6500.0
2002-08-09,4.65,4.65,4.65,4.65,1000.0
2002-08-12,4.65,4.55,4.5,4.5,1500.0
