Date,Open,High,Low,Close,Volume
2001-09-27,0.05,7.5,3.95,3.95,1883100.0
2001-09-28,3.95,4.2,3.8,3.8,307300.0
2001-10-01,3.8,3.65,3.65,3.65,4100.0
2001-10-02,3.65,3.5,3.5,3.5,15300.0
2001-10-03,3.5,3.35,3.35,3.35,28100.0
2001-10-04,3.35,3.3,3.2,3.2,94100.0
2001-10-05,3.2,3.3,3.05,3.25,399200.0
2001-10-08,3.25,3.2,3.1,3.1,1400.0
2001-10-09,3.1,3.5,2.95,3.4,334500.0
2001-10-10,3.4,4.0,3.3,3.6,486100.0
2001-10-11,3.6,3.8,3.6,3.65,84600.0
2001-10-12,3.65,4.5,3.6,4.5,464300.0
2001-10-15,4.5,4.5,4.3,4.3,375100.0
2001-10-16,4.3,4.6,4.1,4.2,831000.0
2001-10-17,4.2,4.4,4.1,4.2,162100.0
2001-10-18,4.2,4.3,4.0,4.1,245500.0
2001-10-19,4.1,4.35,3.95,4.2,390200.0
2001-10-22,4.2,4.75,4.3,4.6,974300.0
2001-10-23,4.6,5.6,4.45,5.2,2212000.0
2001-10-24,5.2,5.45,5.15,5.3,1948800.0
2001-10-25,5.3,5.35,5.05,5.05,1469900.0
2001-10-26,5.05,4.9,4.8,4.8,1075400.0
2001-10-29,4.8,5.0,4.6,4.6,1007000.0
2001-10-30,4.6,4.7,4.4,4.5,539100.0
2001-10-31,4.5,4.5,4.3,4.3,364200.0
2001-11-01,4.3,4.25,4.1,4.1,248200.0
2001-11-02,4.1,4.05,3.9,3.95,150500.0
2001-11-05,3.95,4.0,3.8,3.8,110200.0
2001-11-06,3.8,3.7,3.65,3.65,56900.0
2001-11-07,3.65,3.6,3.5,3.5,291800.0
2001-11-08,3.5,3.7,3.45,3.7,209800.0
2001-11-12,3.7,3.95,3.55,3.6,243600.0
2001-11-13,3.6,3.55,3.45,3.5,105400.0
2001-11-14,3.5,3.65,3.5,3.5,218200.0
2001-11-15,3.5,3.85,3.55,3.65,304300.0
2001-11-16,3.65,4.1,3.65,4.0,1133300.0
2001-11-19,4.0,4.25,3.85,3.9,676000.0
2001-11-20,3.9,3.9,3.75,3.75,44500.0
2001-11-21,3.75,3.75,3.65,3.7,188500.0
2001-11-22,3.7,3.75,3.6,3.75,130600.0
2001-11-24,3.75,3.85,3.75,3.75,183300.0
2001-11-26,3.75,3.9,3.75,3.9,82900.0
2001-11-27,3.9,3.95,3.75,3.75,153700.0
2001-11-28,3.75,3.8,3.7,3.7,99500.0
2001-11-29,3.7,3.7,3.6,3.6,43200.0
2001-12-01,3.6,3.7,3.5,3.65,97600.0
2001-12-03,3.65,3.65,3.6,3.6,32600.0
2001-12-04,3.6,4.0,3.35,3.35,457300.0
2001-12-05,3.35,3.65,3.45,3.65,243800.0
2001-12-06,3.65,3.7,3.55,3.6,42200.0
2001-12-08,3.6,3.6,3.4,3.55,53200.0
2001-12-10,3.55,3.7,3.55,3.55,25200.0
2001-12-11,3.55,3.6,3.5,3.5,22500.0
2001-12-12,3.5,3.65,3.45,3.5,59600.0
2001-12-15,3.5,3.6,3.5,3.5,17700.0
2001-12-20,3.5,3.5,3.4,3.45,70200.0
2001-12-21,3.45,3.65,3.45,3.65,98700.0
2001-12-24,3.65,3.5,3.25,3.25,129600.0
2001-12-26,3.25,3.45,3.25,3.25,92800.0
2001-12-27,3.25,3.3,2.95,3.0,176700.0
2001-12-28,3.0,3.0,2.8,2.95,125600.0
2001-12-31,2.95,3.2,2.9,3.1,63700.0
2002-01-01,3.1,3.3,3.1,3.25,167300.0
2002-01-02,3.25,3.4,3.25,3.3,112300.0
2002-01-03,3.3,3.35,3.2,3.35,77700.0
2002-01-04,3.35,3.4,3.25,3.4,112100.0
2002-01-07,3.4,3.55,3.4,3.55,280700.0
2002-01-08,3.55,3.4,3.3,3.35,158700.0
2002-01-09,3.35,3.5,3.3,3.45,106300.0
2002-01-10,3.45,3.45,3.25,3.3,187100.0
2002-01-11,3.3,3.3,3.2,3.25,53000.0
2002-01-14,3.25,3.7,3.5,3.7,760600.0
2002-01-15,3.7,3.7,3.5,3.5,435400.0
2002-01-16,3.5,3.75,3.55,3.6,127500.0
2002-01-17,3.6,4.1,3.6,4.05,1790600.0
2002-01-18,4.05,4.65,4.0,4.55,1825300.0
2002-01-21,4.55,4.8,4.25,4.25,412100.0
2002-01-22,4.25,4.5,4.1,4.3,512100.0
2002-01-23,4.3,4.65,4.3,4.45,629600.0
2002-01-24,4.45,4.7,4.45,4.55,535800.0
2002-01-25,4.55,4.55,4.3,4.35,377800.0
2002-01-28,4.35,4.5,4.35,4.4,281900.0
2002-01-29,4.4,4.55,4.25,4.4,681900.0
2002-01-30,4.4,4.8,4.45,4.7,1248200.0
2002-01-31,4.7,5.25,4.6,5.0,2789000.0
2002-02-01,5.0,5.35,4.85,5.0,1593800.0
2002-02-04,5.0,5.6,5.0,5.05,6291500.0
2002-02-06,5.05,5.2,4.75,4.9,1973900.0
2002-02-07,4.9,5.1,4.75,5.1,2803800.0
2002-02-08,5.1,5.45,5.05,5.15,6902600.0
2002-02-11,5.15,5.2,4.6,4.75,2718900.0
2002-02-12,4.75,4.9,4.7,4.8,1489500.0
2002-02-13,4.8,4.85,4.1,4.4,670000.0
2002-02-14,4.4,4.55,4.2,4.55,624500.0
2002-02-15,4.55,4.8,4.35,4.35,552800.0
2002-02-18,4.35,4.35,4.1,4.2,272200.0
2002-02-19,4.2,4.35,4.1,4.35,214900.0
2002-02-20,4.35,4.4,4.2,4.35,110700.0
2002-02-21,4.35,4.55,4.25,4.5,524400.0
2002-02-26,4.5,4.7,4.45,4.5,464400.0
2002-02-27,4.5,4.5,4.35,4.35,149200.0
2002-02-28,4.35,4.5,3.7,4.35,730000.0
2002-03-01,4.35,4.55,4.25,4.25,913800.0
2002-03-04,4.25,4.7,4.4,4.45,731600.0
2002-03-05,4.45,4.6,4.45,4.6,480100.0
2002-03-06,4.6,5.1,4.6,5.1,3651000.0
2002-03-07,5.1,5.4,5.05,5.15,2694100.0
2002-03-08,5.15,5.35,5.0,5.25,2976500.0
2002-03-11,5.25,5.95,5.35,5.95,7010900.0
2002-03-12,5.95,6.75,5.8,6.75,19520700.0
2002-03-13,6.75,7.2,6.15,6.7,19247000.0
2002-03-14,6.7,7.55,6.9,7.45,16541000.0
2002-03-15,7.45,7.5,6.75,6.8,6350100.0
2002-03-18,6.8,7.05,6.45,6.55,4177700.0
2002-03-19,6.55,6.8,6.4,6.6,2823800.0
2002-03-20,6.6,7.1,6.6,6.75,8331300.0
2002-03-21,6.75,6.95,6.7,6.8,2101000.0
2002-03-22,6.8,7.15,6.85,6.95,5228800.0
2002-03-26,6.95,7.05,6.7,6.75,1151300.0
2002-03-27,6.75,6.85,6.35,6.8,4279500.0
2002-03-28,6.8,7.5,6.6,7.4,11870900.0
2002-03-29,7.4,8.05,7.45,7.7,15102900.0
2002-04-01,7.7,7.9,7.15,7.15,4841200.0
2002-04-02,7.15,7.5,7.15,7.2,3975400.0
2002-04-03,7.2,7.8,7.3,7.6,13266700.0
2002-04-04,7.6,7.75,7.1,7.3,5081200.0
2002-04-05,7.3,7.35,7.05,7.2,2546600.0
2002-04-08,7.2,7.45,7.15,7.15,3830600.0
2002-04-09,7.15,7.35,7.0,7.05,1877800.0
2002-04-10,7.05,7.2,6.6,6.75,2700200.0
2002-04-11,6.75,7.0,6.7,6.9,1463400.0
2002-04-12,6.9,7.35,6.85,7.25,5187700.0
2002-04-15,7.25,7.35,7.1,7.15,1196800.0
2002-04-16,7.15,7.3,6.95,7.0,2615400.0
2002-04-17,7.0,7.1,6.85,6.9,1452700.0
2002-04-18,6.9,6.95,6.65,6.75,1786300.0
2002-04-19,6.75,6.8,6.2,6.35,3086500.0
2002-04-22,6.35,6.4,6.0,6.15,1701200.0
2002-04-23,6.15,6.2,5.85,5.9,2557100.0
2002-04-24,5.9,5.9,5.7,5.85,1282300.0
2002-04-25,5.85,5.7,5.3,5.4,1418700.0
2002-04-26,5.4,5.85,5.3,5.8,2182500.0
2002-04-29,5.8,6.1,5.9,6.05,1678200.0
