Date,Open,High,Low,Close,Volume
2004-04-02,10.0,40.0,30.0,32.25,611500.0
2004-04-05,32.25,34.65,34.65,34.65,23500.0
2004-04-06,34.65,37.2,37.2,37.2,31500.0
2004-04-07,37.2,39.95,39.95,39.95,715000.0
2004-04-08,39.95,39.5,38.0,38.0,1480000.0
2004-04-09,38.0,37.7,36.1,37.2,816000.0
2004-04-12,37.2,38.0,36.0,38.0,575500.0
2004-04-13,38.0,40.85,37.55,40.1,1424000.0
2004-04-14,40.1,41.5,39.0,40.0,713000.0
2004-04-15,40.0,42.75,40.05,41.7,1625500.0
2004-04-16,41.7,42.65,40.25,40.25,534500.0
2004-04-19,40.25,41.1,39.55,40.6,892000.0
2004-04-20,40.6,41.0,39.55,39.9,775500.0
2004-04-21,39.9,41.25,38.0,38.6,812000.0
2004-04-22,38.6,39.0,37.4,38.8,392500.0
2004-04-23,38.8,40.1,38.4,39.0,1290000.0
2004-04-26,39.0,38.5,37.25,38.0,662500.0
2004-04-27,38.0,38.7,37.15,37.5,501000.0
2004-04-28,37.5,37.5,35.65,35.65,314000.0
2004-04-29,35.65,35.0,33.9,33.9,127000.0
2004-04-30,33.9,34.0,32.25,33.4,149500.0
2004-05-04,33.4,34.4,32.8,34.0,180000.0
2004-05-05,34.0,35.0,33.55,34.05,248000.0
2004-05-06,34.05,36.6,34.25,36.45,588500.0
2004-05-07,36.45,37.9,35.5,37.45,618000.0
2004-05-10,37.45,37.65,35.6,35.6,175000.0
2004-05-11,35.6,38.25,35.25,38.25,605000.0
2004-05-12,38.25,39.5,36.5,38.8,287000.0
2004-05-13,38.8,38.8,37.8,38.1,116500.0
2004-05-14,38.1,40.75,37.5,40.05,690500.0
2004-05-17,40.05,41.0,38.5,39.15,186500.0
2004-05-18,39.15,39.75,37.75,38.25,154500.0
2004-05-19,38.25,38.8,38.0,38.0,136500.0
2004-05-20,38.0,37.9,37.0,37.05,139000.0
2004-05-21,37.05,36.75,35.8,36.1,143500.0
2004-05-24,36.1,38.8,36.0,38.4,686000.0
2004-05-25,38.4,39.9,37.1,37.55,968000.0
2004-05-26,37.55,40.35,37.9,40.35,1623500.0
2004-05-27,40.35,42.0,39.0,39.0,989000.0
2004-05-28,39.0,40.25,38.3,38.7,234000.0
2004-05-31,38.7,39.25,37.95,38.75,140000.0
2004-06-01,38.75,38.45,37.5,37.8,162500.0
2004-06-02,37.8,38.75,37.5,37.95,132000.0
2004-06-03,37.95,38.25,36.1,36.2,285000.0
2004-06-04,36.2,36.5,35.25,36.4,43500.0
2004-06-07,36.4,37.85,36.45,36.75,99000.0
2004-06-08,36.75,37.4,36.4,36.7,70500.0
2004-06-09,36.7,38.45,36.75,37.0,259000.0
2004-06-10,37.0,37.15,36.0,36.15,286500.0
2004-06-11,36.15,36.8,35.9,36.15,276000.0
2004-06-14,36.15,35.95,34.35,34.8,86000.0
2004-06-15,34.8,36.0,34.95,35.6,105500.0
2004-06-16,35.6,36.3,35.5,35.9,69500.0
2004-06-17,35.9,38.2,36.0,37.8,583500.0
2004-06-18,37.8,37.8,36.05,37.0,312000.0
2004-06-21,37.0,37.95,35.5,36.0,218500.0
2004-06-22,36.0,36.75,35.5,36.1,216000.0
2004-06-23,36.1,36.9,35.8,36.9,84000.0
2004-06-24,36.9,39.0,37.0,38.1,382000.0
2004-06-25,38.1,38.75,37.5,37.5,69000.0
2004-06-28,37.5,39.05,38.0,38.75,330500.0
