Date,Open,High,Low,Close,Volume
2001-01-01,32.4,32.65,32.0,32.55,1062500.0
2001-01-02,32.55,35.0,32.75,33.4,8205500.0
2001-01-03,33.4,34.25,33.5,33.95,2274500.0
2001-01-04,33.95,35.4,33.95,34.45,9607000.0
2001-01-05,34.45,35.4,34.5,34.55,3456500.0
2001-01-08,34.55,35.35,34.0,34.05,2343500.0
2001-01-09,34.05,34.4,33.35,34.05,1993500.0
2001-01-10,34.05,34.25,33.15,33.8,2359000.0
2001-01-11,33.8,33.95,32.85,33.25,1979500.0
2001-01-12,33.25,33.35,32.25,32.25,1209500.0
2001-01-15,32.25,32.45,31.15,31.15,1191500.0
2001-01-16,31.15,31.55,30.3,31.5,3616500.0
2001-01-17,31.5,31.65,30.55,31.3,2152500.0
2001-01-18,31.3,32.15,30.85,31.1,4325000.0
2001-01-19,31.1,31.8,30.85,31.6,2382500.0
2001-01-22,31.6,32.5,31.8,32.2,3001500.0
2001-01-23,32.2,32.25,31.05,31.2,6538500.0
2001-01-24,31.2,31.55,31.0,31.25,1793000.0
2001-01-25,31.25,31.7,31.15,31.15,1993500.0
2001-01-26,31.15,31.45,30.1,30.3,2347000.0
2001-01-29,30.3,30.65,29.5,29.5,2164500.0
2001-01-30,29.5,30.0,29.1,30.0,3425500.0
2001-01-31,30.0,31.75,31.05,31.45,4366500.0
2001-02-01,31.45,31.7,30.3,30.4,2328000.0
2001-02-02,30.4,30.8,30.3,30.6,1213500.0
2001-02-06,30.6,31.15,30.55,30.6,1308500.0
2001-02-07,30.6,31.9,30.65,31.7,6271000.0
2001-02-08,31.7,32.5,31.85,32.15,5340500.0
2001-02-09,32.15,32.95,32.2,32.9,3795000.0
2001-02-12,32.9,33.55,32.8,32.9,3714000.0
2001-02-13,32.9,33.05,31.95,32.0,2335500.0
2001-02-14,32.0,32.6,31.6,32.25,2219000.0
2001-02-15,32.25,32.4,31.5,31.65,3014000.0
2001-02-16,31.65,31.6,30.95,31.45,4485000.0
2001-02-19,31.45,31.9,30.75,31.6,5099500.0
2001-02-20,31.6,32.1,30.85,30.9,5153500.0
2001-02-21,30.9,31.2,29.65,30.35,9347500.0
2001-02-22,30.35,30.6,29.8,29.85,3973000.0
2001-02-23,29.85,29.95,28.25,28.5,5000000.0
2001-02-26,28.5,28.5,27.6,28.15,3906000.0
2001-02-27,28.15,28.65,28.05,28.35,2859500.0
2001-02-28,28.35,28.85,28.25,28.35,3279000.0
2001-03-01,28.35,28.55,28.1,28.35,1210000.0
2001-03-02,28.35,28.55,28.15,28.3,1389000.0
2001-03-09,28.3,28.65,27.6,27.65,1676000.0
2001-03-12,27.65,27.75,27.1,27.2,2090500.0
2001-03-13,27.2,27.25,26.8,27.25,1340500.0
2001-03-14,27.25,27.45,27.1,27.1,892500.0
2001-03-15,27.1,27.25,26.2,26.25,2028500.0
2001-03-16,26.25,26.45,25.8,26.2,3493500.0
2001-03-19,26.2,26.35,26.05,26.15,818500.0
2001-03-20,26.15,26.15,25.9,26.05,568000.0
2001-03-21,26.05,26.25,25.75,25.75,933500.0
