Date,Open,High,Low,Close,Volume
2001-01-09,2.0,1.75,1.25,1.75,1000.0
2001-01-10,1.75,1.8,1.8,1.8,500.0
2001-01-25,1.8,1.75,1.75,1.75,2000.0
2001-02-16,1.75,1.5,1.5,1.5,2500.0
2001-03-01,1.5,1.25,1.25,1.25,2500.0
2001-03-02,1.25,1.3,1.25,1.25,1500.0
2001-03-12,1.25,1.5,0.8,0.8,1500.0
2001-03-14,0.8,1.5,1.5,1.5,500.0
2001-03-15,1.5,1.5,1.5,1.5,500.0
2001-03-19,1.5,1.7,1.5,1.5,5500.0
2001-03-21,1.5,1.4,1.4,1.4,500.0
2001-03-22,1.4,1.4,1.4,1.4,500.0
2001-04-02,1.4,1.25,1.25,1.25,2000.0
2001-04-03,1.25,1.45,1.45,1.45,500.0
2001-04-11,1.45,1.25,1.25,1.25,500.0
2001-04-27,1.25,1.5,1.5,1.5,1000.0
2001-05-04,1.5,1.4,1.4,1.4,500.0
2001-05-07,1.4,1.35,1.25,1.35,4000.0
2001-05-08,1.35,1.5,1.5,1.5,2000.0
2001-05-10,1.5,1.35,1.35,1.35,500.0
2001-05-11,1.35,1.35,1.3,1.3,1500.0
2001-05-17,1.3,1.4,1.4,1.4,4000.0
2001-05-21,1.4,1.25,1.25,1.25,500.0
2001-05-25,1.25,1.5,1.4,1.4,2000.0
2001-05-29,1.4,1.5,1.5,1.5,5000.0
2001-06-04,1.5,1.3,1.3,1.3,500.0
2001-06-11,1.3,1.05,1.05,1.05,500.0
2001-06-12,1.05,1.3,1.3,1.3,500.0
2001-06-19,1.3,1.35,1.3,1.3,1000.0
2001-06-22,1.3,1.25,1.25,1.25,500.0
2001-07-06,1.25,1.25,1.25,1.25,500.0
2001-07-10,1.25,1.3,1.3,1.3,2000.0
2001-07-26,1.3,1.45,1.45,1.45,1000.0
2001-07-31,1.45,1.25,1.25,1.25,500.0
2001-08-03,1.25,1.25,1.25,1.25,500.0
2001-09-06,1.25,1.25,1.25,1.25,500.0
2001-09-13,1.25,1.25,1.25,1.25,2000.0
2001-10-15,1.25,1.5,1.5,1.5,500.0
2001-10-16,1.5,1.5,1.5,1.5,500.0
2001-12-21,1.5,1.45,1.45,1.45,500.0
2002-01-01,1.45,1.45,1.4,1.4,1500.0
2002-01-02,1.4,1.5,1.5,1.5,1000.0
2002-01-03,1.5,1.6,1.5,1.5,1000.0
2002-01-04,1.5,1.5,1.5,1.5,1000.0
2002-01-07,1.5,1.5,1.5,1.5,3000.0
2002-01-08,1.5,1.55,1.5,1.5,3000.0
2002-01-09,1.5,1.4,1.4,1.4,1500.0
2002-01-10,1.4,1.45,1.4,1.4,2500.0
2002-01-22,1.4,1.5,1.5,1.5,500.0
2002-01-25,1.5,1.65,1.45,1.65,5000.0
2002-02-11,1.65,2.0,1.7,2.0,11500.0
2002-03-22,2.0,1.9,1.9,1.5,0.0
2002-03-29,1.5,1.1,1.1,1.1,500.0
2002-04-03,1.1,1.25,1.25,1.25,0.0
2002-04-16,1.25,1.3,1.3,1.3,0.0
2002-04-17,1.3,1.4,1.4,1.4,0.0
2002-04-22,1.4,1.25,1.25,1.25,500.0
2002-04-23,1.25,1.25,1.25,1.25,1000.0
2002-04-24,1.25,1.25,1.25,1.25,500.0
2002-04-25,1.25,1.5,1.5,1.5,1000.0
2002-04-26,1.5,1.25,1.25,1.25,1000.0
2002-04-30,1.25,1.3,1.3,1.3,0.0
2002-05-20,1.3,1.3,1.3,1.3,500.0
2002-05-24,1.3,1.0,1.0,1.0,500.0
2002-05-27,1.0,1.1,1.1,1.1,500.0
2002-05-29,1.1,1.15,1.15,1.15,0.0
2002-05-31,1.15,1.5,1.5,1.5,500.0
2002-06-11,1.5,1.95,1.3,1.3,1000.0
2002-06-12,1.3,1.35,1.35,1.35,0.0
2002-06-17,1.35,1.35,1.35,1.35,1000.0
2002-06-20,1.35,1.4,1.4,1.4,0.0
2002-06-21,1.4,1.8,1.8,1.8,500.0
2002-07-01,1.8,2.25,2.1,2.25,13000.0
2002-07-02,2.25,2.1,2.1,2.1,0.0
2002-07-03,2.1,2.5,2.1,2.5,20500.0
2002-07-04,2.5,1.8,1.8,1.8,1000.0
2002-07-10,1.8,1.85,1.85,1.85,500.0
2002-07-12,1.85,1.8,1.8,1.8,1500.0
2002-07-22,1.8,1.8,1.75,1.75,2000.0
2002-07-23,1.75,1.75,1.75,1.75,1000.0
2002-07-24,1.75,1.75,1.75,1.75,500.0
2002-07-25,1.75,1.85,1.85,1.85,1000.0
2002-07-26,1.85,1.95,1.95,1.95,4000.0
2002-07-29,1.95,1.95,1.75,1.95,6000.0
2002-07-31,1.95,1.65,1.65,1.65,1000.0
2002-08-01,1.65,1.75,1.75,1.75,0.0
2002-08-07,1.75,1.75,1.75,1.75,6000.0
2002-08-09,1.75,1.9,1.9,1.9,500.0
2002-08-21,1.9,1.9,1.8,1.9,5000.0
2002-08-22,1.9,1.9,1.9,1.9,500.0
2002-08-27,1.9,1.9,1.9,1.9,500.0
2002-09-17,1.9,1.9,1.6,1.9,11000.0
2002-09-24,1.9,1.8,1.6,1.8,4000.0
2002-09-25,1.8,1.95,1.95,1.95,1500.0
2002-09-30,1.95,2.1,1.6,1.85,11500.0
2002-10-02,1.85,1.85,1.8,1.85,1000.0
2002-10-04,1.85,2.0,2.0,2.0,500.0
2002-10-08,2.0,2.0,2.0,2.0,500.0
2002-10-09,2.0,2.0,2.0,2.0,1500.0
2002-10-14,2.0,2.0,2.0,2.0,1000.0
2002-10-15,2.0,2.0,1.9,2.0,1000.0
2002-10-16,2.0,2.5,2.25,2.5,20000.0
2002-10-17,2.5,2.1,2.1,2.1,1000.0
2002-10-22,2.1,2.2,2.2,2.2,500.0
2002-10-23,2.2,2.2,2.2,2.2,1000.0
2002-10-24,2.2,2.45,2.45,2.45,1000.0
2002-10-25,2.45,2.0,2.0,2.0,4000.0
2002-10-29,2.0,2.05,2.05,2.05,500.0
2002-10-31,2.05,2.5,2.5,2.5,0.0
2002-11-04,2.5,2.5,2.4,2.5,10500.0
2002-11-05,2.5,2.5,2.5,2.5,500.0
2002-11-06,2.5,3.0,2.75,3.0,8000.0
2002-11-11,3.0,2.9,2.9,2.9,0.0
2002-11-13,2.9,3.5,2.9,3.5,13000.0
2002-11-14,3.5,3.0,3.0,3.0,1000.0
2002-11-18,3.0,3.4,3.0,3.4,11000.0
2002-11-19,3.4,3.4,3.4,3.4,500.0
2002-11-21,3.4,3.0,3.0,3.0,5000.0
2002-11-25,3.0,3.0,3.0,3.0,2000.0
2002-11-26,3.0,3.25,3.0,3.25,5500.0
2002-11-29,3.25,3.25,3.2,3.25,10000.0
2002-12-04,3.25,3.0,3.0,3.0,500.0
2002-12-11,3.0,3.15,3.15,3.15,3000.0
2002-12-12,3.15,3.0,3.0,3.0,4500.0
2002-12-13,3.0,3.1,3.0,3.0,9000.0
2002-12-16,3.0,3.0,3.0,3.0,3000.0
2002-12-17,3.0,3.0,3.0,3.0,2000.0
2002-12-18,3.0,3.05,3.0,3.0,8500.0
2002-12-19,3.0,3.25,3.15,3.25,9500.0
2002-12-20,3.25,3.25,3.25,3.25,2000.0
2002-12-23,3.25,3.25,3.15,3.25,9000.0
2002-12-24,3.25,3.25,3.0,3.25,37000.0
2002-12-26,3.25,3.4,3.25,3.4,15000.0
2002-12-27,3.4,3.25,3.2,3.25,11000.0
2002-12-30,3.25,3.25,3.25,3.25,3000.0
2002-12-31,3.25,3.25,3.25,3.25,6000.0
2003-01-01,3.25,3.45,3.25,3.35,4500.0
2003-01-02,3.35,3.4,3.1,3.1,2500.0
2003-01-03,3.1,3.25,3.25,3.25,500.0
2003-01-06,3.25,3.25,3.25,3.25,6500.0
2003-01-08,3.25,3.55,3.25,3.55,8000.0
2003-01-09,3.55,3.5,3.25,3.25,5500.0
2003-01-10,3.25,3.6,3.5,3.6,9500.0
2003-01-13,3.6,3.7,3.5,3.7,8500.0
2003-01-15,3.7,3.25,3.25,3.25,3000.0
2003-01-16,3.25,3.4,3.4,3.4,500.0
2003-01-20,3.4,3.35,3.35,3.35,0.0
2003-01-21,3.35,3.25,3.25,3.25,5000.0
2003-01-23,3.25,3.25,3.25,3.25,5500.0
2003-01-24,3.25,3.25,3.25,3.25,1500.0
2003-01-28,3.25,3.25,3.25,3.25,11000.0
2003-01-30,3.25,3.0,3.0,3.0,2000.0
2003-02-04,3.0,3.0,3.0,3.0,1500.0
2003-02-18,3.0,3.15,3.15,3.15,2000.0
2003-02-19,3.15,2.6,2.5,2.6,3000.0
2003-02-25,2.6,2.7,2.7,2.7,0.0
2003-02-27,2.7,2.5,2.5,2.5,1000.0
2003-02-28,2.5,2.5,2.5,2.5,500.0
2003-03-06,2.5,2.5,2.5,2.5,1000.0
2003-03-10,2.5,2.75,2.75,2.75,500.0
2003-03-31,2.75,2.1,2.1,2.1,1000.0
2003-04-01,2.1,2.25,2.2,2.25,2000.0
2003-04-03,2.25,2.5,2.5,2.5,1000.0
2003-04-07,2.5,3.0,2.9,3.0,4000.0
2003-04-09,3.0,3.1,3.1,3.1,1500.0
2003-04-15,3.1,2.9,2.85,2.9,5000.0
2003-04-16,2.9,2.8,2.8,2.8,1000.0
2003-04-17,2.8,3.0,2.9,3.0,3500.0
2003-04-21,3.0,3.0,3.0,3.0,3500.0
2003-04-23,3.0,2.75,2.75,2.75,0.0
2003-04-24,2.75,2.9,2.9,2.9,0.0
2003-05-05,2.9,2.5,2.5,2.5,2000.0
2003-05-06,2.5,2.75,2.5,2.75,6000.0
2003-05-07,2.75,2.75,2.75,2.75,1500.0
2003-05-08,2.75,3.0,2.8,2.8,5500.0
2003-05-09,2.8,3.1,3.0,3.1,12500.0
2003-05-13,3.1,2.9,2.8,2.9,10500.0
2003-05-14,2.9,3.15,3.0,3.15,6000.0
2003-05-16,3.15,3.25,3.05,3.05,10500.0
2003-05-19,3.05,3.1,3.1,3.1,5500.0
2003-05-20,3.1,3.2,3.0,3.1,23000.0
2003-05-21,3.1,3.1,3.05,3.05,13500.0
2003-05-22,3.05,3.0,3.0,3.0,4000.0
2003-05-26,3.0,3.1,3.1,3.1,2500.0
2003-05-27,3.1,3.1,3.1,3.1,3000.0
2003-05-28,3.1,3.25,3.1,3.1,4000.0
2003-05-29,3.1,3.1,3.0,3.1,2500.0
2003-06-03,3.1,3.05,3.05,3.05,500.0
2003-06-04,3.05,3.1,3.1,3.1,4000.0
2003-06-05,3.1,3.25,3.1,3.25,3500.0
2003-06-09,3.25,3.25,3.2,3.25,5500.0
2003-06-10,3.25,3.45,3.35,3.45,10500.0
2003-06-11,3.45,3.7,3.1,3.4,15000.0
2003-06-12,3.4,3.5,3.2,3.5,10000.0
2003-06-13,3.5,3.5,3.5,3.5,500.0
2003-06-17,3.5,3.7,3.2,3.7,1500.0
2003-06-18,3.7,3.6,3.5,3.6,8000.0
2003-06-19,3.6,3.7,3.6,3.6,8500.0
2003-06-23,3.6,4.0,3.55,4.0,22000.0
2003-06-24,4.0,4.0,4.0,4.0,2500.0
2003-06-25,4.0,3.95,3.95,3.95,0.0
2003-06-26,3.95,4.0,3.9,4.0,16500.0
2003-06-27,4.0,3.85,3.85,3.85,1000.0
2003-06-30,3.85,3.65,3.65,3.65,500.0
2003-07-01,3.65,3.65,3.65,3.65,2500.0
2003-07-02,3.65,3.9,3.75,3.75,3500.0
2003-07-03,3.75,3.6,3.6,3.6,3000.0
2003-07-04,3.6,3.6,3.6,3.6,1000.0
2003-07-07,3.6,3.6,3.5,3.6,2000.0
2003-07-08,3.6,3.7,3.6,3.6,2000.0
