Date,Open,High,Low,Close,Volume
2001-01-01,5.3,5.35,5.05,5.15,40500.0
2001-01-02,5.15,5.7,5.35,5.4,291500.0
2001-01-03,5.4,5.6,5.3,5.5,135500.0
2001-01-04,5.5,5.65,5.3,5.3,103000.0
2001-01-05,5.3,5.3,5.1,5.15,58500.0
2001-01-08,5.15,5.4,5.1,5.1,27000.0
2001-01-09,5.1,5.2,4.9,5.0,23500.0
2001-01-10,5.0,5.1,4.85,5.0,36500.0
2001-01-11,5.0,5.0,4.9,5.0,49500.0
2001-01-12,5.0,5.0,4.6,4.7,71500.0
2001-01-15,4.7,5.0,4.8,4.8,25500.0
2001-01-16,4.8,4.9,4.75,4.85,42500.0
2001-01-17,4.85,4.95,4.85,4.95,30500.0
2001-01-18,4.95,5.0,4.85,4.9,58500.0
2001-01-19,4.9,4.85,4.7,4.75,114500.0
2001-01-22,4.75,4.95,4.8,4.85,5500.0
2001-01-23,4.85,4.9,4.75,4.85,6000.0
2001-01-24,4.85,4.9,4.75,4.8,15000.0
2001-01-25,4.8,4.8,4.7,4.7,7000.0
2001-01-26,4.7,4.75,4.55,4.55,11500.0
2001-01-29,4.55,4.7,4.65,4.65,5000.0
2001-01-30,4.65,4.8,4.6,4.7,10000.0
2001-01-31,4.7,4.75,4.7,4.75,7500.0
2001-02-01,4.75,5.0,4.7,4.8,26000.0
2001-02-02,4.8,4.8,4.5,4.5,12500.0
2001-02-06,4.5,4.9,4.6,4.65,86000.0
2001-02-07,4.65,4.75,4.65,4.65,4500.0
2001-02-08,4.65,4.75,4.5,4.55,28500.0
2001-02-09,4.55,4.6,4.35,4.4,24500.0
2001-02-12,4.4,4.7,4.45,4.45,14500.0
2001-02-13,4.45,4.6,4.5,4.55,28000.0
2001-02-14,4.55,4.6,4.45,4.45,13000.0
2001-02-15,4.45,4.65,4.35,4.35,34000.0
2001-02-16,4.35,4.65,4.3,4.3,64500.0
2001-02-19,4.3,4.5,4.3,4.35,12500.0
2001-02-20,4.35,4.4,4.3,4.3,16000.0
2001-02-21,4.3,4.35,4.15,4.15,9500.0
2001-02-22,4.15,4.2,4.0,4.1,97500.0
2001-02-23,4.1,4.0,3.9,3.9,54500.0
2001-02-26,3.9,4.2,4.0,4.1,33500.0
2001-02-27,4.1,4.2,4.0,4.0,39500.0
2001-02-28,4.0,4.2,4.05,4.05,83500.0
2001-03-01,4.05,5.45,4.05,4.25,91500.0
2001-03-02,4.25,4.45,4.2,4.35,28000.0
2001-03-09,4.35,5.0,4.25,4.25,43500.0
2001-03-12,4.25,4.25,4.1,4.2,28000.0
2001-03-13,4.2,4.4,4.0,4.0,89500.0
2001-03-14,4.0,4.25,4.0,4.0,33500.0
2001-03-15,4.0,4.05,4.0,4.0,9500.0
2001-03-16,4.0,4.1,4.0,4.0,17000.0
2001-03-19,4.0,4.0,3.95,4.0,47000.0
2001-03-20,4.0,4.0,3.95,3.95,37500.0
2001-03-21,3.95,4.0,3.9,3.9,20000.0
2001-03-22,3.9,3.9,3.7,3.75,35500.0
2001-03-26,3.75,3.8,3.75,3.75,26500.0
2001-03-27,3.75,3.8,3.75,3.8,11500.0
2001-03-28,3.8,3.9,3.85,3.9,2500.0
2001-03-29,3.9,4.0,3.6,3.75,22500.0
2001-03-30,3.75,3.75,3.6,3.65,45000.0
2001-04-02,3.65,3.95,3.85,3.9,33000.0
2001-04-03,3.9,3.95,3.85,3.95,21000.0
2001-04-06,3.95,4.7,3.9,4.0,172500.0
2001-04-09,4.0,4.25,4.05,4.1,58000.0
2001-04-10,4.1,4.05,3.9,4.0,24000.0
2001-04-11,4.0,3.95,3.7,3.7,168000.0
2001-04-12,3.7,3.8,3.65,3.8,119500.0
2001-04-13,3.8,3.8,3.75,3.75,25000.0
2001-04-16,3.75,4.0,3.8,4.0,118500.0
2001-04-17,4.0,4.5,3.95,4.0,94500.0
2001-04-18,4.0,4.2,3.95,4.15,244000.0
2001-04-19,4.15,4.25,4.0,4.1,60500.0
2001-04-20,4.1,4.4,4.0,4.1,81500.0
2001-04-23,4.1,4.35,4.1,4.3,117500.0
2001-04-24,4.3,4.5,4.15,4.4,77000.0
2001-04-25,4.4,4.45,4.2,4.35,115500.0
2001-04-26,4.35,4.35,4.2,4.3,83500.0
2001-04-27,4.3,4.45,4.25,4.45,337500.0
2001-04-30,4.45,4.35,4.2,4.35,81500.0
2001-05-02,4.35,4.55,4.3,4.55,218500.0
2001-05-03,4.55,4.65,4.35,4.5,234500.0
2001-05-04,4.5,4.4,4.3,4.4,29500.0
2001-05-07,4.4,4.65,4.35,4.65,158000.0
2001-05-08,4.65,4.7,4.5,4.5,106000.0
2001-05-09,4.5,4.65,4.4,4.4,73500.0
2001-05-10,4.4,4.5,4.4,4.45,25000.0
2001-05-11,4.45,4.55,4.35,4.55,95500.0
2001-05-14,4.55,4.65,4.4,4.5,69500.0
2001-05-15,4.5,4.7,4.45,4.6,100000.0
2001-05-16,4.6,4.7,4.55,4.65,37000.0
2001-05-17,4.65,4.9,4.55,4.75,97000.0
2001-05-18,4.75,4.95,4.6,4.75,113000.0
2001-05-21,4.75,4.8,4.7,4.75,60500.0
2001-05-22,4.75,4.8,4.6,4.65,46500.0
2001-05-23,4.65,4.65,4.45,4.5,150000.0
2001-05-24,4.5,4.55,4.4,4.5,75000.0
2001-05-25,4.5,4.55,4.35,4.45,250000.0
2001-05-28,4.45,4.5,4.4,4.5,48500.0
2001-05-29,4.5,4.55,4.45,4.45,188000.0
2001-05-30,4.45,4.6,4.45,4.45,86500.0
2001-05-31,4.45,4.7,4.45,4.7,97500.0
2001-06-01,4.7,5.0,4.5,4.5,155000.0
2001-06-04,4.5,5.1,4.65,5.05,369000.0
2001-06-06,5.05,5.15,4.75,4.8,240000.0
2001-06-07,4.8,5.0,4.85,4.85,314000.0
2001-06-08,4.85,4.9,4.75,4.8,260500.0
2001-06-11,4.8,5.0,4.85,4.95,231000.0
2001-06-12,4.95,5.0,4.8,4.9,255500.0
2001-06-13,4.9,5.0,4.85,4.95,223000.0
2001-06-14,4.95,5.0,4.8,4.85,230000.0
2001-06-15,4.85,5.0,4.75,4.95,624000.0
2001-06-18,4.95,5.2,5.0,5.0,307500.0
2001-06-19,5.0,5.0,4.6,4.65,152000.0
2001-06-20,4.65,4.8,4.55,4.55,92000.0
2001-06-21,4.55,4.75,4.35,4.5,44000.0
2001-06-22,4.5,4.5,4.35,4.35,34500.0
2001-06-25,4.35,4.4,4.3,4.4,16500.0
2001-06-26,4.4,4.35,4.2,4.3,6000.0
2001-06-27,4.3,4.45,4.3,4.45,36500.0
2001-06-28,4.45,4.55,4.35,4.55,28000.0
2001-06-29,4.55,4.75,4.45,4.45,81000.0
2001-07-03,4.45,4.4,4.3,4.3,13000.0
2001-07-04,4.3,4.35,4.3,4.3,9000.0
2001-07-05,4.3,4.3,4.0,4.0,54000.0
2001-07-06,4.0,4.0,3.7,3.8,81500.0
2001-07-09,3.8,3.95,3.95,3.95,18000.0
2001-07-10,3.95,3.95,3.85,3.85,11000.0
2001-07-11,3.85,3.9,3.85,3.9,6000.0
2001-07-12,3.9,3.95,3.95,3.95,10000.0
2001-07-13,3.95,3.95,3.85,3.95,23500.0
2001-07-16,3.95,4.0,3.9,4.0,16000.0
2001-07-17,4.0,3.9,3.9,3.9,1000.0
2001-07-18,3.9,3.8,3.4,3.75,17500.0
2001-07-19,3.75,3.8,3.8,3.8,6000.0
2001-07-20,3.8,3.7,3.55,3.65,94500.0
2001-07-23,3.65,3.75,3.7,3.7,4000.0
2001-07-24,3.7,3.8,3.65,3.8,11500.0
2001-07-27,3.8,3.7,3.5,3.55,65500.0
2001-07-30,3.55,3.75,3.6,3.7,9500.0
2001-07-31,3.7,3.6,3.55,3.55,19500.0
2001-08-01,3.55,3.7,3.7,3.7,2000.0
2001-08-02,3.7,3.7,3.6,3.7,1500.0
