Date,Open,High,Low,Close,Volume
2018-02-13,27.3,27.3,27.1,27.3,2493000.0
2018-02-14,27.94,28.49,26.85,27.03,6590500.0
2018-02-15,27.19,27.4,25.85,26.22,3267500.0
2018-02-16,26.45,26.85,26.17,26.65,1086000.0
2018-02-19,26.51,27.98,26.5,27.5,6801500.0
2018-02-20,27.7,27.7,26.4,27.41,2121500.0
2018-02-21,28.0,28.78,27.5,28.78,8106000.0
2018-02-22,28.7,29.72,28.51,29.09,6847500.0
2018-02-23,29.25,29.44,27.7,28.49,3436500.0
2018-02-26,29.05,29.2,27.72,27.95,2295000.0
2018-02-27,27.99,29.34,27.81,28.99,3881500.0
2018-02-28,29.99,30.3,29.45,29.63,4298500.0
2018-03-01,29.71,29.97,28.8,29.0,2475500.0
2018-03-02,29.2,30.33,29.1,30.06,3579500.0
2018-03-05,30.3,30.6,29.6,29.81,1544500.0
2018-03-06,29.89,30.45,29.81,30.22,2336500.0
2018-03-07,31.0,31.73,30.5,31.6,12791000.0
2018-03-08,31.99,32.2,30.8,31.5,6091500.0
2018-03-09,31.5,31.68,30.05,30.31,1603000.0
2018-03-12,30.64,31.2,30.5,30.58,942500.0
2018-03-13,30.52,31.84,30.4,31.66,1575500.0
2018-03-14,31.8,33.24,31.65,32.87,6873000.0
2018-03-15,33.31,34.51,33.25,34.51,4767500.0
2018-03-16,35.3,35.31,33.5,33.76,3191000.0
2018-03-19,34.1,35.44,33.95,35.44,2569000.0
2018-03-20,36.15,37.21,36.0,37.21,2750000.0
2018-03-21,38.5,39.07,38.26,39.07,3358500.0
2018-03-22,40.0,41.02,39.75,41.02,2887500.0
2018-03-26,42.48,43.07,40.9,41.55,4666500.0
2018-03-27,41.8,42.15,39.19,39.3,4132500.0
2018-03-28,39.39,41.26,38.36,41.21,5272000.0
2018-03-29,41.2,42.15,40.3,40.5,2620500.0
2018-03-30,40.3,40.74,39.26,39.45,1315500.0
2018-04-02,39.6,41.25,38.59,40.06,1911500.0
2018-04-03,40.2,40.8,38.85,39.01,1278000.0
2018-04-04,39.24,39.84,38.65,39.04,1578500.0
2018-04-05,39.49,39.5,38.35,38.58,799500.0
2018-04-06,39.05,39.6,38.56,38.84,2578000.0
2018-04-09,39.25,40.45,38.9,39.36,3143500.0
2018-04-10,39.8,40.0,38.85,39.52,2097000.0
2018-04-11,40.0,40.65,39.5,39.6,3393000.0
2018-04-12,39.8,40.75,39.02,39.61,3198500.0
2018-04-13,39.7,41.59,39.7,41.59,4550000.0
2018-04-16,42.5,43.66,41.85,42.41,6748500.0
2018-04-17,42.5,42.5,41.55,41.69,1606000.0
2018-04-18,41.97,42.7,41.74,42.15,2643000.0
2018-04-19,42.2,43.24,40.5,41.65,2970500.0
2018-04-20,41.88,41.94,41.0,41.59,888500.0
2018-04-23,41.52,43.16,41.02,42.82,2878000.0
2018-04-24,43.05,44.96,43.01,44.96,4539500.0
2018-04-25,45.51,46.45,44.0,45.19,4953500.0
2018-04-26,45.0,45.1,42.94,42.94,1936000.0
2018-04-27,40.8,42.25,40.8,41.17,10978500.0
2018-04-30,41.8,41.8,39.25,39.96,3228000.0
2018-05-02,40.3,41.49,39.62,40.37,2490000.0
2018-05-03,40.69,40.69,38.4,38.63,1069500.0
2018-05-04,38.89,39.0,37.31,37.7,1504000.0
2018-05-07,37.79,39.58,37.79,39.48,1684000.0
2018-05-08,40.1,40.3,37.52,38.02,2168000.0
2018-05-09,38.0,38.15,36.32,37.56,1537000.0
2018-05-10,37.56,38.8,37.56,38.03,1065500.0
2018-05-11,38.2,38.5,37.55,38.14,707500.0
2018-05-14,38.01,38.01,36.24,36.3,959000.0
2018-05-15,36.8,37.55,35.56,37.37,1602500.0
2018-05-16,37.6,38.5,37.59,37.87,1035500.0
2018-05-17,37.9,38.36,37.75,37.86,248500.0
2018-05-18,38.2,38.2,37.1,37.51,98500.0
2018-05-21,37.99,37.99,36.61,36.86,146000.0
2018-05-22,37.2,38.7,37.2,38.7,1554000.0
2018-05-23,39.45,40.63,39.1,40.63,4020500.0
2018-05-24,41.0,42.0,40.4,41.21,2614000.0
2018-05-25,41.0,41.09,40.0,40.4,595500.0
2018-05-28,40.0,41.8,39.6,40.22,1103000.0
2018-05-29,40.59,41.0,40.11,40.49,1667000.0
2018-05-30,40.35,40.5,39.6,39.85,1079000.0
2018-05-31,39.78,41.4,39.78,40.68,2025000.0
2018-06-01,40.6,40.9,40.0,40.47,270500.0
2018-06-04,40.6,41.85,40.38,40.82,1036500.0
2018-06-05,41.0,41.43,40.5,40.59,746500.0
2018-06-06,40.79,41.19,39.75,39.97,587000.0
2018-06-07,39.8,40.94,38.8,38.97,1933500.0
2018-06-11,40.0,40.91,39.25,39.44,1969500.0
2018-06-12,39.74,40.0,37.47,37.48,1769500.0
2018-06-13,38.19,38.4,37.2,37.76,438000.0
2018-06-14,37.9,38.5,37.9,38.13,970500.0
2018-06-19,38.44,39.0,38.37,38.54,389000.0
2018-06-20,38.4,39.26,38.01,38.31,675000.0
2018-06-21,38.0,38.75,37.35,37.98,619000.0
2018-06-22,38.0,38.3,36.31,36.53,456000.0
2018-06-25,36.5,37.15,34.71,34.81,683000.0
2018-06-26,35.4,35.65,34.6,34.89,989000.0
2018-06-27,35.39,36.63,35.14,36.6,928500.0
2018-06-28,36.4,37.7,36.31,36.98,783000.0
2018-06-29,37.3,38.68,37.01,37.58,1304500.0
2018-07-02,37.99,38.8,37.7,37.91,1740500.0
2018-07-03,38.0,38.74,36.8,37.05,1439500.0
2018-07-04,36.3,36.68,35.2,35.28,1128500.0
2018-07-05,35.5,36.0,34.9,35.14,492500.0
2018-07-06,35.69,35.71,34.5,35.21,237000.0
2018-07-09,35.7,36.09,33.51,33.86,503500.0
2018-07-10,33.01,35.55,32.56,35.23,616500.0
2018-07-11,35.23,36.4,34.6,34.94,850000.0
2018-07-12,34.2,35.25,34.1,34.97,157000.0
2018-07-13,35.39,35.9,34.7,34.99,224000.0
2018-07-16,34.91,35.75,34.5,34.68,718000.0
2018-07-17,34.5,36.2,34.25,35.96,540000.0
2018-07-18,36.3,37.75,36.0,37.75,2374000.0
2018-07-19,38.35,38.48,36.82,37.24,2807000.0
2018-07-20,37.02,37.05,35.65,35.76,503500.0
2018-07-23,35.55,35.66,34.8,35.03,366500.0
2018-07-24,35.49,36.71,35.49,36.58,580000.0
2018-07-26,37.5,37.5,36.5,36.75,903000.0
2018-07-27,37.1,37.44,36.5,36.61,739000.0
2018-07-30,37.1,37.9,36.5,37.08,1673500.0
2018-07-31,37.5,38.0,36.4,36.61,1439500.0
2018-08-01,36.75,37.25,36.28,36.56,754000.0
2018-08-02,36.61,37.5,36.43,36.58,1212500.0
2018-08-03,36.52,37.25,36.37,36.51,802000.0
2018-08-06,36.52,38.33,36.3,38.33,2832500.0
2018-08-07,38.89,39.2,37.32,37.48,1428500.0
2018-08-08,37.68,38.25,37.3,37.35,904000.0
2018-08-09,37.5,38.49,37.32,37.97,814500.0
2018-08-10,38.12,39.39,37.9,38.24,1387000.0
2018-08-13,39.0,40.15,38.9,40.15,1640000.0
2018-08-15,41.4,41.5,38.36,38.98,2604500.0
2018-08-16,38.8,39.7,38.06,39.14,893500.0
2018-08-17,39.4,40.58,39.35,39.68,1643500.0
2018-08-20,40.2,40.4,38.95,39.07,654000.0
2018-08-24,38.3,39.85,38.3,38.98,791500.0
2018-08-27,39.38,40.92,39.25,40.92,1649500.0
2018-08-28,41.6,41.99,39.55,39.74,1810000.0
2018-08-29,40.0,40.2,39.26,39.84,787000.0
2018-08-30,40.41,40.88,39.0,39.69,1146000.0
2018-08-31,39.5,40.2,38.62,39.0,865000.0
2018-09-03,38.9,38.9,37.22,37.63,860000.0
2018-09-04,37.63,39.51,37.5,39.51,1199500.0
2018-09-05,40.45,40.7,38.86,39.06,1155000.0
2018-09-06,38.3,39.4,37.11,37.11,1514500.0
2018-09-07,35.26,36.2,35.26,35.26,2462500.0
2018-09-10,34.6,34.95,33.5,34.1,2357000.0
2018-09-11,34.4,35.25,33.7,34.26,2500000.0
2018-09-12,34.3,34.7,32.55,32.55,3415000.0
2018-09-13,31.51,32.87,31.15,31.61,4536000.0
2018-09-14,31.76,32.17,31.19,31.7,1522500.0
2018-09-17,31.8,33.28,31.8,32.46,2795000.0
2018-09-18,32.25,33.2,31.4,32.73,3965000.0
2018-09-19,32.75,33.2,32.05,32.28,1267000.0
2018-09-24,32.25,32.25,31.12,31.4,504500.0
2018-09-25,30.3,31.6,30.3,30.95,646000.0
2018-09-26,29.51,30.85,29.51,30.44,634500.0
2018-09-27,30.24,30.63,29.0,29.79,591500.0
2018-09-28,29.79,30.89,29.79,30.18,682000.0
2018-10-01,30.0,30.65,29.6,30.33,316500.0
2018-10-02,30.17,30.69,29.9,30.08,239000.0
2018-10-03,29.91,31.06,29.8,30.63,1075000.0
2018-10-04,30.5,30.98,30.0,30.24,783000.0
2018-10-05,30.06,30.32,28.73,28.87,632000.0
2018-10-08,28.16,29.0,27.43,27.43,746500.0
2018-10-09,28.0,28.74,27.5,28.06,869000.0
2018-10-10,27.75,28.15,26.66,27.97,549500.0
2018-10-11,27.5,28.23,27.4,27.62,245000.0
2018-10-12,27.82,27.82,26.24,26.27,295000.0
2018-10-15,26.0,26.3,25.32,26.21,751500.0
2018-10-16,26.1,27.3,26.1,26.55,353000.0
2018-10-17,27.2,27.87,26.75,27.87,601000.0
2018-10-18,28.0,29.26,27.56,28.95,765500.0
2018-10-19,28.39,28.54,27.2,28.54,787000.0
2018-10-22,29.29,29.64,28.12,28.45,788500.0
2018-10-23,28.11,28.2,27.31,27.69,977000.0
2018-10-24,28.75,29.07,28.42,29.07,1055500.0
2018-10-25,29.51,30.49,28.99,29.38,1840000.0
2018-10-26,29.3,30.65,28.7,30.26,1690000.0
2018-10-29,31.2,31.35,28.75,28.96,4461500.0
2018-10-30,29.0,29.2,27.99,28.39,1113500.0
2018-10-31,28.21,28.59,27.42,27.7,884500.0
2018-11-01,27.63,29.08,27.63,29.02,3352000.0
2018-11-02,29.5,29.95,29.0,29.6,2172000.0
2018-11-05,29.49,29.49,28.9,29.02,994000.0
2018-11-06,28.72,29.24,27.95,28.19,598500.0
2018-11-07,28.99,29.59,28.99,29.59,1435500.0
2018-11-08,30.25,31.06,30.25,30.57,2328000.0
2018-11-09,30.98,30.98,30.12,30.33,733500.0
