Date,Open,High,Low,Close,Volume
2002-03-28,9.6,9.6,9.6,9.6,0.0
2002-03-29,9.6,9.65,9.65,9.65,0.0
2002-04-01,9.65,9.8,9.8,9.8,0.0
2002-04-02,9.8,9.85,9.85,9.85,0.0
2002-04-03,9.85,10.5,9.8,10.5,3000.0
2002-04-12,10.5,10.75,10.75,10.75,0.0
2002-04-17,10.75,11.2,11.2,11.2,1000.0
2002-04-19,11.2,11.2,11.2,11.2,2000.0
2002-04-22,11.2,11.25,11.25,11.25,0.0
2002-04-23,11.25,11.25,11.25,11.25,500.0
2002-04-25,11.25,11.25,11.25,11.25,4000.0
2002-04-26,11.25,11.25,11.25,11.25,500.0
2002-04-29,11.25,11.55,11.4,11.55,9000.0
2002-04-30,11.55,11.75,11.75,11.75,10000.0
2002-05-02,11.75,11.6,11.6,11.6,0.0
2002-05-03,11.6,11.55,11.45,11.55,6000.0
2002-05-06,11.55,11.6,11.35,11.6,7500.0
2002-05-07,11.6,11.9,11.55,11.55,19000.0
2002-05-08,11.55,11.55,11.55,11.55,2000.0
2002-05-09,11.55,11.55,11.55,11.55,13000.0
2002-05-13,11.55,11.3,11.3,11.3,500.0
2002-05-15,11.3,11.55,11.35,11.4,3500.0
2002-05-16,11.4,11.4,11.4,11.4,500.0
2002-05-17,11.4,11.4,11.05,11.4,6000.0
2002-06-12,11.4,11.6,11.55,11.6,4000.0
2002-06-14,11.6,11.6,11.4,11.6,5000.0
2002-06-17,11.6,11.55,11.55,11.55,2000.0
2002-07-08,11.13,11.13,11.13,11.13,0.0
2002-07-11,11.13,11.5,11.5,11.5,500.0
2002-07-23,11.5,11.0,11.0,11.0,0.0
2002-07-26,11.0,10.5,10.5,10.5,2500.0
2002-08-01,10.5,10.75,10.75,10.75,0.0
2002-08-09,10.75,11.5,11.5,11.5,1000.0
2002-08-12,11.5,11.0,11.0,11.0,1000.0
2002-08-19,11.0,10.5,10.5,10.5,2000.0
2002-08-20,10.5,10.6,10.5,10.6,500.0
2002-09-02,10.6,11.2,11.15,11.2,4000.0
2002-09-03,11.2,11.2,11.2,11.2,2000.0
2002-09-06,11.2,11.15,11.15,11.15,0.0
2002-09-12,11.15,10.5,10.5,10.5,7500.0
2002-09-18,10.5,10.55,10.55,10.55,0.0
2002-09-19,10.55,11.15,11.15,11.15,2000.0
2002-09-20,11.15,10.15,10.15,10.15,500.0
2002-09-23,10.15,10.35,10.35,10.35,0.0
2002-09-24,10.35,10.65,10.65,10.65,0.0
2002-09-25,10.65,11.15,11.15,11.15,500.0
2002-09-26,11.15,11.15,11.15,11.15,2000.0
2002-09-27,11.15,11.2,11.2,11.2,2000.0
2002-09-30,11.2,11.25,11.25,11.25,1000.0
2002-10-01,11.25,11.0,11.0,11.0,0.0
2002-10-07,11.0,10.15,10.15,10.15,1500.0
2002-10-08,10.15,10.2,10.2,10.2,1000.0
2002-10-09,10.2,10.3,10.25,10.3,1500.0
2002-10-15,10.3,10.35,10.35,10.35,1500.0
2002-10-16,10.35,10.15,10.15,10.15,1500.0
2002-10-17,10.15,10.25,10.15,10.25,2000.0
2002-10-18,10.25,10.3,10.25,10.3,2000.0
2002-10-21,10.3,10.45,10.35,10.45,1500.0
2002-10-23,10.45,10.3,10.3,10.3,500.0
2002-10-24,10.3,10.25,10.25,10.25,0.0
2002-10-25,10.25,10.25,10.25,10.25,1000.0
2002-10-28,10.25,10.35,10.25,10.35,1500.0
2002-10-30,10.35,10.5,10.4,10.5,2000.0
2002-10-31,10.5,11.15,11.0,11.0,5500.0
2002-11-01,11.0,10.75,10.5,10.5,3500.0
2002-11-04,10.5,10.55,10.55,10.55,0.0
2002-11-05,10.55,11.0,10.5,10.5,8500.0
2002-11-11,10.5,10.75,10.75,10.75,1000.0
2002-11-14,10.75,10.75,10.75,10.75,500.0
2002-11-15,10.75,10.75,10.75,10.75,449500.0
2002-11-18,10.75,11.3,10.9,11.3,11500.0
2002-11-19,11.3,11.4,11.2,11.4,12000.0
2002-11-20,11.4,11.6,11.2,11.6,31000.0
2002-11-21,11.6,11.5,11.3,11.35,16000.0
2002-11-22,11.35,11.4,11.3,11.4,10000.0
2002-11-25,11.4,11.4,11.3,11.4,10000.0
2002-11-26,11.4,11.3,11.3,11.3,5000.0
2002-11-27,11.3,11.3,11.3,11.3,5000.0
2002-11-29,11.3,11.3,11.3,11.3,5500.0
2002-12-02,11.3,11.3,11.3,11.3,5000.0
2002-12-04,11.3,11.4,11.4,11.4,5000.0
2002-12-09,11.4,11.4,11.4,11.4,2000.0
2002-12-10,11.4,12.0,11.4,12.0,47000.0
2002-12-11,12.0,11.55,11.5,11.55,16000.0
2002-12-12,11.55,11.75,11.4,11.75,24500.0
2002-12-13,11.75,11.5,11.5,11.5,500.0
2002-12-16,11.5,11.6,11.55,11.6,10000.0
2002-12-17,11.6,11.6,11.5,11.6,4500.0
2002-12-18,11.6,11.75,11.6,11.6,2500.0
2002-12-19,11.6,11.9,11.7,11.9,56500.0
2002-12-20,11.9,11.75,11.75,11.75,1000.0
2002-12-23,11.75,11.95,11.9,11.9,4000.0
2002-12-24,11.9,11.95,11.75,11.75,3000.0
2002-12-26,11.75,11.7,11.5,11.5,20000.0
2002-12-27,11.5,12.25,11.25,12.25,50500.0
2002-12-30,12.25,11.5,11.3,11.5,8000.0
2002-12-31,11.5,12.0,11.5,12.0,16500.0
2003-01-01,12.0,11.6,11.5,11.55,11500.0
2003-01-02,11.55,11.9,11.5,11.8,16500.0
2003-01-03,11.8,11.85,11.7,11.85,6500.0
2003-01-06,11.85,11.85,11.6,11.85,11500.0
2003-01-07,11.85,11.6,11.6,11.6,5000.0
2003-01-08,11.6,11.3,11.2,11.3,3000.0
2003-01-09,11.3,11.8,11.6,11.8,10500.0
2003-01-10,11.8,11.8,11.6,11.8,10000.0
2003-01-13,11.8,11.75,11.7,11.75,5000.0
2003-01-14,11.75,11.9,11.7,11.9,11500.0
2003-01-15,11.9,12.1,11.7,12.1,14000.0
2003-01-16,12.1,12.1,11.9,12.1,13000.0
2003-01-17,12.1,11.9,11.9,11.9,8500.0
2003-01-20,11.9,12.0,11.7,12.0,25000.0
2003-01-21,12.0,11.75,11.75,11.75,5000.0
2003-01-23,11.75,11.1,11.1,11.1,500.0
2003-01-24,11.1,11.05,10.75,10.75,10500.0
2003-01-27,10.75,11.25,11.25,11.25,1500.0
2003-01-28,11.25,11.5,11.0,11.0,15000.0
2003-01-29,11.0,11.5,11.2,11.5,16000.0
2003-01-30,11.5,11.7,11.3,11.7,13500.0
2003-01-31,11.7,11.6,11.6,11.6,2500.0
2003-02-03,11.6,11.0,10.75,11.0,2500.0
2003-02-04,11.0,11.25,11.25,11.25,1500.0
2003-02-06,11.25,11.15,11.15,11.15,0.0
2003-02-17,11.15,11.3,11.3,11.3,3000.0
2003-02-18,11.3,11.8,11.4,11.8,9500.0
2003-02-19,11.8,11.7,11.7,11.7,0.0
2003-02-21,11.7,11.9,11.7,11.9,3000.0
2003-02-24,11.9,11.5,11.5,11.5,5000.0
2003-02-25,11.5,11.7,11.5,11.7,6000.0
2003-02-26,11.7,11.7,11.5,11.5,5000.0
2003-02-27,11.5,11.5,11.5,11.5,1000.0
2003-02-28,11.5,12.5,11.8,12.5,37000.0
2003-03-03,12.5,13.55,11.75,13.5,108500.0
2003-03-04,13.5,12.6,12.5,12.5,19000.0
