Date,Open,High,Low,Close,Volume
2001-01-15,13.25,13.0,13.0,13.0,1000.0
2001-01-24,13.0,13.0,13.0,13.0,500.0
2001-02-08,13.0,13.25,13.0,13.25,1000.0
2001-02-12,13.25,13.25,13.0,13.25,1000.0
2001-02-15,13.25,13.25,13.25,13.25,4500.0
2001-02-16,13.25,13.25,13.25,13.25,500.0
2001-02-22,13.25,13.55,13.55,13.55,500.0
2001-03-09,13.55,14.0,13.5,14.0,2000.0
2001-03-12,14.0,14.0,14.0,14.0,500.0
2001-03-14,14.0,14.5,14.5,14.5,1000.0
2001-03-22,13.5,13.5,13.5,13.5,0.0
2001-04-25,13.5,13.5,13.5,13.5,2500.0
2001-04-26,13.5,13.5,13.5,13.5,1000.0
2001-05-09,13.5,13.5,13.5,13.5,500.0
2001-05-14,13.5,13.5,13.5,13.5,500.0
2001-05-22,13.5,13.5,13.5,13.5,40000.0
2001-05-29,13.5,13.75,13.75,13.75,1500.0
2001-06-07,13.75,13.75,13.5,13.5,9000.0
2001-06-25,13.5,14.0,14.0,14.0,1000.0
2001-07-20,14.0,15.0,15.0,15.0,1000.0
2001-07-24,15.0,15.0,15.0,15.0,500.0
2001-08-09,15.0,15.0,15.0,15.0,500.0
2001-09-07,15.0,15.5,15.5,15.5,500.0
2001-09-14,15.5,14.5,14.0,14.5,1000.0
2001-11-28,14.5,15.3,15.3,15.3,500.0
2001-12-26,15.3,16.0,16.0,16.0,2000.0
2002-01-18,16.0,17.5,17.5,17.5,500.0
2002-03-05,17.5,17.4,17.4,17.4,500.0
2002-03-06,17.4,17.5,17.5,17.5,1500.0
2002-03-08,17.5,17.5,17.5,17.5,2000.0
2002-03-13,17.5,17.5,17.5,17.5,500.0
2002-03-21,16.25,16.25,16.25,16.25,0.0
2002-04-26,16.25,16.1,16.1,16.1,0.0
2002-06-04,16.1,16.0,16.0,16.0,0.0
2002-06-06,16.0,15.5,15.5,15.5,0.0
2002-07-22,15.5,15.25,15.25,15.25,0.0
2002-07-25,15.25,14.9,14.9,14.9,0.0
2002-10-16,14.9,14.8,14.8,14.8,0.0
2002-10-21,14.8,14.5,14.5,14.5,0.0
2002-10-24,14.5,14.0,14.0,14.0,0.0
2002-11-01,14.0,14.9,14.9,14.9,1000.0
2002-11-05,14.9,13.9,13.9,13.9,1000.0
2002-11-13,13.9,12.9,12.9,12.9,500.0
2002-11-15,12.9,12.0,12.0,12.0,1000.0
2002-12-11,12.0,11.0,11.0,11.0,0.0
2002-12-12,11.0,10.5,10.5,10.5,0.0
2002-12-16,10.5,9.5,9.5,9.5,2000.0
2002-12-18,9.5,9.9,9.9,9.9,0.0
2002-12-20,9.9,10.5,10.5,10.5,500.0
2002-12-23,10.5,11.95,11.95,11.95,1000.0
2002-12-26,11.95,11.0,10.95,11.0,2000.0
2002-12-30,11.0,11.4,11.4,11.4,500.0
2003-01-08,11.4,11.25,11.25,11.25,0.0
2003-01-30,11.25,10.25,10.25,10.25,500.0
2003-03-05,10.25,9.3,9.3,9.3,500.0
2003-03-07,9.3,9.25,9.25,9.25,1000.0
2003-03-19,9.25,9.25,9.25,9.25,500.0
2003-03-24,9.25,9.25,9.25,9.25,500.0
2003-04-21,9.25,9.25,9.25,9.25,5000.0
2003-04-24,9.25,9.0,9.0,9.0,5000.0
2003-05-19,9.0,10.5,10.5,10.5,20500.0
2003-05-28,10.5,10.5,10.5,10.5,151000.0
2003-05-29,10.5,12.0,12.0,12.0,0.0
2003-05-30,12.0,13.5,13.5,13.5,500.0
2003-06-02,13.5,15.0,15.0,15.0,28000.0
2003-06-03,15.0,16.5,16.5,16.5,0.0
2003-06-04,16.5,18.0,18.0,18.0,0.0
2003-06-05,18.0,19.5,19.5,19.5,0.0
2003-06-06,19.5,21.0,21.0,21.0,0.0
2003-06-09,21.0,22.55,21.5,21.65,36500.0
2003-06-10,21.65,23.25,21.0,22.0,7000.0
2003-06-11,22.0,23.65,21.85,21.9,8500.0
2003-06-12,21.9,20.9,20.9,20.9,0.0
2003-06-20,20.9,20.5,20.5,20.5,0.0
2003-06-23,20.5,19.5,19.5,19.5,0.0
2003-06-24,19.5,19.85,18.5,18.5,5000.0
2003-06-25,18.5,18.0,17.5,17.5,1000.0
2003-06-26,17.5,17.5,16.5,16.5,5500.0
2003-06-27,16.5,15.5,15.5,15.5,1500.0
2003-06-30,15.5,14.5,14.5,14.5,1000.0
2003-07-01,14.5,16.0,14.25,14.65,3500.0
2003-07-02,14.65,15.25,15.25,15.25,26500.0
2003-07-04,15.25,16.0,15.95,15.95,2500.0
2003-07-07,15.95,16.0,16.0,16.0,1000.0
2003-07-10,16.0,15.25,15.25,15.25,1000.0
2003-07-11,15.25,15.25,15.0,15.0,3500.0
2003-07-14,15.0,14.05,14.0,14.0,2000.0
2003-07-15,14.0,13.5,13.0,13.0,3000.0
2003-07-16,13.0,14.5,12.0,12.0,6000.0
2003-07-17,12.0,13.5,13.5,13.5,500.0
2003-07-21,13.5,15.0,15.0,15.0,500.0
2003-07-22,15.0,16.5,16.0,16.0,500.0
2003-07-23,16.0,15.5,15.0,15.0,2000.0
2003-07-28,15.0,15.0,15.0,15.0,1000.0
2003-07-30,15.0,16.5,15.9,15.9,500.0
2003-07-31,15.9,17.4,15.25,15.25,2000.0
