Date,Open,High,Low,Close,Volume
2001-01-03,23.0,23.0,23.0,23.0,0.0
2001-06-25,23.0,26.5,23.0,23.0,1000.0
2001-08-16,23.0,22.25,22.25,22.25,500.0
2001-08-22,22.25,20.0,20.0,20.0,500.0
2001-10-10,20.0,20.0,20.0,20.0,500.0
2001-10-26,20.0,19.0,19.0,19.0,500.0
2001-11-07,19.0,19.0,19.0,19.0,0.0
2001-11-16,17.0,17.0,17.0,17.0,0.0
2002-01-03,17.0,17.0,17.0,17.0,0.0
2002-01-22,17.0,17.0,17.0,17.0,1000.0
2002-01-24,17.0,17.95,17.95,17.95,500.0
2002-02-07,17.95,18.0,18.0,18.0,500.0
2002-02-14,18.0,19.0,19.0,19.0,500.0
2002-03-11,19.0,19.0,19.0,19.0,500.0
2002-03-22,19.0,18.0,18.0,18.0,0.0
2002-04-04,18.0,18.0,18.0,18.0,500.0
2002-04-11,18.0,18.0,18.0,18.0,1000.0
2002-04-19,18.0,18.05,18.05,18.05,0.0
2002-04-22,18.05,18.55,18.55,18.55,0.0
2002-04-23,18.55,18.55,18.55,18.55,5000.0
2002-04-24,18.55,18.55,18.55,18.55,2500.0
2002-05-02,18.55,19.0,18.95,19.0,50500.0
2002-05-03,19.0,20.5,20.5,20.5,22000.0
2002-05-06,20.5,22.0,20.25,20.25,21000.0
2002-05-07,20.25,21.75,21.25,21.25,8000.0
2002-05-08,21.25,20.05,19.7,19.7,2500.0
2002-05-13,19.7,21.2,21.2,21.2,500.0
2002-05-14,21.2,22.5,22.0,22.5,2500.0
2002-05-15,22.5,22.4,22.0,22.0,4000.0
2002-05-24,22.0,22.0,21.9,21.9,500.0
2002-05-27,21.9,21.4,21.4,21.4,0.0
2002-06-05,21.4,21.0,21.0,21.0,500.0
2002-06-25,21.0,20.9,20.9,20.9,0.0
2002-07-17,20.9,20.95,20.95,20.95,1000.0
2002-07-18,20.95,21.0,21.0,21.0,1000.0
2002-07-19,21.0,20.95,20.95,20.95,0.0
2002-07-22,20.95,20.55,20.55,20.55,0.0
2002-07-23,20.55,20.25,20.25,20.25,0.0
2002-07-29,20.25,20.5,20.1,20.1,1000.0
2002-07-30,20.1,20.5,20.5,20.5,500.0
2002-08-02,20.5,20.0,20.0,20.0,0.0
2002-08-20,20.0,20.0,19.75,19.75,1000.0
2002-08-21,19.75,21.25,20.25,20.6,62000.0
2002-08-22,20.6,22.1,20.6,21.3,44500.0
2002-08-23,21.3,22.7,21.5,22.7,33500.0
2002-08-26,22.7,24.1,22.75,23.9,63500.0
2002-08-27,23.9,23.85,23.5,23.5,7000.0
2002-08-28,23.5,23.5,23.0,23.1,10500.0
2002-08-29,23.1,23.0,22.9,22.9,5500.0
2002-08-30,22.9,23.0,23.0,23.0,4000.0
2002-09-02,23.0,23.5,23.25,23.25,1000.0
2002-09-03,23.25,23.0,23.0,23.0,500.0
2002-09-04,23.0,23.0,22.8,23.0,3500.0
2002-09-05,23.0,22.8,22.8,22.8,2500.0
2002-09-06,22.8,23.0,22.9,23.0,5000.0
2002-09-09,23.0,23.45,23.0,23.45,4000.0
2002-09-10,23.45,23.25,23.25,23.25,1500.0
2002-09-11,23.25,23.4,23.2,23.4,1500.0
2002-09-13,23.4,23.5,23.5,23.5,0.0
2002-09-16,23.5,23.9,23.9,23.9,1000.0
2002-09-17,23.9,24.0,24.0,24.0,1000.0
2002-09-18,24.0,24.6,24.5,24.5,2500.0
2002-09-19,24.5,26.0,24.8,25.55,16000.0
2002-09-20,25.55,25.0,24.75,24.75,3500.0
2002-09-23,24.75,25.5,25.4,25.4,1500.0
2002-09-24,25.4,25.5,24.75,25.5,6500.0
2002-09-25,25.5,25.25,25.05,25.25,6500.0
2002-09-26,25.25,26.5,25.7,26.25,10500.0
2002-09-27,26.25,27.0,26.25,27.0,7500.0
2002-09-30,27.0,26.95,26.95,26.95,1000.0
2002-10-01,26.95,26.2,26.1,26.1,1000.0
2002-10-02,26.1,27.25,26.5,27.25,17500.0
2002-10-03,27.25,26.95,26.95,26.95,500.0
2002-10-07,26.95,27.5,27.5,27.5,500.0
2002-10-08,27.5,29.4,27.5,28.75,9000.0
2002-10-09,28.75,28.85,28.0,28.85,1500.0
2002-10-11,28.85,28.0,27.45,28.0,1000.0
2002-10-15,28.0,28.0,28.0,28.0,1000.0
2002-10-16,28.0,29.35,28.5,29.35,5500.0
2002-10-17,29.35,31.55,29.75,31.55,16000.0
2002-10-18,31.55,33.0,31.75,32.25,2000.0
2002-10-21,29.75,31.95,28.5,31.95,10000.0
2002-10-22,31.95,32.5,32.25,32.5,5000.0
2002-10-23,32.5,34.9,33.5,34.9,33500.0
2002-10-24,34.9,34.75,33.6,34.25,18500.0
2002-10-25,34.25,33.75,33.0,33.75,2000.0
2002-10-28,33.75,32.1,32.1,32.1,5000.0
2002-10-29,32.1,32.25,30.5,30.5,7000.0
2002-11-01,30.5,30.0,30.0,30.0,500.0
2002-11-04,30.0,29.0,29.0,29.0,500.0
2002-11-05,29.0,30.75,30.6,30.6,500.0
2002-11-07,30.6,30.5,30.5,30.5,0.0
2002-11-15,30.5,29.0,29.0,29.0,500.0
2003-01-06,29.0,30.95,30.95,30.95,1000.0
2003-01-07,30.95,30.0,30.0,30.0,0.0
2003-01-30,30.0,29.5,29.5,29.5,500.0
2003-01-31,29.5,28.05,28.05,28.05,1000.0
2003-03-07,28.05,28.0,28.0,28.0,500.0
2003-03-17,28.0,28.0,28.0,28.0,500.0
2003-03-27,28.0,27.0,27.0,27.0,500.0
2003-04-02,27.0,28.0,28.0,28.0,500.0
2003-04-04,28.0,29.5,29.5,29.5,500.0
2003-04-08,29.5,30.0,29.0,30.0,1500.0
2003-04-10,30.0,32.0,32.0,32.0,500.0
2003-04-11,32.0,34.0,31.95,33.9,1500.0
2003-04-14,33.9,33.75,33.75,33.75,0.0
2003-04-16,33.75,35.0,33.5,35.0,2500.0
2003-04-17,35.0,33.55,33.25,33.25,8000.0
2003-04-18,33.25,35.7,34.5,35.7,8500.0
2003-04-21,35.7,38.35,38.35,38.35,0.0
2003-04-22,38.35,41.2,39.5,41.2,110000.0
2003-04-23,41.2,44.25,42.1,44.2,9000.0
2003-04-24,44.2,45.25,43.0,43.75,14500.0
2003-04-25,43.75,47.0,44.0,47.0,27500.0
2003-04-28,47.0,49.5,48.25,48.9,18000.0
2003-04-29,48.9,49.25,46.5,48.0,17000.0
2003-04-30,48.0,46.5,46.0,46.0,4000.0
2003-05-02,46.0,48.0,46.0,48.0,12500.0
2003-05-05,48.0,50.0,48.8,50.0,13500.0
2003-05-06,50.0,50.5,49.5,49.5,3000.0
2003-05-07,49.5,49.1,48.0,48.85,11500.0
2003-05-08,48.85,49.95,48.75,49.5,25000.0
2003-05-09,49.5,50.5,49.0,49.5,15000.0
2003-05-12,49.5,52.5,50.0,52.4,46000.0
2003-05-13,52.4,53.5,51.45,52.0,30000.0
2003-05-14,52.0,55.0,51.1,54.05,54500.0
2003-05-16,54.05,56.0,53.95,53.95,23500.0
2003-05-19,53.95,54.5,52.5,52.7,10500.0
2003-05-20,52.7,54.4,52.25,54.4,30000.0
2003-05-21,54.4,55.75,53.5,55.75,69000.0
2003-05-22,55.75,55.15,55.0,55.0,2000.0
2003-05-23,55.0,55.9,54.0,54.0,14500.0
2003-05-26,54.0,54.5,53.0,53.0,4500.0
2003-05-27,53.0,53.0,53.0,53.0,1000.0
2003-05-28,53.0,53.9,51.05,51.05,4500.0
2003-05-29,51.05,51.25,51.0,51.0,4500.0
2003-05-30,51.0,51.95,51.0,51.0,2500.0
2003-06-02,51.0,52.0,51.75,51.75,3000.0
2003-06-03,51.75,52.0,51.8,52.0,1500.0
2003-06-04,52.0,50.5,50.5,50.5,1000.0
2003-06-05,50.5,51.0,50.6,50.6,3000.0
2003-06-06,50.6,51.0,51.0,51.0,500.0
2003-06-09,51.0,52.0,51.0,51.0,1000.0
2003-06-10,51.0,50.65,50.05,50.05,2000.0
2003-06-11,50.05,50.5,50.0,50.0,3500.0
2003-06-12,50.0,50.0,50.0,50.0,26500.0
2003-06-13,50.0,50.35,50.35,50.35,41000.0
2003-06-16,50.35,51.0,51.0,51.0,2500.0
2003-06-17,51.0,51.0,50.8,51.0,4500.0
2003-06-18,51.0,51.5,51.0,51.0,8000.0
2003-06-19,51.0,50.5,50.25,50.25,1000.0
2003-06-20,50.25,51.3,51.3,51.3,500.0
2003-06-23,51.3,51.35,51.25,51.35,1500.0
2003-06-24,51.35,52.05,51.5,52.0,5000.0
2003-06-25,52.0,53.85,52.5,53.85,5000.0
2003-06-26,53.85,53.0,53.0,53.0,1000.0
2003-06-27,53.0,54.5,53.0,53.0,4000.0
2003-06-30,53.0,53.5,53.5,53.5,500.0
2003-07-01,53.5,57.5,53.5,57.5,61500.0
2003-07-02,57.5,61.8,59.5,59.5,18500.0
2003-07-03,59.5,58.5,56.55,56.55,7500.0
2003-07-04,56.55,56.5,55.05,55.75,4500.0
