Date,Open,High,Low,Close,Volume
2001-04-11,12.0,12.0,12.0,12.0,500.0
2001-04-12,12.0,12.0,12.0,12.0,500.0
2001-04-16,12.0,6.1,6.0,6.05,2000.0
2001-04-17,6.05,6.1,5.4,5.4,3000.0
2001-04-26,5.4,5.4,5.4,5.4,0.0
2001-05-28,5.4,5.4,5.4,5.4,1000.0
2001-11-12,5.4,6.0,6.0,6.0,1000.0
2002-03-21,6.0,6.0,6.0,6.0,1000.0
2002-03-22,6.0,6.0,6.0,6.0,2000.0
2002-03-27,6.0,6.0,6.0,6.0,1000.0
2002-04-09,6.0,6.0,6.0,6.0,1000.0
2002-04-24,6.0,6.0,6.0,6.0,1000.0
2002-05-15,6.0,5.0,5.0,5.0,1000.0
2002-05-17,5.0,5.0,5.0,5.0,1000.0
2002-05-22,5.0,5.0,5.0,5.0,1000.0
2002-06-12,5.0,5.05,5.05,5.05,0.0
2003-01-06,5.05,5.0,5.0,5.0,500.0
2003-10-21,5.0,5.9,5.9,5.9,1000.0
2003-12-05,5.9,5.85,5.85,5.85,10000.0
2003-12-08,5.85,5.95,5.45,5.45,4500.0
2003-12-19,5.45,5.5,5.5,5.5,0.0
2004-01-05,5.5,6.0,6.0,6.0,0.0
2004-01-19,6.0,6.0,6.0,6.0,500.0
2004-03-03,6.0,7.5,7.5,7.5,5000.0
2004-03-17,7.5,6.5,6.5,6.5,500.0
2004-05-06,6.5,5.55,5.55,5.55,500.0
2004-05-24,5.55,7.05,7.05,7.05,500.0
2004-05-25,7.05,8.0,6.5,6.5,1000.0
2004-06-02,6.5,8.0,6.3,6.3,5500.0
2004-06-08,6.3,7.8,7.8,7.8,1500.0
2004-06-25,7.8,7.8,7.8,7.8,500.0
2004-08-03,7.8,6.8,6.8,6.8,500.0
2004-08-12,6.8,5.9,5.9,5.9,500.0
2004-08-20,5.9,7.15,6.0,6.0,7000.0
2004-08-23,6.0,6.65,6.65,6.65,0.0
2004-08-24,6.65,8.15,8.15,8.15,0.0
2004-08-25,8.15,9.65,9.65,9.65,0.0
2004-08-26,9.65,10.05,10.05,10.05,0.0
2004-09-01,10.05,11.55,11.55,11.55,1000.0
2004-09-14,11.55,10.55,10.55,10.55,0.0
2004-09-21,10.55,9.55,9.55,9.55,500.0
2004-09-27,9.55,11.05,9.55,9.55,500.0
2004-09-28,9.55,10.0,9.55,10.0,1000.0
2004-10-19,10.0,11.5,11.5,11.5,500.0
