Date,Open,High,Low,Close,Volume
2001-04-12,5.0,5.0,5.0,5.0,500.0
2001-04-17,5.0,5.0,5.0,5.0,500.0
2001-04-27,5.0,5.0,5.0,5.0,500.0
2001-05-15,5.0,3.0,3.0,3.0,2000.0
2001-05-18,3.0,2.0,2.0,2.0,1000.0
2001-05-21,2.0,2.0,1.75,1.75,3000.0
2001-05-23,1.75,1.75,1.75,1.75,500.0
2001-05-24,1.75,2.5,1.95,1.95,2000.0
2001-06-12,1.95,2.1,2.1,2.1,500.0
2001-06-14,2.1,2.1,2.0,2.1,5000.0
2002-01-31,2.1,2.25,2.2,2.25,4000.0
2002-02-01,2.25,2.75,2.7,2.7,3000.0
2002-02-11,2.7,3.0,2.75,3.0,6500.0
2002-02-13,3.0,3.25,3.25,3.25,500.0
2002-03-07,3.25,3.0,3.0,3.0,1500.0
2002-03-22,3.0,2.5,2.5,2.5,0.0
2002-03-29,2.5,1.1,1.0,1.0,1000.0
2002-04-01,1.0,2.5,2.5,2.5,1000.0
2002-04-02,2.5,2.3,2.3,2.3,0.0
2002-04-03,2.3,2.25,2.25,2.25,5000.0
2002-04-09,2.25,2.0,2.0,2.0,0.0
2002-04-10,2.0,2.4,2.4,2.4,5000.0
2002-04-11,2.4,2.75,2.75,2.75,5000.0
2002-04-12,2.75,1.25,1.25,1.25,500.0
2002-04-15,1.25,1.55,1.55,1.55,0.0
2002-04-18,1.55,2.75,2.5,2.75,6500.0
2002-04-22,2.75,2.5,2.5,2.5,0.0
2002-04-23,2.5,2.5,2.5,2.5,1000.0
2002-04-26,2.5,2.7,2.7,2.7,1500.0
2002-04-29,2.7,2.0,2.0,2.0,1000.0
2002-04-30,2.0,2.5,2.5,2.5,500.0
2002-05-06,2.5,2.75,2.75,2.75,500.0
2002-05-07,2.75,2.7,2.7,2.7,0.0
2002-05-08,2.7,2.5,2.0,2.0,2000.0
2002-05-15,2.0,2.45,1.0,1.6,2500.0
2002-05-16,1.6,1.75,1.75,1.75,0.0
2002-07-03,1.75,2.75,2.0,2.75,1500.0
2002-07-04,2.75,3.1,3.0,3.0,6000.0
2002-07-08,3.0,2.9,2.9,2.9,500.0
2002-07-10,2.9,2.5,2.5,2.5,0.0
2002-07-22,2.5,1.7,1.7,1.7,4000.0
2002-08-01,1.7,1.8,1.8,1.8,0.0
2002-08-02,1.8,1.85,1.85,1.85,0.0
2002-08-16,1.85,1.75,1.75,1.75,500.0
2002-08-19,1.75,1.75,1.75,1.75,500.0
2002-08-20,1.75,1.85,1.85,1.85,0.0
