Date,Open,High,Low,Close,Volume
2002-01-01,90.75,91.6,91.0,91.6,2500.0
2002-01-02,91.6,92.0,92.0,92.0,1000.0
2002-01-03,92.0,92.0,91.5,92.0,1500.0
2002-01-04,92.0,92.5,91.5,92.5,3500.0
2002-01-07,92.5,96.0,93.0,96.0,4500.0
2002-01-10,96.0,96.0,95.0,96.0,5000.0
2002-01-14,96.0,98.0,97.0,98.0,1000.0
2002-01-15,98.0,100.0,99.0,99.9,5500.0
2002-01-16,99.9,102.0,100.0,102.0,7000.0
2002-01-17,102.0,105.0,102.5,105.0,5500.0
2002-01-18,105.0,107.0,104.0,107.0,16500.0
2002-01-21,107.0,108.0,106.5,107.5,5000.0
2002-01-22,107.5,106.25,104.0,105.0,4000.0
2002-01-23,105.0,106.0,104.0,104.5,5500.0
2002-01-24,104.5,105.75,105.75,105.75,500.0
2002-01-25,105.75,106.75,105.05,106.0,2500.0
2002-01-28,106.0,106.0,105.9,105.9,1500.0
2002-01-29,105.9,108.0,106.0,106.75,6000.0
2002-01-30,106.75,107.5,105.75,105.75,9500.0
2002-01-31,105.75,106.0,104.5,105.75,19000.0
2002-02-01,105.75,106.0,105.75,106.0,1000.0
2002-02-06,106.0,106.0,104.5,104.5,14500.0
2002-02-07,104.5,105.0,104.5,105.0,5000.0
2002-02-08,105.0,106.4,105.5,106.0,13500.0
2002-02-11,106.0,106.5,105.0,105.0,8000.0
2002-02-12,105.0,104.0,104.0,104.0,500.0
2002-02-13,104.0,103.0,103.0,103.0,1000.0
2002-02-15,103.0,104.0,103.0,103.0,33500.0
2002-02-18,103.0,103.0,103.0,103.0,2000.0
2002-02-20,103.0,101.9,100.0,100.5,6000.0
2002-02-21,100.5,100.9,100.0,100.0,12000.0
2002-02-26,100.0,99.75,99.0,99.0,6500.0
2002-02-27,99.0,95.0,95.0,95.0,1500.0
2002-02-28,95.0,95.5,95.0,95.0,7000.0
2002-03-04,95.0,96.0,95.5,95.5,1000.0
2002-03-05,95.5,97.0,97.0,97.0,500.0
2002-03-06,97.0,97.25,97.0,97.25,2000.0
2002-03-07,97.25,98.0,98.0,98.0,2500.0
2002-03-08,98.0,97.5,97.0,97.5,2000.0
2002-03-11,97.5,99.0,99.0,99.0,1500.0
2002-03-12,99.0,99.5,99.0,99.0,3000.0
2002-03-14,99.0,100.2,99.0,100.0,4000.0
2002-03-18,100.0,102.0,100.75,102.0,1500.0
2002-03-20,102.0,102.0,101.75,101.75,9000.0
2002-03-21,101.75,104.0,102.0,104.0,4500.0
2002-03-22,104.0,108.0,108.0,107.5,500.0
2002-03-26,107.5,102.0,102.0,102.0,500.0
2002-03-27,102.0,102.0,100.25,100.25,10000.0
2002-03-28,100.25,101.5,101.0,101.0,1500.0
2002-03-29,101.0,107.0,102.1,106.0,7500.0
2002-04-01,106.0,108.25,105.1,105.1,4000.0
2002-04-02,105.1,105.0,105.0,105.0,1000.0
2002-04-03,105.0,112.0,105.5,111.5,6000.0
2002-04-04,111.5,119.85,110.0,110.0,19500.0
2002-04-08,110.0,110.0,110.0,110.0,1500.0
2002-04-09,110.0,107.5,107.5,107.5,500.0
2002-04-10,107.5,106.0,105.5,106.0,1500.0
2002-04-11,106.0,106.1,106.05,106.05,1500.0
2002-04-12,106.05,106.5,106.0,106.5,3500.0
2002-04-17,106.5,107.0,105.5,105.5,1000.0
2002-04-18,105.5,107.5,107.0,107.1,3000.0
2002-04-19,107.1,112.95,109.5,111.95,6500.0
2002-04-22,111.95,110.0,110.0,110.0,0.0
2002-04-23,110.0,107.0,106.5,106.5,1500.0
2002-04-24,106.5,106.5,106.0,106.5,1000.0
2002-04-25,106.5,107.05,105.5,105.5,26500.0
2002-04-26,105.5,105.5,105.0,105.0,18500.0
2002-04-29,105.0,105.5,105.5,105.5,0.0
2002-04-30,105.5,106.0,106.0,106.0,0.0
2002-05-02,106.0,106.0,106.0,106.0,500.0
2002-05-03,106.0,107.75,106.0,107.75,2000.0
2002-05-06,107.75,107.0,107.0,107.0,500.0
2002-05-07,107.0,107.0,106.95,107.0,1000.0
2002-05-08,107.0,105.25,105.25,105.25,5000.0
2002-05-09,105.25,105.25,105.25,105.25,1500.0
2002-05-10,105.25,106.0,106.0,106.0,0.0
2002-05-13,106.0,105.75,105.75,105.75,500.0
2002-05-14,105.75,105.75,105.75,105.75,500.0
2002-05-16,105.75,105.3,105.25,105.25,1000.0
2002-05-17,105.25,105.5,105.5,105.5,1000.0
