Date,Open,High,Low,Close,Volume
2001-01-19,7.8,8.0,8.0,8.0,1500.0
2001-02-06,8.0,8.25,8.25,8.25,3000.0
2001-02-13,8.25,8.25,8.25,8.25,1000.0
2001-02-26,8.25,8.0,8.0,8.0,500.0
2001-02-27,8.0,9.5,8.0,8.75,6000.0
2001-02-28,8.75,8.5,8.0,8.0,2500.0
2001-03-02,8.0,8.0,8.0,8.0,500.0
2001-03-09,8.0,8.0,7.5,7.5,1000.0
2001-03-12,7.5,7.25,7.25,7.25,1500.0
2001-03-13,7.25,7.25,7.25,7.25,500.0
2001-03-15,7.25,7.5,7.25,7.25,4500.0
2001-03-19,6.55,6.55,6.55,6.55,0.0
2001-03-21,6.55,6.55,6.55,6.55,0.0
2001-04-02,6.55,6.5,6.5,6.5,2000.0
2001-04-03,6.5,6.55,6.55,6.55,1500.0
2001-04-09,6.55,4.25,4.25,4.25,1500.0
2001-04-10,4.25,5.1,4.95,5.1,8000.0
2001-04-11,5.1,5.1,4.8,5.1,3000.0
2001-04-12,5.1,5.7,5.7,5.7,1000.0
2001-04-17,5.7,5.6,5.6,5.6,500.0
2001-04-19,5.6,5.5,5.5,5.5,500.0
2001-04-20,5.5,6.0,6.0,6.0,1000.0
2001-04-23,6.0,6.0,6.0,6.0,4000.0
2001-04-24,6.0,6.0,6.0,6.0,2000.0
2001-04-26,6.0,6.75,6.75,6.75,1000.0
2001-04-27,6.75,6.7,6.7,6.7,1000.0
2001-05-04,6.7,6.7,6.7,6.7,1500.0
2001-05-08,6.7,7.0,6.75,7.0,2000.0
2001-05-09,7.0,7.1,7.1,7.1,1000.0
2001-05-10,7.1,8.75,8.75,8.75,500.0
2001-05-11,8.75,7.25,7.25,7.25,1000.0
2001-05-15,7.25,7.5,7.5,7.5,1000.0
2001-05-17,7.5,8.65,8.65,8.65,500.0
2001-05-18,8.65,7.5,7.5,7.5,500.0
2001-05-22,7.5,7.5,7.5,7.5,1000.0
2001-06-26,7.5,7.5,7.5,7.5,500.0
2001-07-04,7.5,8.0,8.0,8.0,500.0
2001-07-05,8.0,8.4,8.35,8.35,2000.0
2001-09-24,8.35,8.0,8.0,8.0,4500.0
2001-10-01,8.0,8.0,8.0,8.0,500.0
2001-10-15,8.0,8.4,8.1,8.1,5000.0
2001-10-23,8.1,8.25,8.25,8.25,500.0
2001-10-24,8.25,7.9,7.9,7.9,3000.0
2002-02-04,7.9,7.0,7.0,7.0,1000.0
2002-02-11,7.0,7.0,7.0,7.0,500.0
2002-03-04,7.0,7.0,7.0,7.0,1000.0
2002-03-05,7.0,6.6,6.6,6.6,500.0
2002-03-27,6.6,6.6,6.6,6.6,500.0
2002-04-18,6.6,6.55,6.55,6.55,0.0
2002-04-25,6.55,6.5,6.5,6.5,0.0
2002-04-26,6.5,6.45,6.45,6.45,0.0
2002-06-13,6.45,6.0,6.0,6.0,0.0
2002-07-03,6.0,5.5,5.5,5.5,0.0
2002-07-04,5.5,5.5,5.5,5.5,500.0
2002-07-08,5.5,5.5,5.5,5.5,500.0
2002-07-09,5.5,5.0,5.0,5.0,0.0
2002-07-12,5.0,5.0,5.0,5.0,2000.0
2002-08-06,5.0,5.0,5.0,5.0,1000.0
2002-08-08,5.0,5.0,5.0,5.0,1000.0
2002-10-03,5.0,5.0,5.0,5.0,500.0
2002-10-04,5.0,4.25,4.25,4.25,1000.0
2002-10-07,4.25,4.3,4.3,4.3,500.0
2002-10-09,4.3,4.5,4.5,4.5,500.0
2002-10-14,4.5,5.0,5.0,5.0,500.0
2002-10-17,5.0,4.5,4.5,4.5,500.0
2002-10-18,4.5,4.6,4.6,4.6,500.0
2002-10-22,4.6,3.8,3.8,3.8,1000.0
2002-10-23,3.8,4.3,4.0,4.3,4000.0
2002-11-05,4.3,4.0,4.0,4.0,0.0
2002-12-13,4.0,4.0,4.0,4.0,1000.0
2002-12-20,4.0,4.1,4.0,4.1,6000.0
2002-12-24,4.1,4.0,4.0,4.0,500.0
2003-01-15,4.0,3.05,3.0,3.05,500.0
2003-01-16,3.05,3.35,3.35,3.35,0.0
