Date,Open,High,Low,Close,Volume
2002-01-01,4.75,4.25,4.2,4.25,8500.0
2002-01-03,4.25,4.25,4.25,4.25,500.0
2002-01-07,4.25,4.25,4.25,4.25,2000.0
2002-01-08,4.25,4.25,4.25,4.25,20000.0
2002-01-11,4.25,4.25,4.2,4.2,6500.0
2002-01-15,4.2,4.25,4.25,4.25,2000.0
2002-01-16,4.25,4.35,4.35,4.35,2500.0
2002-01-17,4.35,4.35,4.35,4.35,2500.0
2002-01-18,4.35,4.35,4.35,4.35,500.0
2002-01-21,4.35,4.35,4.35,4.35,2500.0
2002-01-22,4.35,4.4,4.4,4.4,4000.0
2002-01-23,4.4,4.35,4.35,4.35,500.0
2002-01-24,4.35,4.5,4.5,4.5,1000.0
2002-01-25,4.5,4.5,4.5,4.5,1000.0
2002-01-29,4.5,4.6,4.6,4.6,1000.0
2002-01-30,4.6,4.7,4.6,4.7,8500.0
2002-02-01,4.7,5.15,4.85,5.15,32000.0
2002-02-04,5.15,5.15,5.05,5.05,11500.0
2002-02-06,5.05,5.15,5.1,5.15,5000.0
2002-02-07,5.15,5.15,5.1,5.1,7000.0
2002-02-08,5.1,5.35,5.1,5.3,24500.0
2002-02-11,5.3,5.5,5.35,5.5,12500.0
2002-02-12,5.5,5.45,5.35,5.35,24500.0
2002-02-15,5.35,5.45,5.35,5.45,15000.0
2002-02-18,5.45,5.2,5.15,5.15,7000.0
2002-02-19,5.15,5.25,5.25,5.25,2000.0
2002-02-20,5.25,5.25,5.2,5.25,1500.0
2002-02-21,5.25,5.25,5.25,5.25,500.0
2002-02-26,5.25,5.25,5.2,5.25,3500.0
2002-02-27,5.25,5.2,5.15,5.2,11000.0
2002-02-28,5.2,5.2,5.15,5.15,12500.0
2002-03-01,5.15,5.2,5.2,5.2,1000.0
2002-03-04,5.2,5.3,5.25,5.25,7500.0
2002-03-05,5.25,5.2,5.2,5.2,7000.0
2002-03-06,5.2,5.2,5.15,5.15,1500.0
2002-03-07,5.15,5.2,5.2,5.2,12000.0
2002-03-11,5.2,5.4,5.25,5.25,17500.0
2002-03-12,5.25,5.3,5.25,5.25,2500.0
2002-03-13,5.25,5.2,5.15,5.15,9500.0
2002-03-14,5.15,5.35,5.35,5.35,6000.0
2002-03-18,5.35,5.05,5.05,5.2,5000.0
2002-03-19,5.2,5.2,5.2,5.2,2000.0
2002-03-20,5.2,5.4,5.25,5.3,3000.0
2002-03-21,5.3,5.35,5.25,5.35,24000.0
2002-03-22,5.35,5.5,5.3,5.35,10500.0
2002-03-26,5.35,5.35,5.35,5.35,4500.0
2002-03-27,5.35,5.2,5.2,5.2,500.0
2002-03-28,5.2,5.35,5.35,5.35,1000.0
2002-03-29,5.35,5.55,5.4,5.55,7500.0
2002-04-01,5.55,5.45,5.4,5.4,4500.0
2002-04-03,5.4,5.4,5.4,5.4,500.0
2002-04-04,5.4,5.55,5.4,5.5,15000.0
2002-04-05,5.5,5.65,5.5,5.65,7500.0
2002-04-08,5.65,5.75,5.65,5.75,5000.0
2002-04-09,5.75,5.65,5.6,5.65,7000.0
2002-04-10,5.65,5.75,5.6,5.75,13500.0
2002-04-11,5.75,6.0,5.5,6.0,45500.0
2002-04-12,6.0,6.0,5.95,5.95,7500.0
2002-04-15,5.95,6.0,5.9,5.9,4000.0
2002-04-17,5.9,5.9,5.75,5.75,4500.0
2002-04-19,5.75,5.85,5.85,5.85,500.0
2002-04-24,5.85,5.85,5.85,5.85,1500.0
2002-04-29,5.85,5.35,5.25,5.35,1000.0
2002-04-30,5.35,6.0,5.9,6.0,10500.0
2002-05-02,6.0,5.85,5.85,5.85,3500.0
2002-05-03,5.85,6.0,6.0,6.0,2000.0
2002-05-07,6.0,5.85,5.85,5.85,500.0
2002-05-08,5.85,5.85,5.85,5.85,500.0
2002-05-14,5.85,6.0,6.0,6.0,2000.0
2002-05-15,6.0,5.85,5.85,5.85,1000.0
2002-05-17,5.85,5.4,5.4,5.4,3000.0
2002-05-20,5.4,5.4,5.4,5.4,10000.0
2002-05-21,5.4,5.25,5.25,5.25,1000.0
2002-05-22,5.25,4.4,4.4,4.4,500.0
2002-05-24,4.4,4.8,4.8,4.8,0.0
2002-05-27,4.8,4.95,4.95,4.95,0.0
2002-05-28,4.95,5.2,5.2,5.2,1500.0
2002-05-29,5.2,5.4,5.4,5.4,500.0
2002-05-30,5.4,5.35,5.35,5.35,0.0
2002-05-31,5.35,5.9,5.35,5.9,4000.0
2002-06-04,5.9,5.8,5.8,5.8,0.0
2002-06-05,5.8,5.75,5.75,5.75,0.0
2002-06-06,5.75,5.4,5.4,5.4,1500.0
2002-06-07,5.4,5.25,5.25,5.25,500.0
2002-06-10,5.25,5.45,5.0,5.25,3500.0
2002-06-11,5.25,5.25,5.25,5.25,488000.0
2002-06-12,5.25,5.25,5.25,5.25,2000.0
2002-06-13,5.25,5.2,5.2,5.2,500.0
2002-06-14,5.2,5.2,5.2,5.2,5000.0
2002-06-17,5.2,5.25,5.15,5.15,3000.0
2002-06-18,5.15,5.15,5.15,5.15,500.0
2002-06-19,5.15,5.2,5.05,5.2,4000.0
2002-06-20,5.2,5.3,5.2,5.3,39000.0
2002-06-21,5.3,5.35,5.35,5.35,2000.0
2002-06-24,5.35,5.25,5.25,5.25,3000.0
2002-06-25,5.25,5.25,5.2,5.2,8500.0
2002-06-26,5.2,5.3,5.3,5.3,0.0
2002-06-27,5.3,5.35,5.3,5.35,4000.0
2002-06-28,5.35,5.95,5.35,5.9,23500.0
2002-07-01,5.9,5.35,5.35,5.35,500.0
2002-07-02,5.35,5.6,5.35,5.6,2500.0
2002-07-03,5.6,5.8,5.8,5.8,3000.0
2002-07-04,5.8,6.0,5.7,5.7,1500.0
2002-07-05,5.7,5.8,5.75,5.8,3000.0
2002-07-08,5.8,5.9,5.9,5.9,3000.0
2002-07-09,5.9,5.75,5.75,5.75,1000.0
2002-07-10,5.75,5.8,5.65,5.8,7000.0
2002-07-12,5.8,5.85,5.7,5.85,8000.0
2002-07-15,5.85,5.7,5.6,5.65,5000.0
2002-07-16,5.65,5.7,5.7,5.7,500.0
2002-07-17,5.7,5.9,5.85,5.9,3500.0
2002-07-18,5.9,5.9,5.9,5.9,500.0
2002-07-19,5.9,6.0,5.85,6.0,10500.0
2002-07-22,6.0,6.0,5.9,6.0,4000.0
2002-07-23,6.0,6.1,6.1,6.1,1000.0
2002-07-24,6.1,6.05,6.0,6.05,21000.0
2002-07-25,6.05,6.0,6.0,6.0,500.0
2002-07-26,6.0,5.9,5.9,5.9,2000.0
2002-07-29,5.9,5.95,5.9,5.95,500.0
2002-07-30,5.95,6.05,6.05,6.05,4500.0
2002-07-31,6.05,5.85,5.85,5.85,500.0
2002-08-01,5.85,5.85,5.75,5.75,1000.0
2002-08-02,5.75,5.85,5.85,5.85,0.0
2002-08-06,5.85,5.8,5.8,5.8,1000.0
2002-08-07,5.8,5.95,5.95,5.95,21500.0
2002-08-08,5.95,6.0,6.0,6.0,15000.0
2002-08-09,6.0,6.0,6.0,6.0,4000.0
2002-08-12,6.0,6.05,6.0,6.0,6000.0
2002-08-13,6.0,6.0,5.95,6.0,6500.0
2002-08-15,6.0,6.0,6.0,6.0,16500.0
2002-08-19,6.0,6.1,6.05,6.05,4000.0
2002-08-20,6.05,6.2,6.05,6.05,7500.0
2002-08-21,6.05,6.0,6.0,6.0,1000.0
2002-08-22,6.0,6.05,6.0,6.0,13000.0
2002-08-23,6.0,6.0,6.0,6.0,1000.0
2002-08-26,6.0,5.8,5.4,5.75,4500.0
2002-08-27,5.75,6.0,5.7,6.0,3000.0
2002-08-28,6.0,5.8,5.75,5.75,3000.0
2002-08-29,5.75,6.0,5.75,5.75,24500.0
2002-08-30,5.75,5.75,5.75,5.75,7500.0
2002-09-02,5.75,5.95,5.95,5.95,5000.0
2002-09-03,5.95,5.75,5.75,5.75,500.0
2002-09-04,5.75,5.75,5.75,5.75,1000.0
2002-09-05,5.75,5.8,5.8,5.8,1500.0
2002-09-06,5.8,5.95,5.9,5.95,4000.0
2002-09-09,5.95,5.9,5.75,5.9,8500.0
2002-09-10,5.9,5.95,5.8,5.8,3500.0
2002-09-11,5.8,5.85,5.8,5.85,6500.0
2002-09-12,5.85,5.8,5.75,5.75,3000.0
2002-09-13,5.75,5.9,5.9,5.9,1500.0
2002-09-16,5.9,5.8,5.8,5.8,500.0
2002-09-17,5.8,5.95,5.8,5.95,6000.0
2002-09-18,5.95,5.95,5.9,5.9,7500.0
2002-09-19,5.9,6.1,5.95,6.05,109500.0
2002-09-20,6.05,6.0,6.0,6.0,500.0
2002-09-23,6.0,5.95,5.95,5.95,1000.0
2002-09-24,5.95,6.25,5.9,6.05,97500.0
2002-09-25,6.05,6.15,6.05,6.15,575500.0
2002-09-26,6.15,6.25,6.1,6.1,42000.0
2002-09-27,6.1,6.2,6.1,6.2,15000.0
2002-09-30,6.2,6.35,6.2,6.35,16000.0
