Date,Open,High,Low,Close,Volume
2001-02-08,1.75,2.0,2.0,2.0,1000.0
2001-02-13,2.0,2.05,2.05,2.05,2000.0
2001-02-16,2.05,2.5,2.5,2.5,500.0
2001-02-22,2.5,1.5,1.5,1.5,500.0
2001-03-13,1.5,1.5,1.4,1.5,3000.0
2001-03-20,1.5,1.5,1.5,1.5,500.0
2001-05-15,1.5,2.0,2.0,2.0,4000.0
2001-08-29,2.0,1.5,1.5,1.5,1000.0
2001-08-31,1.5,1.25,1.25,1.25,2000.0
2001-09-07,1.25,1.25,1.25,1.25,1000.0
2002-02-06,1.25,1.0,1.0,1.0,2000.0
2002-02-08,1.0,1.25,1.0,1.25,9500.0
2002-02-11,1.25,1.25,1.25,1.25,3000.0
2002-02-13,1.25,1.25,1.25,1.25,1000.0
2002-02-14,1.25,1.25,1.25,1.25,1000.0
2002-02-15,1.25,1.3,1.3,1.3,1000.0
2002-03-15,1.3,1.05,1.05,1.05,1000.0
2002-03-27,1.05,1.25,1.25,1.25,500.0
2002-04-04,1.25,1.5,1.4,1.5,1500.0
2002-04-09,1.5,1.45,1.45,1.45,0.0
2002-04-10,1.45,1.4,1.4,1.4,0.0
2002-04-15,1.4,1.5,1.5,1.5,1000.0
2002-04-16,1.5,1.6,1.5,1.5,3000.0
2002-04-23,1.5,1.6,1.6,1.6,1500.0
2002-04-30,1.6,1.5,1.5,1.5,0.0
2002-05-09,1.5,1.3,1.3,1.3,0.0
2002-06-07,1.3,1.0,1.0,1.0,1000.0
2002-06-12,1.0,1.0,1.0,1.0,500.0
2002-06-26,1.0,1.0,1.0,1.0,500.0
2002-06-27,1.0,1.05,1.05,1.05,0.0
2002-07-01,1.05,1.05,1.05,1.05,500.0
2002-07-03,1.05,1.1,1.1,1.1,0.0
2002-07-24,1.1,1.1,1.1,1.1,0.0
2002-08-01,1.1,1.15,1.15,1.15,0.0
2002-08-08,1.15,1.15,1.15,1.15,500.0
2002-08-09,1.15,1.15,1.15,1.15,0.0
2002-08-12,1.15,1.15,1.15,1.15,500.0
2002-08-20,1.15,1.2,1.2,1.2,0.0
2002-08-21,1.2,1.35,1.35,1.35,500.0
2002-09-12,1.35,1.0,1.0,1.0,500.0
2002-09-17,1.0,1.0,1.0,1.0,500.0
2002-10-18,1.0,1.5,1.5,1.5,2000.0
2002-10-22,1.5,1.45,1.45,1.45,0.0
2002-10-23,1.45,1.45,1.45,1.45,2000.0
2002-10-24,1.45,1.3,1.3,1.3,0.0
2002-10-29,1.3,1.6,1.3,1.3,2000.0
2002-10-30,1.3,1.3,1.25,1.25,2500.0
2002-11-28,1.25,1.3,1.3,1.3,500.0
2002-12-09,1.3,1.5,1.5,1.5,0.0
2002-12-10,1.5,1.45,1.45,1.45,0.0
2002-12-11,1.45,1.5,1.5,1.5,1000.0
2002-12-12,1.5,1.75,1.5,1.5,3000.0
2003-02-06,1.5,1.5,1.5,1.5,500.0
2003-02-24,1.5,1.45,1.45,1.45,0.0
2003-02-27,1.45,1.0,1.0,1.0,1000.0
2003-04-11,1.0,1.0,1.0,1.0,500.0
2003-04-16,1.0,1.05,1.05,1.05,0.0
2003-05-22,1.05,1.1,1.1,1.1,0.0
2003-05-26,1.1,1.25,1.25,1.25,500.0
2003-05-27,1.25,1.5,1.5,1.5,500.0
2003-05-28,1.5,2.1,1.55,1.55,1500.0
2003-05-30,1.55,2.5,1.8,2.5,14000.0
2003-06-02,2.5,2.55,2.5,2.5,7500.0
2003-06-03,2.5,2.55,2.5,2.5,4500.0
2003-06-04,2.5,2.5,2.5,2.5,8000.0
2003-06-05,2.5,2.6,2.5,2.6,2500.0
2003-06-06,2.6,2.5,2.1,2.1,15000.0
2003-06-09,2.1,2.35,2.3,2.3,2000.0
2003-06-10,2.3,2.6,2.6,2.6,2000.0
2003-06-11,2.6,2.5,2.5,2.5,10000.0
2003-06-17,2.5,2.3,2.3,2.3,0.0
2003-06-19,2.3,1.6,1.6,1.6,1000.0
2003-06-20,1.6,1.8,1.8,1.8,500.0
2003-06-23,1.8,2.6,2.6,2.6,2000.0
2003-06-24,2.6,3.0,2.6,3.0,17000.0
2003-06-25,3.0,3.0,3.0,3.0,1000.0
2003-06-26,3.0,3.75,3.25,3.25,6000.0
2003-06-27,3.25,2.9,2.9,2.9,5000.0
2003-06-30,2.9,3.0,3.0,3.0,3000.0
2003-07-01,3.0,3.05,3.05,3.05,0.0
2003-07-03,3.05,3.5,3.05,3.5,3000.0
2003-07-04,3.5,3.1,3.1,3.1,6000.0
2003-07-09,3.1,3.1,3.1,3.1,2000.0
2003-07-10,3.1,3.05,3.0,3.0,7000.0
2003-07-16,3.0,2.0,2.0,2.0,500.0
2003-07-17,2.0,3.5,3.5,3.5,500.0
2003-07-18,3.5,3.0,3.0,3.0,1000.0
2003-07-21,3.0,3.05,2.95,3.05,5500.0
2003-07-22,3.05,3.25,3.25,3.25,500.0
2003-07-23,3.25,3.25,3.25,3.25,1000.0
2003-07-24,3.25,3.3,3.25,3.25,17000.0
2003-07-25,3.25,3.75,3.3,3.65,5000.0
2003-07-28,3.65,3.6,3.45,3.45,21500.0
2003-07-29,3.45,3.55,3.55,3.55,500.0
2003-07-30,3.55,3.5,3.5,3.5,3000.0
2003-07-31,3.5,3.9,3.5,3.9,76500.0
2003-08-01,3.9,4.1,4.0,4.0,3000.0
2003-08-04,4.0,5.5,4.05,5.15,38500.0
2003-08-05,5.15,5.9,5.2,5.5,29000.0
2003-08-06,5.5,5.6,5.2,5.5,24500.0
