Date,Open,High,Low,Close,Volume
2021-03-25,26.52,30.35,26.13,26.13,497000.0
2021-03-26,25.01,25.01,24.18,24.19,379500.0
2021-03-29,24.37,24.37,22.38,22.38,147500.0
2021-03-30,21.1,22.6,20.71,21.05,65000.0
2021-03-31,21.26,22.62,21.26,22.62,211500.0
2021-04-01,23.4,24.31,23.0,24.31,398000.0
2021-04-02,23.35,24.0,22.55,22.98,1417500.0
2021-04-05,23.0,23.25,21.26,21.4,550500.0
2021-04-06,22.85,23.0,22.0,22.99,260000.0
2021-04-07,22.65,23.25,22.15,22.46,273000.0
2021-04-08,22.3,24.14,22.3,24.14,267000.0
2021-04-09,24.5,25.95,24.5,25.95,291000.0
2021-04-12,27.49,27.5,24.1,25.23,325000.0
2021-04-13,25.0,26.0,24.5,24.77,145000.0
2021-04-14,24.5,26.62,24.5,26.51,803000.0
2021-04-15,25.8,27.6,25.8,26.3,352000.0
2021-04-16,26.2,28.27,25.99,28.27,307500.0
