Date,Open,High,Low,Close,Volume
2001-01-03,14.0,15.0,14.5,15.0,7000.0
2001-01-04,15.0,15.55,15.35,15.5,3500.0
2001-01-08,15.5,15.25,15.0,15.25,3500.0
2001-01-09,15.25,15.2,15.05,15.2,3000.0
2001-01-11,15.2,15.5,15.25,15.5,3000.0
2001-01-12,15.5,15.35,15.35,15.35,1000.0
2001-01-23,15.35,15.4,15.0,15.4,1500.0
2001-01-26,15.4,15.0,15.0,15.0,500.0
2001-01-29,15.0,15.0,15.0,15.0,2000.0
2001-01-30,15.0,14.9,14.9,14.9,1500.0
2001-02-02,14.9,15.1,15.0,15.0,6500.0
2001-02-06,15.0,15.0,15.0,15.0,1000.0
2001-02-07,15.0,15.0,15.0,15.0,4500.0
2001-02-08,15.0,15.0,14.95,14.95,2500.0
2001-02-09,14.95,14.95,14.25,14.25,1000.0
2001-02-12,14.25,14.95,14.9,14.95,2500.0
2001-02-15,14.95,14.95,14.9,14.9,3500.0
2001-02-16,14.9,14.65,14.6,14.6,5000.0
2001-02-19,14.6,15.0,14.5,14.9,15000.0
2001-02-20,14.9,14.95,14.5,14.5,21000.0
2001-02-21,14.5,14.25,14.25,14.25,7000.0
2001-02-22,14.25,14.5,14.25,14.5,6000.0
2001-02-23,14.5,14.45,14.45,14.45,1000.0
2001-02-26,14.45,14.25,12.25,12.5,10000.0
2001-02-27,12.5,12.0,10.0,10.8,46000.0
2001-02-28,10.8,11.2,11.1,11.2,4500.0
2001-03-01,11.2,11.0,11.0,11.0,7000.0
2001-03-02,11.0,11.25,10.8,10.8,6000.0
2001-03-09,10.8,10.8,10.8,10.8,0.0
2001-03-12,10.8,11.0,10.75,11.0,5000.0
2001-03-13,11.0,11.0,11.0,11.0,1500.0
2001-03-14,11.0,11.25,11.25,11.25,500.0
2001-03-15,11.25,11.1,10.85,10.85,4000.0
2001-03-16,10.85,10.5,10.05,10.5,41000.0
2001-03-19,10.5,11.0,10.6,11.0,101000.0
2001-03-20,11.0,10.9,10.85,10.85,12000.0
2001-03-21,9.85,10.4,9.85,10.4,10000.0
2001-03-22,10.4,10.5,10.5,10.5,1500.0
2001-04-06,10.5,11.0,11.0,11.0,1000.0
2001-04-09,11.0,12.5,11.0,11.0,5000.0
2001-04-12,11.0,11.1,11.1,11.1,500.0
2001-04-18,11.1,11.9,11.9,11.9,10000.0
2001-04-19,11.9,11.5,11.5,11.5,500.0
2001-04-20,11.5,11.5,11.45,11.5,1000.0
2001-04-23,11.5,11.5,11.5,11.5,5500.0
2001-04-25,11.5,11.5,11.5,11.5,3000.0
2001-04-30,11.5,11.55,11.55,11.55,1000.0
2001-05-02,11.55,11.75,11.75,11.75,1000.0
2001-05-03,11.75,12.0,11.95,12.0,2000.0
2001-05-04,12.0,12.0,12.0,12.0,0.0
2001-05-08,12.0,11.7,11.7,11.7,1000.0
2001-05-09,11.7,11.5,11.5,11.5,1000.0
2001-05-10,11.5,11.5,11.5,11.5,500.0
2001-05-11,11.5,11.5,11.1,11.1,1000.0
2001-05-15,11.1,11.5,11.2,11.5,4000.0
2001-05-16,11.5,11.5,11.5,11.5,1000.0
2001-05-17,11.5,12.0,12.0,12.0,7000.0
2001-05-18,12.0,12.0,11.25,12.0,5500.0
2001-05-21,12.0,12.25,11.9,12.25,4500.0
2001-05-22,12.25,12.25,12.0,12.25,1500.0
2001-05-23,12.25,12.05,12.05,12.05,1000.0
2001-05-29,12.05,12.25,12.1,12.1,1500.0
2001-05-30,12.1,12.25,12.2,12.25,3000.0
2001-05-31,12.25,12.0,12.0,12.0,2500.0
2001-06-01,12.0,12.5,12.25,12.5,6000.0
2001-06-04,12.5,12.5,12.5,12.5,1000.0
2001-06-06,12.5,12.5,12.5,12.5,1000.0
2001-06-07,12.5,12.25,12.25,12.25,1000.0
2001-06-08,12.25,12.25,12.25,12.25,1000.0
2001-06-13,12.25,12.25,12.25,12.25,1000.0
2001-06-15,12.25,12.4,12.4,12.4,500.0
2001-06-25,12.4,12.5,12.5,12.5,3000.0
2001-06-26,12.5,12.25,12.25,12.25,5000.0
2001-06-27,12.25,12.25,12.25,12.25,1000.0
2001-06-29,12.25,12.25,12.25,12.25,2000.0
2001-07-05,12.25,12.25,12.25,12.25,2000.0
2001-07-10,12.25,12.25,12.25,12.25,4000.0
2001-07-11,12.25,12.25,12.25,12.25,2000.0
2001-07-12,12.25,12.25,12.25,12.25,2000.0
2001-07-17,12.25,12.25,12.25,12.25,1000.0
2001-07-20,12.25,12.25,12.0,12.0,1500.0
2001-07-23,12.0,12.0,12.0,12.0,500.0
2001-07-24,12.0,12.1,12.1,12.1,500.0
2001-07-25,12.1,12.25,12.1,12.1,25500.0
2001-07-27,12.1,12.15,12.0,12.0,12500.0
2001-08-01,12.0,11.95,11.95,11.95,10000.0
2001-08-02,11.95,11.95,11.95,11.95,1000.0
2001-08-03,11.95,12.0,12.0,12.0,10000.0
2001-08-06,12.0,12.25,12.25,12.25,1000.0
2001-08-07,12.25,12.25,12.25,12.25,3000.0
2001-08-23,12.25,12.5,12.5,12.5,500.0
2001-08-27,12.5,11.95,11.95,11.95,2000.0
2001-08-28,11.95,11.95,11.95,11.95,1000.0
2001-08-29,11.95,12.65,12.65,12.65,500.0
2001-09-04,12.65,12.05,12.05,12.05,1000.0
2001-09-05,12.05,11.95,11.95,11.95,1000.0
2001-09-10,11.95,11.95,11.9,11.95,1500.0
2001-09-13,11.95,11.95,11.95,11.95,1500.0
2001-09-14,11.95,11.95,11.5,11.5,10500.0
2001-09-27,11.5,11.45,11.45,11.45,1500.0
2001-10-02,11.45,11.05,11.05,11.05,500.0
2001-10-09,11.05,11.0,11.0,11.0,500.0
2001-10-16,11.0,11.55,11.55,11.55,500.0
2001-10-17,11.55,11.75,11.75,11.75,500.0
2001-10-25,11.75,12.25,12.25,12.25,5000.0
2001-10-29,12.25,13.95,12.9,13.95,24000.0
2001-10-30,13.95,15.0,14.45,14.95,4500.0
2001-10-31,14.95,15.2,14.75,14.95,18000.0
2001-11-13,14.95,14.25,14.25,14.25,4000.0
2001-11-19,14.25,15.75,15.75,15.75,2000.0
2001-11-27,15.75,15.0,15.0,15.0,1000.0
2001-12-06,15.0,14.25,14.25,14.25,3000.0
