Date,Open,High,Low,Close,Volume
2015-04-29,0.0,1.14,1.14,1.14,0.0
2015-04-30,0.0,2.06,2.06,2.06,0.0
2015-05-04,0.0,2.5,2.5,2.5,0.0
2015-05-05,3.5,3.5,3.11,3.5,129500.0
2015-05-06,4.5,4.5,4.5,4.5,40000.0
2015-05-07,5.5,5.5,4.76,5.23,638000.0
2015-05-08,4.55,4.56,4.23,4.23,77500.0
2015-05-11,3.52,3.65,3.23,3.23,107000.0
2015-05-12,3.15,3.9,3.15,3.8,47000.0
2015-05-13,4.0,4.0,3.5,3.55,6500.0
2015-05-14,3.85,3.85,3.85,3.85,500.0
2015-05-15,3.9,3.94,3.6,3.6,6000.0
2015-05-18,3.3,3.75,3.3,3.3,2000.0
2015-05-19,3.3,3.26,3.15,3.25,2500.0
2015-05-20,3.15,3.42,3.0,3.42,9500.0
2015-05-21,0.0,3.26,3.26,3.42,3000.0
2015-05-22,3.2,3.2,3.2,3.2,2000.0
2015-05-25,3.21,3.21,3.1,3.16,10000.0
2015-05-26,3.16,4.08,2.76,2.94,101500.0
2015-05-27,2.99,3.19,2.91,2.91,18500.0
2015-05-28,2.86,2.86,2.81,2.82,7000.0
2015-05-29,2.81,3.32,2.8,3.1,14000.0
2015-06-01,3.0,3.44,2.9,3.27,30500.0
2015-06-02,0.0,3.42,3.42,3.27,1000.0
2015-06-03,3.05,3.35,3.03,3.35,15000.0
2015-06-04,3.6,3.67,3.35,3.4,12000.0
2015-06-05,3.7,4.08,3.5,3.5,11000.0
2015-06-08,3.59,3.9,3.59,3.8,38500.0
2015-06-09,3.52,3.75,3.35,3.39,17500.0
2015-06-10,3.21,3.45,3.2,3.38,22500.0
2015-06-11,3.38,3.99,3.25,3.79,60500.0
2015-06-12,3.98,3.99,3.98,3.99,1000.0
2015-06-15,4.0,4.0,3.26,3.35,15500.0
2015-06-16,3.35,3.35,3.21,3.21,3000.0
2015-06-17,3.13,3.49,3.13,3.39,23000.0
2015-06-18,3.3,3.5,3.25,3.5,5000.0
2015-06-25,3.01,3.42,3.01,3.15,2500.0
2015-07-02,3.01,3.01,3.0,3.0,2500.0
2015-07-03,3.0,3.0,3.0,3.0,2500.0
2015-07-06,2.9,2.9,2.8,2.81,10000.0
2015-07-07,2.76,3.2,2.76,3.2,11500.0
2015-07-08,2.85,2.85,2.8,2.83,6000.0
2015-07-09,2.95,2.95,2.95,2.95,500.0
2015-07-13,2.55,2.77,2.55,2.71,6500.0
2015-07-14,2.6,3.39,2.6,3.19,24500.0
2015-07-15,3.25,3.75,3.25,3.57,44500.0
2015-07-16,3.51,4.01,3.51,3.75,99500.0
2015-07-22,3.49,4.1,3.49,4.09,71500.0
2015-07-23,4.0,4.5,3.85,4.5,47500.0
2015-07-24,4.38,4.45,4.0,4.0,2500.0
2015-07-27,4.3,4.3,4.3,4.3,1000.0
2015-07-28,3.75,3.75,3.67,3.7,7000.0
2015-07-29,3.7,3.73,3.26,3.38,19500.0
2015-07-30,3.5,3.74,3.4,3.4,8500.0
2015-08-04,3.25,3.25,3.25,3.25,500.0
2015-08-10,3.4,3.4,3.13,3.13,4500.0
2015-08-12,3.3,3.35,3.3,3.3,3500.0
2015-08-13,3.4,3.4,3.4,3.4,10000.0
2015-08-19,3.13,3.25,3.1,3.25,6000.0
2015-08-20,3.03,3.03,3.0,3.0,4000.0
2015-08-21,3.0,3.0,3.0,3.0,2500.0
2015-08-24,2.8,2.95,2.65,2.95,2000.0
2015-08-25,3.0,3.0,2.8,3.0,18500.0
2015-08-26,3.1,3.2,3.1,3.2,1000.0
2015-08-27,3.2,3.35,3.2,3.31,8500.0
2015-08-28,3.35,3.35,3.35,3.35,3000.0
2015-08-31,3.25,3.7,3.25,3.63,6000.0
2015-09-01,3.51,3.51,3.51,3.51,3000.0
2015-09-03,3.3,3.44,3.25,3.44,2000.0
2015-09-04,3.4,3.4,3.4,3.4,2500.0
2015-09-08,3.45,4.4,3.45,4.4,121000.0
2015-09-09,5.4,5.4,5.0,5.4,342500.0
2015-09-10,5.78,6.39,4.9,5.26,354000.0
2015-09-11,5.25,5.25,4.26,4.3,104500.0
2015-09-14,4.06,4.25,3.7,3.99,61000.0
2015-09-15,4.24,4.3,3.8,4.09,17500.0
2015-09-16,4.0,4.29,3.7,4.0,23000.0
2015-09-17,4.0,4.0,3.8,3.86,4000.0
2015-09-22,4.0,4.0,3.4,3.55,11500.0
2015-09-23,3.76,4.44,3.76,4.25,33000.0
2015-09-28,3.98,4.0,3.9,4.0,8000.0
2015-09-30,4.05,4.05,4.05,4.05,3000.0
2015-10-02,3.76,4.0,3.76,4.0,4500.0
2015-10-06,3.5,3.9,3.5,3.85,28000.0
2015-10-07,4.18,4.18,3.71,3.71,21500.0
2015-10-08,3.76,3.76,3.7,3.71,15000.0
2015-10-09,3.98,3.98,3.98,3.71,500.0
2015-10-12,3.52,3.55,3.5,3.5,4500.0
2015-10-13,3.75,3.75,3.6,3.6,11000.0
2015-10-14,0.0,3.6,3.6,3.6,500.0
2015-10-15,0.0,0.0,0.0,3.6,0.0
2015-10-16,3.7,3.7,3.65,3.66,6500.0
2015-10-19,3.76,3.76,3.61,3.61,12500.0
2015-10-20,3.75,3.8,3.64,3.64,9500.0
2015-10-21,0.0,0.0,0.0,3.64,0.0
2015-10-22,3.89,3.89,3.65,3.65,1000.0
2015-10-26,3.65,3.65,3.52,3.6,13000.0
2015-10-27,3.5,3.55,3.43,3.55,13500.0
2015-10-28,3.45,3.6,3.4,3.51,35000.0
2015-10-29,3.55,3.55,3.55,3.55,1000.0
2015-10-30,0.0,0.0,0.0,3.55,0.0
2015-11-02,3.5,3.5,3.35,3.44,9000.0
2015-11-03,0.0,0.0,0.0,3.44,0.0
2015-11-04,3.35,3.5,3.21,3.5,27500.0
2015-11-05,3.5,4.5,3.43,3.64,204000.0
2015-11-06,3.4,3.7,3.39,3.7,13000.0
2015-11-09,3.6,3.7,3.44,3.7,17000.0
2015-11-10,0.0,0.0,0.0,3.7,0.0
2015-11-11,0.0,0.0,0.0,3.7,0.0
2015-11-12,3.6,3.7,3.6,3.63,4000.0
2015-11-13,3.5,3.5,3.5,3.5,500.0
