Date,Open,High,Low,Close,Volume
2001-01-01,150.0,140.0,135.05,135.05,1200.0
2001-01-03,135.05,140.05,140.0,140.05,300.0
2001-01-04,140.05,160.0,145.0,160.0,1300.0
2001-01-08,160.0,145.0,145.0,145.0,200.0
2001-01-09,145.0,145.0,145.0,145.0,300.0
2001-01-10,145.0,150.0,150.0,150.0,100.0
2001-01-12,150.0,150.0,150.0,150.0,100.0
2001-01-18,150.0,144.0,144.0,144.0,300.0
2001-01-22,144.0,145.0,145.0,145.0,100.0
2001-01-24,145.0,140.0,139.0,139.0,200.0
2001-01-26,139.0,138.0,138.0,138.0,100.0
2001-02-01,138.0,140.0,135.0,140.0,200.0
2001-02-07,140.0,141.5,141.5,141.5,100.0
2001-02-09,141.5,142.0,141.5,141.5,200.0
2001-02-12,141.5,139.5,138.0,139.5,200.0
2001-02-16,139.5,139.5,139.5,139.5,100.0
2001-02-19,139.5,135.0,135.0,135.0,100.0
2001-02-20,135.0,160.0,134.0,160.0,2600.0
2001-02-21,160.0,160.0,138.0,150.0,2400.0
2001-02-22,150.0,154.0,154.0,154.0,600.0
2001-02-23,154.0,155.0,155.0,155.0,200.0
2001-03-09,155.0,175.0,142.0,175.0,1100.0
2001-03-12,175.0,210.0,146.0,210.0,3400.0
2001-03-13,210.0,180.0,165.0,170.0,500.0
2001-03-14,170.0,160.0,160.0,160.0,200.0
2001-03-15,160.0,162.0,145.5,145.5,900.0
2001-03-16,145.5,180.0,143.0,168.0,1400.0
2001-03-19,168.0,164.0,147.0,164.0,300.0
2001-03-20,164.0,160.0,148.0,149.0,300.0
2001-03-22,149.0,149.0,149.0,149.0,0.0
2001-03-27,149.0,150.0,150.0,150.0,200.0
2001-03-28,150.0,150.0,150.0,150.0,100.0
2001-03-30,150.0,145.0,140.0,140.0,200.0
2001-04-06,140.0,140.0,140.0,140.0,100.0
2001-04-09,140.0,140.0,140.0,140.0,0.0
2001-04-10,140.0,145.0,145.0,145.0,100.0
2001-04-11,145.0,145.0,145.0,145.0,100.0
2001-04-18,145.0,168.25,168.0,168.25,200.0
2001-04-19,168.25,154.0,138.0,141.0,400.0
2001-04-20,141.0,152.0,142.0,142.0,600.0
2001-04-23,137.5,137.5,135.0,137.0,1900.0
2001-04-24,137.0,134.5,134.5,134.5,100.0
2001-04-25,134.5,135.0,135.0,135.0,200.0
2001-04-30,135.0,130.0,130.0,130.0,300.0
2001-05-03,130.0,130.0,130.0,130.0,100.0
2001-05-08,130.0,130.0,130.0,130.0,600.0
2001-05-09,130.0,130.0,130.0,130.0,700.0
2001-05-10,130.0,132.0,130.0,132.0,300.0
2001-05-11,132.0,130.0,130.0,130.0,400.0
2001-05-14,130.0,130.0,130.0,130.0,200.0
2001-05-16,130.0,132.9,125.0,132.9,800.0
2001-05-18,132.9,129.0,129.0,129.0,100.0
2001-05-21,129.0,128.0,128.0,128.0,100.0
2001-05-23,128.0,128.0,127.95,128.0,300.0
2001-05-24,128.0,128.0,128.0,128.0,1700.0
2001-05-25,128.0,128.0,128.0,128.0,100.0
2001-05-30,128.0,128.0,128.0,128.0,200.0
2001-05-31,128.0,128.0,127.0,127.0,300.0
2001-06-08,127.0,127.0,127.0,127.0,100.0
2001-06-12,127.0,120.25,120.0,120.25,500.0
2001-06-13,120.25,125.0,123.0,125.0,1000.0
2001-06-15,125.0,124.0,124.0,124.0,100.0
2001-06-18,124.0,124.0,124.0,124.0,400.0
2001-06-19,124.0,123.0,122.0,122.0,400.0
2001-06-26,122.0,122.1,122.0,122.1,200.0
2001-06-29,122.1,137.0,137.0,137.0,100.0
2001-07-10,137.0,125.0,125.0,125.0,200.0
2001-07-11,125.0,145.0,126.0,126.0,700.0
2001-07-12,126.0,135.0,127.1,135.0,200.0
2001-07-13,135.0,135.0,129.5,129.5,400.0
2001-07-26,129.5,129.5,129.5,129.5,100.0
2001-08-08,129.5,130.1,130.1,130.1,200.0
2001-08-13,130.1,158.5,150.0,158.5,900.0
2001-08-17,158.5,136.0,136.0,136.0,200.0
2001-08-24,136.0,140.0,140.0,140.0,100.0
2001-08-29,140.0,140.0,140.0,140.0,100.0
2001-09-06,140.0,130.5,130.5,130.5,100.0
2001-09-10,130.5,130.5,130.5,130.5,0.0
2001-09-11,130.5,131.0,130.15,130.15,1000.0
2001-09-12,130.15,125.0,125.0,125.0,100.0
2001-09-14,125.0,125.0,125.0,125.0,100.0
2001-09-24,121.0,121.0,121.0,121.0,0.0
2001-09-27,121.0,118.0,117.0,117.0,1000.0
2001-10-04,117.0,117.0,117.0,117.0,0.0
2001-10-10,117.0,125.0,125.0,125.0,200.0
2001-10-11,125.0,124.95,124.95,124.95,200.0
2001-10-12,124.95,125.0,125.0,125.0,100.0
2001-10-19,125.0,121.0,121.0,121.0,200.0
2001-10-24,121.0,145.0,140.0,145.0,300.0
2001-10-26,145.0,160.0,152.0,160.0,200.0
2001-10-29,160.0,160.0,160.0,160.0,100.0
2001-10-30,160.0,168.0,168.0,168.0,100.0
2001-10-31,168.0,160.0,160.0,160.0,500.0
2001-11-01,160.0,160.0,160.0,160.0,300.0
2001-11-07,160.0,160.0,160.0,160.0,100.0
2001-11-12,160.0,165.0,165.0,165.0,200.0
2001-11-14,165.0,159.0,157.0,157.0,200.0
2001-11-28,157.0,150.0,150.0,150.0,100.0
2001-12-04,150.0,160.0,160.0,160.0,200.0
2001-12-28,160.0,150.0,150.0,150.0,100.0
2002-01-02,150.0,155.0,155.0,155.0,100.0
2002-01-09,155.0,160.0,155.0,160.0,600.0
2002-01-10,160.0,160.0,160.0,160.0,100.0
2002-01-11,160.0,159.75,159.75,159.75,100.0
2002-01-14,159.75,155.0,155.0,155.0,100.0
2002-01-15,155.0,155.0,155.0,155.0,100.0
2002-01-18,155.0,155.0,155.0,155.0,400.0
2002-01-21,155.0,150.0,150.0,150.0,200.0
2002-01-29,150.0,154.0,154.0,154.0,100.0
2002-02-01,154.0,158.0,157.95,158.0,200.0
2002-02-08,158.0,158.0,158.0,158.0,300.0
2002-02-11,158.0,168.0,158.0,168.0,300.0
2002-02-13,168.0,170.0,168.0,170.0,300.0
2002-02-14,170.0,170.0,170.0,170.0,300.0
2002-02-18,170.0,169.05,163.0,169.05,10000.0
2002-02-20,169.05,170.0,164.9,169.95,10100.0
2002-02-27,169.95,182.0,178.0,178.0,5300.0
2002-02-28,178.0,170.0,170.0,170.0,200.0
2002-03-01,170.0,163.05,158.0,163.05,10000.0
2002-03-04,163.05,169.0,161.0,166.05,21000.0
2002-03-12,166.05,160.0,160.0,160.0,1000.0
2002-03-14,160.0,165.0,160.0,165.0,4400.0
2002-03-15,165.0,166.0,166.0,166.0,100.0
2002-03-18,166.0,173.0,170.0,173.0,300.0
2002-03-21,173.0,170.0,170.0,170.0,100.0
2002-03-22,170.0,178.5,171.0,177.0,2000.0
2002-03-29,177.0,176.0,176.0,176.0,200.0
2002-04-01,176.0,176.0,176.0,176.0,0.0
2002-04-02,176.0,172.0,172.0,172.0,200.0
2002-04-03,172.0,172.0,172.0,172.0,1500.0
2002-04-04,172.0,175.75,175.0,175.0,1200.0
2002-04-05,175.0,176.0,176.0,175.9,600.0
2002-04-08,169.9,160.0,160.0,160.0,200.0
2002-04-15,160.0,165.0,165.0,165.0,100.0
2002-04-16,165.0,175.0,166.0,171.0,2200.0
2002-04-17,171.0,175.0,175.0,175.0,16000.0
2002-04-18,175.0,180.0,180.0,180.0,200.0
2002-04-19,180.0,177.1,167.1,177.1,2000.0
2002-04-22,177.1,183.0,183.0,183.0,800.0
2002-04-23,183.0,183.0,183.0,183.0,400.0
2002-04-24,183.0,183.0,183.0,183.0,1000.0
2002-04-25,183.0,183.5,182.0,182.0,1800.0
2002-04-26,182.0,184.0,183.5,184.0,400.0
2002-04-29,184.0,189.95,185.0,189.95,300.0
2002-04-30,189.95,186.0,185.0,185.0,600.0
2002-05-03,185.0,185.0,184.0,185.0,400.0
2002-05-06,185.0,185.5,185.1,185.1,500.0
2002-05-08,185.1,185.0,184.0,185.0,300.0
2002-05-10,185.0,193.0,190.0,193.0,300.0
2002-05-15,193.0,187.5,187.0,187.0,200.0
2002-05-16,187.0,193.0,190.0,190.0,1800.0
2002-05-17,190.0,188.0,187.5,187.5,1200.0
2002-05-21,187.5,182.0,182.0,182.0,1500.0
2002-05-22,182.0,173.5,172.9,172.9,900.0
2002-05-24,172.9,183.0,180.0,182.0,1500.0
2002-05-29,182.0,182.05,180.0,182.05,11000.0
2002-06-05,182.05,182.05,182.05,182.05,1100.0
2002-06-10,182.05,192.0,190.0,190.0,2100.0
2002-06-12,190.0,188.0,188.0,188.0,500.0
2002-06-13,188.0,189.25,189.0,189.0,9100.0
2002-06-18,189.0,190.0,189.0,190.0,5000.0
2002-06-19,190.0,190.9,189.1,189.1,5000.0
2002-06-20,189.1,190.0,190.0,190.0,2000.0
2002-06-28,190.0,190.0,189.95,190.0,1000.0
2002-07-02,190.0,191.0,191.0,191.0,2200.0
2002-07-03,191.0,191.0,191.0,191.0,1600.0
2002-07-04,191.0,191.0,190.95,190.95,1300.0
2002-07-05,190.95,190.0,190.0,190.0,0.0
2002-07-08,190.0,190.5,190.5,190.5,100.0
2002-07-09,190.5,190.0,190.0,190.0,100.0
2002-07-15,190.0,188.95,188.5,188.8,400.0
2002-07-16,188.8,188.8,188.8,188.8,400.0
2002-07-17,188.8,187.5,187.5,187.5,0.0
2002-08-05,187.5,189.0,189.0,189.0,200.0
2002-08-06,189.0,188.0,188.0,188.0,0.0
2002-08-07,188.0,191.0,188.0,188.0,900.0
2002-08-08,188.0,199.95,180.0,180.0,1400.0
2002-08-12,180.0,193.5,193.5,193.5,100.0
2002-08-13,193.5,191.0,191.0,191.0,0.0
