Date,Open,High,Low,Close,Volume
2005-08-26,10.0,36.0,30.25,34.05,7744500.0
2005-08-29,34.05,35.75,34.5,35.75,2321000.0
2005-08-30,35.75,37.5,36.2,37.5,1171500.0
2005-08-31,37.5,38.4,35.65,35.65,2263000.0
2005-09-01,35.65,36.95,33.9,35.05,4151000.0
2005-09-02,35.05,36.15,34.5,35.35,1120000.0
2005-09-05,35.35,36.6,34.0,35.65,2431500.0
2005-09-06,35.65,36.3,34.75,34.8,703500.0
2005-09-07,34.8,35.35,34.1,34.1,495500.0
2005-09-08,34.1,34.5,32.4,32.45,739500.0
2005-09-09,32.45,33.4,32.6,33.0,495000.0
2005-09-12,33.0,34.5,33.0,34.1,752000.0
2005-09-13,34.1,35.8,34.0,35.8,1415500.0
2005-09-14,35.8,37.55,36.35,37.55,2110500.0
2005-09-15,37.55,39.0,37.15,37.25,1830000.0
2005-09-16,37.25,38.0,36.3,36.5,855500.0
2005-09-19,36.5,38.3,36.9,37.5,1629000.0
2005-09-20,37.5,39.35,37.0,39.35,3108500.0
2005-09-21,39.35,41.3,37.5,38.7,5964000.0
2005-09-22,38.7,39.75,38.75,39.3,2020000.0
2005-09-23,39.3,39.95,38.1,38.3,982500.0
2005-09-26,38.3,38.8,37.6,37.8,589500.0
2005-09-27,37.8,38.35,37.5,37.5,326000.0
2005-09-28,37.5,37.85,37.1,37.4,272000.0
2005-09-29,37.4,38.4,37.15,37.6,728000.0
2005-09-30,37.6,38.85,37.5,38.2,1005000.0
2005-10-03,38.2,40.1,37.75,40.1,1469000.0
2005-10-04,40.1,41.9,40.5,40.8,1582000.0
2005-10-05,40.8,41.5,39.75,40.0,1034500.0
2005-10-06,40.0,40.4,38.7,38.75,577500.0
2005-10-07,38.75,39.8,38.4,39.0,340000.0
2005-10-10,39.0,39.75,38.15,39.15,366000.0
2005-10-11,39.15,39.8,38.8,39.6,239500.0
2005-10-12,39.6,40.3,39.35,39.5,418500.0
2005-10-13,39.5,39.9,38.6,38.85,305000.0
