Date,Open,High,Low,Close,Volume
2012-04-27,10.0,10.4,9.0,10.01,1277707.0
2012-04-30,10.01,10.35,9.48,10.03,10628.0
2012-05-02,10.03,10.25,9.03,9.45,60502.0
2012-05-03,9.45,9.59,9.1,9.52,2500.0
2012-05-04,9.52,9.73,9.49,9.72,23201.0
2012-05-07,9.72,9.69,9.13,9.6,2503.0
2012-05-08,9.6,9.65,9.25,9.59,6001.0
2012-05-09,9.59,9.95,9.95,9.59,11.0
2012-05-10,9.59,9.4,9.05,9.39,1500.0
2012-05-11,9.39,9.6,9.05,9.05,2507.0
2012-05-14,9.05,9.49,8.99,9.25,10000.0
2012-05-15,9.25,9.18,8.41,9.17,2024.0
2012-05-16,9.17,9.4,8.6,9.14,1035057.0
2012-05-17,9.14,9.28,9.28,9.14,1.0
2012-05-18,9.14,9.9,9.0,9.02,3537.0
2012-05-21,9.02,9.25,9.0,9.0,6001.0
2012-05-22,9.0,9.34,8.0,9.31,10026.0
2012-05-23,9.31,9.69,8.76,9.31,189.0
2012-05-24,9.31,9.0,9.0,9.31,50.0
2012-05-25,9.31,9.24,8.36,9.0,1010.0
2012-05-28,9.0,9.08,9.08,9.0,100.0
2012-05-29,9.0,9.19,8.5,8.5,3020.0
2012-05-30,8.5,9.4,7.6,9.21,506.0
2012-05-31,9.21,9.9,8.32,8.32,1532.0
2012-06-01,8.32,9.28,8.05,8.32,14.0
2012-06-04,8.32,9.28,8.45,9.22,3160.0
2012-06-05,9.22,8.98,8.45,8.46,2028.0
2012-06-06,8.46,8.75,8.2,8.46,2.0
2012-06-07,8.46,8.5,8.1,8.1,7733.0
2012-06-08,8.1,8.35,7.1,8.1,20.0
2012-06-11,8.1,8.2,7.55,7.55,3029.0
2012-06-12,7.55,7.95,7.32,7.6,4464.0
2012-06-13,7.6,8.38,7.21,7.6,12.0
2012-06-14,7.6,8.39,7.21,7.22,1008.0
2012-06-15,7.22,7.99,7.05,7.22,13.0
2012-06-18,7.22,7.98,7.98,7.22,1.0
2012-06-19,7.22,7.98,7.08,7.22,300.0
2012-06-21,7.22,7.96,7.0,7.22,23.0
2012-06-22,7.22,7.98,6.22,7.06,1504.0
2012-06-26,7.06,7.95,6.61,7.88,11001.0
2012-06-27,7.88,8.79,7.16,8.73,65179.0
2012-06-28,8.73,9.3,8.1,8.87,16901.0
2012-06-29,8.87,9.19,8.13,9.11,9008.0
2012-07-02,9.11,9.2,8.2,9.08,603.0
2012-07-03,9.08,9.24,8.1,8.93,535.0
2012-07-04,8.93,8.99,8.99,8.99,500.0
2012-07-05,8.99,8.98,8.1,8.99,2.0
2012-07-06,8.99,8.12,8.12,8.99,10.0
2012-07-09,8.99,8.98,8.89,8.99,1404.0
2012-07-10,8.99,8.17,8.15,8.99,18.0
2012-07-11,8.99,8.89,8.1,8.99,11.0
2012-07-13,8.99,8.85,8.0,8.99,8.0
2012-07-16,8.99,8.11,8.1,8.99,2.0
2012-07-17,8.99,8.1,8.1,8.99,16.0
2012-07-20,8.99,8.75,8.75,8.99,10.0
2012-08-02,8.99,8.11,8.11,8.11,1000.0
2012-08-06,8.11,7.49,7.11,7.13,56000.0
2012-08-08,7.13,7.85,6.52,7.17,7500.0
2012-08-09,7.17,7.49,7.49,7.17,500.0
2012-08-10,7.17,8.17,6.55,6.57,72500.0
2012-08-13,6.57,6.9,6.6,6.6,2000.0
2012-08-15,6.6,6.95,6.85,6.95,2000.0
2012-08-16,6.95,6.3,6.3,6.95,2000.0
2012-08-24,6.95,6.88,6.83,6.86,4000.0
2012-08-28,6.86,7.75,6.5,6.61,11500.0
2012-08-30,6.61,6.6,6.5,6.5,5500.0
2012-08-31,6.5,6.89,6.84,6.89,1000.0
2012-09-03,6.89,6.84,6.3,6.8,2500.0
2012-09-05,6.8,6.26,6.26,6.8,22500.0
2012-09-06,6.8,6.5,6.25,6.25,15000.0
2012-09-12,6.25,6.55,6.55,6.55,500.0
2012-09-19,6.55,6.0,6.0,6.0,1500.0
2012-09-20,6.0,6.5,5.22,6.5,5000.0
2012-09-24,6.5,6.95,6.95,6.95,2500.0
2012-09-25,6.95,7.0,5.95,6.85,13000.0
2012-09-28,6.85,7.0,6.99,7.0,4000.0
2012-10-02,7.0,6.85,6.08,6.85,2500.0
2012-10-03,6.85,7.0,6.95,7.0,2000.0
2012-10-04,7.0,7.0,7.0,7.0,6000.0
2012-10-05,7.0,6.9,6.85,6.88,2500.0
2012-10-09,6.88,6.84,6.84,6.88,1000.0
2012-10-11,6.88,6.94,6.94,6.94,3500.0
2012-10-12,6.94,6.7,6.5,6.5,1000.0
2012-10-15,6.5,6.12,5.5,5.5,280500.0
2012-10-16,5.5,5.75,4.55,4.95,203000.0
2012-10-17,4.95,5.85,4.95,5.08,145500.0
2012-10-18,5.08,5.02,5.01,5.02,2500.0
2012-10-19,5.02,5.32,5.0,5.1,5500.0
2012-10-22,5.1,5.4,5.4,5.4,1000.0
2012-10-23,5.4,5.38,5.38,5.38,1000.0
2012-10-24,5.38,5.39,5.01,5.39,1500.0
2012-10-25,5.39,5.49,5.49,5.39,500.0
2012-10-30,5.39,5.0,5.0,5.0,1000.0
2012-10-31,5.0,5.0,5.0,5.0,22000.0
2012-11-01,5.0,5.0,4.99,5.0,10000.0
2012-11-02,5.0,4.61,4.61,5.0,1000.0
2012-11-05,5.0,5.0,4.78,5.0,7500.0
2012-11-06,5.0,5.1,5.1,5.1,2500.0
2012-11-07,5.1,5.39,5.39,5.1,500.0
2012-11-14,5.1,5.22,5.0,5.2,14000.0
2012-11-15,5.2,5.01,5.01,5.01,7500.0
2012-11-16,5.01,4.9,4.55,4.6,53500.0
2012-11-19,4.6,4.7,4.6,4.62,3500.0
2012-11-20,4.62,5.0,4.6,4.71,42500.0
2012-11-21,4.71,4.92,4.92,4.71,2000.0
