Date,Open,High,Low,Close,Volume
2016-06-21,9.6,9.95,9.21,9.29,1349500.0
2016-06-22,9.4,9.42,9.1,9.21,485000.0
2016-06-23,9.4,9.69,9.23,9.61,765000.0
2016-06-24,9.4,9.58,8.86,9.42,1323500.0
2016-06-27,9.74,9.89,9.1,9.2,693000.0
2016-06-28,9.12,9.12,8.76,8.81,451000.0
2016-06-29,8.94,9.44,8.8,9.15,1156500.0
2016-07-18,8.84,8.84,8.5,8.57,740000.0
2016-07-19,8.68,8.75,8.54,8.57,719500.0
2016-07-20,8.74,8.95,8.6,8.89,962500.0
2016-07-21,8.8,9.2,8.8,8.89,1531500.0
2016-07-22,8.0,8.24,8.0,8.08,986500.0
2016-07-25,8.11,8.3,8.1,8.17,245500.0
2016-07-26,8.28,8.28,7.99,8.0,998500.0
2016-07-27,8.1,8.22,8.0,8.11,451500.0
2016-07-28,8.01,8.25,8.01,8.09,451500.0
2016-07-29,8.17,8.17,7.87,8.0,253500.0
2016-08-01,7.91,8.22,7.91,8.05,856500.0
2016-08-02,8.03,8.23,8.02,8.19,351500.0
2016-08-03,8.21,8.39,8.16,8.26,752500.0
2016-08-04,8.3,8.35,8.07,8.11,490000.0
2016-08-05,8.11,8.22,8.01,8.09,163000.0
2016-08-08,8.18,8.29,8.02,8.14,467500.0
2016-08-09,8.24,8.7,8.16,8.41,4172500.0
2016-08-10,8.42,8.65,7.97,8.08,3557000.0
2016-08-11,8.07,8.29,8.04,8.07,998500.0
2016-08-12,8.11,8.19,8.01,8.08,903500.0
2016-08-15,8.17,8.3,8.02,8.2,1584500.0
2016-08-16,8.25,8.3,8.12,8.18,529500.0
2016-08-17,8.2,8.2,8.11,8.13,414000.0
2016-08-18,8.15,8.25,7.95,8.0,907000.0
2016-08-19,7.9,8.0,7.75,7.82,257500.0
2016-08-22,7.74,7.94,7.73,7.89,423000.0
2016-08-23,7.8,7.89,7.58,7.64,722500.0
2016-08-24,7.6,7.7,7.55,7.64,115000.0
2016-08-25,7.65,8.0,7.65,7.91,1115000.0
2016-08-26,7.95,8.02,7.85,7.91,361000.0
2016-08-29,7.9,8.19,7.9,8.06,1084500.0
2016-08-30,8.08,8.24,7.95,8.17,734500.0
2016-08-31,8.18,8.73,8.11,8.63,4590000.0
2016-09-01,8.57,8.95,8.5,8.61,2706000.0
2016-09-02,8.56,8.75,8.4,8.43,902500.0
2016-09-05,8.44,8.7,8.28,8.59,1464000.0
2016-09-06,8.6,8.8,8.51,8.57,1079500.0
2016-09-07,8.5,8.68,8.42,8.57,907500.0
2016-09-08,8.6,8.75,8.51,8.54,1181000.0
2016-09-09,8.55,9.35,8.5,9.16,7665500.0
2016-09-15,9.26,10.16,8.85,10.16,14429000.0
2016-09-16,10.45,10.68,10.0,10.09,8502500.0
2016-09-19,10.09,11.09,9.63,11.09,10662000.0
2016-09-20,11.34,11.34,10.1,10.37,6573500.0
2016-09-21,10.25,10.4,9.41,9.52,3878000.0
2016-09-22,9.7,10.25,9.65,9.76,3472500.0
2016-09-23,9.8,10.1,9.47,9.55,1888500.0
2016-09-26,9.75,10.44,9.75,10.12,4351500.0
2016-09-27,10.29,10.47,9.94,10.19,3291500.0
2016-09-28,10.29,11.19,10.07,11.02,10521000.0
2016-09-29,11.0,11.0,10.02,10.28,6177500.0
2016-09-30,10.49,10.7,10.3,10.43,2189500.0
2016-10-03,10.68,11.4,10.6,11.01,9639500.0
2016-10-04,11.15,11.84,11.0,11.44,9037500.0
2016-10-05,11.56,12.08,11.56,11.77,7041000.0
2016-10-06,11.97,12.25,11.65,11.73,4804000.0
2016-10-07,11.86,11.98,11.51,11.58,1424500.0
2016-10-10,11.76,12.36,11.76,12.08,6013000.0
2016-10-13,12.2,12.38,11.7,12.03,4021000.0
2016-10-14,12.0,12.68,11.65,12.04,9350500.0
2016-10-17,12.0,12.68,11.88,12.1,10941500.0
2016-10-18,12.2,13.1,11.9,13.1,18050500.0
2016-10-19,13.4,13.58,12.6,12.88,12303000.0
2016-10-20,12.7,13.18,12.6,12.77,6032000.0
2016-10-21,12.72,13.04,12.32,12.5,3240500.0
2016-10-24,12.5,12.57,11.5,11.6,3594500.0
2016-10-25,11.36,11.5,10.81,11.24,4418000.0
2016-10-26,11.45,11.65,10.67,10.87,1879500.0
2016-10-27,10.7,11.01,9.87,9.92,7345000.0
2016-10-28,9.5,9.95,9.25,9.42,2919000.0
2016-10-31,9.65,10.15,9.32,9.71,1246000.0
2016-11-01,9.75,10.71,9.75,10.71,3651000.0
2016-11-02,11.25,11.71,11.06,11.52,6135000.0
2016-11-03,11.75,11.75,11.2,11.4,2460500.0
2016-11-04,11.23,12.08,11.23,11.45,4124500.0
2016-11-07,11.45,11.9,11.25,11.6,2951500.0
2016-11-08,11.83,11.83,11.35,11.49,1510500.0
2016-11-09,11.29,11.49,10.76,11.22,2586000.0
2016-11-10,11.39,11.55,11.01,11.08,1845000.0
2016-11-11,11.15,11.36,11.01,11.11,2368500.0
2016-11-14,11.25,11.7,11.2,11.6,4430500.0
2016-11-15,11.51,11.95,11.51,11.57,3494000.0
2016-11-16,11.7,11.8,11.4,11.45,1540000.0
2016-11-17,11.43,11.88,11.4,11.72,3207500.0
2016-11-18,11.89,12.35,11.85,12.08,10383000.0
2016-11-21,12.24,12.49,12.1,12.21,3894500.0
2016-11-22,12.35,12.78,12.26,12.45,9013000.0
2016-11-23,12.56,12.6,12.2,12.34,3091500.0
2016-11-24,12.27,12.78,12.27,12.42,5997500.0
2016-11-25,12.52,13.2,12.25,12.82,7609500.0
2016-11-28,13.18,13.82,13.13,13.65,15651000.0
2016-11-29,13.78,13.78,13.1,13.26,4350500.0
2016-11-30,13.21,13.39,13.06,13.08,2248500.0
2016-12-01,13.21,13.4,12.26,12.53,7065500.0
2016-12-02,12.74,12.81,12.46,12.55,1490500.0
2016-12-05,12.55,12.7,12.41,12.56,1190500.0
2016-12-06,12.5,12.87,12.43,12.5,1247500.0
2016-12-07,12.52,12.61,12.07,12.21,980500.0
2016-12-08,12.2,12.44,12.05,12.08,592500.0
2016-12-09,12.2,12.56,12.14,12.27,1025500.0
2016-12-13,12.4,12.4,12.01,12.03,943000.0
2016-12-14,12.02,12.09,11.6,11.74,973000.0
2016-12-15,11.8,11.93,11.4,11.5,820500.0
2016-12-16,11.55,12.48,11.48,12.32,2658500.0
2016-12-19,12.48,12.75,12.02,12.37,1924500.0
2016-12-20,12.26,12.52,12.21,12.3,1270500.0
2016-12-21,12.35,12.35,11.6,11.95,1139000.0
2016-12-22,11.85,12.14,11.62,11.68,470000.0
2016-12-23,11.6,11.9,11.51,11.72,282500.0
2016-12-26,11.95,11.95,11.51,11.6,339000.0
2016-12-27,11.7,12.05,11.7,11.74,689000.0
2016-12-28,11.76,11.95,11.55,11.65,654500.0
2016-12-29,11.7,11.83,11.52,11.77,562500.0
2016-12-30,11.75,12.04,11.7,11.76,1004500.0
2017-01-02,11.88,12.49,11.82,12.41,2369500.0
2017-01-03,12.6,13.12,12.35,12.78,6458000.0
2017-01-04,12.75,12.99,12.4,12.48,2020500.0
2017-01-05,12.45,12.58,12.26,12.34,815000.0
2017-01-06,12.42,12.64,12.15,12.41,1908500.0
2017-01-09,12.32,12.99,12.32,12.51,2705500.0
2017-01-10,12.6,12.65,12.45,12.49,648500.0
2017-01-11,12.5,12.8,12.4,12.54,1207000.0
2017-01-12,12.5,12.73,12.18,12.26,1626000.0
2017-01-13,12.32,12.39,12.0,12.01,1085000.0
2017-01-16,11.9,12.29,11.9,12.01,626000.0
2017-01-17,12.15,12.65,11.85,12.5,3049500.0
2017-01-18,12.6,12.6,12.07,12.21,1053000.0
2017-01-19,12.38,12.5,12.1,12.17,1134000.0
2017-01-20,12.29,12.57,12.13,12.21,2391500.0
2017-01-23,12.45,12.82,12.45,12.51,2827500.0
2017-01-24,12.55,12.67,12.29,12.36,945500.0
2017-01-25,12.37,12.45,12.1,12.12,783000.0
2017-01-26,12.25,12.5,11.96,12.03,2332500.0
2017-01-27,12.02,12.39,11.88,11.92,1521500.0
2017-01-30,11.92,12.04,10.92,11.19,1947000.0
2017-01-31,11.21,11.4,11.01,11.14,476000.0
2017-02-01,11.25,11.6,11.2,11.49,760500.0
2017-02-02,11.5,11.9,11.5,11.75,1499500.0
2017-02-03,11.61,11.74,11.18,11.24,1359500.0
2017-02-06,11.35,11.54,11.11,11.18,507000.0
2017-02-07,11.25,11.9,11.2,11.78,2139500.0
2017-02-08,11.62,12.4,11.62,12.13,3484000.0
2017-02-09,12.1,12.47,12.01,12.1,2440500.0
2017-02-10,12.0,12.18,11.66,11.87,1469500.0
2017-02-13,11.81,12.44,11.8,12.02,3175000.0
2017-02-14,12.1,12.34,11.85,12.0,1549000.0
2017-02-15,12.1,12.19,11.66,11.8,1278000.0
2017-02-16,12.0,12.05,11.5,11.8,532500.0
2017-02-17,12.0,12.0,11.8,11.85,286000.0
2017-02-20,12.0,12.85,12.0,12.48,10412500.0
2017-02-21,12.53,12.7,11.48,11.48,6489500.0
2017-02-22,11.48,11.49,10.95,11.04,3468500.0
2017-02-23,11.06,11.52,10.71,11.48,1400500.0
2017-02-24,11.35,11.63,11.0,11.1,1528500.0
2017-02-27,11.25,11.25,10.25,10.47,2714000.0
2017-02-28,10.57,10.7,10.0,10.43,1063500.0
2017-03-01,10.47,10.85,10.47,10.69,547000.0
2017-03-02,10.8,11.69,10.8,11.13,5843000.0
2017-03-03,11.15,11.6,11.02,11.33,5021000.0
2017-03-06,11.5,11.75,11.31,11.41,4280000.0
2017-03-07,11.5,11.6,11.15,11.3,995000.0
2017-03-08,11.33,11.7,11.3,11.44,1778000.0
2017-03-09,11.41,11.54,10.8,11.01,979000.0
2017-03-10,11.02,11.13,10.7,11.0,1419000.0
2017-03-13,11.0,11.05,10.61,10.65,472000.0
2017-03-14,10.55,10.9,10.45,10.81,447500.0
2017-03-15,10.95,10.95,10.4,10.49,495000.0
2017-03-16,10.5,10.5,10.2,10.43,719000.0
2017-03-17,10.6,10.75,10.42,10.52,725000.0
2017-03-20,10.69,10.8,10.51,10.54,259000.0
2017-03-21,10.6,10.85,10.52,10.8,495000.0
2017-03-22,10.87,11.21,10.83,10.93,1570000.0
2017-03-24,11.0,11.25,10.96,11.02,979500.0
2017-03-27,11.1,11.1,10.71,10.77,312000.0
2017-03-28,11.0,11.05,10.46,10.5,1208000.0
2017-03-29,10.65,10.79,10.44,10.48,1009000.0
2017-03-30,10.6,10.6,10.2,10.29,352500.0
2017-03-31,10.3,10.64,10.05,10.5,539000.0
2017-04-03,10.6,10.79,10.4,10.44,284500.0
2017-04-04,10.5,10.6,10.25,10.32,322500.0
2017-04-05,10.25,10.45,9.95,10.04,536500.0
2017-04-06,10.12,10.12,9.85,9.98,215500.0
2017-04-07,9.99,10.18,9.98,10.06,148000.0
2017-04-10,10.18,10.2,9.95,10.07,90500.0
2017-04-11,9.96,10.21,9.86,10.18,330500.0
2017-04-12,10.19,10.35,10.12,10.25,228000.0
2017-04-13,10.32,10.32,9.81,9.99,482000.0
2017-04-14,10.05,10.05,9.75,9.81,174500.0
2017-04-17,9.65,9.91,9.55,9.62,274500.0
2017-04-18,9.7,9.7,9.42,9.59,195500.0
2017-04-19,9.3,9.8,9.01,9.69,301000.0
2017-04-20,9.44,10.64,9.44,10.06,934000.0
2017-04-21,10.29,10.47,10.05,10.32,890500.0
2017-04-24,10.42,10.55,10.19,10.34,919500.0
2017-04-25,10.4,10.5,10.11,10.19,810500.0
2017-04-26,10.2,10.23,10.0,10.07,515000.0
2017-04-27,10.15,10.15,10.0,10.0,614000.0
2017-04-28,9.91,10.3,9.87,10.03,451000.0
2017-05-02,9.86,10.01,9.86,9.95,124000.0
2017-05-03,9.92,10.01,9.85,9.89,129000.0
2017-05-04,9.75,9.98,9.71,9.78,332500.0
2017-05-05,9.8,10.0,9.8,9.86,414000.0
2017-05-08,9.9,10.1,9.8,9.89,197000.0
2017-05-09,9.86,9.96,9.71,9.77,343500.0
2017-05-10,9.72,9.96,9.72,9.84,187000.0
2017-05-11,9.97,10.5,9.85,10.41,1690500.0
2017-05-12,10.32,10.49,10.06,10.14,398500.0
2017-05-15,10.3,10.36,10.15,10.31,556500.0
2017-05-16,10.1,10.66,10.02,10.56,845500.0
2017-05-17,10.56,11.33,10.55,10.92,4094000.0
2017-05-18,10.99,11.3,10.96,11.06,1263000.0
2017-05-19,11.0,11.25,11.0,11.05,601000.0
2017-05-22,10.99,11.2,10.8,10.97,291000.0
2017-05-23,10.72,11.0,10.6,10.68,790000.0
2017-05-24,10.76,11.0,10.52,10.59,664000.0
2017-05-25,10.41,10.7,10.0,10.13,819000.0
2017-05-26,10.25,10.3,10.0,10.08,1153000.0
2017-05-29,9.82,10.15,9.82,10.03,178000.0
2017-05-30,10.0,10.18,9.7,9.85,487000.0
2017-05-31,10.0,10.04,9.85,9.97,317500.0
2017-06-01,9.81,10.08,9.3,9.52,531000.0
2017-06-02,9.5,9.79,9.26,9.42,164000.0
2017-06-05,9.71,9.99,9.5,9.9,213500.0
2017-06-06,10.0,10.15,9.75,9.83,293000.0
2017-06-07,9.93,10.3,9.85,10.05,825000.0
