Date,Open,High,Low,Close,Volume
2001-01-01,26.15,26.2,25.5,25.75,1415000.0
2001-01-02,25.75,26.7,25.8,26.0,4775500.0
2001-01-03,26.0,27.35,26.1,27.3,9191500.0
2001-01-04,27.3,27.6,26.8,27.05,3612500.0
2001-01-05,27.05,27.55,27.0,27.0,2690500.0
2001-01-08,27.0,27.55,26.5,26.6,2260500.0
2001-01-09,26.6,26.65,26.0,26.4,2106000.0
2001-01-10,26.4,26.5,26.0,26.4,965000.0
2001-01-11,26.4,26.4,24.95,25.45,6155000.0
2001-01-12,25.45,25.7,24.95,24.95,2896000.0
2001-01-15,24.95,24.95,23.95,24.1,1433500.0
2001-01-16,24.1,24.5,23.75,24.45,1659000.0
2001-01-17,24.45,24.8,23.7,24.6,2478500.0
2001-01-18,24.6,25.0,24.2,24.3,3924500.0
2001-01-19,24.3,24.6,24.1,24.4,1330000.0
2001-01-22,24.4,25.15,24.6,24.8,3331500.0
2001-01-23,24.8,25.25,24.7,25.15,3150500.0
2001-01-24,25.15,25.6,25.1,25.15,3815000.0
2001-01-25,25.15,25.3,24.6,24.7,2040000.0
2001-01-26,24.7,24.8,24.1,24.3,1418500.0
2001-01-29,24.3,24.6,23.65,23.9,1148500.0
2001-01-30,23.9,24.4,23.55,24.35,1121500.0
2001-01-31,24.35,24.8,24.25,24.65,1804500.0
2001-02-01,24.65,24.9,24.3,24.4,1393500.0
2001-02-02,24.4,24.7,24.4,24.55,599500.0
2001-02-06,24.55,25.1,24.6,24.7,1354000.0
2001-02-07,24.7,24.9,24.55,24.7,423500.0
2001-02-08,24.7,25.0,24.65,24.75,1650000.0
2001-02-09,24.75,25.3,24.6,25.15,3240000.0
2001-02-12,25.15,25.4,25.05,25.1,3307000.0
2001-02-13,25.1,25.25,24.4,24.4,2380500.0
2001-02-14,24.4,24.6,24.25,24.4,1003000.0
2001-02-15,24.4,24.5,23.75,24.0,2076000.0
2001-02-16,24.0,24.0,23.55,23.8,1683500.0
2001-02-19,23.8,23.9,23.0,23.35,2121500.0
2001-02-20,23.35,23.5,22.8,22.8,1142000.0
2001-02-21,22.8,22.9,22.1,22.75,1261000.0
2001-02-22,22.75,22.7,22.15,22.15,336000.0
2001-02-23,22.15,22.0,21.0,21.1,1082500.0
2001-02-26,21.1,21.0,20.3,20.75,823500.0
2001-02-27,20.75,21.4,20.8,21.35,1054000.0
2001-02-28,21.35,21.45,21.1,21.2,551000.0
