Date,Open,High,Low,Close,Volume
2001-01-01,27.25,27.25,27.25,27.25,1000.0
2001-01-02,27.25,27.5,26.25,26.25,6000.0
2001-01-03,26.25,29.7,29.7,29.7,500.0
2001-01-04,29.7,28.5,28.5,28.5,500.0
2001-01-05,28.5,28.0,27.0,27.5,16500.0
2001-01-08,27.5,27.25,27.25,27.25,500.0
2001-01-15,27.25,27.0,27.0,27.0,500.0
2001-01-17,27.0,27.0,27.0,27.0,500.0
2001-01-19,27.0,27.0,27.0,27.0,500.0
2001-02-02,27.0,28.0,28.0,28.0,1000.0
2001-02-06,28.0,28.0,27.75,28.0,2500.0
2001-02-07,28.0,28.0,28.0,28.0,1500.0
2001-02-09,28.0,28.0,28.0,28.0,4500.0
2001-02-13,28.0,28.5,28.5,28.5,500.0
2001-02-15,28.5,28.15,28.15,28.15,1000.0
2001-02-16,28.15,29.0,29.0,29.0,500.0
2001-02-20,29.0,29.6,29.0,29.6,2500.0
2001-02-21,29.6,32.0,29.0,32.0,4500.0
2001-02-22,32.0,30.0,29.7,29.7,1500.0
2001-02-23,29.7,29.55,29.5,29.5,1000.0
2001-03-02,29.5,30.5,30.5,30.5,500.0
2001-03-14,30.5,29.5,29.5,29.5,1000.0
2001-03-15,29.5,29.3,29.3,29.3,500.0
2001-03-16,29.3,30.5,30.4,30.5,2500.0
2001-03-19,30.5,30.0,30.0,30.0,500.0
2001-03-21,30.0,29.3,29.25,29.25,2000.0
2001-03-22,29.25,27.6,27.6,27.6,500.0
2001-03-29,27.6,27.4,27.4,27.4,1000.0
2001-04-06,27.4,27.0,27.0,27.0,500.0
2001-04-13,27.0,28.0,28.0,28.0,500.0
2001-04-20,28.0,28.5,28.5,28.5,500.0
2001-04-23,28.5,29.0,29.0,29.0,500.0
2001-04-24,29.0,29.0,29.0,29.0,1500.0
2001-04-27,29.0,29.0,29.0,29.0,500.0
2001-05-15,29.0,28.5,28.5,28.5,500.0
2001-05-22,28.5,28.5,28.5,28.5,4500.0
2001-05-23,28.5,28.5,28.5,28.5,2000.0
2001-05-25,28.5,28.5,28.5,28.5,1000.0
2001-06-01,28.5,28.5,28.5,28.5,1000.0
2001-06-06,28.5,27.05,27.0,27.05,1000.0
2001-06-11,27.05,27.55,27.5,27.55,4500.0
2001-06-12,27.55,28.0,27.95,28.0,10000.0
2001-06-13,28.0,28.0,28.0,28.0,500.0
2001-06-14,28.0,28.1,28.0,28.0,13500.0
2001-06-15,28.0,28.8,28.5,28.8,4500.0
2001-06-18,28.8,28.6,28.5,28.5,1000.0
2001-06-19,28.5,27.75,27.75,27.75,500.0
2001-06-20,27.75,29.0,29.0,29.0,2000.0
2001-06-22,29.0,28.95,28.95,28.95,2000.0
2001-06-25,28.95,29.05,29.05,29.05,2000.0
2001-06-26,29.05,29.0,29.0,29.0,2000.0
2001-06-27,29.0,29.5,29.0,29.25,11000.0
2001-07-05,29.25,28.75,28.75,28.75,1000.0
2001-07-18,28.75,28.5,28.0,28.0,1000.0
2001-07-19,28.0,28.5,28.0,28.0,3000.0
2001-07-26,28.0,27.0,26.5,26.5,6000.0
2001-07-30,26.5,27.0,26.15,27.0,2000.0
2001-08-10,27.0,26.5,26.5,26.5,500.0
2001-08-17,26.5,28.0,28.0,28.0,2000.0
2001-08-22,28.0,28.0,27.95,28.0,4000.0
2001-08-24,28.0,28.0,28.0,28.0,500.0
2001-08-27,28.0,28.0,28.0,28.0,500.0
2001-08-29,28.0,28.0,27.5,28.0,3500.0
2001-08-30,28.0,28.0,28.0,28.0,16000.0
2001-08-31,28.0,28.0,27.75,28.0,1500.0
2001-09-10,28.0,28.0,27.95,28.0,2000.0
2001-09-11,28.0,28.0,28.0,28.0,500.0
2001-09-12,28.0,27.0,27.0,27.0,500.0
2001-09-27,27.0,28.0,28.0,28.0,2000.0
2001-10-09,28.0,30.25,28.0,30.0,144500.0
2001-10-10,30.0,32.0,31.0,31.25,22500.0
2001-10-11,31.25,31.75,31.0,31.4,42500.0
2001-10-12,31.4,31.5,31.0,31.0,9500.0
2001-10-15,31.0,31.5,31.1,31.5,30000.0
2001-10-16,31.5,32.0,31.5,32.0,13500.0
2001-10-17,32.0,32.5,31.75,31.75,12500.0
2001-10-18,31.75,32.2,31.75,31.8,13000.0
2001-10-19,31.8,32.0,31.75,32.0,26500.0
2001-10-22,32.0,32.5,32.0,32.5,61500.0
2001-10-23,32.5,32.5,32.05,32.25,35500.0
2001-10-24,32.25,33.75,32.5,33.75,16500.0
2001-10-25,33.75,35.0,33.95,35.0,17500.0
2001-10-26,35.0,35.05,35.0,35.0,3000.0
2001-10-29,35.0,35.0,34.75,35.0,9000.0
2001-10-30,35.0,34.5,33.4,34.0,143500.0
2001-10-31,34.0,34.5,34.5,34.5,5000.0
2001-11-01,34.5,34.9,34.45,34.5,5500.0
2001-11-02,34.5,34.5,32.8,32.8,2500.0
2001-11-05,32.8,34.0,33.5,33.5,6500.0
2001-11-06,25.83,25.83,25.0,25.0,3500.0
2001-11-07,25.0,25.0,25.0,25.0,1000.0
2001-11-08,25.0,26.15,26.0,26.15,2000.0
2001-11-12,26.15,25.5,25.0,25.0,4000.0
2001-11-13,25.0,25.75,25.75,25.75,500.0
2001-11-19,25.75,25.0,24.55,25.0,4500.0
2001-11-20,25.0,25.5,25.5,25.5,1000.0
2001-11-21,25.5,25.0,25.0,25.0,1000.0
2001-11-22,25.0,25.0,25.0,25.0,2000.0
2001-11-24,25.0,24.4,24.4,24.4,1000.0
2001-11-26,24.4,24.15,24.15,24.15,1000.0
2001-11-27,24.15,24.25,24.25,24.25,500.0
2001-11-29,24.25,24.5,24.5,24.5,10000.0
2001-12-03,24.5,24.65,24.5,24.5,20000.0
2001-12-04,24.5,24.75,24.75,24.75,5000.0
2001-12-05,24.75,24.6,24.6,24.6,500.0
2001-12-08,24.6,25.0,25.0,25.0,2000.0
2001-12-10,25.0,25.0,24.25,25.0,2000.0
2001-12-12,25.0,25.0,25.0,25.0,1000.0
2001-12-21,25.0,25.75,25.5,25.75,1000.0
2001-12-24,25.75,25.0,25.0,25.0,4500.0
2001-12-26,25.0,25.0,25.0,25.0,0.0
2001-12-27,25.0,25.0,25.0,25.0,12000.0
2001-12-28,25.0,25.95,25.0,25.95,11000.0
2002-01-01,25.95,27.0,26.95,26.95,5000.0
2002-01-07,26.95,26.0,25.35,25.6,3000.0
2002-01-08,25.6,26.0,25.5,26.0,1000.0
2002-01-09,26.0,26.0,26.0,26.0,1000.0
2002-01-10,26.0,26.2,26.0,26.0,3000.0
2002-01-11,26.0,26.0,25.95,26.0,2500.0
2002-01-14,26.0,26.7,26.25,26.7,3000.0
2002-01-15,26.7,26.75,26.7,26.75,1500.0
2002-01-16,26.75,26.5,26.5,26.5,500.0
2002-01-17,26.5,26.95,26.75,26.75,1500.0
2002-01-18,26.75,27.0,26.75,27.0,2500.0
2002-01-22,27.0,27.0,27.0,27.0,500.0
2002-01-23,27.0,27.0,27.0,27.0,2500.0
2002-01-24,27.0,27.6,27.25,27.6,5000.0
2002-01-25,27.6,27.75,27.75,27.75,1000.0
2002-01-28,27.75,28.25,27.0,27.0,93500.0
2002-01-29,27.0,28.25,27.0,27.5,11500.0
2002-01-30,27.5,27.0,27.0,27.0,5000.0
2002-01-31,27.0,27.25,27.0,27.0,4500.0
2002-02-01,27.0,27.0,26.8,27.0,5500.0
2002-02-04,27.0,26.9,26.25,26.9,2000.0
2002-02-07,26.9,26.5,26.5,26.5,500.0
2002-02-08,26.5,27.0,27.0,27.0,500.0
2002-02-11,27.0,26.8,26.75,26.8,1000.0
2002-02-13,26.8,27.0,27.0,27.0,500.0
2002-02-14,27.0,27.5,27.0,27.5,8500.0
2002-02-15,27.5,27.4,27.4,27.4,1000.0
2002-02-19,27.4,27.85,27.5,27.6,3000.0
2002-02-20,27.6,27.55,27.5,27.5,25000.0
2002-02-21,27.5,27.65,27.6,27.6,1000.0
2002-02-26,27.6,27.6,27.6,27.6,10000.0
2002-02-27,27.6,27.65,27.6,27.6,10500.0
2002-02-28,27.6,27.0,27.0,27.0,7500.0
2002-03-01,27.0,27.6,27.6,27.6,1000.0
2002-03-07,27.6,27.5,27.25,27.4,35000.0
2002-03-08,27.4,28.0,28.0,28.0,2500.0
2002-03-11,28.0,28.2,28.1,28.2,5500.0
2002-03-12,28.2,28.5,28.3,28.5,3000.0
2002-03-13,28.5,28.5,28.0,28.0,22000.0
2002-03-14,28.0,28.0,27.55,27.55,1500.0
2002-03-15,27.55,27.55,27.55,27.55,500.0
2002-03-20,27.55,28.15,28.0,28.15,2500.0
2002-03-21,28.15,28.5,28.2,28.5,2500.0
2002-03-22,28.5,28.45,28.45,28.45,5000.0
2002-03-26,28.45,29.5,28.95,29.5,2500.0
2002-03-29,29.5,29.35,29.35,29.35,0.0
2002-04-03,29.35,28.25,28.0,28.0,1000.0
2002-04-04,28.0,28.5,28.0,28.0,5000.0
2002-04-08,28.0,28.2,28.1,28.2,1000.0
2002-04-09,28.2,28.0,28.0,28.0,2000.0
2002-04-10,28.0,28.0,27.85,27.85,17000.0
2002-04-11,27.85,28.0,28.0,28.0,15000.0
2002-04-12,28.0,28.5,28.5,28.5,2000.0
2002-04-15,28.5,29.0,29.0,29.0,1000.0
