Date,Open,High,Low,Close,Volume
2021-10-05,43.64,43.64,40.6,43.64,81000.0
2021-10-06,46.91,46.91,46.91,46.91,8500.0
2021-10-07,50.42,50.42,50.42,50.42,10500.0
2021-10-08,54.2,54.2,54.2,54.2,10000.0
2021-10-11,58.26,58.26,58.26,58.26,40500.0
2021-10-12,62.62,62.62,62.62,62.62,388000.0
2021-10-13,67.31,67.31,67.31,67.31,435500.0
2021-10-14,72.35,72.35,66.65,72.35,7881000.0
2021-10-15,76.98,77.77,76.0,77.77,702000.0
2021-10-18,81.9,81.9,71.94,72.08,5278500.0
2021-10-20,70.51,75.6,70.12,70.72,2827000.0
2021-10-21,70.5,71.9,68.2,69.23,2882000.0
2021-10-22,69.21,74.42,65.67,73.3,5453000.0
2021-10-25,73.99,75.94,71.6,72.3,2000000.0
2021-10-26,72.89,74.9,71.15,71.35,1964000.0
2021-10-27,72.01,73.8,69.32,70.12,1317500.0
2021-10-28,70.89,70.9,69.1,69.42,469000.0
2021-10-29,69.3,72.99,68.5,70.7,1294500.0
2021-11-01,70.5,72.5,70.2,70.64,715500.0
2021-11-02,70.15,71.75,70.0,70.2,401000.0
2021-11-03,70.5,72.25,70.0,70.58,785000.0
2021-11-04,70.66,74.48,70.5,72.95,2286000.0
2021-11-05,72.95,76.6,72.16,74.04,1544000.0
2021-11-08,73.1,79.59,73.1,79.59,3886000.0
2021-11-09,80.5,82.4,74.98,77.4,4785500.0
2021-11-10,77.5,83.2,77.5,80.86,4321000.0
2021-11-11,81.0,82.39,78.1,78.5,1906000.0
2021-11-12,78.9,79.9,75.4,76.26,1621000.0
2021-11-15,76.0,77.27,73.02,73.72,425000.0
2021-11-16,74.0,76.45,74.0,75.95,1249500.0
2021-11-17,75.89,75.9,73.4,74.05,303500.0
2021-11-18,74.9,74.9,71.5,72.2,367500.0
2021-11-19,72.0,73.4,71.5,72.72,332500.0
2021-11-22,71.0,72.6,70.6,71.13,207000.0
2021-11-23,71.77,72.1,67.61,68.43,322500.0
2021-11-24,68.2,71.0,66.1,68.85,384500.0
2021-11-25,69.1,69.65,67.5,68.17,193000.0
2021-11-26,68.38,69.61,66.5,67.77,199500.0
2021-11-29,67.15,71.49,66.01,70.46,374500.0
2021-11-30,71.9,72.49,69.0,69.56,238000.0
2021-12-01,69.6,71.06,69.5,69.96,130500.0
2021-12-02,68.6,68.9,64.72,64.77,602000.0
2021-12-03,61.0,64.69,60.7,61.64,1083500.0
2021-12-06,62.2,63.7,61.0,61.48,180500.0
2021-12-07,62.0,66.09,62.0,66.09,898500.0
2021-12-08,68.0,68.98,66.0,66.57,502000.0
2021-12-09,66.89,67.0,63.15,63.99,253000.0
2021-12-10,64.0,64.1,62.0,63.11,231500.0
2021-12-13,62.5,63.35,58.7,59.3,429000.0
2021-12-14,59.5,63.0,58.01,62.52,230000.0
2021-12-15,64.0,67.2,64.0,66.98,574000.0
2021-12-16,67.0,68.9,64.5,67.3,679500.0
2021-12-17,66.2,69.1,66.0,68.77,537000.0
2021-12-20,69.01,73.92,68.0,73.92,1484000.0
2021-12-21,75.45,79.45,75.0,75.66,2042500.0
2021-12-22,75.79,77.6,75.65,76.01,595000.0
2021-12-23,77.0,81.71,76.3,78.63,3272000.0
2021-12-24,79.4,81.4,76.5,77.16,1245500.0
2021-12-27,77.25,77.95,75.6,77.31,617500.0
2021-12-28,77.1,77.33,75.66,76.37,378500.0
2021-12-29,76.5,79.7,76.5,77.79,881500.0
2021-12-30,79.0,80.49,78.25,78.48,821500.0
2021-12-31,78.48,79.0,77.0,77.76,574000.0
2022-01-03,78.45,83.59,77.65,83.59,2439000.0
2022-01-04,86.9,89.85,86.12,89.85,1749000.0
2022-01-05,92.5,96.1,91.0,94.72,5121500.0
2022-01-06,93.75,99.3,91.85,92.83,5269500.0
2022-01-07,93.25,98.85,93.25,97.75,3289500.0
2022-01-10,98.05,104.9,98.05,102.37,3327500.0
2022-01-11,102.0,103.83,101.01,102.31,1913000.0
2022-01-12,103.1,105.0,100.5,101.64,1848500.0
2022-01-13,101.8,105.8,101.49,104.9,3596500.0
2022-01-14,107.52,108.95,100.4,101.28,3518000.0
2022-01-17,100.05,100.48,95.01,98.35,3257500.0
2022-01-18,97.8,101.0,97.05,98.38,2254500.0
2022-01-19,98.7,101.98,96.56,99.27,4511500.0
2022-01-20,99.9,106.71,97.5,105.77,3031000.0
2022-01-21,109.01,113.25,107.51,110.9,3514500.0
2022-01-24,111.0,114.74,108.01,110.34,2994000.0
2022-01-25,112.46,112.46,102.4,104.72,2676500.0
2022-01-26,104.0,106.95,101.65,105.93,2875000.0
2022-01-27,106.0,107.9,105.25,106.16,1322500.0
2022-01-28,105.94,107.75,105.1,106.33,1017000.0
2022-01-31,106.9,108.75,106.35,107.52,1093000.0
2022-02-01,107.31,110.79,107.0,108.21,2242500.0
2022-02-02,108.11,110.0,108.11,108.51,907500.0
2022-02-03,111.0,112.13,109.0,109.34,2823000.0
2022-02-04,109.0,109.79,103.98,105.38,2124500.0
2022-02-07,105.7,106.3,101.0,101.07,1871510.0
2022-02-08,101.2,102.5,99.0,100.19,1288664.0
2022-02-09,100.85,102.9,100.13,100.81,1489436.0
2022-02-10,101.25,102.0,100.0,100.19,652091.0
2022-02-11,100.25,102.85,99.11,100.65,795223.0
2022-02-14,100.0,101.74,95.41,96.84,879623.0
2022-02-15,98.4,102.88,95.91,102.08,1970432.0
2022-02-16,102.0,102.9,99.26,99.83,780558.0
2022-02-17,99.28,100.5,97.75,98.85,417963.0
2022-02-18,99.0,99.0,97.7,98.38,157371.0
2022-02-21,99.0,99.99,95.86,96.11,398905.0
2022-02-22,95.5,95.5,89.75,90.89,1192883.0
2022-02-23,92.49,94.0,91.9,93.08,912554.0
2022-02-24,89.1,89.1,86.1,86.1,1371198.0
2022-02-25,84.7,88.5,83.81,84.73,1266579.0
2022-02-28,84.8,88.48,83.0,87.85,453028.0
2022-03-01,93.0,94.43,90.1,94.43,1845211.0
2022-03-02,92.01,94.3,90.16,91.88,2335147.0
2022-03-03,92.4,93.0,89.8,90.2,680597.0
2022-03-04,90.4,91.4,89.81,90.01,331661.0
2022-03-07,90.0,90.79,83.26,83.92,1003863.0
2022-03-08,81.15,86.3,81.15,83.94,416306.0
2022-03-09,85.75,85.75,82.05,83.5,250832.0
2022-03-10,86.0,87.99,85.5,87.2,1011801.0
2022-03-11,87.0,87.2,83.21,84.28,411730.0
2022-03-14,83.9,83.98,80.03,80.82,300778.0
2022-03-15,80.82,83.5,80.82,83.23,335985.0
2022-03-16,84.25,85.6,82.9,83.35,461947.0
2022-03-17,83.5,84.95,83.01,83.18,390389.0
2022-03-18,82.6,82.6,76.95,76.99,1180154.0
2022-03-21,76.99,80.0,75.51,78.39,408113.0
2022-03-22,79.0,79.75,74.6,76.13,747034.0
2022-03-24,75.3,78.6,73.12,78.04,1386258.0
2022-03-25,77.99,78.9,76.99,78.21,274400.0
2022-03-28,78.21,81.81,77.8,80.48,625553.0
2022-03-29,81.5,85.2,75.15,75.9,3241437.0
2022-03-30,74.88,75.77,73.61,74.86,795909.0
2022-03-31,75.05,76.8,74.0,75.55,527801.0
2022-04-01,75.02,77.0,74.45,76.03,818969.0
2022-04-04,74.5,74.6,71.11,71.87,401041.0
2022-04-05,72.47,73.5,67.0,68.64,846397.0
2022-04-06,69.75,70.96,68.64,70.08,527989.0
2022-04-07,70.5,70.73,69.5,69.74,133698.0
2022-04-08,69.05,70.88,69.0,70.37,391489.0
2022-04-11,74.4,75.64,73.25,75.64,608274.0
2022-04-12,76.0,80.9,75.2,80.08,1734500.0
2022-04-13,80.99,83.7,78.5,79.86,1766500.0
2022-04-14,80.0,81.7,79.2,80.35,635000.0
2022-04-15,81.0,81.5,79.0,79.32,356000.0
2022-04-18,79.15,79.48,77.0,77.44,352500.0
2022-04-19,77.7,78.4,76.05,77.22,175500.0
2022-04-20,78.0,78.4,75.0,75.22,366000.0
2022-04-21,75.01,75.01,72.5,72.74,233000.0
2022-04-22,73.2,74.28,71.0,72.26,239000.0
2022-04-25,73.01,76.06,73.01,74.3,314000.0
2022-04-26,74.0,75.14,73.42,73.61,187500.0
2022-04-27,73.1,73.1,72.3,72.46,124000.0
2022-04-28,72.4,72.4,68.0,69.86,442500.0
2022-05-06,70.0,70.0,65.01,67.05,341500.0
2022-05-09,66.11,66.5,62.03,62.18,501500.0
2022-05-10,61.85,63.7,60.11,63.12,582500.0
2022-05-11,62.88,63.1,59.03,60.16,442500.0
2022-05-12,60.87,61.0,58.8,59.25,984000.0
2022-05-13,59.5,60.75,59.25,60.06,433500.0
2022-05-16,58.5,59.5,57.06,57.34,358000.0
2022-05-17,57.1,59.8,57.1,58.97,220000.0
2022-05-18,59.0,63.24,57.56,61.82,793500.0
2022-05-19,61.9,63.5,60.72,61.14,390500.0
2022-05-20,60.51,62.1,60.51,61.85,106000.0
2022-05-23,59.1,60.84,59.01,59.31,148000.0
2022-05-24,58.15,60.5,58.0,58.18,331000.0
2022-05-25,58.4,62.54,57.22,62.06,638500.0
2022-05-26,62.1,66.71,62.1,66.71,1776000.0
2022-05-27,70.01,71.71,67.95,68.24,2199000.0
2022-05-30,69.84,71.15,68.32,69.54,641000.0
2022-05-31,69.5,70.5,68.56,69.51,203500.0
2022-06-01,69.55,69.8,67.1,67.7,239000.0
2022-06-02,67.16,67.16,64.55,64.84,405500.0
2022-06-03,64.7,65.0,60.48,60.65,609000.0
2022-06-06,61.0,64.2,60.0,63.4,352000.0
2022-06-07,63.0,64.97,62.1,62.41,201000.0
2022-06-08,62.12,64.8,62.0,63.23,162500.0
2022-06-09,63.7,66.9,63.7,65.43,694000.0
2022-06-10,65.79,66.88,65.3,66.24,408000.0
2022-06-13,65.25,66.18,62.2,62.45,396500.0
2022-06-14,63.0,63.0,61.5,62.01,590500.0
2022-06-15,62.49,63.0,61.6,61.81,204500.0
2022-06-16,62.0,64.0,61.3,63.47,395000.0
2022-06-17,63.49,65.7,63.0,64.52,431000.0
2022-06-20,64.75,64.99,62.99,63.08,310000.0
2022-06-21,63.0,67.81,63.0,67.81,1020000.0
2022-06-22,70.75,72.5,68.75,69.37,1555000.0
2022-06-23,70.0,71.7,69.05,69.97,1116500.0
2022-06-24,69.7,71.0,64.73,66.68,977000.0
2022-06-27,67.95,71.68,67.95,71.68,777500.0
2022-06-28,75.0,75.3,71.27,72.04,1823500.0
2022-06-29,72.1,73.0,70.86,71.1,746000.0
2022-06-30,70.51,72.48,70.5,71.31,667500.0
2022-07-01,71.1,71.99,70.52,70.74,255500.0
2022-07-04,70.52,71.61,69.52,69.7,288500.0
2022-07-05,69.05,72.0,69.05,70.32,435000.0
2022-07-06,71.2,71.83,69.8,70.01,200000.0
2022-07-07,70.05,70.83,69.25,69.78,229500.0
2022-07-13,69.25,72.69,69.25,72.02,1311000.0
2022-07-14,71.7,72.5,70.92,71.2,849000.0
2022-07-15,71.6,74.09,71.04,71.88,1435500.0
2022-07-18,69.15,70.99,68.1,68.33,702000.0
2022-07-19,68.12,69.5,64.2,65.13,763500.0
2022-07-20,65.16,66.85,64.1,65.95,402500.0
2022-07-21,65.6,66.8,63.05,63.7,559500.0
2022-07-22,63.7,67.5,62.78,66.88,800000.0
2022-07-25,66.4,66.4,64.11,65.73,209000.0
2022-07-26,66.5,67.09,65.1,65.47,380000.0
2022-07-27,65.6,66.9,65.5,65.89,353500.0
2022-07-28,65.61,70.83,65.61,68.6,2251500.0
2022-07-29,68.05,71.0,67.53,70.12,1610500.0
2022-08-01,69.7,70.49,67.6,67.99,420000.0
2022-08-02,67.0,69.6,65.3,67.96,614500.0
2022-08-03,68.11,70.5,68.1,69.22,816000.0
2022-08-04,69.9,72.38,69.1,70.69,1480500.0
2022-08-05,70.1,72.25,70.02,70.59,1146000.0
2022-08-10,71.0,72.4,70.25,70.68,1572000.0
2022-08-11,70.7,70.93,69.0,69.1,642000.0
2022-08-12,69.1,70.49,68.99,70.14,683500.0
2022-08-15,71.0,74.9,71.0,73.98,3293000.0
2022-08-16,74.45,74.49,71.0,71.33,1039000.0
2022-08-17,71.33,72.4,71.0,72.04,795500.0
2022-08-18,72.9,73.74,71.51,71.87,800500.0
2022-08-19,72.45,73.5,71.75,72.29,435000.0
2022-08-22,71.5,71.5,70.5,70.75,293000.0
2022-08-23,71.71,73.0,71.71,72.04,566500.0
2022-08-24,72.78,73.85,72.0,72.78,1146000.0
2022-08-25,73.0,73.2,71.81,71.99,489500.0
2022-08-26,72.3,72.38,70.3,70.54,291500.0
2022-08-29,70.3,70.39,68.5,69.88,415000.0
2022-08-30,71.7,72.2,69.5,69.79,325500.0
2022-08-31,70.45,70.85,69.6,69.78,103000.0
2022-09-01,70.84,71.25,70.5,70.69,421000.0
2022-09-02,70.31,70.94,69.06,69.71,89000.0
2022-09-05,69.79,69.79,67.9,68.08,175000.0
2022-09-06,67.99,68.7,67.67,68.1,252500.0
2022-09-07,68.79,68.88,67.1,67.23,92000.0
2022-09-08,67.49,67.5,66.13,66.67,179000.0
2022-09-09,67.0,69.52,66.9,68.39,1082500.0
2022-09-12,68.5,69.8,67.3,67.55,381000.0
2022-09-13,68.0,68.39,67.2,67.41,142000.0
2022-09-14,66.6,68.8,66.5,68.38,475500.0
2022-09-15,68.75,70.1,68.5,68.56,749500.0
2022-09-16,68.02,69.0,68.0,68.24,271500.0
2022-09-19,68.24,68.84,67.25,67.5,101000.0
2022-09-20,67.55,67.89,66.03,66.42,66000.0
2022-09-21,66.85,66.86,65.0,65.65,64000.0
2022-09-22,65.2,65.7,63.91,64.82,197000.0
2022-09-23,65.5,66.43,64.02,64.35,145500.0
2022-09-26,64.56,68.0,64.56,67.54,174000.0
2022-09-27,67.6,68.09,64.0,65.29,555500.0
2022-09-28,65.5,66.29,63.91,64.32,427000.0
2022-09-29,64.3,65.1,64.2,64.88,85500.0
2022-09-30,64.2,65.55,64.1,64.35,150000.0
2022-10-03,65.0,66.0,63.99,65.46,467000.0
2022-10-04,65.95,66.39,65.3,65.48,280500.0
2022-10-05,66.1,66.54,65.3,66.22,595500.0
2022-10-06,66.74,68.25,66.5,67.04,646500.0
2022-10-07,66.67,67.85,66.0,66.38,318500.0
2022-10-10,66.5,68.55,66.5,67.11,351000.0
2022-10-11,67.0,67.5,66.2,66.71,153000.0
2022-10-12,66.7,71.71,66.7,71.71,2550500.0
2022-10-13,73.14,74.75,69.51,74.01,2721500.0
2022-10-14,74.49,74.5,71.75,72.34,879500.0
2022-10-17,71.0,71.89,69.9,70.2,405000.0
2022-10-18,70.92,71.8,70.35,70.64,286000.0
2022-10-19,70.75,72.5,70.35,71.55,220000.0
2022-10-20,71.99,72.0,70.3,70.51,181000.0
2022-10-21,70.55,71.5,69.05,70.91,267000.0
2022-10-24,72.35,73.16,71.5,71.52,272000.0
2022-10-25,71.25,71.99,69.5,69.83,131500.0
2022-10-26,69.05,69.39,66.62,66.96,198500.0
2022-10-27,68.0,68.0,65.49,67.09,235000.0
