Date,Open,High,Low,Close,Volume
2022-06-06,1.14,1.21,0.21,1.21,7769500.0
2022-06-07,1.49,2.21,1.49,2.1,12941500.0
2022-06-08,2.25,2.87,2.25,2.77,8256000.0
2022-06-09,2.87,3.2,1.9,2.06,7728000.0
2022-06-10,2.13,2.19,1.62,1.83,2330500.0
2022-06-13,1.82,1.85,1.28,1.51,1501500.0
2022-06-14,1.56,1.56,1.23,1.36,1276500.0
2022-06-15,1.39,1.42,0.94,1.01,1629000.0
2022-06-16,1.07,2.01,0.9,2.01,11396500.0
2022-06-17,2.35,2.68,1.21,1.98,12333000.0
2022-06-20,1.98,2.34,1.9,1.94,3678500.0
2022-06-21,1.94,2.1,1.73,1.76,5272000.0
2022-06-22,1.88,1.88,1.11,1.17,7599500.0
2022-06-23,1.18,1.76,1.0,1.3,9235000.0
2022-06-24,1.5,1.5,1.1,1.17,3614500.0
2022-06-27,1.25,1.32,0.56,0.59,6064000.0
2022-06-28,0.54,0.85,0.01,0.04,23897500.0
