Date,Open,High,Low,Close,Volume
2017-11-17,10.05,12.95,10.05,12.5,38000.0
2017-11-20,11.61,12.93,11.61,12.93,18000.0
2017-11-21,12.06,12.85,12.06,12.85,1000.0
2017-11-22,12.77,12.83,12.01,12.01,11500.0
2017-11-23,11.5,12.2,11.5,12.0,12000.0
2017-11-24,12.01,12.1,12.01,12.06,2500.0
2017-11-27,12.49,12.75,12.45,12.71,11000.0
2017-11-28,12.5,12.6,12.5,12.6,3000.0
2017-11-29,12.7,12.79,12.51,12.79,1500.0
2017-11-30,12.5,12.5,12.05,12.11,16000.0
2017-12-05,12.24,12.25,12.01,12.01,2500.0
2017-12-06,12.0,12.0,12.0,12.0,8000.0
2017-12-07,11.98,12.05,11.98,12.03,14500.0
2017-12-08,12.0,12.01,12.0,12.01,5000.0
2017-12-12,11.5,11.5,11.5,11.5,1500.0
2017-12-13,12.5,12.5,12.5,12.5,500.0
2017-12-14,12.0,12.0,12.0,12.0,500.0
2017-12-15,12.0,12.0,12.0,12.0,10000.0
2017-12-18,11.51,11.51,11.51,11.51,500.0
2017-12-19,12.0,12.25,12.0,12.15,6000.0
2017-12-20,12.0,12.2,12.0,12.2,2500.0
2017-12-21,12.5,12.5,12.0,12.0,51500.0
2017-12-22,12.1,12.4,12.1,12.4,1000.0
2017-12-28,12.0,12.05,12.0,12.05,2500.0
2018-01-02,0.0,12.05,12.05,12.05,500.0
2018-01-03,12.25,12.5,12.25,12.5,65000.0
2018-01-04,12.25,12.25,12.25,12.25,2000.0
2018-01-05,12.25,12.25,12.25,12.25,1000.0
2018-01-09,12.01,12.01,12.01,12.01,1000.0
2018-01-10,12.01,12.05,12.01,12.05,3500.0
2018-01-11,12.0,12.0,12.0,12.0,500.0
2018-01-12,12.0,12.0,12.0,12.0,1000.0
2018-01-15,11.01,12.0,11.01,12.0,1500.0
2018-01-18,12.05,12.05,12.05,12.05,2000.0
2018-01-19,11.06,12.05,11.06,12.05,2000.0
2018-01-22,12.05,12.05,12.05,12.05,1500.0
2018-01-23,12.2,12.2,12.2,12.2,500.0
2018-01-24,12.38,12.75,12.38,12.75,1000.0
2018-01-30,0.0,12.75,12.75,12.75,2000.0
2018-01-31,12.06,12.06,12.06,12.06,500.0
2018-02-02,12.3,12.3,12.3,12.3,500.0
2018-02-06,12.0,12.0,12.0,12.0,3000.0
2018-02-07,11.11,11.11,11.01,11.01,16000.0
2018-02-08,11.5,11.5,11.5,11.5,500.0
2018-02-09,11.4,11.5,11.1,11.5,1500.0
2018-02-12,11.5,11.7,11.5,11.7,1500.0
2018-02-13,11.12,11.69,11.12,11.69,1000.0
2018-02-14,11.5,11.5,11.21,11.21,8500.0
2018-02-15,11.05,11.05,11.05,11.05,500.0
2018-02-16,11.01,11.01,11.01,11.01,2000.0
2018-02-19,11.21,11.75,11.21,11.75,5500.0
2018-02-20,11.99,11.99,11.84,11.85,3500.0
2018-02-21,11.9,11.9,11.7,11.7,3000.0
2018-02-22,11.89,11.89,11.89,11.89,500.0
2018-02-27,11.25,11.25,11.06,11.1,14000.0
2018-02-28,11.11,11.11,11.11,11.11,500.0
2018-03-01,11.74,11.74,11.74,11.74,500.0
2018-03-05,11.01,11.04,11.01,11.03,6500.0
2018-03-06,11.01,11.43,11.01,11.43,3500.0
2018-03-07,11.2,11.2,11.2,11.2,500.0
2018-03-08,11.01,11.1,11.01,11.01,2500.0
2018-03-09,11.01,11.01,11.01,11.01,5500.0
2018-03-12,11.25,11.25,11.05,11.05,2500.0
2018-03-14,11.0,11.0,11.0,11.0,1000.0
2018-03-20,10.15,10.6,10.12,10.6,3000.0
2018-03-26,10.6,10.6,10.6,10.6,2000.0
2018-03-27,10.51,10.51,10.51,10.51,2000.0
2018-03-28,10.0,10.8,10.0,10.75,3000.0
2018-04-03,10.7,10.7,10.31,10.31,3000.0
2018-04-04,10.35,10.35,10.35,10.35,57500.0
