Date,Open,High,Low,Close,Volume
2001-01-01,13.05,13.95,13.0,13.2,70000.0
2001-01-02,13.2,13.95,13.3,13.3,116000.0
2001-01-03,13.3,13.55,13.4,13.55,37500.0
2001-01-04,13.55,13.75,13.4,13.45,44000.0
2001-01-05,13.45,13.5,13.25,13.25,49000.0
2001-01-08,13.25,13.5,13.25,13.25,15500.0
2001-01-09,13.25,13.3,13.1,13.2,44000.0
2001-01-10,13.2,13.35,13.0,13.1,67000.0
2001-01-11,13.1,13.2,13.1,13.1,12000.0
2001-01-12,13.1,12.9,12.75,12.75,40500.0
2001-01-15,12.75,12.7,12.0,12.65,17500.0
2001-01-16,12.65,12.25,12.2,12.25,2500.0
2001-01-17,12.25,12.65,12.6,12.65,7000.0
2001-01-18,12.65,12.8,12.65,12.75,10500.0
2001-01-19,12.75,12.85,12.5,12.5,5500.0
2001-01-22,12.5,12.9,12.75,12.75,5000.0
2001-01-23,12.75,13.25,12.7,13.2,30500.0
2001-01-24,13.2,13.3,13.05,13.1,19500.0
2001-01-25,13.1,13.1,13.0,13.1,13000.0
2001-01-26,13.1,13.0,12.8,12.8,23500.0
2001-01-29,12.8,13.0,12.8,13.0,27000.0
2001-01-31,13.0,13.55,13.05,13.5,65000.0
2001-02-01,13.5,13.7,13.4,13.5,81000.0
2001-02-02,13.5,13.8,13.5,13.8,56000.0
2001-02-06,13.8,13.85,13.6,13.75,29500.0
2001-02-07,13.75,13.85,13.75,13.85,32500.0
2001-02-08,13.85,13.9,13.85,13.85,16500.0
2001-02-09,13.85,14.0,13.8,14.0,37500.0
2001-02-12,14.0,14.7,14.2,14.35,151500.0
2001-02-13,14.35,14.25,13.6,13.65,48000.0
2001-02-14,13.65,14.1,13.7,13.7,47000.0
2001-02-15,13.7,13.95,13.7,13.7,21500.0
2001-02-16,13.7,13.7,13.25,13.25,20500.0
2001-02-19,13.25,13.4,13.1,13.4,24000.0
2001-02-20,13.4,13.25,13.15,13.15,12000.0
2001-02-21,13.15,13.25,13.15,13.25,19000.0
2001-02-22,13.25,13.3,13.15,13.15,8000.0
2001-02-23,13.15,13.05,12.9,13.0,10000.0
2001-02-27,13.0,13.0,12.8,12.8,6000.0
2001-02-28,12.8,12.8,12.5,12.65,14500.0
2001-03-01,12.65,12.8,12.65,12.65,8500.0
2001-03-02,12.65,12.4,12.35,12.35,7500.0
2001-03-09,12.35,12.35,12.35,12.35,500.0
2001-03-12,12.35,12.4,12.3,12.3,5500.0
2001-03-13,12.3,12.25,12.1,12.1,8000.0
2001-03-14,12.1,12.5,12.2,12.4,26000.0
2001-03-15,12.4,12.4,12.05,12.4,24000.0
2001-03-20,12.4,12.3,12.05,12.05,3500.0
2001-03-21,12.05,12.05,12.0,12.0,6500.0
2001-03-22,12.0,11.85,11.8,11.8,1500.0
2001-03-26,11.8,12.25,11.8,12.25,16500.0
2001-03-27,12.25,12.3,12.25,12.25,4000.0
2001-03-28,12.25,12.75,12.4,12.75,49000.0
2001-03-29,12.75,12.55,12.5,12.5,36000.0
2001-03-30,12.5,12.7,12.4,12.4,27000.0
2001-04-03,12.4,12.9,12.75,12.75,16000.0
2001-04-06,12.75,12.9,12.65,12.9,41000.0
2001-04-09,12.9,12.95,12.75,12.95,11000.0
2001-04-10,12.95,12.9,12.85,12.85,6000.0
2001-04-11,12.85,12.8,12.7,12.7,2500.0
2001-04-12,12.7,13.0,12.75,13.0,61500.0
2001-04-13,13.0,13.2,12.95,13.15,42000.0
2001-04-16,13.15,13.45,13.15,13.35,124500.0
2001-04-17,13.35,13.6,13.3,13.5,96000.0
2001-04-18,13.5,13.5,13.4,13.4,14500.0
2001-04-19,13.4,13.65,13.3,13.3,21500.0
2001-04-20,13.3,13.95,13.25,13.95,60500.0
2001-04-23,13.95,13.75,13.45,13.45,18500.0
2001-04-24,13.45,13.4,13.2,13.3,39000.0
2001-04-25,13.3,13.3,13.25,13.3,28000.0
2001-04-26,13.3,13.3,13.25,13.25,13000.0
2001-04-27,13.25,13.95,13.15,13.95,89000.0
2001-04-30,13.95,13.45,13.25,13.25,25000.0
2001-05-02,13.25,13.55,13.3,13.55,6000.0
2001-05-03,13.55,13.4,13.3,13.3,5500.0
2001-05-04,13.3,13.4,13.25,13.35,12000.0
2001-05-07,13.35,13.35,13.2,13.35,21500.0
2001-05-08,13.35,13.5,13.3,13.4,34500.0
2001-05-09,13.4,13.35,13.15,13.25,54000.0
2001-05-10,13.25,13.25,13.1,13.25,27500.0
2001-05-11,13.25,13.4,13.15,13.35,36500.0
2001-05-14,13.35,13.25,13.15,13.25,30000.0
2001-05-15,13.25,13.3,13.2,13.2,3500.0
2001-05-16,13.2,13.4,13.25,13.3,19000.0
2001-05-17,13.3,13.7,13.35,13.5,79000.0
2001-05-18,13.5,13.65,13.5,13.6,11000.0
2001-05-21,13.6,13.7,13.6,13.6,17000.0
2001-05-22,13.6,13.8,13.5,13.65,100000.0
2001-05-23,13.65,13.6,13.55,13.55,131000.0
2001-05-24,13.55,13.6,13.4,13.55,33000.0
2001-05-25,13.55,13.55,13.45,13.5,34000.0
2001-05-28,13.5,13.5,13.5,13.5,2000.0
2001-05-29,13.5,13.75,13.6,13.7,13500.0
2001-05-30,13.7,14.0,13.75,14.0,74500.0
2001-05-31,14.0,14.0,13.85,13.9,28000.0
2001-06-01,13.9,14.5,13.95,14.0,166500.0
2001-06-04,14.0,14.4,14.05,14.3,239500.0
2001-06-06,14.3,14.7,14.05,14.3,438000.0
2001-06-07,14.3,14.35,14.0,14.05,19500.0
2001-06-08,14.05,14.1,14.0,14.0,59000.0
2001-06-11,14.0,14.25,14.05,14.2,26000.0
2001-06-12,14.2,14.5,14.25,14.3,123500.0
2001-06-13,14.3,14.45,14.4,14.4,119500.0
2001-06-14,14.4,14.7,14.35,14.35,60000.0
2001-06-15,14.35,14.55,14.3,14.55,74000.0
2001-06-18,14.55,14.45,14.35,14.45,91500.0
2001-06-19,14.45,14.3,14.0,14.0,239500.0
2001-06-20,14.0,14.0,13.25,13.85,63000.0
2001-06-21,13.85,13.85,13.5,13.5,37500.0
2001-06-22,13.5,13.5,13.3,13.35,19500.0
2001-06-25,13.35,13.5,13.4,13.4,9000.0
2001-06-26,13.4,13.35,13.3,13.35,8500.0
2001-06-27,13.35,13.5,13.3,13.5,9500.0
2001-06-28,13.5,13.3,13.25,13.25,11000.0
2001-06-29,13.25,13.4,13.15,13.15,188000.0
2001-07-03,13.15,13.25,13.1,13.25,181500.0
2001-07-04,13.25,13.25,13.25,13.25,3000.0
2001-07-05,13.25,13.0,12.9,13.0,2500.0
2001-07-06,13.0,13.0,12.75,12.75,10000.0
2001-07-09,12.75,12.85,12.85,12.85,200000.0
2001-07-10,12.85,12.75,12.3,12.35,24500.0
2001-07-11,12.35,12.75,12.3,12.6,12500.0
2001-07-12,12.6,12.8,12.75,12.8,15000.0
2001-07-13,12.8,12.75,12.75,12.75,3000.0
2001-07-16,12.75,12.75,12.7,12.75,3000.0
2001-07-17,12.75,12.6,12.3,12.6,15000.0
2001-07-18,12.6,12.7,12.55,12.7,11000.0
2001-07-19,12.7,12.6,12.5,12.5,12000.0
2001-07-20,12.5,12.5,12.25,12.25,30000.0
2001-07-23,12.25,12.3,12.1,12.3,4500.0
2001-07-24,12.3,12.7,12.5,12.7,6000.0
2001-07-25,12.7,12.3,12.15,12.25,10000.0
2001-07-26,12.25,12.15,12.0,12.0,64000.0
2001-07-27,12.0,12.1,12.0,12.0,7000.0
2001-07-31,12.0,12.05,11.95,11.95,10500.0
