Date,Open,High,Low,Close,Volume
2006-09-22,10.0,29.0,20.0,24.65,356500.0
2006-09-25,24.65,24.6,23.45,23.45,91500.0
2006-09-26,23.45,22.3,22.3,22.3,1500.0
2006-09-27,22.3,21.2,21.2,21.2,4000.0
2006-09-28,21.2,20.15,20.15,20.15,5000.0
2006-09-29,20.15,19.15,19.15,19.15,4000.0
2006-10-02,19.15,18.95,18.15,18.3,577500.0
2006-10-03,18.3,18.1,17.3,17.3,145000.0
2006-10-04,17.3,17.9,16.9,17.5,26000.0
2006-10-05,17.5,17.5,16.5,17.0,101500.0
2006-10-06,17.0,18.0,16.75,18.0,73500.0
2006-10-09,18.0,19.0,18.6,19.0,267000.0
2006-10-10,19.0,20.0,19.2,20.0,200000.0
2006-10-11,20.0,21.0,20.7,21.0,217000.0
2006-10-12,21.0,22.05,21.7,22.0,195500.0
2006-10-13,22.0,22.6,21.5,22.15,248000.0
2006-10-16,22.15,22.25,21.05,21.05,13000.0
2006-10-17,21.05,21.95,20.25,21.95,60500.0
2006-10-18,21.95,22.4,20.9,20.9,167000.0
2006-10-19,20.9,21.0,20.0,20.7,74000.0
2006-10-30,20.7,20.0,19.7,20.0,165000.0
2006-10-31,20.0,19.9,19.15,19.5,21500.0
2006-11-01,19.5,19.95,19.25,19.45,16500.0
2006-11-02,19.45,19.6,19.0,19.45,66000.0
2006-11-03,19.45,19.95,19.5,19.9,20000.0
2006-11-06,19.9,19.7,19.4,19.45,6000.0
2006-11-07,19.45,19.5,19.05,19.4,9500.0
2006-11-08,19.4,19.95,19.4,19.65,16500.0
2006-11-10,19.65,19.75,19.0,19.0,6000.0
2006-11-13,19.0,19.75,19.05,19.3,2500.0
2006-11-14,19.3,19.35,19.1,19.35,11500.0
2006-11-15,19.35,19.95,19.5,19.5,46500.0
2006-11-16,19.5,19.8,19.4,19.8,13000.0
2006-11-17,19.8,19.4,19.3,19.35,16000.0
2006-11-20,19.35,19.3,18.85,18.85,12000.0
2006-11-21,18.85,19.0,18.8,18.8,26000.0
2006-11-22,18.8,18.9,17.8,17.8,20000.0
2006-11-23,17.8,18.5,18.25,18.25,5500.0
2006-11-24,18.25,18.5,18.1,18.5,9000.0
2006-11-27,18.5,19.5,18.25,18.8,63500.0
2006-11-28,18.8,19.8,18.95,19.6,358500.0
2006-11-29,19.6,19.75,19.0,19.5,178000.0
2006-11-30,19.5,19.75,19.2,19.5,74000.0
2006-12-01,19.5,19.6,19.0,19.5,88500.0
2006-12-04,19.5,19.85,19.5,19.5,31500.0
2006-12-05,19.5,19.75,19.3,19.75,19500.0
2006-12-06,19.75,20.75,19.9,20.75,129000.0
2006-12-07,20.75,21.75,20.5,21.15,180000.0
2006-12-08,21.15,21.25,20.1,20.1,21000.0
2006-12-11,20.1,20.95,19.75,20.95,22000.0
2006-12-12,20.95,21.5,20.5,20.8,45500.0
2006-12-13,20.8,21.8,20.55,20.8,58000.0
2006-12-14,20.8,20.45,20.45,20.45,500.0
2006-12-15,20.45,20.5,20.3,20.4,1500.0
2006-12-18,20.4,19.85,19.5,19.5,4000.0
