Date,Open,High,Low,Close,Volume
2004-06-21,10.0,18.0,16.7,16.9,730500.0
2004-06-22,16.9,17.7,16.5,16.7,1275500.0
2004-06-23,16.7,17.0,16.5,17.0,925000.0
2004-06-24,17.0,17.5,16.75,17.45,529500.0
2004-06-25,17.45,18.95,17.35,18.95,1948000.0
2004-06-28,18.95,18.85,17.95,18.1,2152000.0
2004-06-29,18.1,18.3,17.85,17.85,1000500.0
2004-06-30,17.85,18.15,17.85,18.0,901500.0
2004-07-01,18.0,18.4,17.9,18.15,1376500.0
2004-07-02,18.15,19.65,18.25,19.35,7058500.0
2004-07-05,19.35,19.75,19.0,19.15,4403500.0
2004-07-06,19.15,19.6,19.0,19.3,3562500.0
2004-07-07,19.3,19.65,19.25,19.45,1279000.0
2004-07-08,19.45,19.65,19.15,19.25,467500.0
2004-07-09,19.25,19.85,19.0,19.65,5230500.0
2004-07-12,19.65,19.9,19.3,19.5,874500.0
2004-07-13,19.5,19.75,19.15,19.25,413000.0
2004-07-14,19.25,19.6,19.25,19.6,561000.0
2004-07-15,19.6,19.45,19.1,19.15,272500.0
2004-07-16,19.15,19.3,18.75,18.9,448000.0
2004-07-19,18.9,19.0,18.8,18.95,109000.0
2004-07-20,18.95,19.0,18.3,18.5,155000.0
2004-07-21,18.5,18.85,18.45,18.7,107000.0
2004-07-22,18.7,19.25,18.6,18.7,829000.0
2004-07-23,18.7,18.9,18.4,18.4,527000.0
2004-07-26,18.4,19.6,18.5,18.65,9375500.0
2004-07-27,18.65,19.35,18.75,18.8,4047000.0
2004-07-28,18.8,19.25,18.9,19.0,1127500.0
2004-07-29,19.0,19.1,18.9,18.95,666000.0
2004-07-30,18.95,19.1,18.7,18.8,504000.0
2004-08-02,18.8,18.95,18.65,18.75,304000.0
2004-08-03,18.75,18.95,18.75,18.85,270500.0
2004-08-04,18.85,19.0,18.7,18.9,742000.0
2004-08-05,18.9,18.95,18.8,18.9,568500.0
2004-08-06,18.9,19.0,18.75,18.9,839000.0
2004-08-09,18.9,18.95,18.85,18.95,461000.0
2004-08-10,18.95,19.0,18.9,19.0,605000.0
2004-08-11,19.0,19.0,18.75,18.8,681500.0
2004-08-12,18.8,18.95,18.65,18.75,259500.0
2004-08-13,18.75,18.9,18.7,18.7,259500.0
2004-08-16,18.7,18.85,18.5,18.75,268500.0
2004-08-17,18.75,18.95,18.5,18.8,873500.0
2004-08-18,18.8,18.85,18.7,18.85,1046000.0
2004-08-19,16.35,16.9,16.3,16.35,378000.0
2004-08-20,16.35,16.4,16.25,16.25,247500.0
2004-08-23,16.25,16.4,16.25,16.3,236500.0
2004-08-24,16.3,16.3,16.0,16.0,379500.0
2004-08-25,16.0,16.0,15.5,15.7,207000.0
2004-08-26,15.7,15.75,15.5,15.65,210500.0
2004-08-27,15.65,15.8,15.4,15.65,207500.0
2004-08-30,15.65,15.55,15.35,15.4,184500.0
2004-08-31,15.4,15.4,15.15,15.4,102500.0
2004-09-01,15.4,15.4,15.25,15.25,60000.0
2004-09-02,15.25,15.4,15.0,15.3,119000.0
2004-09-03,15.3,15.2,15.0,15.15,1062500.0
2004-09-06,15.15,14.9,14.15,14.25,264000.0
2004-09-07,14.25,14.5,13.95,14.1,129500.0
2004-09-08,14.1,14.4,14.0,14.1,193000.0
2004-09-09,14.1,14.7,14.05,14.1,141000.0
2004-09-10,14.1,14.5,14.0,14.5,214500.0
2004-09-13,14.5,14.5,14.2,14.5,366000.0
2004-09-14,14.5,14.3,13.9,14.2,575500.0
2004-09-15,14.2,14.1,13.9,14.0,159500.0
2004-09-16,14.0,14.2,13.9,14.15,103500.0
2004-09-17,14.15,14.1,13.8,14.05,235500.0
2004-09-20,14.05,13.95,13.7,13.75,170000.0
2004-09-21,13.75,13.85,13.5,13.5,212000.0
2004-09-22,13.5,14.1,13.0,14.1,599000.0
2004-09-23,14.1,14.6,13.75,14.6,694500.0
2004-09-24,14.6,14.75,14.15,14.75,253500.0
2004-09-27,14.75,14.85,14.6,14.8,226500.0
2004-09-28,14.8,14.8,14.45,14.45,159000.0
2004-09-29,14.45,15.4,14.35,15.4,376000.0
2004-09-30,15.4,15.4,14.9,15.4,465000.0
2004-10-01,15.4,15.2,14.75,14.75,315000.0
2004-10-04,14.75,14.95,14.75,14.9,81000.0
2004-10-05,14.9,15.0,14.75,14.9,130000.0
2004-10-06,14.9,15.15,14.8,15.05,143000.0
2004-10-07,15.05,15.1,14.95,15.1,123500.0
2004-10-08,15.1,15.1,14.85,14.9,184000.0
2004-10-11,14.9,15.25,14.85,15.0,128000.0
2004-10-12,15.0,15.5,15.0,15.35,339500.0
2004-10-13,15.35,15.55,15.25,15.4,963000.0
2004-10-14,15.4,15.7,15.25,15.25,203000.0
2004-10-15,15.25,15.25,14.9,14.9,155500.0
2004-10-18,14.9,15.0,14.75,14.8,61000.0
2004-10-19,14.8,15.15,14.6,14.9,86000.0
2004-10-20,14.9,15.15,14.8,14.8,109000.0
2004-10-21,14.8,15.45,14.85,14.85,229000.0
2004-10-22,14.85,14.9,14.75,14.85,133500.0
2004-10-25,14.85,14.95,14.7,14.7,104000.0
2004-10-26,14.7,14.8,14.5,14.5,131000.0
2004-10-27,14.5,14.7,14.5,14.65,64000.0
2004-10-28,14.65,14.75,14.25,14.25,110500.0
2004-10-29,14.25,14.8,13.25,13.4,320500.0
2004-11-01,13.4,13.35,13.0,13.15,121000.0
2004-11-02,13.15,13.65,13.05,13.65,173500.0
2004-11-03,13.65,13.9,13.6,13.75,205000.0
2004-11-04,13.75,13.9,13.4,13.5,122500.0
2004-11-05,13.5,13.5,13.3,13.4,62500.0
2004-11-08,13.4,13.45,13.3,13.4,61000.0
2004-11-10,13.4,13.75,13.45,13.55,104000.0
2004-11-12,13.55,13.75,13.3,13.75,98500.0
2004-11-18,13.75,13.8,13.35,13.65,59000.0
2004-11-19,13.65,13.9,13.55,13.9,70500.0
2004-11-22,13.9,13.95,13.6,13.85,30500.0
2004-11-23,13.85,13.85,13.55,13.55,56500.0
2004-11-24,13.55,13.95,13.75,13.8,60000.0
2004-11-25,13.8,14.25,13.3,14.1,198500.0
2004-11-26,14.1,14.35,14.0,14.25,103500.0
2004-11-29,14.25,14.25,14.0,14.0,90000.0
2004-11-30,14.0,14.25,13.85,14.05,85000.0
2004-12-01,14.05,14.05,13.75,13.85,111000.0
2004-12-02,13.85,13.9,13.75,13.75,65000.0
2004-12-03,13.75,14.0,13.75,13.85,30000.0
2004-12-06,13.85,14.3,13.8,14.3,477000.0
2004-12-07,14.3,14.5,14.1,14.5,404500.0
2004-12-08,14.5,14.4,14.2,14.3,47500.0
2004-12-09,14.3,15.0,14.3,14.6,591500.0
2004-12-10,14.6,14.75,14.1,14.4,213000.0
2004-12-13,14.4,15.0,14.25,14.95,608500.0
2004-12-14,14.95,15.1,14.65,14.8,210000.0
2004-12-15,14.8,15.1,14.6,14.9,399000.0
2004-12-16,14.9,15.1,14.7,14.8,211500.0
2004-12-17,14.8,14.95,14.65,14.8,80500.0
2004-12-20,14.8,15.1,14.75,14.8,123000.0
2004-12-21,14.8,14.95,14.75,14.8,135500.0
2004-12-22,14.8,14.95,14.65,14.85,185000.0
2004-12-23,14.85,15.35,14.95,15.05,584500.0
2004-12-24,15.05,15.3,14.95,15.1,416000.0
2004-12-27,15.1,15.3,15.05,15.15,121000.0
2004-12-28,15.15,15.35,15.15,15.2,261500.0
2004-12-29,15.2,15.5,15.1,15.35,431500.0
2004-12-30,15.35,15.45,15.15,15.3,254000.0
2004-12-31,15.3,15.6,15.3,15.3,283500.0
2005-01-03,15.3,15.5,15.3,15.3,92000.0
2005-01-04,15.3,15.6,15.4,15.5,201500.0
2005-01-05,15.5,16.25,15.6,15.7,972000.0
2005-01-06,15.7,16.1,15.6,15.9,466000.0
2005-01-07,15.9,16.25,15.5,15.75,268000.0
2005-01-10,15.75,16.3,15.85,16.2,418500.0
2005-01-11,16.2,16.65,16.1,16.65,535000.0
2005-01-12,16.65,17.0,16.3,16.7,369000.0
2005-01-13,16.7,16.75,15.75,15.75,566000.0
2005-01-14,15.75,16.1,15.6,16.1,245000.0
2005-01-17,16.1,16.25,15.9,16.2,166000.0
2005-01-18,16.2,16.5,16.05,16.4,134000.0
2005-01-19,16.4,16.45,16.15,16.25,96500.0
2005-01-24,16.25,16.5,16.25,16.25,166500.0
2005-01-25,16.25,16.45,16.2,16.4,192000.0
2005-01-26,16.4,16.5,16.35,16.4,250500.0
2005-01-27,16.4,16.45,16.1,16.2,296500.0
2005-01-28,16.2,16.15,15.25,15.5,163500.0
2005-01-31,15.5,16.0,15.5,15.5,158500.0
2005-02-01,15.5,16.05,15.8,16.0,123500.0
2005-02-02,16.0,16.15,15.9,16.1,96500.0
2005-02-03,16.1,16.15,15.8,16.0,317000.0
2005-02-04,16.0,16.6,15.85,15.85,1125000.0
2005-02-07,15.85,16.2,15.9,16.0,490000.0
2005-02-08,16.0,16.8,16.15,16.4,973000.0
2005-02-09,16.4,16.6,16.2,16.4,363500.0
2005-02-10,16.4,16.7,16.4,16.45,217000.0
2005-02-11,16.45,16.75,16.5,16.7,384000.0
2005-02-14,16.7,16.95,16.65,16.7,250000.0
2005-02-15,16.7,17.4,16.6,17.25,1960500.0
2005-02-16,17.25,17.4,17.0,17.4,896000.0
2005-02-17,17.4,17.5,16.9,17.2,573000.0
2005-02-18,17.2,17.35,17.0,17.1,403000.0
2005-02-21,17.1,17.4,17.05,17.05,300500.0
2005-02-22,17.05,17.35,17.0,17.1,225000.0
2005-02-23,17.1,17.3,17.0,17.3,267500.0
2005-02-24,17.3,17.3,17.0,17.1,300500.0
2005-02-25,17.1,17.25,16.95,17.05,208500.0
2005-02-28,17.05,17.25,17.0,17.1,309500.0
2005-03-01,17.1,17.25,17.0,17.0,313000.0
2005-03-02,17.0,17.25,16.75,16.8,209000.0
2005-03-03,16.8,17.25,16.9,17.0,256000.0
2005-03-04,17.0,17.3,16.95,17.25,196000.0
2005-03-07,17.25,17.5,17.15,17.35,377000.0
2005-03-08,17.35,18.85,17.25,18.85,1782000.0
2005-03-09,18.85,20.0,18.8,19.05,1587000.0
2005-03-10,19.05,20.0,18.25,18.7,946500.0
2005-03-11,18.7,19.3,18.1,18.8,374000.0
2005-03-14,17.3,17.95,16.9,16.95,322000.0
2005-03-15,16.95,17.25,16.75,16.75,248000.0
2005-03-16,16.75,17.0,16.3,16.3,147500.0
2005-03-17,16.3,16.25,15.3,15.3,247000.0
2005-03-18,15.3,16.3,14.45,16.0,192500.0
2005-03-21,16.0,16.75,15.0,15.0,264000.0
2005-03-22,15.0,14.8,14.0,14.0,334000.0
2005-03-24,14.0,14.25,13.55,13.55,156000.0
2005-03-25,13.55,13.3,12.55,12.55,421500.0
2005-03-28,12.55,14.0,11.55,13.15,413000.0
2005-03-29,13.15,14.5,12.75,14.5,224500.0
2005-03-30,14.5,16.0,15.0,16.0,621000.0
2005-03-31,16.0,16.25,15.0,15.0,299500.0
2005-04-01,15.0,15.7,14.25,15.0,129500.0
2005-04-04,15.0,15.9,15.0,15.8,191500.0
2005-04-05,15.8,15.55,15.0,15.0,444500.0
2005-04-06,15.0,15.1,14.7,14.9,103000.0
2005-04-07,14.9,15.15,14.5,14.8,53000.0
2005-04-08,14.8,14.95,14.5,14.95,38000.0
2005-04-11,14.95,14.9,13.95,13.95,192000.0
2005-04-12,13.95,13.6,13.0,13.3,162000.0
2005-04-13,13.3,14.25,12.75,14.25,144000.0
2005-04-14,14.25,15.0,13.9,15.0,170000.0
2005-04-15,15.0,15.0,14.35,15.0,173000.0
2005-04-18,15.0,15.2,14.9,14.9,68000.0
2005-04-19,14.9,14.7,13.9,14.05,219000.0
2005-04-20,14.05,14.9,13.95,14.55,85000.0
2005-04-21,14.55,15.0,14.25,14.25,65000.0
2005-04-25,14.25,15.4,14.5,15.0,349000.0
2005-04-26,15.0,15.25,14.8,15.0,107500.0
2005-04-27,15.0,15.2,14.9,14.95,123500.0
2005-04-28,14.95,15.0,14.6,14.9,99000.0
2005-04-29,14.9,14.9,14.7,14.8,32500.0
2005-05-02,14.8,14.9,14.5,14.5,119000.0
2005-05-03,14.5,14.7,14.15,14.6,112500.0
2005-05-04,14.6,14.75,14.25,14.5,72500.0
2005-05-05,14.5,14.8,14.5,14.75,85500.0
2005-05-06,14.75,15.0,14.8,15.0,81000.0
2005-05-09,15.0,15.75,15.1,15.3,284500.0
2005-05-10,15.3,15.8,15.2,15.55,371000.0
2005-05-11,15.55,16.05,15.5,16.0,321000.0
2005-05-12,16.0,16.5,15.65,15.7,284000.0
2005-05-13,15.7,16.0,15.55,15.75,151000.0
2005-05-16,15.75,15.65,15.25,15.35,106500.0
2005-05-17,15.35,15.75,15.35,15.75,59500.0
2005-05-18,15.75,15.7,15.45,15.65,62000.0
2005-05-19,15.65,15.65,15.35,15.4,31500.0
2005-05-20,15.4,15.5,15.25,15.35,35000.0
2005-05-23,15.35,15.25,14.5,14.85,326000.0
2005-05-24,14.85,15.0,14.0,14.9,12733000.0
2005-05-25,14.9,15.5,14.85,15.2,88500.0
2005-05-26,15.2,15.45,14.5,14.5,72000.0
2005-05-27,14.5,14.5,13.9,14.1,155500.0
2005-05-30,14.1,14.8,14.2,14.8,125500.0
2005-05-31,14.8,15.75,14.55,15.65,242000.0
2005-06-01,15.65,16.25,15.7,15.75,507000.0
2005-06-02,15.75,16.25,15.6,16.0,324000.0
2005-06-03,16.0,16.3,15.25,15.3,107000.0
2005-06-06,15.3,15.2,14.6,15.0,90000.0
