Date,Open,High,Low,Close,Volume
2007-02-26,29.85,30.85,28.8,28.9,3093000.0
2007-02-27,28.9,28.5,27.5,27.5,905000.0
2007-02-28,27.5,26.15,26.15,26.15,34500.0
2007-03-01,26.15,24.85,24.85,24.85,47000.0
2007-03-02,24.85,25.1,23.65,23.65,3596500.0
2007-03-05,23.65,22.5,22.5,22.5,40500.0
2007-03-06,22.5,22.85,21.4,21.4,4743500.0
2007-03-07,21.4,21.75,20.35,20.35,1759000.0
2007-03-08,20.35,20.8,19.45,19.9,2261500.0
2007-03-09,19.9,20.9,19.85,20.9,1998000.0
2007-03-12,20.9,21.9,21.2,21.45,1891500.0
2007-03-13,21.45,22.2,21.4,21.5,2291500.0
2007-03-14,21.5,21.55,20.45,20.45,635500.0
2007-03-15,20.45,21.45,19.45,21.45,1514000.0
2007-03-16,21.45,21.95,20.8,21.25,369000.0
2007-03-19,21.25,21.1,20.2,20.2,477500.0
2007-03-20,20.2,20.0,19.2,19.25,817500.0
2007-03-21,19.25,20.0,19.2,19.95,1088500.0
2007-03-22,16.98,17.95,17.2,17.75,624500.0
2007-03-26,17.75,17.75,17.0,17.7,373000.0
2007-03-27,17.7,17.7,17.3,17.65,220000.0
2007-03-28,17.65,18.4,17.3,17.95,2285500.0
2007-03-29,17.95,18.6,17.75,17.95,1966000.0
2007-03-30,17.95,18.35,17.5,17.55,473500.0
2007-04-02,17.55,17.8,17.25,17.25,90000.0
2007-04-03,17.25,17.75,17.1,17.1,365000.0
2007-04-04,17.1,17.7,16.9,16.95,598500.0
2007-04-05,16.95,17.05,16.7,17.0,236000.0
2007-04-06,17.0,17.1,16.0,16.7,378500.0
2007-04-09,16.7,16.7,16.2,16.3,620000.0
2007-04-10,16.3,16.75,16.3,16.35,256500.0
2007-04-11,16.35,17.2,16.4,17.1,1655500.0
2007-04-12,17.1,17.95,17.2,17.4,1577000.0
2007-04-13,17.4,17.7,17.2,17.3,776000.0
2007-04-16,17.3,17.5,16.95,16.95,383000.0
2007-04-17,16.95,17.1,16.65,16.7,275000.0
2007-04-18,16.7,17.0,16.6,16.75,253000.0
2007-04-19,16.75,16.7,16.25,16.5,351500.0
2007-04-20,16.5,17.15,16.5,17.0,575000.0
2007-04-23,17.0,17.8,17.2,17.7,1689500.0
2007-04-24,17.7,17.9,17.15,17.3,727500.0
2007-04-25,17.3,17.4,16.8,17.1,385000.0
2007-04-26,17.1,17.4,16.85,16.9,241000.0
2007-04-27,16.9,17.65,16.7,17.35,1160500.0
2007-04-30,17.35,18.15,17.05,18.0,2612000.0
2007-05-02,18.0,19.0,17.8,19.0,3779000.0
2007-05-03,19.0,20.0,18.95,20.0,4859000.0
2007-05-04,20.0,20.95,20.15,20.5,4443500.0
2007-05-07,20.5,20.85,19.5,19.9,1599000.0
2007-05-08,19.9,20.45,19.4,20.3,1929000.0
2007-05-09,20.3,21.3,20.25,21.3,4473500.0
2007-05-10,21.3,22.35,21.4,22.0,5175000.0
2007-05-11,22.0,23.1,21.55,22.5,2541000.0
2007-05-14,22.5,22.65,21.4,22.2,1803000.0
2007-05-15,22.2,22.55,21.6,21.7,3498500.0
2007-05-16,21.7,22.05,20.65,20.95,1848000.0
2007-05-17,20.95,21.7,20.45,20.7,1203500.0
2007-05-18,20.7,21.3,20.7,20.7,832000.0
2007-05-21,20.7,21.6,20.65,20.9,1551500.0
2007-05-22,20.9,21.75,20.95,21.7,1566000.0
2007-05-23,21.7,21.8,21.25,21.4,476000.0
2007-05-24,21.4,22.45,21.25,22.45,3205000.0
2007-05-25,22.45,23.35,22.25,23.15,3285500.0
2007-05-28,23.15,24.3,23.15,24.2,4507000.0
2007-05-29,24.2,24.8,23.15,24.15,2093500.0
2007-05-30,24.15,24.35,23.7,23.8,829500.0
2007-05-31,23.8,24.5,23.7,24.1,1281500.0
2007-06-01,24.1,24.35,23.2,23.2,563000.0
2007-06-04,23.2,23.5,22.5,22.5,363500.0
2007-06-05,22.5,23.6,22.15,23.6,950000.0
2007-06-06,23.6,24.75,24.25,24.75,3884500.0
2007-06-07,24.75,25.95,24.75,25.9,3965500.0
2007-06-08,25.9,25.95,24.75,25.5,929000.0
2007-06-11,25.5,26.75,26.1,26.75,1609500.0
2007-06-12,26.75,28.05,27.5,28.05,939000.0
2007-06-13,28.05,29.45,28.25,29.45,1963500.0
2007-06-14,29.45,29.7,28.25,28.75,1413500.0
2007-06-15,28.75,28.6,27.35,27.55,694000.0
2007-06-18,27.55,28.55,27.5,28.1,1218500.0
2007-06-19,28.1,29.5,27.85,29.15,2061500.0
2007-06-20,29.15,30.1,28.5,28.8,1815000.0
2007-06-21,28.8,29.75,28.5,29.2,958000.0
2007-06-22,29.2,29.5,28.0,28.9,463000.0
2007-06-25,28.9,29.1,28.0,28.15,759500.0
2007-06-26,28.15,28.85,28.25,28.5,558000.0
2007-06-27,28.5,29.25,28.45,29.2,585000.0
2007-06-28,29.2,29.5,28.5,29.0,343000.0
2007-06-29,29.0,29.2,28.5,28.5,374000.0
2007-07-02,28.5,29.05,28.3,28.95,352500.0
2007-07-03,28.95,28.65,28.35,28.45,203500.0
2007-07-04,28.45,29.85,28.2,29.85,1275500.0
2007-07-05,29.85,31.3,30.5,31.3,1561000.0
2007-07-06,31.3,32.15,30.5,31.0,1301500.0
2007-07-09,31.0,31.15,30.0,30.0,202000.0
2007-07-10,30.0,30.6,29.05,29.5,357000.0
2007-07-11,29.5,29.75,28.8,29.05,343500.0
2007-07-12,29.05,30.35,29.0,29.35,801000.0
2007-07-13,29.35,30.0,28.25,28.5,394500.0
2007-07-16,28.5,28.35,27.5,27.55,331500.0
2007-07-17,27.55,28.1,27.0,27.5,306000.0
2007-07-18,27.5,27.95,26.15,26.15,342500.0
2007-07-19,26.15,26.1,24.85,24.85,532500.0
2007-07-20,24.85,26.05,23.85,26.05,965000.0
2007-07-23,26.05,27.35,26.95,27.35,100500.0
2007-07-24,27.35,28.7,28.2,28.7,768500.0
2007-07-25,28.7,29.8,27.6,28.05,761000.0
2007-07-26,28.05,28.7,27.6,28.05,1613500.0
2007-07-27,28.05,28.4,28.0,28.25,194500.0
2007-07-30,28.25,28.1,27.25,27.5,380000.0
2007-07-31,27.5,28.85,27.7,28.55,1261000.0
2007-08-01,28.55,28.8,27.75,27.75,1016500.0
2007-08-02,27.75,28.15,27.0,27.35,190000.0
2007-08-03,27.35,27.7,26.5,27.25,69000.0
2007-08-06,27.25,27.0,25.9,25.9,219500.0
2007-08-07,25.9,26.5,24.65,25.0,1092500.0
