Date,Open,High,Low,Close,Volume
2001-01-03,9.0,9.5,9.25,9.5,1500.0
2001-01-22,9.5,9.5,9.5,9.5,1000.0
2001-01-23,9.5,9.5,9.5,9.5,1500.0
2001-01-25,9.5,9.5,9.5,9.5,500.0
2001-01-26,9.5,10.0,9.75,10.0,8500.0
2001-01-29,10.0,10.0,10.0,10.0,0.0
2001-02-14,10.0,11.5,11.0,11.5,4000.0
2001-02-15,11.5,11.25,11.25,11.25,500.0
2001-02-16,11.25,12.25,11.55,12.25,3500.0
2001-02-19,12.25,13.25,11.75,13.25,6000.0
2001-02-20,13.25,12.55,12.55,12.55,500.0
2001-02-26,12.55,13.25,12.75,13.25,6000.0
2001-02-28,13.25,13.0,13.0,13.0,2500.0
2001-03-01,13.0,13.25,12.65,13.0,2000.0
2001-03-09,13.0,13.6,13.6,13.6,500.0
2001-03-12,13.6,14.3,13.75,13.75,8500.0
2001-03-13,13.75,13.55,13.55,13.55,1000.0
2001-03-14,13.55,13.75,13.75,13.75,1000.0
2001-03-20,13.75,14.0,13.95,14.0,2000.0
2001-03-22,14.0,14.0,14.0,14.0,500.0
2001-04-03,14.0,13.25,12.0,12.0,3000.0
2001-04-06,12.0,14.0,11.95,12.0,5000.0
2001-04-09,12.0,11.5,11.5,11.5,500.0
2001-04-10,11.5,11.0,11.0,11.0,500.0
2001-04-13,11.0,10.55,10.5,10.5,1000.0
2001-04-17,10.5,13.5,13.5,13.5,1000.0
2001-04-18,13.5,13.75,13.75,13.75,500.0
2001-04-19,13.75,13.75,13.75,13.75,500.0
2001-04-20,13.75,13.75,13.75,13.75,500.0
2001-04-23,13.75,13.0,13.0,13.0,3000.0
2001-04-24,13.0,13.45,13.45,13.45,2000.0
2001-05-10,13.45,12.75,12.5,12.5,1000.0
2001-05-22,12.5,12.45,12.0,12.0,4500.0
2001-05-23,12.0,12.2,12.15,12.15,3000.0
2001-05-24,12.15,12.3,12.25,12.3,2000.0
2001-05-25,12.3,12.25,12.25,12.25,1000.0
2001-05-28,12.25,12.3,12.3,12.3,1000.0
2001-05-29,12.3,12.4,12.3,12.3,2000.0
2001-05-30,12.3,12.35,12.35,12.35,500.0
2001-06-01,12.35,12.35,12.35,12.35,500.0
2001-06-11,12.35,12.25,12.25,12.25,500.0
2001-06-25,12.25,12.0,12.0,12.0,500.0
2001-06-27,12.0,12.0,12.0,12.0,500.0
2001-06-28,12.0,12.0,12.0,12.0,500.0
2001-06-29,12.0,12.0,12.0,12.0,1000.0
2001-07-03,12.0,12.0,12.0,12.0,500.0
2001-07-12,12.0,12.0,12.0,12.0,500.0
2001-07-13,12.0,12.0,12.0,12.0,500.0
2001-07-20,12.0,12.0,12.0,12.0,1000.0
2001-08-09,12.0,12.0,12.0,12.0,500.0
2001-08-10,12.0,12.0,12.0,12.0,500.0
2001-08-21,12.0,12.0,12.0,12.0,500.0
2001-08-23,12.0,12.0,12.0,12.0,500.0
2001-08-27,12.0,11.75,11.75,11.75,500.0
2001-08-31,11.75,11.75,11.75,11.75,500.0
2001-09-07,11.75,12.25,12.2,12.25,3000.0
2001-09-11,12.25,12.25,12.25,12.25,500.0
2001-09-12,12.25,12.5,12.5,12.5,500.0
2001-09-14,12.5,12.05,12.05,12.05,1500.0
2001-09-24,12.05,11.45,11.45,11.45,1000.0
2001-09-25,11.45,11.5,11.25,11.5,1000.0
2001-09-27,11.5,11.5,11.5,11.5,500.0
2001-10-01,11.5,11.5,11.2,11.2,2000.0
2001-10-03,11.2,11.9,11.5,11.9,3000.0
2001-10-04,11.9,11.8,11.75,11.8,2000.0
2001-10-08,11.8,11.25,11.25,11.25,1000.0
2001-10-11,11.25,11.55,11.5,11.5,4000.0
2001-10-17,11.5,11.5,11.5,11.5,1000.0
2001-10-18,11.5,11.95,11.5,11.95,1000.0
2001-10-23,11.95,11.55,11.5,11.55,2000.0
2001-10-25,11.55,12.0,12.0,12.0,1000.0
2001-11-21,12.0,11.8,11.8,11.8,1000.0
2001-11-26,11.8,12.0,11.5,11.5,2000.0
2001-11-27,11.5,12.2,12.2,12.2,500.0
2001-11-28,12.2,12.25,12.25,12.25,500.0
2001-11-29,12.25,11.8,11.8,11.8,500.0
2001-12-01,11.8,11.9,11.8,11.85,2000.0
2001-12-10,11.85,11.65,11.6,11.6,1000.0
2001-12-24,10.85,10.85,10.85,10.85,0.0
2002-01-02,10.85,10.85,10.85,10.85,500.0
2002-01-07,10.85,10.0,10.0,10.0,1000.0
2002-01-25,10.0,11.0,11.0,11.0,2000.0
2002-01-28,11.0,11.0,11.0,11.0,1000.0
2002-01-30,11.0,11.6,11.5,11.6,1000.0
2002-02-04,11.6,11.6,11.6,11.6,1500.0
2002-02-07,11.6,11.75,11.7,11.75,2000.0
2002-02-20,11.75,11.75,11.75,11.75,500.0
2002-02-21,11.75,11.5,11.5,11.5,500.0
2002-02-27,11.5,11.5,11.5,11.5,500.0
2002-03-01,11.5,11.25,11.25,11.25,500.0
2002-03-04,11.25,11.25,11.25,11.25,500.0
2002-03-05,11.25,11.25,11.25,11.25,1500.0
2002-03-06,11.25,11.25,11.25,11.25,500.0
2002-03-12,11.25,10.5,10.5,10.5,500.0
2002-03-13,10.5,11.0,10.5,11.0,3000.0
2002-03-14,11.0,10.5,10.5,10.5,2000.0
2002-03-18,10.5,10.5,10.5,10.5,500.0
2002-04-05,10.5,9.25,9.25,9.25,1500.0
2002-04-12,9.25,10.75,10.75,10.75,2000.0
2002-05-08,10.75,9.75,9.75,9.75,500.0
2002-05-22,9.75,8.75,8.75,8.75,1000.0
2002-05-31,8.75,9.0,8.75,9.0,2500.0
2002-06-03,9.0,8.85,8.85,8.85,500.0
2002-06-04,8.85,9.25,9.25,9.25,1000.0
2002-06-19,9.25,9.9,9.75,9.75,10000.0
2002-06-20,9.75,9.7,9.7,9.7,0.0
2002-06-27,9.7,9.5,9.5,9.5,0.0
2002-06-28,9.5,9.45,9.45,9.45,0.0
2002-07-01,9.45,9.0,9.0,9.0,2000.0
2002-07-03,9.0,9.0,9.0,9.0,500.0
2002-07-04,9.0,9.35,9.25,9.35,2000.0
2002-07-05,9.35,9.1,9.1,9.1,500.0
2002-07-09,9.1,9.05,9.05,9.05,0.0
2002-07-19,9.05,8.55,8.55,8.55,1000.0
2002-07-22,8.55,9.0,8.55,9.0,1000.0
2002-07-29,9.0,8.95,8.95,8.95,0.0
2002-08-07,8.95,8.9,8.9,8.9,0.0
2002-08-08,8.9,8.9,8.9,8.9,500.0
2002-08-26,8.9,8.85,8.85,8.85,0.0
2002-08-27,8.85,8.5,8.5,8.5,500.0
2002-09-03,8.5,8.7,8.7,8.7,0.0
2002-09-17,8.7,8.7,8.7,8.7,1000.0
2002-09-25,8.7,8.25,8.25,8.25,0.0
2002-09-26,8.25,7.75,7.75,7.75,500.0
2002-09-30,7.75,7.1,6.75,7.0,2500.0
2002-10-01,7.0,7.1,7.0,7.0,1500.0
2002-10-02,7.0,7.1,7.1,7.1,3500.0
2002-10-04,7.1,7.35,7.35,7.35,500.0
2002-10-09,7.35,7.5,7.5,7.5,2500.0
2002-10-11,7.5,7.5,7.5,7.5,2500.0
2002-10-17,7.5,7.75,7.75,7.75,500.0
2002-11-08,7.75,7.15,7.15,7.15,500.0
2002-11-11,7.15,7.15,7.15,7.15,1000.0
2002-11-12,7.15,7.25,7.25,7.25,0.0
2002-11-13,7.25,7.0,7.0,7.0,1000.0
2002-11-21,7.0,7.5,7.5,7.5,1000.0
2002-11-27,7.5,7.05,7.0,7.0,1500.0
2002-12-04,7.0,7.0,7.0,7.0,1500.0
2002-12-11,7.0,6.25,6.1,6.25,1000.0
2002-12-12,6.25,6.2,6.2,6.2,500.0
2002-12-13,6.2,6.5,6.5,6.5,0.0
2002-12-18,6.5,6.5,6.5,6.5,1000.0
2002-12-19,6.5,6.85,6.85,6.85,500.0
2002-12-20,6.85,7.0,7.0,7.0,1000.0
2002-12-24,7.0,6.95,6.95,6.95,500.0
2002-12-27,6.95,6.7,6.7,6.7,500.0
2003-01-03,6.7,7.0,7.0,7.0,20000.0
2003-01-06,7.0,6.95,6.95,6.95,0.0
2003-01-16,6.95,6.15,6.05,6.15,1000.0
2003-01-17,6.15,7.0,7.0,7.0,500.0
2003-01-21,7.0,6.75,6.75,6.75,0.0
2003-01-22,6.75,7.0,7.0,7.0,500.0
2003-02-20,7.0,6.0,6.0,6.0,500.0
2003-03-31,6.0,5.5,5.5,5.5,500.0
2003-04-02,5.5,5.5,5.5,5.5,500.0
2003-04-03,5.5,5.55,5.55,5.55,0.0
2003-04-15,5.55,6.0,6.0,6.0,8000.0
2003-04-16,6.0,6.1,6.0,6.1,2000.0
2003-04-18,6.1,6.1,6.1,6.1,2000.0
2003-04-21,6.1,6.2,6.2,6.2,0.0
2003-04-24,6.2,6.0,6.0,6.0,5000.0
2003-05-08,6.0,6.0,6.0,6.0,500.0
2003-05-12,6.0,6.9,6.2,6.2,3000.0
2003-05-16,6.2,6.9,6.6,6.9,3000.0
2003-06-04,6.9,7.0,7.0,7.0,0.0
2003-06-06,7.0,7.0,7.0,7.0,500.0
2003-06-10,7.0,7.5,7.5,7.5,1000.0
2003-06-11,7.5,7.5,7.5,7.5,2500.0
2003-06-18,7.5,7.5,7.5,7.5,500.0
2003-06-19,7.5,7.5,7.5,7.5,1000.0
2003-06-23,7.5,9.0,7.5,9.0,36000.0
2003-06-24,9.0,9.25,9.2,9.2,6000.0
2003-06-25,9.2,8.85,8.85,8.85,2000.0
2003-06-26,8.85,7.85,7.85,7.85,5000.0
2003-06-30,7.85,7.5,7.5,7.5,4000.0
2003-07-01,7.5,7.9,7.6,7.9,1500.0
2003-07-02,7.9,7.5,7.1,7.5,6000.0
2003-07-03,7.5,7.5,7.5,7.5,1000.0
2003-07-09,7.5,8.25,7.95,8.25,2000.0
2003-07-10,8.25,9.1,8.0,8.0,11500.0
2003-07-11,8.0,8.7,8.5,8.7,1000.0
2003-07-15,8.7,8.25,8.25,8.25,500.0
2003-07-18,8.25,8.0,8.0,8.0,1000.0
2003-07-21,8.0,8.2,8.2,8.2,2000.0
2003-07-22,8.2,8.15,8.1,8.1,10000.0
2003-07-23,8.1,8.15,8.15,8.15,3000.0
2003-07-24,8.15,9.0,8.0,8.75,10500.0
2003-07-25,8.75,7.75,7.75,7.75,7500.0
2003-07-30,7.75,8.45,7.5,8.45,11500.0
2003-08-01,8.45,8.0,8.0,8.0,500.0
2003-08-04,8.0,7.85,7.85,7.85,500.0
2003-08-06,7.85,7.8,7.8,7.8,500.0
2003-08-07,7.8,8.0,8.0,8.0,2500.0
2003-08-12,8.0,8.5,8.5,8.5,2000.0
2003-08-13,8.5,8.0,8.0,8.0,2000.0
2003-08-22,8.0,7.5,7.5,7.5,20500.0
2003-08-28,7.5,7.0,6.55,7.0,14000.0
2003-08-29,7.0,7.15,7.0,7.05,14500.0
2003-09-01,7.05,6.9,6.9,6.9,500.0
2003-09-02,6.9,7.1,7.1,7.1,500.0
2003-09-03,7.1,7.5,7.5,7.5,2500.0
2003-09-08,7.5,8.0,8.0,8.0,500.0
2003-09-10,8.0,7.15,7.0,7.15,1000.0
2003-09-11,7.15,7.9,7.15,7.25,9000.0
2003-09-12,7.25,7.4,7.4,7.4,500.0
2003-09-16,7.4,8.25,8.0,8.0,10000.0
2003-09-17,8.0,7.2,7.15,7.2,6000.0
2003-09-18,7.2,7.2,7.1,7.2,5500.0
2003-09-19,7.2,7.1,7.05,7.05,5500.0
2003-09-22,7.05,6.75,6.75,6.75,1500.0
2003-09-24,6.75,6.4,6.05,6.4,1000.0
2003-09-29,6.4,7.0,6.5,7.0,10000.0
2003-09-30,7.0,6.75,6.75,6.75,5000.0
2003-10-01,6.75,6.75,6.75,6.75,500.0
2003-10-02,6.75,7.0,7.0,7.0,6500.0
2003-10-03,7.0,7.25,6.75,7.25,3000.0
2003-10-08,7.25,7.55,7.45,7.45,2000.0
2003-10-09,7.45,7.0,7.0,7.0,1000.0
2003-10-14,7.0,6.1,6.0,6.0,5000.0
2003-10-15,6.0,6.5,5.5,6.5,10000.0
2003-10-17,6.5,6.05,6.0,6.05,2000.0
2003-10-30,6.05,5.05,5.05,5.05,500.0
2003-11-03,5.05,5.5,5.5,5.5,500.0
2003-11-04,5.5,6.0,6.0,6.0,1000.0
2003-11-06,6.0,6.0,5.75,6.0,4000.0
2003-11-14,6.0,6.1,6.05,6.1,2000.0
2003-12-03,6.1,6.5,6.5,6.5,500.0
2003-12-08,6.5,6.8,6.5,6.5,1000.0
2003-12-10,6.5,6.95,5.6,6.95,3500.0
2003-12-11,6.95,7.0,6.85,7.0,6500.0
2003-12-15,7.0,7.1,7.0,7.1,3000.0
2003-12-16,7.1,6.95,6.95,6.95,0.0
2003-12-22,6.95,7.1,7.0,7.1,2500.0
2003-12-29,7.1,7.15,7.1,7.15,1500.0
2003-12-30,7.15,7.15,7.15,7.15,1000.0
2004-01-07,7.15,7.45,7.3,7.45,6000.0
2004-01-14,7.45,8.95,7.95,8.5,7000.0
2004-01-15,8.5,10.0,9.4,10.0,17000.0
2004-01-16,10.0,11.5,10.55,11.5,7500.0
2004-01-19,11.5,11.5,11.0,11.0,2000.0
2004-01-20,11.0,10.3,10.0,10.0,1500.0
2004-01-27,10.0,10.0,10.0,10.0,1500.0
