Date,Open,High,Low,Close,Volume
2014-01-01,8.36,8.89,8.32,8.78,9160500.0
2014-01-02,8.78,8.93,8.5,8.52,5761500.0
2014-01-03,8.52,8.69,8.4,8.48,2487500.0
2014-01-06,8.48,8.65,8.45,8.49,2583000.0
2014-01-07,8.49,8.96,8.42,8.65,13370000.0
2014-01-08,8.65,9.65,8.7,9.45,33157500.0
2014-01-09,9.45,10.45,9.63,10.18,42068000.0
2014-01-10,10.18,11.05,9.88,10.91,21646000.0
2014-01-13,10.91,11.15,10.75,10.91,11216000.0
2014-01-15,10.91,11.22,10.78,11.01,9810000.0
2014-01-16,11.01,11.13,10.55,10.68,4140500.0
2014-01-17,10.68,10.85,10.43,10.51,5393500.0
2014-01-20,10.51,10.79,10.11,10.49,11140000.0
2014-01-21,10.49,10.61,10.24,10.29,6365500.0
2014-01-22,10.29,10.7,10.18,10.4,17216000.0
2014-01-23,10.4,11.4,10.4,11.09,37141500.0
2014-01-24,11.09,11.38,10.85,11.15,13969000.0
2014-01-27,11.15,11.3,10.31,10.44,9217000.0
2014-01-28,10.44,10.7,10.14,10.21,10745500.0
2014-01-29,10.21,10.72,10.17,10.61,9359500.0
2014-01-30,10.61,10.85,10.45,10.53,5662500.0
2014-01-31,10.53,10.92,10.55,10.75,8456000.0
2014-02-03,10.75,10.98,10.7,10.75,4193000.0
2014-02-04,10.75,10.91,10.35,10.56,7092000.0
2014-02-06,10.56,10.72,10.37,10.45,3653000.0
2014-02-07,10.45,10.57,10.26,10.31,2292500.0
2014-02-10,10.31,10.44,9.75,10.24,6534500.0
2014-02-11,10.24,11.0,10.21,10.97,19604000.0
2014-02-12,10.97,11.15,10.5,10.64,11240500.0
2014-02-13,10.64,10.79,10.3,10.42,5534000.0
2014-02-14,10.42,10.6,10.21,10.28,3489000.0
2014-02-17,10.28,10.44,9.95,10.01,3159500.0
2014-02-18,10.01,10.6,10.02,10.54,17130500.0
2014-02-19,10.54,10.92,10.17,10.26,9844500.0
2014-02-20,10.26,10.77,10.35,10.66,9612500.0
2014-02-21,10.66,11.66,10.63,11.64,35170000.0
2014-02-24,11.64,12.15,11.43,11.55,38631500.0
2014-02-25,11.55,11.85,11.18,11.32,16132000.0
2014-02-26,11.32,11.44,11.05,11.26,6788500.0
2014-02-27,11.26,11.63,11.0,11.46,10112500.0
2014-02-28,11.46,11.6,11.15,11.2,8851500.0
2014-03-03,11.2,11.5,11.0,11.04,10959500.0
2014-03-04,11.04,11.45,10.96,11.38,17982000.0
2014-03-05,11.38,11.9,11.4,11.62,22988500.0
2014-03-06,11.62,11.9,11.35,11.41,19461500.0
2014-03-07,11.41,11.67,11.25,11.43,9055500.0
2014-03-10,11.43,11.59,11.1,11.17,12252500.0
2014-03-11,11.17,11.42,11.1,11.24,13414000.0
2014-03-12,11.24,11.85,11.21,11.29,45257500.0
2014-03-13,11.29,11.63,11.26,11.39,11415500.0
2014-03-14,11.39,11.54,11.22,11.31,6595500.0
2014-03-17,11.31,11.45,10.96,11.3,14694500.0
2014-03-18,11.3,11.38,11.15,11.2,2407500.0
2014-03-19,11.2,11.28,11.05,11.12,7979000.0
2014-03-20,11.12,11.32,11.01,11.13,9958000.0
2014-03-21,11.13,11.37,11.02,11.24,9405000.0
2014-03-24,11.24,11.37,11.05,11.08,5593500.0
2014-03-25,11.08,11.26,11.1,11.16,4708500.0
2014-03-26,11.16,11.34,11.15,11.25,4651500.0
2014-03-27,11.25,11.4,11.1,11.14,4954500.0
2014-03-28,11.14,11.26,11.04,11.18,4946000.0
2014-03-31,11.18,11.49,11.1,11.14,12410500.0
2014-04-01,11.14,11.39,11.11,11.29,9943500.0
2014-04-02,11.29,11.6,11.3,11.55,16303500.0
2014-04-03,11.55,12.29,11.58,12.04,62390500.0
2014-04-04,12.04,12.95,11.77,12.86,73378500.0
2014-04-07,12.86,13.35,12.6,12.78,33039500.0
2014-04-08,12.78,12.78,11.91,12.16,44666500.0
2014-04-09,12.16,13.16,12.06,13.05,45439500.0
2014-04-10,13.05,13.99,13.06,13.77,59737500.0
2014-04-11,13.77,13.88,13.31,13.69,17063000.0
2014-04-14,13.69,14.17,13.64,13.72,41393000.0
2014-04-15,13.72,14.24,13.41,13.95,31073500.0
2014-04-16,13.95,14.16,13.9,13.99,9278000.0
2014-04-17,13.99,14.09,13.61,13.74,6817500.0
2014-04-18,13.74,14.05,13.51,13.6,9243500.0
2014-04-21,13.6,13.76,13.39,13.61,7360500.0
2014-04-22,13.31,13.87,13.3,13.7,10680500.0
2014-04-23,13.7,13.99,13.55,13.67,19787000.0
2014-04-24,13.67,13.95,13.5,13.72,9036000.0
2014-04-25,13.72,13.7,13.5,13.55,3372500.0
2014-04-28,13.55,13.74,13.25,13.32,2510000.0
2014-04-29,13.32,13.74,12.76,13.56,14717000.0
2014-04-30,13.56,14.43,13.4,14.12,60394000.0
2014-05-02,14.12,14.47,13.97,14.07,18588000.0
2014-05-05,14.07,14.25,13.68,13.78,10265500.0
2014-05-06,13.78,13.87,13.6,13.69,4584000.0
2014-05-07,13.69,14.24,13.85,13.98,15490000.0
2014-05-08,13.98,14.14,13.8,13.85,3124000.0
2014-05-09,13.85,13.99,13.7,13.72,2270500.0
2014-05-12,13.72,13.98,13.62,13.69,2080500.0
2014-05-13,13.69,13.77,13.23,13.49,7523500.0
2014-05-14,13.49,13.7,13.36,13.42,2438000.0
2014-05-15,13.42,13.83,13.37,13.59,4627000.0
2014-05-16,13.59,13.74,13.42,13.52,2055000.0
2014-05-19,13.52,13.88,13.39,13.59,2940500.0
2014-05-20,13.59,13.83,13.51,13.55,3673500.0
2014-05-21,13.55,14.46,13.55,14.34,39207000.0
2014-05-22,14.34,14.62,14.06,14.16,19727000.0
2014-05-23,14.16,14.36,14.1,14.27,8264000.0
2014-05-26,14.27,14.37,14.15,14.22,2190000.0
2014-05-27,14.22,14.65,14.1,14.4,8099000.0
2014-05-28,14.4,14.78,14.4,14.48,13600500.0
2014-05-29,14.48,14.9,14.39,14.44,22675500.0
2014-05-30,14.44,15.05,14.4,14.89,27226500.0
2014-06-02,14.89,15.29,14.55,14.71,28296500.0
2014-06-03,14.71,14.95,14.01,14.63,21868500.0
2014-06-04,14.63,15.23,14.61,14.73,17324000.0
2014-06-05,14.73,15.2,14.55,14.66,41618500.0
2014-06-06,14.66,14.85,14.36,14.59,15584000.0
2014-06-09,14.59,14.73,14.34,14.41,4278500.0
2014-06-10,14.41,14.67,14.38,14.6,6278000.0
2014-06-11,14.6,15.11,14.68,14.76,15408500.0
2014-06-12,14.76,15.02,14.77,14.85,6550000.0
2014-06-13,14.85,14.95,14.58,14.63,4120000.0
2014-06-16,14.63,14.7,14.42,14.49,2974000.0
2014-06-17,14.49,14.69,14.24,14.3,7187500.0
2014-06-18,14.3,14.75,14.31,14.43,6623500.0
2014-06-19,14.43,14.93,14.1,14.83,16709500.0
2014-06-20,14.83,15.1,14.62,14.69,5520500.0
2014-06-23,14.69,15.24,14.32,15.14,14744500.0
2014-06-24,15.14,15.54,15.15,15.3,11694000.0
2014-06-25,15.3,15.63,14.8,15.07,14799000.0
2014-06-26,15.07,16.05,15.1,15.81,21732000.0
2014-06-27,15.81,16.35,16.0,16.19,22001500.0
2014-06-30,16.19,16.45,15.9,15.98,10247000.0
2014-07-01,15.98,16.12,15.85,15.94,1695500.0
2014-07-02,15.94,16.28,15.85,16.12,4538000.0
2014-07-03,16.12,16.49,16.19,16.31,6136500.0
2014-07-04,16.31,16.45,16.1,16.18,2430000.0
2014-07-07,16.18,16.35,15.85,16.04,4495000.0
2014-07-08,16.04,16.44,15.95,16.3,10358000.0
2014-07-09,16.3,16.4,16.02,16.08,2865000.0
2014-07-10,16.08,16.15,15.85,15.88,5391500.0
2014-07-11,15.88,15.99,15.85,15.94,889500.0
2014-07-14,15.94,16.2,15.82,16.16,5696000.0
2014-07-15,16.16,16.25,16.04,16.1,3910500.0
2014-07-16,16.1,16.16,15.7,15.92,7694500.0
2014-07-17,15.92,16.22,15.98,16.12,11357500.0
2014-07-18,16.12,16.7,16.15,16.44,18755500.0
2014-07-21,16.44,17.44,16.71,16.96,31226500.0
2014-07-22,16.96,17.12,16.65,16.75,8568500.0
2014-07-23,16.75,16.95,16.41,16.52,8062500.0
2014-07-24,16.52,17.52,16.51,16.73,58681500.0
2014-07-28,16.73,16.8,15.77,15.94,21647500.0
2014-08-04,15.94,15.75,14.94,15.47,43844500.0
2014-08-05,15.47,15.83,15.45,15.53,11238000.0
2014-08-06,15.53,15.6,15.25,15.52,10110000.0
2014-08-07,15.52,15.92,15.41,15.81,12347000.0
2014-08-08,15.81,15.8,15.55,15.6,6421500.0
2014-08-11,15.6,15.47,14.7,15.07,19706500.0
2014-08-12,15.07,15.65,15.01,15.54,8025000.0
2014-08-13,15.54,15.79,15.45,15.52,7944500.0
2014-08-15,15.52,15.76,15.5,15.58,6307500.0
2014-08-18,15.58,15.85,15.35,15.61,6093000.0
2014-08-19,15.61,15.42,15.11,15.26,9842500.0
2014-08-20,15.26,15.59,15.05,15.27,4353000.0
2014-08-21,15.27,15.7,15.25,15.32,4720500.0
2014-08-22,15.32,15.4,15.25,15.35,1245500.0
2014-08-25,15.35,15.34,15.02,15.05,5166500.0
2014-08-26,15.05,15.2,15.0,15.07,5704000.0
2014-08-27,15.07,15.15,14.85,15.02,4071500.0
2014-08-28,15.02,15.2,14.7,15.1,3921500.0
2014-08-29,15.1,15.69,15.1,15.48,10874000.0
2014-09-01,15.48,15.7,15.01,15.55,3116500.0
2014-09-02,15.55,15.79,15.53,15.73,5522500.0
2014-09-03,15.73,15.85,15.51,15.63,5368500.0
2014-09-04,15.63,15.84,15.52,15.67,5589000.0
2014-09-05,15.67,15.65,15.44,15.54,2531500.0
2014-09-08,15.54,15.7,15.27,15.41,2104000.0
2014-09-09,15.41,15.68,15.4,15.5,3236000.0
2014-09-10,15.5,15.59,15.37,15.4,1665000.0
2014-09-11,15.4,15.53,15.37,15.47,1541500.0
2014-09-12,15.47,15.55,15.37,15.45,2109000.0
2014-09-15,15.45,15.86,15.35,15.78,8676000.0
2014-09-16,15.78,16.28,15.76,16.1,17006000.0
2014-09-17,16.1,16.38,16.15,16.19,6819500.0
2014-09-18,16.19,17.19,16.11,17.07,41463500.0
2014-09-19,17.07,17.44,16.98,17.04,18650000.0
2014-09-22,17.04,17.15,16.76,16.8,4535500.0
2014-09-23,16.8,16.95,16.71,16.74,2564500.0
2014-09-24,16.74,16.93,16.6,16.65,3974500.0
2014-09-25,16.65,16.78,16.56,16.67,5160500.0
2014-09-26,16.67,17.1,16.67,16.77,14298000.0
2014-09-29,16.77,16.89,16.55,16.61,3275500.0
2014-09-30,16.61,16.7,16.41,16.51,3859000.0
2014-10-01,16.51,16.92,16.5,16.61,8778500.0
2014-10-02,16.61,16.78,16.5,16.51,2645000.0
2014-10-03,16.51,16.73,16.52,16.59,3564500.0
2014-10-09,16.59,16.85,16.6,16.67,2575000.0
2014-10-10,16.67,16.7,16.45,16.67,2865000.0
2014-10-13,16.67,16.8,16.61,16.68,3674000.0
2014-10-14,16.68,17.21,16.68,16.9,17465500.0
2014-10-15,16.9,16.94,16.6,16.77,4033000.0
2014-10-16,16.77,16.95,16.61,16.7,3381000.0
2014-10-17,16.7,16.9,16.6,16.64,3610000.0
2014-10-20,16.64,16.71,16.51,16.57,2932000.0
2014-10-21,16.57,16.7,16.5,16.54,1654500.0
2014-10-22,16.54,16.83,16.37,16.43,6293000.0
2014-10-23,16.43,16.59,16.3,16.34,2889500.0
2014-10-24,16.34,16.7,16.42,16.48,2588000.0
2014-10-27,16.48,16.7,16.27,16.32,1828500.0
2014-10-28,16.32,16.44,15.65,15.95,11391000.0
2014-10-29,15.95,16.02,15.65,15.67,6136000.0
2014-10-30,15.67,15.85,15.57,15.76,2751000.0
2014-10-31,15.76,15.83,15.52,15.72,1435500.0
2014-11-05,15.72,15.98,15.67,15.91,4714000.0
2014-11-06,15.91,16.41,15.85,16.05,6258500.0
2014-11-07,16.05,16.34,16.05,16.1,2539000.0
2014-11-10,16.1,16.48,16.15,16.22,2162500.0
2014-11-11,16.22,16.28,16.0,16.05,1410500.0
2014-11-12,16.05,16.25,15.82,15.86,3632000.0
2014-11-13,15.86,15.98,15.65,15.69,2068500.0
2014-11-14,15.69,15.79,15.56,15.61,2246500.0
2014-11-17,15.61,16.3,15.7,16.22,10423500.0
2014-11-18,16.22,16.42,16.15,16.36,6383000.0
2014-11-19,16.36,16.4,16.02,16.13,7138000.0
2014-11-20,16.13,16.24,16.0,16.11,4317000.0
2014-11-21,16.11,16.74,16.17,16.5,7234000.0
2014-11-24,16.5,16.64,16.31,16.33,3172000.0
2014-11-25,16.33,16.42,16.22,16.34,2343000.0
2014-11-26,16.34,16.74,16.2,16.26,3850000.0
2014-11-27,16.26,16.38,16.1,16.13,4886000.0
2014-11-28,16.13,16.65,16.1,16.36,5960000.0
2014-12-01,16.36,16.73,16.31,16.58,6933500.0
2014-12-02,16.58,16.71,16.26,16.44,2084500.0
2014-12-03,16.44,16.79,16.5,16.74,5064500.0
2014-12-04,16.74,16.99,16.51,16.67,15241000.0
2014-12-05,16.67,16.9,16.6,16.7,6687000.0
2014-12-08,16.7,16.97,16.69,16.75,3832000.0
2014-12-09,16.75,16.94,16.6,16.82,4686500.0
2014-12-10,16.82,16.9,16.55,16.6,2482000.0
2014-12-11,16.6,16.9,16.62,16.67,4174000.0
2014-12-12,16.67,16.99,16.55,16.85,6078000.0
2014-12-15,16.85,17.44,16.79,17.29,13246000.0
2014-12-16,17.29,17.44,16.72,16.95,6477500.0
2014-12-17,16.95,17.45,16.92,17.13,6749500.0
2014-12-18,17.13,17.52,17.25,17.32,7134000.0
2014-12-19,17.32,17.47,17.15,17.3,4430500.0
2014-12-22,17.3,17.39,17.22,17.28,1557500.0
2014-12-23,17.28,17.34,17.15,17.2,2632000.0
2014-12-24,17.2,17.3,16.96,17.07,4049000.0
2014-12-26,17.07,17.2,17.0,17.16,2354500.0
2014-12-29,17.16,17.3,17.1,17.19,2660000.0
2014-12-30,17.19,17.34,17.16,17.19,2450500.0
2014-12-31,17.19,17.46,17.15,17.35,2624500.0
2015-01-01,17.35,18.02,17.4,17.88,19145000.0
2015-01-02,17.88,18.15,17.75,17.99,9364000.0
2015-01-05,17.99,18.47,17.82,18.06,12980000.0
2015-01-06,18.06,18.29,17.95,18.03,4994000.0
2015-01-07,18.03,18.24,17.8,18.05,3039500.0
2015-01-08,18.05,18.1,17.8,17.83,3380500.0
2015-01-09,17.83,18.05,17.65,17.73,2587000.0
2015-01-12,17.73,18.03,17.44,17.49,7884500.0
2015-01-13,17.49,17.72,17.3,17.57,4737000.0
2015-01-14,17.57,17.75,17.45,17.57,4104000.0
2015-01-15,17.57,17.9,17.4,17.47,7143500.0
2015-01-16,17.47,17.62,17.28,17.33,2941000.0
2015-01-19,17.33,17.49,17.2,17.23,2808000.0
2015-01-20,17.23,17.64,17.25,17.5,6525000.0
2015-01-21,17.5,17.7,17.43,17.46,3524000.0
2015-01-22,17.46,18.2,17.64,17.7,47226500.0
2015-01-23,17.7,17.8,17.57,17.6,7490000.0
2015-01-26,17.6,17.8,17.6,17.63,8765000.0
2015-01-27,17.63,17.79,17.56,17.59,2352000.0
2015-01-28,17.59,17.68,17.55,17.65,4367500.0
2015-01-29,17.65,18.09,17.6,17.85,13283500.0
2015-01-30,17.85,18.06,17.85,17.92,7707000.0
2015-02-02,17.92,18.1,17.91,18.01,4914000.0
2015-02-03,18.01,18.06,17.8,17.82,3919500.0
2015-02-04,17.82,18.0,17.73,17.75,4789000.0
2015-02-06,17.75,18.0,17.78,17.82,1387500.0
2015-02-09,17.82,17.95,17.78,17.8,2710000.0
2015-02-10,17.8,17.83,17.75,17.77,1902000.0
2015-02-11,17.77,17.95,17.75,17.85,1541000.0
2015-02-12,17.85,17.89,17.68,17.71,3987000.0
2015-02-13,17.71,18.0,17.72,17.92,2288500.0
2015-02-16,17.92,17.9,17.72,17.77,1765000.0
2015-02-17,17.77,17.92,17.7,17.82,1587500.0
2015-02-18,17.82,17.88,17.72,17.78,3665500.0
2015-02-19,17.78,17.86,17.75,17.76,5039000.0
2015-02-20,17.76,17.83,17.62,17.67,5252500.0
2015-02-23,17.67,17.79,17.61,17.7,3519000.0
2015-02-24,17.7,17.9,17.69,17.84,1378500.0
2015-02-25,17.84,18.14,17.9,18.01,9675000.0
2015-02-26,18.01,18.2,18.02,18.15,3121500.0
2015-02-27,18.15,18.2,18.0,18.02,2968500.0
2015-03-02,18.02,18.1,17.91,17.96,3081500.0
2015-03-03,17.96,18.04,17.75,17.89,1924500.0
2015-03-04,17.89,18.07,17.76,17.89,9522500.0
2015-03-05,17.89,17.26,16.89,16.89,3689000.0
2015-03-06,16.89,16.98,16.51,16.74,297000.0
2015-03-09,16.74,16.85,16.51,16.73,160500.0
2015-03-10,16.73,16.95,16.65,16.85,219000.0
2015-03-11,16.85,17.1,16.26,16.85,1318500.0
2015-03-12,16.85,17.0,16.64,16.67,144000.0
2015-03-13,16.67,16.89,16.6,16.68,131000.0
2015-03-16,16.68,17.08,16.6,16.85,436500.0
2015-03-17,16.85,17.05,16.7,17.0,1063000.0
2015-03-18,17.0,17.6,16.9,17.16,663000.0
2015-03-19,17.16,17.73,17.0,17.62,508500.0
2015-03-20,17.62,17.89,17.43,17.48,483000.0
2015-03-24,17.48,17.71,16.61,16.7,551000.0
2015-03-25,16.7,16.85,16.1,16.22,941500.0
2015-03-26,16.22,16.5,15.5,15.66,412500.0
2015-03-27,15.66,15.94,15.12,15.28,505500.0
2015-03-30,15.28,15.49,14.28,14.28,681500.0
2015-03-31,14.28,15.28,14.85,15.27,316500.0
2015-04-01,15.27,15.79,15.0,15.7,278000.0
2015-04-02,15.7,16.7,16.0,16.61,543000.0
2015-04-03,16.61,16.95,16.4,16.69,429000.0
2015-04-06,16.69,17.1,16.42,16.52,999000.0
2015-04-07,16.52,16.4,15.52,15.57,2691000.0
2015-04-08,15.57,15.61,15.14,15.2,1689500.0
2015-04-09,15.2,15.09,14.7,14.89,1540000.0
2015-04-10,14.89,15.89,14.79,15.89,8211500.0
2015-04-13,15.89,16.89,16.06,16.55,10146500.0
2015-04-14,16.55,16.7,16.1,16.3,3174500.0
2015-04-15,16.3,16.6,15.91,16.02,3357000.0
2015-04-16,16.02,16.13,15.75,15.87,2376500.0
2015-04-17,15.87,16.73,15.67,16.59,7199500.0
2015-04-20,16.59,17.15,16.6,16.65,5910000.0
2015-04-21,16.65,16.59,16.01,16.15,2506500.0
2015-04-22,16.15,16.65,16.1,16.53,2197500.0
2015-04-23,16.53,16.9,16.5,16.55,1441000.0
2015-04-24,16.55,17.25,16.61,17.02,4584500.0
2015-04-27,17.02,17.84,17.07,17.62,6216000.0
2015-04-28,17.62,17.89,17.25,17.34,2167000.0
2015-04-29,17.34,17.43,17.05,17.1,940500.0
2015-04-30,17.1,17.46,17.05,17.1,1156000.0
2015-05-04,17.1,17.37,16.95,17.03,1520500.0
2015-05-05,17.03,17.13,16.4,16.53,3121500.0
2015-05-06,16.53,16.8,16.25,16.33,1509000.0
2015-05-07,16.33,16.4,16.15,16.2,1577000.0
2015-05-08,16.2,16.39,16.02,16.05,1155000.0
2015-05-11,16.05,16.19,15.5,15.52,2061500.0
2015-05-12,15.52,15.85,15.3,15.82,2779500.0
2015-05-13,15.82,15.99,15.68,15.71,466000.0
2015-05-14,15.71,16.24,15.56,16.01,1143000.0
2015-05-15,16.01,16.4,15.7,16.34,1797500.0
