Date,Open,High,Low,Close,Volume
2011-07-21,19.0,19.29,18.3,18.9,1339451.0
2011-07-22,18.9,19.0,18.65,18.83,724962.0
2011-07-25,18.83,19.0,18.8,18.94,513801.0
2011-07-26,18.94,19.0,18.91,18.91,229033.0
2011-07-27,18.91,18.8,18.5,18.56,1605.0
2011-07-28,18.56,18.89,17.65,18.25,17562.0
2011-07-29,18.25,18.94,18.65,18.91,275204.0
2011-08-01,18.91,18.95,18.71,18.75,930176.0
2011-08-02,18.75,18.75,18.73,18.74,2010.0
2011-08-03,18.74,18.75,18.49,18.6,32503.0
2011-08-04,18.6,18.69,18.5,18.69,700.0
2011-08-05,18.69,18.65,17.76,18.2,14097.0
2011-08-08,18.2,18.49,17.5,18.31,16736.0
2011-08-09,18.31,18.9,17.4,18.06,67207.0
2011-08-10,18.06,18.75,18.25,18.75,36000.0
2011-08-11,18.75,19.0,18.6,18.77,1133902.0
2011-08-12,18.77,19.77,18.81,19.77,6983393.0
2011-08-15,19.77,20.77,20.25,20.39,7079515.0
2011-08-16,20.39,20.75,20.2,20.37,909366.0
2011-08-17,20.37,21.38,20.26,21.38,4325724.0
2011-08-18,21.38,21.9,21.35,21.49,1744862.0
2011-08-19,21.49,21.4,20.88,21.01,978684.0
2011-08-22,21.01,21.45,20.85,20.95,927566.0
2011-08-23,20.95,21.05,20.65,20.69,295370.0
2011-08-24,20.69,20.95,19.8,19.98,931121.0
2011-08-25,14.98,15.4,13.98,13.98,755526.0
2011-08-29,13.98,14.0,13.0,13.76,403432.0
2011-08-30,13.76,14.0,13.52,13.84,52170.0
2011-09-05,13.84,14.15,13.51,13.65,231682.0
2011-09-06,13.65,13.85,13.4,13.66,353680.0
2011-09-07,13.66,13.98,13.5,13.92,297108.0
2011-09-08,13.92,14.56,14.05,14.1,317356.0
2011-09-09,14.1,14.7,14.2,14.25,2322016.0
2011-09-12,14.25,14.3,13.79,13.89,62926.0
2011-09-13,13.89,14.48,14.05,14.08,186548.0
2011-09-14,14.08,14.15,13.8,13.82,97951.0
2011-09-15,13.82,14.1,13.8,14.0,115575.0
2011-09-16,14.0,14.15,13.85,13.98,329805.0
2011-09-19,13.98,14.15,13.95,14.06,315921.0
2011-09-20,14.06,14.22,13.91,14.2,89267.0
2011-09-21,14.2,14.9,14.15,14.74,699130.0
2011-09-22,14.74,14.51,14.21,14.29,64606.0
2011-09-23,14.29,14.3,13.9,14.24,98011.0
2011-09-26,14.24,13.98,13.5,13.73,96239.0
2011-09-27,13.73,14.43,13.68,14.06,52718.0
2011-09-28,14.06,14.23,13.9,14.02,171668.0
2011-09-29,14.02,14.6,14.0,14.05,21518.0
2011-09-30,14.05,14.44,14.05,14.3,316201.0
2011-10-03,14.3,14.4,14.01,14.3,56366.0
2011-10-04,14.3,14.5,14.0,14.17,188654.0
2011-10-05,14.17,14.2,14.0,14.01,224412.0
2011-10-06,14.01,14.28,14.0,14.06,237498.0
2011-10-07,14.06,14.75,13.4,14.08,96474.0
2011-10-10,14.08,14.5,14.0,14.24,281061.0
2011-10-11,14.24,14.36,13.95,13.97,189562.0
2011-10-12,13.97,14.2,13.85,13.86,263419.0
2011-10-13,13.86,14.48,13.7,13.97,124074.0
2011-10-14,13.97,14.05,13.64,13.94,17027.0
2011-10-17,13.94,14.04,13.62,13.65,68228.0
2011-10-18,13.65,14.15,13.1,13.59,500979.0
