Date,Open,High,Low,Close,Volume
2001-01-01,19.2,21.0,21.0,21.0,1500.0
2001-01-05,21.0,22.5,22.5,22.5,4000.0
2001-01-09,22.5,21.25,21.25,21.25,1000.0
2001-01-16,21.25,21.5,21.5,21.5,500.0
2001-01-25,21.5,21.0,21.0,21.0,500.0
2001-02-21,21.0,22.0,22.0,22.0,1000.0
2001-03-13,22.0,22.0,22.0,22.0,1500.0
2001-03-28,22.0,22.0,22.0,22.0,500.0
2001-04-16,22.0,22.0,22.0,22.0,500.0
2001-04-24,22.0,21.5,21.5,21.5,5000.0
2001-05-23,21.5,21.5,21.5,21.5,500.0
2001-06-01,21.5,21.5,21.5,21.5,3500.0
2001-06-20,21.5,21.75,21.75,21.75,500.0
2001-07-25,21.75,20.95,20.95,20.95,500.0
2001-08-16,20.95,20.5,20.0,20.0,1500.0
2001-09-05,20.0,19.1,19.0,19.0,1000.0
2001-09-11,19.0,18.3,18.25,18.25,2500.0
2001-10-11,18.25,17.4,17.35,17.35,1000.0
2001-10-23,17.35,18.5,18.25,18.5,1500.0
2001-10-26,18.5,18.5,18.5,18.5,500.0
2001-10-29,18.5,18.5,18.5,18.5,500.0
2001-10-31,18.5,17.7,17.7,17.7,500.0
2001-11-01,15.7,15.7,15.7,15.7,0.0
2001-11-21,15.7,16.3,16.3,16.3,1000.0
2001-12-12,16.3,16.3,16.3,16.3,0.0
2001-12-31,16.3,16.0,16.0,16.0,500.0
2002-01-02,16.0,16.0,16.0,16.0,500.0
2002-01-09,16.0,15.65,15.65,15.65,1500.0
2002-01-29,15.65,17.0,16.55,17.0,2000.0
2002-02-06,17.0,18.0,18.0,18.0,500.0
2002-02-07,18.0,18.0,18.0,18.0,5000.0
2002-02-08,18.0,18.0,18.0,18.0,10000.0
2002-02-11,18.0,18.0,18.0,18.0,2000.0
2002-02-14,18.0,18.0,18.0,18.0,1000.0
2002-02-26,18.0,18.0,18.0,18.0,1000.0
2002-03-05,18.0,18.0,18.0,18.0,2000.0
2002-03-19,18.0,17.0,17.0,17.0,4000.0
2002-03-20,17.0,16.75,16.75,16.75,500.0
2002-03-21,16.75,16.7,16.7,16.7,500.0
2002-03-27,16.7,16.5,16.5,16.5,1000.0
2002-03-29,16.5,16.6,16.6,16.6,0.0
2002-04-08,16.6,16.5,16.5,16.5,0.0
2002-04-12,16.5,15.5,15.45,15.5,3000.0
2002-04-15,15.5,15.5,15.1,15.1,5000.0
2002-04-16,15.1,15.3,15.3,15.3,0.0
2002-04-17,15.3,16.45,16.45,16.4,500.0
2002-04-19,16.4,17.0,16.6,17.0,1500.0
2002-04-22,17.0,17.5,16.7,17.5,2000.0
2002-05-20,17.5,16.1,16.1,16.1,1000.0
2002-05-27,16.1,16.5,16.5,16.5,0.0
2002-05-31,16.5,17.0,17.0,17.0,2000.0
2002-06-20,17.0,17.95,17.75,17.95,1000.0
2002-06-27,17.95,18.0,18.0,18.0,0.0
2002-07-01,18.0,18.0,18.0,18.0,500.0
2002-07-03,18.0,18.1,18.1,18.1,0.0
2002-08-02,18.1,18.5,18.5,18.5,1000.0
2002-08-13,18.5,18.5,18.5,18.5,500.0
2002-08-23,18.5,18.65,18.65,18.65,0.0
2002-08-26,18.65,20.15,20.15,20.15,0.0
2002-08-27,20.15,21.0,21.0,21.0,500.0
2002-08-28,21.0,22.55,22.55,22.55,500.0
2002-08-30,22.55,24.2,24.2,24.2,500.0
2002-09-03,24.2,24.25,24.25,24.25,500.0
2002-09-13,24.25,24.25,24.25,24.25,63000.0
2002-10-08,24.25,25.0,25.0,25.0,1500.0
2002-10-18,22.0,22.0,22.0,22.0,0.0
