Date,Open,High,Low,Close,Volume
2001-01-26,3.0,3.0,3.0,3.0,2000.0
2001-02-22,3.0,3.5,3.5,3.5,500.0
2001-02-23,3.5,3.5,3.5,3.5,500.0
2001-04-20,3.5,3.5,2.5,3.5,2000.0
2001-05-04,3.5,3.5,3.5,3.5,2000.0
2001-05-14,3.5,3.5,3.5,3.5,0.0
2001-06-08,3.5,3.5,2.95,3.5,17500.0
2001-06-13,3.5,3.45,3.0,3.0,18500.0
2001-06-15,3.0,3.3,3.3,3.3,500.0
2001-06-18,3.3,3.0,3.0,3.0,500.0
2001-06-29,3.0,3.0,3.0,3.0,1000.0
2001-07-04,3.0,2.0,2.0,2.0,2000.0
2001-07-05,2.0,2.05,2.05,2.05,1000.0
2001-07-09,2.05,2.05,2.05,2.05,500.0
2001-07-16,2.05,2.0,2.0,2.0,500.0
2001-07-25,2.0,1.8,1.8,1.8,500.0
2001-07-26,1.8,1.8,1.8,1.8,500.0
2001-08-03,1.8,1.95,1.95,1.95,1000.0
2001-08-27,1.95,1.7,1.7,1.7,2000.0
2001-08-28,1.7,2.0,2.0,2.0,8500.0
2001-08-29,2.0,1.5,1.5,1.5,1500.0
2001-08-30,1.5,1.6,1.6,1.6,1000.0
2001-08-31,1.6,1.7,1.7,1.7,2000.0
2001-09-04,1.7,1.7,1.7,1.7,500.0
2001-09-06,1.7,1.3,1.3,1.3,500.0
2001-09-11,1.3,3.0,1.95,3.0,3500.0
2001-11-07,3.0,3.05,3.05,3.05,2000.0
2001-12-20,3.05,3.0,3.0,3.0,10000.0
2002-02-01,3.0,2.75,2.75,2.75,2000.0
2002-02-12,2.75,2.75,2.75,2.75,6500.0
2002-02-13,2.75,2.75,2.75,2.75,3500.0
2002-03-12,2.75,2.0,2.0,2.0,7500.0
2002-04-09,2.0,2.05,2.05,2.05,0.0
2002-04-17,2.05,2.1,2.1,2.1,0.0
2002-04-23,2.1,2.1,2.1,2.1,2500.0
2002-04-26,2.1,1.3,1.25,1.3,500.0
2002-04-29,1.3,1.4,1.4,1.4,0.0
2002-05-03,1.4,2.0,2.0,2.0,500.0
2002-06-14,2.0,1.55,1.55,1.55,2000.0
2002-06-18,1.55,1.65,1.65,1.65,0.0
2002-06-21,1.65,1.65,1.65,1.65,500.0
2002-07-26,1.65,1.5,1.45,1.5,1500.0
2002-07-29,1.5,2.0,1.65,1.9,4500.0
2002-07-31,1.9,1.95,1.95,1.95,0.0
2002-08-08,1.95,2.05,2.05,2.05,0.0
2002-08-09,2.05,2.75,2.45,2.5,3000.0
2002-08-13,2.5,2.75,2.6,2.75,4000.0
2002-08-16,2.75,2.5,2.5,2.5,5000.0
2002-08-21,2.5,2.9,2.75,2.75,1500.0
2002-09-11,2.75,2.65,2.65,2.65,0.0
2002-09-12,2.65,1.85,1.85,1.85,1500.0
2002-09-16,1.85,2.0,2.0,2.0,0.0
2002-09-20,2.0,2.0,2.0,2.0,1500.0
2002-09-26,2.0,2.0,2.0,2.0,17500.0
2002-09-27,2.0,2.0,2.0,2.0,1000.0
2002-10-01,2.0,1.5,1.5,1.5,5000.0
2002-10-08,1.5,2.0,2.0,2.0,500.0
2002-10-18,2.0,2.0,1.95,2.0,15000.0
2002-10-21,2.0,2.4,2.4,2.4,1000.0
2002-10-24,2.4,2.4,2.4,2.4,3500.0
2002-10-28,2.4,2.4,2.4,2.4,500.0
2002-10-29,2.4,2.55,2.55,2.55,500.0
2002-10-30,2.55,2.9,2.55,2.55,5500.0
2002-11-13,2.55,2.5,2.5,2.5,0.0
2002-11-14,2.5,2.55,2.55,2.55,4000.0
2002-11-27,2.55,2.55,2.55,2.55,500.0
2002-12-11,2.55,2.75,2.65,2.65,4000.0
2002-12-12,2.65,2.75,2.5,2.75,500.0
2002-12-16,2.75,2.75,2.75,2.75,10500.0
2002-12-20,2.75,4.25,3.75,4.25,6500.0
2002-12-23,4.25,4.45,4.25,4.25,1500.0
2002-12-24,4.25,4.0,3.9,3.9,6000.0
2002-12-26,3.9,3.5,3.5,3.5,6000.0
2002-12-27,3.5,3.15,3.15,3.15,0.0
2002-12-31,3.15,3.35,3.35,3.35,500.0
2003-01-01,3.35,3.15,3.15,3.15,500.0
2003-01-06,3.15,3.1,3.1,3.1,10000.0
2003-01-07,3.1,3.4,3.15,3.4,4500.0
2003-01-08,3.4,4.1,3.25,4.1,31000.0
2003-01-09,4.1,4.75,4.2,4.5,37500.0
2003-01-10,4.5,5.25,5.0,5.0,21500.0
2003-01-13,5.0,5.25,4.5,5.25,12000.0
2003-01-15,5.25,5.2,4.5,4.5,3000.0
2003-01-16,4.5,4.25,4.1,4.25,4000.0
2003-01-17,4.25,4.5,4.5,4.5,2500.0
2003-01-22,4.5,4.4,4.4,4.4,0.0
2003-01-23,4.4,3.55,3.5,3.5,2000.0
2003-01-24,3.5,3.3,3.0,3.0,2000.0
2003-01-29,3.0,3.0,2.3,2.3,3000.0
2003-01-30,2.3,3.0,2.8,3.0,1500.0
2003-02-03,3.0,3.0,3.0,3.0,5000.0
2003-02-18,3.0,3.25,3.25,3.25,2000.0
2003-02-19,3.25,3.5,3.5,3.5,0.0
2003-02-24,3.5,3.25,3.25,3.25,500.0
2003-02-25,3.25,3.5,3.5,3.5,1500.0
2003-02-27,3.5,3.25,3.25,3.25,500.0
2003-03-03,3.25,3.5,3.25,3.5,13500.0
2003-03-05,3.5,4.0,3.5,4.0,5000.0
2003-03-06,4.0,3.4,3.1,3.15,4500.0
2003-03-11,3.15,3.15,3.15,3.15,500.0
2003-03-20,3.15,3.05,3.05,3.05,1000.0
