Date,Open,High,Low,Close,Volume
2001-02-26,19.0,10.0,10.0,10.0,500.0
2001-02-27,10.0,7.0,5.0,5.0,1000.0
2001-03-15,5.0,5.0,5.0,5.0,0.0
2001-03-20,5.0,10.05,7.05,7.05,1000.0
2001-05-29,7.05,4.0,4.0,4.0,500.0
2001-05-30,4.0,4.0,4.0,4.0,500.0
2001-06-21,4.0,8.0,8.0,8.0,500.0
2001-06-27,8.0,4.0,4.0,4.0,500.0
2001-06-29,4.0,4.0,3.1,3.1,10500.0
2001-08-03,3.1,2.0,2.0,2.0,1000.0
2001-08-16,2.0,5.0,5.0,5.0,1000.0
2002-03-22,5.0,2.9,2.9,2.9,0.0
2002-06-11,2.9,2.5,2.5,2.5,1000.0
2002-06-12,2.5,2.6,2.6,2.6,0.0
2002-07-16,2.6,2.5,2.5,2.5,0.0
2002-07-24,2.5,2.4,2.4,2.4,0.0
2003-04-11,2.4,2.45,2.45,2.45,0.0
2003-04-30,2.45,3.0,3.0,3.0,2500.0
2003-05-02,3.0,3.75,3.5,3.75,5000.0
2003-05-05,3.75,4.4,4.0,4.4,8500.0
2003-05-06,4.4,5.25,3.6,5.25,13000.0
2003-05-07,5.25,6.75,6.75,6.75,500.0
2003-05-08,6.75,5.8,5.75,5.8,1000.0
2003-05-09,5.8,6.5,6.5,6.5,4000.0
2003-05-13,6.5,8.0,5.5,5.5,1000.0
2003-05-21,5.5,5.55,5.55,5.55,0.0
2003-05-22,5.55,7.05,7.05,7.05,1000.0
2003-05-23,7.05,8.55,8.4,8.55,1500.0
2003-05-27,8.55,10.0,10.0,10.0,500.0
2003-05-28,10.0,9.95,9.95,9.95,0.0
2003-06-04,9.95,9.5,9.5,9.5,0.0
2003-06-13,9.5,9.0,9.0,9.0,0.0
2003-08-18,9.0,8.0,8.0,8.0,0.0
2003-12-08,8.0,7.0,7.0,7.0,0.0
2003-12-31,7.0,6.0,6.0,6.0,0.0
2004-01-13,6.0,6.0,6.0,6.0,2000.0
2004-02-06,6.0,5.15,5.15,5.15,0.0
2004-02-09,5.15,5.25,5.25,5.25,0.0
2004-02-17,5.25,4.25,4.25,4.25,3000.0
2004-04-07,4.25,4.3,4.3,4.3,0.0
2004-04-27,4.3,4.5,4.5,4.5,0.0
2004-07-21,4.5,5.0,5.0,5.0,0.0
2004-08-19,5.0,6.5,6.5,6.5,1000.0
2004-10-04,6.5,6.45,6.45,6.45,0.0
2004-11-25,6.45,6.4,6.4,6.4,0.0
2005-02-07,6.4,6.25,6.25,6.25,0.0
2005-04-14,6.25,6.0,6.0,6.0,0.0
2005-04-20,6.0,5.75,5.75,5.75,0.0
2005-05-23,5.75,5.5,5.5,5.5,0.0
2005-05-31,5.5,5.45,5.45,5.45,0.0
2005-06-07,5.45,4.95,4.95,4.95,0.0
2005-06-14,4.95,4.75,4.75,4.75,0.0
2005-06-15,4.75,4.5,4.5,4.5,0.0
2005-06-16,4.5,3.5,3.5,3.5,500.0
2005-06-17,3.5,2.5,2.5,2.5,3500.0
2005-06-20,2.5,2.0,1.7,1.7,47500.0
2005-06-21,1.7,2.0,2.0,2.0,500.0
2005-06-28,2.0,2.15,2.1,2.1,1500.0
2005-06-30,2.1,2.85,2.85,2.85,500.0
2005-07-04,2.85,3.65,3.65,3.65,500.0
2005-07-08,3.65,2.65,2.65,2.65,5000.0
2005-08-09,2.65,2.6,2.6,2.6,5500.0
2005-08-24,2.6,2.6,2.6,2.6,5000.0
2005-08-25,2.6,2.6,2.6,2.6,2500.0
2005-09-28,2.6,2.6,2.6,2.6,1000.0
2005-11-07,2.6,3.0,2.9,2.9,2500.0
2005-11-14,2.9,2.2,2.0,2.0,1000.0
2005-11-17,2.0,2.9,2.9,2.9,1000.0
2005-12-08,2.9,3.9,3.9,3.9,1000.0
2005-12-09,3.9,3.05,2.9,2.9,14500.0
2005-12-12,2.9,2.9,2.9,2.9,2000.0
2005-12-16,2.9,3.0,3.0,3.0,5000.0
2005-12-19,3.0,3.0,3.0,3.0,1000.0
2005-12-22,3.0,2.2,2.1,2.1,1000.0
2005-12-26,2.1,3.0,3.0,3.0,500.0
2006-01-06,3.0,2.7,2.7,2.7,2000.0
2006-01-09,2.7,3.0,3.0,3.0,5000.0
2006-01-23,3.0,3.0,3.0,3.0,2000.0
2006-01-25,3.0,3.25,3.25,3.25,500.0
2006-01-30,3.25,4.25,4.0,4.25,3000.0
2006-01-31,4.25,5.25,4.4,5.25,2500.0
2006-02-01,5.25,6.25,5.65,6.25,5000.0
2006-02-02,6.25,7.25,6.6,7.25,2500.0
2006-02-06,7.25,7.0,7.0,7.0,1000.0
2006-02-14,7.0,6.0,6.0,6.0,1000.0
2006-02-17,6.0,6.0,6.0,6.0,2000.0
2006-04-26,6.0,5.0,5.0,5.0,2000.0
2006-05-08,5.0,6.0,6.0,6.0,1000.0
2006-05-09,6.0,6.5,6.45,6.5,1500.0
2006-05-12,6.5,5.5,5.5,5.5,2000.0
2006-05-23,5.5,4.5,4.5,4.5,500.0
2006-05-24,4.5,3.7,3.7,3.7,1000.0
2006-05-26,3.7,3.5,3.5,3.5,500.0
2006-06-23,3.5,3.5,3.5,3.5,1000.0
2006-06-26,3.5,4.0,4.0,4.0,0.0
2006-06-29,4.0,5.0,5.0,5.0,2500.0
2006-08-25,5.0,5.0,5.0,5.0,2000.0
2006-09-12,5.0,4.8,4.8,4.8,0.0
2006-09-13,4.8,4.75,4.75,4.75,0.0
2006-11-13,4.75,3.75,3.75,3.75,500.0
2006-11-24,3.75,3.75,3.75,3.75,1500.0
2006-11-27,3.75,2.8,2.8,2.8,1000.0
2007-01-03,2.8,3.8,3.8,3.8,1500.0
2007-04-23,3.8,4.8,4.8,4.8,500.0
2007-07-26,4.8,5.75,5.75,5.75,1000.0
2007-12-06,5.75,6.4,6.4,6.4,1000.0
2007-12-07,6.4,5.5,5.5,5.5,500.0
2007-12-18,5.5,6.3,6.3,6.3,3000.0
2007-12-19,6.3,7.1,6.2,6.2,3500.0
2007-12-26,6.2,7.2,6.5,7.2,7000.0
2007-12-27,7.2,8.2,7.55,7.7,7000.0
2007-12-31,7.7,6.8,6.7,6.7,1000.0
2008-01-02,6.7,7.7,7.7,7.7,500.0
2008-01-03,7.7,8.55,8.55,8.55,500.0
2008-01-10,8.55,8.55,8.55,8.55,1000.0
2008-01-15,8.55,8.45,8.45,8.45,0.0
2008-01-24,8.45,8.4,8.4,8.4,0.0
2008-01-29,8.4,8.3,8.3,8.3,0.0
2008-01-31,8.3,8.0,8.0,8.0,0.0
2008-02-01,8.0,7.5,7.5,7.5,500.0
2008-02-04,7.5,7.5,7.5,7.5,500.0
2008-02-19,7.5,7.4,7.4,7.4,0.0
2008-02-20,7.4,7.4,7.4,7.4,1000.0
2008-02-28,7.4,7.0,7.0,7.0,0.0
2008-03-11,7.0,6.9,6.9,6.9,0.0
2008-03-24,6.9,5.9,5.9,5.9,0.0
2008-03-25,5.9,4.9,4.9,4.9,500.0
2009-02-12,4.9,4.9,4.9,4.9,5000.0
2010-03-02,4.9,4.75,4.75,4.75,0.0
2015-10-14,0.0,0.0,0.0,4.75,0.0
2015-11-03,0.0,0.0,0.0,4.75,0.0
2015-11-04,0.0,0.0,0.0,4.75,0.0
2015-11-05,0.0,0.0,0.0,4.75,0.0
2015-11-06,0.0,0.0,0.0,4.75,0.0
2015-11-09,0.0,0.0,0.0,4.75,0.0
2015-11-10,0.0,0.0,0.0,4.75,0.0
2015-11-11,0.0,0.0,0.0,4.75,0.0
2015-11-12,0.0,0.0,0.0,4.75,0.0
2015-11-13,0.0,0.0,0.0,4.75,0.0
2015-11-16,0.0,0.0,0.0,4.75,0.0
2015-11-17,0.0,0.0,0.0,4.75,0.0
2015-11-18,0.0,0.0,0.0,4.75,0.0
2015-11-19,0.0,0.0,0.0,4.75,0.0
2015-11-20,0.0,0.0,0.0,4.75,0.0
2015-11-23,0.0,0.0,0.0,4.75,0.0
2015-11-24,0.0,0.0,0.0,4.75,0.0
2015-11-25,0.0,0.0,0.0,4.75,0.0
2015-11-26,0.0,0.0,0.0,4.75,0.0
2015-11-27,0.0,0.0,0.0,4.75,0.0
2015-11-30,0.0,0.0,0.0,4.75,0.0
2015-12-01,0.0,0.0,0.0,4.75,0.0
2015-12-02,0.0,0.0,0.0,4.75,0.0
2015-12-03,0.0,0.0,0.0,4.75,0.0
2015-12-04,0.0,0.0,0.0,4.75,0.0
2015-12-07,0.0,0.0,0.0,4.75,0.0
2015-12-08,0.0,0.0,0.0,4.75,0.0
2015-12-09,0.0,0.0,0.0,4.75,0.0
2015-12-10,0.0,0.0,0.0,4.75,0.0
2015-12-11,0.0,0.0,0.0,4.75,0.0
2015-12-14,0.0,0.0,0.0,4.75,0.0
2015-12-15,0.0,0.0,0.0,4.75,0.0
2015-12-16,0.0,0.0,0.0,4.75,0.0
2015-12-17,0.0,0.0,0.0,4.75,0.0
