Date,Open,High,Low,Close,Volume
2001-01-01,6.5,7.35,6.5,7.15,573000.0
2001-01-02,7.15,7.5,6.85,6.85,333000.0
2001-01-03,6.85,7.0,6.75,7.0,56000.0
2001-01-04,7.0,7.0,6.65,6.7,80500.0
2001-01-05,6.7,6.8,6.5,6.5,86500.0
2001-01-08,6.5,6.75,6.55,6.55,23500.0
2001-01-09,6.55,6.85,6.55,6.65,80500.0
2001-01-10,6.65,6.65,6.5,6.65,26000.0
2001-01-11,6.65,6.5,6.3,6.3,36500.0
2001-01-12,6.3,6.5,6.0,6.5,116500.0
2001-01-15,6.5,6.25,6.15,6.2,45500.0
2001-01-16,6.2,6.5,6.0,6.15,19500.0
2001-01-17,6.15,6.1,6.0,6.1,8000.0
2001-01-18,6.1,6.15,6.05,6.05,5500.0
2001-01-19,6.05,6.4,6.0,6.4,100500.0
2001-01-22,6.4,6.6,6.25,6.4,548000.0
2001-01-23,6.4,6.65,6.25,6.55,3187500.0
2001-01-24,6.55,6.7,6.3,6.3,600000.0
2001-01-25,6.3,6.4,6.25,6.25,226000.0
2001-01-26,6.25,6.4,5.85,6.0,782500.0
2001-01-29,6.0,6.05,5.9,5.9,131500.0
2001-01-30,5.9,5.95,5.7,5.9,137000.0
2001-01-31,5.9,6.4,5.95,6.25,736500.0
2001-02-01,6.25,6.25,5.9,5.95,297500.0
2001-02-02,5.95,6.05,5.9,6.05,176000.0
2001-02-06,6.05,6.15,6.05,6.1,46500.0
2001-02-07,6.1,6.2,6.1,6.1,135500.0
2001-02-08,6.1,6.15,6.0,6.05,98500.0
2001-02-09,6.05,6.25,6.0,6.15,216000.0
2001-02-12,6.15,6.35,6.2,6.25,160000.0
2001-02-13,6.25,6.25,6.1,6.1,77000.0
2001-02-14,6.1,6.1,6.05,6.05,59500.0
2001-02-15,6.05,6.15,5.95,5.95,111500.0
2001-02-16,5.95,6.0,5.9,5.95,55000.0
2001-02-19,5.95,6.0,5.8,5.9,71500.0
2001-02-20,5.9,5.85,5.75,5.75,55000.0
2001-02-21,5.75,5.75,5.5,5.7,52500.0
2001-02-22,5.7,5.8,5.6,5.6,38000.0
2001-02-23,5.6,5.8,5.3,5.75,93000.0
2001-02-26,5.75,5.5,5.45,5.45,26000.0
2001-02-27,5.45,5.5,5.4,5.4,9500.0
2001-02-28,5.4,5.4,5.35,5.35,2500.0
2001-03-01,5.35,5.35,5.15,5.35,9500.0
2001-03-02,5.35,5.45,5.15,5.45,58500.0
2001-03-09,5.45,5.3,5.3,5.3,10000.0
2001-03-12,5.3,5.25,5.05,5.2,7500.0
2001-03-13,5.2,5.15,5.1,5.1,1500.0
2001-03-14,5.1,5.1,5.0,5.1,31500.0
2001-03-15,5.1,5.35,5.0,5.35,80000.0
2001-03-16,5.35,5.05,5.0,5.0,9000.0
2001-03-19,5.0,5.15,5.0,5.0,9500.0
2001-03-20,5.0,5.0,4.95,4.95,5000.0
2001-03-21,4.95,5.0,5.0,5.0,10000.0
2001-03-22,5.0,4.95,4.5,4.5,78500.0
2001-03-26,4.5,4.65,4.55,4.65,9500.0
2001-03-27,4.65,4.6,4.55,4.6,9000.0
2001-03-28,4.6,4.6,4.6,4.6,3500.0
2001-03-29,4.6,4.5,4.25,4.4,37500.0
2001-03-30,4.4,4.6,4.35,4.35,63000.0
2001-04-02,4.35,4.8,4.4,4.7,34000.0
2001-04-03,4.7,4.8,4.6,4.6,13000.0
2001-04-06,4.6,4.65,4.55,4.6,82000.0
2001-04-09,4.6,4.7,4.5,4.7,21500.0
2001-04-10,4.7,4.65,4.5,4.55,81000.0
2001-04-11,4.55,4.6,4.55,4.6,81500.0
2001-04-12,4.6,4.6,4.55,4.55,43500.0
2001-04-13,4.55,4.8,4.55,4.75,114500.0
2001-04-16,4.75,4.8,4.6,4.8,32500.0
2001-04-17,4.8,5.0,4.8,4.85,70000.0
2001-04-18,4.85,4.9,4.7,4.9,40500.0
2001-04-19,4.9,4.9,4.8,4.8,28500.0
2001-04-20,4.8,4.85,4.8,4.8,13000.0
2001-04-23,4.8,4.85,4.8,4.8,18500.0
2001-04-24,4.8,4.85,4.8,4.8,13500.0
2001-04-25,4.8,4.8,4.65,4.75,51500.0
2001-04-26,4.75,4.7,4.7,4.7,9000.0
2001-04-27,4.7,4.7,4.6,4.7,18500.0
2001-04-30,4.7,4.65,4.5,4.65,25500.0
2001-05-02,4.65,4.6,4.55,4.6,17500.0
2001-05-03,4.6,4.6,4.4,4.5,87000.0
2001-05-04,4.5,4.5,4.35,4.5,10500.0
2001-05-07,4.5,4.6,4.5,4.6,37500.0
2001-05-08,4.6,4.55,4.45,4.45,14000.0
2001-05-09,4.45,4.45,4.4,4.4,8000.0
2001-05-10,4.4,4.4,4.35,4.35,13500.0
2001-05-11,4.35,4.35,4.2,4.3,64000.0
2001-05-14,4.3,4.3,4.1,4.3,23000.0
2001-05-15,4.3,4.35,4.3,4.3,10500.0
2001-05-16,4.3,4.45,4.25,4.35,40500.0
2001-05-17,4.35,4.35,4.25,4.35,16500.0
2001-05-18,4.35,4.3,4.15,4.3,30000.0
2001-05-21,4.3,4.4,4.35,4.4,47500.0
2001-05-22,4.4,4.3,4.3,4.3,5500.0
2001-05-23,4.3,4.35,4.2,4.2,28000.0
2001-05-24,4.2,4.25,4.25,4.25,1500.0
2001-05-25,4.25,4.25,4.05,4.2,26000.0
2001-05-29,4.2,4.2,4.2,4.2,26500.0
2001-05-30,4.2,4.2,4.15,4.2,50000.0
2001-05-31,4.2,4.6,4.1,4.55,291500.0
2001-06-01,4.55,4.85,4.5,4.6,390000.0
2001-06-04,4.6,4.85,4.7,4.8,132000.0
2001-06-06,4.8,4.75,4.5,4.5,77500.0
2001-06-07,4.5,5.1,4.75,4.8,787500.0
2001-06-08,4.8,4.75,4.6,4.7,129500.0
2001-06-11,4.7,5.05,4.75,4.95,453000.0
2001-06-12,4.95,5.05,4.85,4.85,249500.0
2001-06-13,4.85,4.9,4.75,4.8,39000.0
2001-06-14,4.8,4.9,4.7,4.75,92500.0
2001-06-15,4.75,4.85,4.7,4.8,124500.0
2001-06-18,4.8,4.9,4.75,4.8,132500.0
2001-06-19,4.8,4.75,4.55,4.55,32000.0
2001-06-20,4.55,4.65,4.45,4.65,24500.0
2001-06-21,4.65,4.6,4.5,4.55,6000.0
2001-06-22,4.55,4.55,4.3,4.3,22000.0
2001-06-25,4.3,4.5,4.35,4.4,42500.0
2001-06-26,4.4,4.4,4.3,4.4,34500.0
2001-06-27,4.4,4.4,4.25,4.35,10500.0
2001-06-28,4.35,4.35,4.35,4.35,2000.0
2001-06-29,4.35,4.45,4.25,4.25,76500.0
2001-07-03,4.25,4.3,4.25,4.25,23000.0
2001-07-04,4.25,4.25,4.2,4.2,11500.0
2001-07-05,4.2,4.2,4.0,4.1,94000.0
2001-07-06,4.1,4.05,3.95,3.95,92500.0
2001-07-09,3.95,4.1,4.0,4.05,8000.0
2001-07-10,4.05,4.05,4.0,4.05,10500.0
2001-07-11,4.05,4.05,3.95,4.05,11500.0
2001-07-12,4.05,4.1,4.0,4.0,25000.0
2001-07-13,4.0,4.0,3.95,3.95,3500.0
2001-07-16,3.95,4.05,4.0,4.0,6500.0
2001-07-17,4.0,4.0,3.85,4.0,50000.0
2001-07-18,4.0,4.1,4.0,4.0,8000.0
2001-07-19,4.0,4.05,4.0,4.05,42500.0
2001-07-20,4.05,4.05,3.7,3.7,29500.0
2001-07-23,3.7,3.75,3.7,3.7,11000.0
2001-07-24,3.7,3.8,3.7,3.75,25000.0
2001-07-25,3.75,3.75,3.7,3.7,3000.0
2001-07-26,3.7,3.75,3.6,3.65,10000.0
2001-07-27,3.65,3.75,3.55,3.75,17000.0
2001-07-30,3.75,4.2,3.7,3.8,27000.0
2001-07-31,3.8,3.85,3.8,3.85,20000.0
2001-08-01,3.85,3.85,3.75,3.8,10500.0
2001-08-02,3.8,3.8,3.8,3.8,14000.0
2001-08-03,3.8,3.85,3.75,3.8,13500.0
2001-08-06,3.8,4.0,3.85,3.85,38500.0
2001-08-07,3.85,3.95,3.85,3.95,16000.0
2001-08-08,3.95,3.9,3.9,3.9,1000.0
2001-08-09,3.9,3.85,3.8,3.8,21000.0
2001-08-10,3.8,3.75,3.5,3.7,63000.0
2001-08-13,3.7,3.8,3.65,3.65,32000.0
2001-08-15,3.65,3.8,3.65,3.75,46000.0
2001-08-16,3.75,3.95,3.7,3.95,54500.0
2001-08-17,3.95,3.9,3.7,3.75,50500.0
2001-08-20,3.75,4.4,3.85,4.3,332000.0
2001-08-21,4.3,4.7,4.0,4.1,1385500.0
2001-08-22,4.1,4.15,3.95,3.95,235000.0
2001-08-23,3.95,4.0,3.75,3.8,340500.0
2001-08-24,3.8,3.75,3.45,3.45,536000.0
2001-08-27,3.45,3.7,3.4,3.5,47500.0
2001-08-28,3.5,3.55,3.45,3.5,44000.0
2001-08-29,3.5,3.5,3.45,3.45,13500.0
2001-08-30,3.45,3.5,3.4,3.45,49500.0
2001-08-31,3.45,3.55,3.3,3.4,143500.0
2001-09-03,3.4,3.5,3.4,3.4,32500.0
2001-09-04,3.4,3.45,3.35,3.35,28000.0
2001-09-05,3.35,3.3,3.3,3.3,500.0
2001-09-06,3.3,3.45,3.25,3.3,7000.0
2001-09-07,3.3,3.7,3.5,3.55,218000.0
2001-09-10,3.55,3.65,3.55,3.6,83500.0
2001-09-11,3.6,3.6,3.5,3.6,28000.0
2001-09-12,3.6,3.45,3.0,3.25,110000.0
2001-09-13,3.25,3.25,3.1,3.1,80500.0
2001-09-14,3.1,3.0,2.6,2.8,163500.0
2001-09-24,2.8,3.0,2.7,2.7,180500.0
2001-09-25,2.7,2.85,2.6,2.85,176500.0
2001-09-26,2.85,2.95,2.8,2.8,141000.0
2001-09-27,2.8,2.9,2.8,2.9,18000.0
2001-09-28,2.9,2.85,2.8,2.8,89500.0
2001-10-01,2.8,3.0,2.7,2.7,205000.0
