Date,Open,High,Low,Close,Volume
2013-12-23,0.0,13.77,13.77,13.77,0.0
2013-12-24,14.77,14.77,14.77,14.77,500.0
2013-12-26,13.77,15.75,15.75,15.75,0.0
2013-12-27,14.77,16.74,16.74,16.74,0.0
2013-12-30,15.75,17.7,17.7,17.7,0.0
2013-12-31,16.74,18.67,18.67,18.67,0.0
2014-01-01,19.66,19.66,19.66,19.66,500.0
2014-01-02,18.67,20.66,20.66,20.66,0.0
2014-01-03,19.66,21.67,21.67,21.67,0.0
2014-01-06,20.66,22.73,22.73,22.73,0.0
2014-01-07,21.67,23.86,23.86,23.86,0.0
2014-01-08,22.73,25.04,25.04,25.04,0.0
2014-01-09,23.86,26.28,26.28,26.28,0.0
2014-01-10,25.04,27.59,27.59,27.59,0.0
2014-01-13,26.28,28.96,28.96,28.96,0.0
2014-01-15,27.59,30.33,30.33,30.33,0.0
2014-01-16,28.96,31.73,31.73,31.73,0.0
2014-01-17,30.33,33.31,33.31,33.31,0.0
2014-01-20,31.73,34.89,34.89,34.89,0.0
2014-01-21,33.31,36.57,36.57,36.57,0.0
2014-01-22,34.89,38.31,38.31,38.31,0.0
2014-01-23,36.57,40.17,40.17,40.17,0.0
2014-01-24,38.31,42.14,42.14,42.14,0.0
2014-01-27,44.25,44.25,44.25,44.25,210500.0
2014-01-28,46.46,46.46,46.0,46.45,455500.0
2014-01-29,48.77,48.77,48.0,48.77,538000.0
2014-01-30,51.0,51.0,46.34,46.37,715000.0
2014-01-31,46.49,46.49,44.06,44.12,560500.0
2014-02-03,44.0,46.32,43.12,44.77,620500.0
2014-02-04,44.0,45.9,44.0,44.85,151000.0
2014-02-06,45.48,46.5,43.5,44.46,165000.0
2014-02-07,44.99,45.34,44.5,44.84,108500.0
2014-02-10,45.0,45.25,43.02,44.02,233000.0
2014-02-11,44.1,45.9,44.1,45.2,179500.0
2014-02-12,45.8,47.46,45.65,47.46,191000.0
2014-02-13,49.69,49.83,48.9,49.83,265500.0
2014-02-14,51.5,52.32,51.05,52.32,139000.0
2014-02-17,54.93,54.93,54.93,54.93,2000.0
2014-02-18,57.67,57.67,57.67,57.67,13000.0
2014-02-19,60.55,60.55,56.5,60.55,421000.0
2014-02-20,63.57,63.57,63.57,63.57,119000.0
2014-02-21,65.97,66.74,60.75,61.52,696000.0
2014-02-24,61.02,64.59,59.5,59.88,697500.0
2014-02-25,60.0,60.3,57.0,57.27,161500.0
2014-02-26,57.5,59.9,55.8,56.14,221500.0
2014-02-27,56.0,56.9,53.34,53.34,182500.0
2014-02-28,51.62,52.5,50.7,50.97,136000.0
2014-03-03,51.88,52.49,50.22,50.49,68000.0
2014-03-04,50.75,52.89,50.5,51.65,217000.0
2014-03-05,51.9,54.23,51.7,54.23,278000.0
2014-03-06,55.24,56.94,55.24,56.94,70500.0
2014-03-07,59.5,59.78,58.25,59.78,286000.0
2014-03-10,60.66,61.75,56.8,56.81,453000.0
2014-03-11,56.8,59.65,55.5,59.65,230500.0
2014-03-12,61.89,61.89,59.6,60.49,343000.0
2014-03-13,61.4,61.4,59.05,60.74,102500.0
2014-03-14,60.75,63.77,60.75,61.66,689500.0
2014-03-17,62.5,63.51,61.15,61.56,301000.0
2014-03-18,61.43,64.63,61.43,63.87,1076500.0
2014-03-19,64.1,67.06,64.1,66.94,1765000.0
2014-03-20,68.3,69.0,64.88,65.78,740500.0
2014-03-21,65.89,67.25,65.4,65.97,250500.0
2014-03-24,66.9,69.26,66.0,69.26,655500.0
2014-03-25,70.8,72.72,70.8,72.72,640500.0
2014-03-26,74.05,76.35,74.0,76.35,440000.0
2014-03-27,80.16,80.16,73.0,74.61,1120000.0
2014-03-28,76.75,76.75,70.88,70.94,773500.0
2014-03-31,69.16,70.1,67.4,67.46,231500.0
2014-04-01,66.0,69.74,65.55,68.4,188500.0
2014-04-02,68.11,71.82,68.1,71.82,153000.0
2014-04-03,74.99,75.41,74.5,75.41,72500.0
2014-04-04,79.18,79.18,79.18,79.18,151000.0
2014-04-07,83.13,83.13,83.13,83.13,17500.0
2014-04-08,87.28,87.28,80.6,83.25,905000.0
2014-04-09,83.75,87.41,82.0,87.41,263500.0
2014-04-10,91.78,91.78,91.78,91.78,16500.0
2014-04-11,96.0,96.36,92.0,96.16,1073500.0
2014-04-14,100.96,100.96,100.96,100.96,56500.0
2014-04-15,106.0,106.0,106.0,106.0,4000.0
2014-04-16,111.3,111.3,111.3,111.3,5000.0
2014-04-17,116.86,116.86,116.86,116.86,500.0
2014-04-18,122.7,122.7,122.7,122.7,543000.0
2014-04-21,128.83,128.83,128.83,128.83,267000.0
2014-04-22,135.27,135.27,127.0,135.27,1296000.0
2014-04-23,139.0,142.03,137.5,142.03,915000.0
2014-04-24,143.99,145.99,135.01,136.26,1084000.0
2014-04-25,20.08,20.08,20.08,20.08,8000.0
2014-04-28,21.08,21.08,21.08,21.08,500.0
2014-04-29,22.13,22.13,22.13,22.13,500.0
2014-04-30,23.23,23.23,23.23,23.23,1000.0
2014-05-02,24.39,24.39,24.39,24.39,78000.0
2014-05-05,25.6,25.6,25.6,25.6,18500.0
2014-05-06,26.88,26.88,26.88,26.88,27500.0
2014-05-07,28.22,28.22,28.22,28.22,36500.0
2014-05-08,29.63,29.63,29.63,29.63,686000.0
2014-05-09,31.11,31.11,31.11,31.11,87500.0
2014-05-12,32.66,32.66,29.56,29.62,2781000.0
2014-05-13,28.75,28.8,28.14,28.14,269500.0
2014-05-14,26.74,26.74,26.74,26.74,18500.0
2014-05-15,25.41,25.41,25.41,25.41,26000.0
2014-05-16,25.01,26.68,25.01,26.68,1050000.0
2014-05-19,28.01,28.01,27.5,28.01,1094500.0
2014-05-20,28.44,29.2,27.4,28.54,1179500.0
2014-05-21,28.45,28.45,27.21,27.89,430000.0
2014-05-22,27.8,27.91,26.85,27.13,443000.0
2014-05-23,27.05,28.48,25.78,25.87,1161500.0
2014-05-26,25.75,25.98,24.58,24.58,333500.0
2014-05-27,23.91,24.0,23.36,23.36,195000.0
2014-05-28,22.6,24.52,22.6,24.38,1352500.0
2014-05-29,24.7,25.01,24.35,24.67,437500.0
2014-05-30,24.31,24.67,23.75,24.1,257000.0
2014-06-02,23.85,25.19,23.85,24.1,466000.0
2014-06-03,24.3,24.65,22.9,23.41,390500.0
2014-06-04,23.45,24.2,23.03,23.39,195500.0
2014-06-05,23.99,24.18,23.5,23.68,375500.0
2014-06-06,23.9,24.86,23.85,24.86,517000.0
2014-06-09,26.1,26.1,26.1,26.1,84500.0
2014-06-10,27.4,27.4,25.92,27.4,2603000.0
2014-06-11,28.0,28.77,27.5,28.77,1480000.0
2014-06-12,29.98,30.2,29.11,30.04,1467000.0
2014-06-13,30.8,31.54,30.5,31.54,1873500.0
2014-06-16,33.11,33.11,33.11,33.11,160500.0
2014-06-17,34.76,34.76,34.76,34.76,351000.0
2014-06-18,36.49,36.49,33.03,33.03,2126500.0
2014-06-19,31.38,31.38,31.38,31.38,15000.0
2014-06-20,29.82,29.82,29.82,29.82,26000.0
2014-06-23,28.33,31.31,28.33,31.31,1102000.0
2014-06-24,32.15,32.87,31.8,32.7,1089500.0
2014-06-25,33.2,33.4,31.07,32.32,2217500.0
2014-06-26,31.8,32.79,31.52,32.02,937500.0
2014-06-27,31.8,32.15,30.8,31.03,403500.0
2014-06-30,30.25,30.79,29.48,29.48,480000.0
2014-07-01,28.71,30.2,28.7,29.28,301500.0
2014-07-02,29.02,29.35,27.82,28.04,503000.0
2014-07-03,28.25,29.44,28.25,29.44,378500.0
2014-07-04,30.45,30.91,30.0,30.91,449000.0
2014-07-07,31.89,32.0,29.65,30.15,732000.0
2014-07-08,29.5,30.23,29.26,29.42,340000.0
2014-07-09,29.75,29.78,28.5,28.71,244000.0
2014-07-10,28.85,28.9,27.64,27.77,715500.0
2014-07-11,27.51,27.95,27.0,27.4,396000.0
2014-07-14,26.03,26.03,26.03,26.03,121000.0
2014-07-15,24.73,24.73,24.73,24.73,116500.0
2014-07-16,23.5,23.5,23.5,23.5,67500.0
2014-07-17,23.12,24.67,23.12,24.62,8210000.0
2014-07-18,25.1,25.19,24.0,24.58,3916000.0
2014-07-21,24.4,24.55,23.4,23.8,2875500.0
2014-07-22,23.95,24.4,23.45,24.15,2385500.0
2014-07-23,24.8,25.35,24.57,25.35,6525000.0
2014-07-24,25.51,25.94,24.61,24.77,4244500.0
2014-07-28,24.6,24.65,24.0,24.47,1244500.0
2014-08-04,24.0,24.0,23.25,23.25,1148500.0
2014-08-05,22.8,23.5,22.61,22.94,2402500.0
2014-08-06,23.0,23.4,22.62,23.09,3109500.0
2014-08-07,23.02,24.24,22.66,24.05,5625000.0
2014-08-08,23.91,24.09,23.4,23.51,2106500.0
2014-08-11,22.34,22.34,22.34,22.34,102500.0
2014-08-12,21.6,22.34,21.25,21.55,4735000.0
2014-08-13,21.49,22.25,21.21,21.61,2962000.0
2014-08-15,21.88,22.05,21.5,21.73,3025500.0
2014-08-18,21.51,21.85,21.31,21.44,2320000.0
2014-08-19,20.85,21.15,20.37,20.53,3516500.0
2014-08-20,20.45,20.99,20.06,20.49,2905500.0
2014-08-21,21.0,21.3,20.4,20.62,3555500.0
2014-08-22,20.7,21.1,20.7,20.88,1391000.0
2014-08-25,20.88,21.2,20.66,20.84,2175000.0
2014-08-26,20.7,20.81,20.31,20.46,1026000.0
2014-08-27,20.4,20.45,19.56,19.98,1621000.0
2014-08-28,19.7,20.1,19.3,19.93,1618000.0
2014-08-29,20.7,20.93,20.01,20.36,2676500.0
2014-09-01,19.83,20.64,19.65,20.36,1684000.0
2014-09-02,20.4,21.37,20.4,21.37,2967000.0
2014-09-03,21.6,22.43,21.4,22.39,5711500.0
2014-09-04,22.55,23.28,22.05,22.66,4985500.0
2014-09-05,22.6,22.86,22.03,22.14,2530500.0
