Date,Open,High,Low,Close,Volume
2001-01-01,2.4,2.4,2.25,2.25,6000.0
2001-01-02,2.25,2.4,2.4,2.4,11000.0
2001-01-03,2.4,2.4,2.4,2.4,1000.0
2001-01-04,2.4,2.35,2.2,2.35,5500.0
2001-01-09,2.35,2.35,2.35,2.35,1000.0
2001-01-11,2.35,2.4,2.4,2.4,2500.0
2001-01-12,2.4,2.15,2.1,2.1,3000.0
2001-01-15,2.1,2.05,2.0,2.05,9000.0
2001-01-16,2.05,2.05,2.05,2.05,2000.0
2001-01-18,2.05,2.05,2.0,2.0,4000.0
2001-01-19,2.0,2.0,2.0,2.0,10000.0
2001-01-22,2.0,2.0,1.85,2.0,16500.0
2001-01-23,2.0,1.85,1.85,1.85,2000.0
2001-01-24,1.85,1.95,1.85,1.95,16000.0
2001-01-25,1.95,1.8,1.8,1.8,500.0
2001-01-29,1.8,1.95,1.95,1.95,1000.0
2001-02-01,1.95,2.25,2.0,2.25,20000.0
2001-02-02,2.25,2.25,2.15,2.25,19000.0
2001-02-08,2.25,2.25,2.25,2.25,500.0
2001-02-09,2.25,2.35,2.3,2.35,4000.0
2001-02-12,2.35,2.05,2.05,2.05,1000.0
2001-02-13,2.05,2.0,1.9,2.0,24000.0
2001-02-14,2.0,2.05,2.0,2.05,6000.0
2001-02-15,2.05,2.05,2.0,2.05,7000.0
2001-02-16,2.05,2.0,1.95,2.0,3500.0
2001-02-19,2.0,2.0,2.0,2.0,1000.0
2001-02-21,2.0,1.75,1.75,1.75,10000.0
2001-02-22,1.75,1.9,1.75,1.9,10000.0
2001-02-23,1.9,1.9,1.85,1.9,10500.0
2001-02-28,1.9,1.95,1.95,1.95,1000.0
2001-03-01,1.95,2.0,1.9,2.0,3000.0
2001-03-02,2.0,1.9,1.9,1.9,500.0
2001-03-12,1.9,1.95,1.95,1.95,1000.0
2001-03-14,1.95,2.1,1.9,2.1,5000.0
2001-03-26,2.1,1.8,1.8,1.8,1500.0
2001-03-28,1.8,1.8,1.8,1.8,1000.0
2001-04-09,1.8,1.7,1.7,1.7,500.0
2001-04-10,1.7,1.8,1.8,1.8,2500.0
2001-04-11,1.8,1.85,1.75,1.85,4500.0
2001-04-12,1.85,2.05,1.8,2.0,12000.0
2001-04-13,2.0,2.0,1.95,2.0,4500.0
2001-04-16,2.0,2.6,2.0,2.5,141500.0
2001-04-17,2.5,2.55,2.1,2.4,63500.0
2001-04-18,2.4,2.3,2.3,2.3,5000.0
2001-04-19,2.3,2.3,2.1,2.1,2500.0
2001-04-20,2.1,2.25,2.0,2.25,15500.0
2001-04-26,2.25,2.05,2.0,2.05,1000.0
2001-04-27,2.05,2.05,2.0,2.0,4500.0
2001-04-30,2.0,2.0,2.0,2.0,500.0
2001-05-02,2.0,2.0,1.8,2.0,3000.0
2001-05-03,2.0,1.95,1.95,1.95,1000.0
2001-05-11,1.95,1.95,1.9,1.9,6500.0
2001-05-15,1.9,2.0,1.95,2.0,5000.0
2001-05-16,2.0,2.0,2.0,2.0,2500.0
2001-05-22,2.0,1.85,1.6,1.8,6500.0
2001-05-23,1.8,1.9,1.75,1.75,6000.0
2001-05-24,1.75,1.75,1.75,1.75,1000.0
2001-05-28,1.75,1.65,1.65,1.65,500.0
2001-05-31,1.65,1.7,1.7,1.7,1000.0
2001-06-01,1.7,1.7,1.7,1.7,500.0
2001-06-04,1.7,2.5,2.0,2.05,5500.0
2001-06-06,2.05,2.05,2.05,2.05,1500.0
2001-06-07,2.05,1.8,1.75,1.8,5500.0
2001-06-08,1.8,1.75,1.75,1.75,1000.0
