Date,Open,High,Low,Close,Volume
2001-01-01,124.0,121.0,121.0,121.0,400.0
2001-01-02,121.0,121.0,121.0,121.0,100.0
2001-01-03,121.0,115.0,110.0,110.0,3100.0
2001-01-04,110.0,115.0,115.0,115.0,100.0
2001-01-05,115.0,115.0,115.0,115.0,100.0
2001-01-08,115.0,114.0,113.0,113.0,2100.0
2001-01-09,113.0,112.0,112.0,112.0,1000.0
2001-01-12,112.0,105.0,100.0,105.0,2000.0
2001-01-16,105.0,105.0,99.0,105.0,500.0
2001-01-19,105.0,104.0,103.0,103.0,5900.0
2001-01-22,103.0,103.0,103.0,103.0,2000.0
2001-01-23,103.0,103.0,103.0,103.0,100.0
2001-01-24,103.0,109.0,109.0,109.0,100.0
2001-01-25,109.0,103.0,103.0,103.0,7500.0
2001-01-29,103.0,103.0,102.0,102.0,600.0
2001-01-31,102.0,107.0,105.0,106.0,1300.0
2001-02-01,106.0,109.75,108.0,109.75,200.0
2001-02-02,109.75,106.0,105.25,105.25,600.0
2001-02-06,105.25,114.0,111.0,114.0,300.0
2001-02-13,114.0,112.0,112.0,112.0,400.0
2001-02-14,112.0,112.0,110.05,110.05,500.0
2001-02-16,110.05,114.0,112.0,114.0,200.0
2001-02-20,114.0,124.0,114.5,124.0,2800.0
2001-02-22,124.0,125.0,114.05,120.0,13800.0
2001-02-23,120.0,123.95,118.0,121.95,6500.0
2001-02-26,121.95,125.0,117.5,119.0,19900.0
2001-02-27,119.0,119.0,112.0,115.0,5300.0
2001-02-28,115.0,115.0,106.0,108.75,25800.0
2001-03-01,108.75,114.0,112.9,113.5,3100.0
2001-03-02,113.5,117.0,109.0,110.1,13900.0
2001-03-09,110.1,116.0,112.0,113.0,3600.0
2001-03-12,113.0,117.9,113.0,114.0,5100.0
2001-03-13,114.0,114.0,109.95,110.0,12800.0
2001-03-14,110.0,110.95,104.1,105.0,21000.0
2001-03-15,105.0,106.5,103.0,105.0,3500.0
2001-03-16,105.0,105.0,103.0,104.25,1700.0
2001-03-19,104.25,103.75,103.0,103.75,400.0
2001-03-20,103.75,109.5,105.0,105.0,8800.0
2001-03-21,105.0,105.0,104.0,104.0,400.0
2001-03-22,104.0,105.75,105.0,105.0,500.0
2001-03-26,97.0,97.0,97.0,97.0,0.0
2001-03-27,97.0,97.0,96.0,97.0,2600.0
2001-03-28,97.0,96.0,95.75,95.75,1400.0
2001-03-29,95.75,95.0,93.5,93.5,3300.0
2001-03-30,93.5,95.95,93.0,95.95,1100.0
2001-04-02,95.95,97.95,96.0,96.0,700.0
2001-04-03,96.0,102.0,95.0,96.0,11100.0
2001-04-06,96.0,97.0,93.0,93.25,2800.0
2001-04-09,93.25,95.0,95.0,95.0,500.0
2001-04-10,95.0,95.0,95.0,95.0,700.0
2001-04-12,95.0,95.0,94.95,94.95,900.0
2001-04-13,94.95,95.0,95.0,95.0,3700.0
2001-04-16,95.0,95.0,94.5,95.0,1000.0
2001-04-17,95.0,99.0,95.0,96.5,11200.0
2001-04-18,96.5,95.2,94.0,94.0,2400.0
2001-04-19,94.0,97.45,94.0,94.1,4900.0
2001-04-20,94.1,95.6,95.0,95.0,6600.0
2001-04-23,95.0,96.0,95.0,95.0,1900.0
2001-04-24,95.0,95.5,94.5,95.0,7700.0
2001-04-25,95.0,93.5,93.5,93.5,500.0
2001-04-26,93.5,94.0,94.0,94.0,1000.0
2001-04-27,94.0,94.0,93.5,93.5,3800.0
2001-04-30,93.5,93.0,93.0,93.0,300.0
2001-05-02,93.0,94.5,93.5,94.0,3000.0
2001-05-03,94.0,94.0,93.5,94.0,2900.0
2001-05-04,94.0,94.0,93.5,93.95,2500.0
2001-05-07,93.95,94.5,94.0,94.0,1400.0
2001-05-08,94.0,94.0,93.0,93.0,1300.0
2001-05-09,93.0,92.5,90.0,92.5,5900.0
2001-05-11,92.5,91.1,91.0,91.0,2000.0
2001-05-14,91.0,92.0,90.8,90.8,200.0
2001-05-15,90.8,92.75,92.0,92.75,300.0
2001-05-16,92.75,92.0,91.75,92.0,800.0
2001-05-17,92.0,92.5,91.75,92.5,1100.0
2001-05-18,92.5,93.6,93.6,93.6,100.0
2001-05-21,93.6,101.9,93.1,100.25,10700.0
2001-05-22,100.25,100.0,98.0,98.25,3700.0
2001-05-23,98.25,98.95,98.0,98.95,2400.0
2001-05-24,98.95,104.0,99.5,104.0,7700.0
2001-05-25,104.0,105.0,102.0,105.0,13100.0
2001-05-28,105.0,112.0,105.0,111.95,22200.0
2001-05-29,111.95,114.5,110.0,112.05,18200.0
2001-05-30,112.05,112.9,110.05,111.0,3600.0
2001-05-31,111.0,111.0,109.5,110.25,2400.0
2001-06-01,110.25,110.7,109.3,110.7,1900.0
2001-06-04,110.7,114.0,110.7,112.6,6300.0
2001-06-06,112.6,112.5,111.35,111.9,3800.0
2001-06-07,111.9,112.0,110.0,110.5,3400.0
2001-06-08,110.5,110.0,109.0,110.0,1400.0
2001-06-11,110.0,112.6,111.0,112.4,6000.0
2001-06-12,112.4,114.5,112.4,112.4,9000.0
2001-06-13,112.4,115.0,112.0,115.0,7700.0
2001-06-14,115.0,118.8,115.0,118.0,11700.0
2001-06-15,118.0,121.95,118.75,119.5,16000.0
2001-06-18,119.5,123.7,120.05,121.9,17600.0
2001-06-19,121.9,122.75,119.5,119.5,7500.0
2001-06-20,119.5,122.0,119.5,121.5,9300.0
2001-06-21,121.5,123.0,119.65,120.0,14500.0
2001-06-22,120.0,120.0,117.0,118.7,9300.0
2001-06-25,118.7,125.0,119.65,121.25,43400.0
2001-06-26,121.25,123.0,121.0,122.1,3000.0
2001-06-27,122.1,123.25,122.0,123.25,2300.0
2001-06-28,123.25,123.0,122.0,122.0,2600.0
2001-06-29,122.0,122.45,121.0,122.45,5100.0
2001-07-03,122.45,120.95,120.0,120.5,500.0
2001-07-04,120.5,121.75,121.25,121.5,900.0
2001-07-05,121.5,121.5,120.0,120.0,2300.0
2001-07-06,120.0,121.0,120.15,120.8,600.0
2001-07-09,120.8,119.0,118.0,119.0,1200.0
2001-07-10,119.0,118.5,115.0,115.5,3600.0
2001-07-11,115.5,121.0,115.0,121.0,2000.0
2001-07-12,121.0,120.5,118.25,120.5,700.0
2001-07-13,120.5,120.5,119.5,120.0,1800.0
2001-07-16,120.0,121.5,120.0,120.0,1000.0
2001-07-17,120.0,117.0,116.0,116.0,2100.0
2001-07-18,116.0,116.5,116.0,116.0,600.0
2001-07-19,116.0,117.0,113.0,114.0,2700.0
2001-07-20,114.0,113.0,110.0,110.0,3200.0
2001-07-23,110.0,110.0,110.0,110.0,100.0
2001-07-24,110.0,114.0,108.0,113.5,11400.0
2001-07-25,113.5,112.0,109.0,112.0,2600.0
2001-07-26,112.0,112.0,112.0,112.0,300.0
2001-07-31,112.0,107.0,106.5,107.0,1600.0
2001-08-01,107.0,107.0,107.0,107.0,100.0
2001-08-02,107.0,108.0,107.0,108.0,400.0
2001-08-03,108.0,108.0,108.0,108.0,200.0
2001-08-06,108.0,109.0,107.75,107.75,500.0
2001-08-07,107.75,107.0,107.0,107.0,1300.0
2001-08-08,107.0,107.5,105.0,105.0,3100.0
2001-08-09,105.0,104.25,104.0,104.0,400.0
2001-08-10,104.0,103.0,103.0,103.0,300.0
2001-08-13,103.0,106.0,104.0,104.5,3900.0
2001-08-15,104.5,106.0,105.0,105.0,400.0
2001-08-16,105.0,106.5,106.5,106.5,100.0
2001-08-17,106.5,110.25,108.0,108.0,2100.0
2001-08-21,108.0,108.5,108.0,108.5,500.0
2001-08-22,108.5,107.5,107.5,107.5,100.0
2001-08-28,107.5,105.0,105.0,105.0,300.0
2001-08-29,105.0,106.0,104.0,104.9,2600.0
2001-08-30,104.9,108.0,107.5,107.5,300.0
2001-08-31,107.5,108.0,106.0,106.0,1700.0
2001-09-04,106.0,104.1,104.0,104.0,2200.0
2001-09-05,104.0,104.0,101.0,101.0,600.0
2001-09-06,101.0,103.0,100.0,102.9,1400.0
2001-09-07,102.9,101.6,100.0,100.05,2000.0
2001-09-10,100.05,103.0,100.05,103.0,1000.0
2001-09-11,103.0,103.75,103.0,103.5,900.0
2001-09-12,103.5,100.0,100.0,100.0,200.0
2001-09-24,100.0,96.0,96.0,96.0,300.0
2001-09-25,96.0,95.0,91.25,91.25,1800.0
2001-09-26,91.25,95.0,93.0,93.0,7300.0
2001-09-27,93.0,116.25,94.0,116.25,4200.0
2001-09-28,116.25,145.3,142.0,145.0,27000.0
2001-10-01,145.0,146.0,140.3,140.3,8000.0
2001-10-02,140.3,140.7,133.9,133.9,5200.0
2001-10-03,133.9,140.0,136.5,136.5,2300.0
2001-10-04,136.5,140.0,138.0,140.0,9200.0
2001-10-05,140.0,144.5,140.0,144.5,5000.0
2001-10-08,144.5,142.0,139.0,140.0,3100.0
2001-10-09,140.0,149.0,144.0,149.0,6000.0
2001-10-10,149.0,155.0,147.5,147.5,3500.0
2001-10-11,147.5,146.0,145.0,145.0,6700.0
2001-10-12,145.0,155.0,148.9,151.0,4200.0
2001-10-15,151.0,156.0,153.0,153.0,7900.0
2001-10-16,153.0,151.95,148.0,150.0,7600.0
2001-10-17,150.0,150.0,150.0,150.0,4500.0
2001-10-18,150.0,152.0,147.5,147.5,13400.0
2001-10-19,147.5,150.0,148.05,149.0,4200.0
2001-10-22,149.0,153.0,150.0,150.0,13800.0
2001-10-23,150.0,155.0,150.5,152.0,19500.0
2001-10-24,152.0,160.0,154.0,158.0,18800.0
2001-10-25,158.0,157.0,152.25,152.7,34800.0
2001-10-26,152.7,158.95,154.0,156.75,17900.0
2001-10-29,156.75,162.5,158.0,159.0,27400.0
2001-10-30,159.0,161.9,159.0,159.0,28000.0
2001-10-31,159.0,161.0,159.0,159.75,12100.0
2001-11-01,159.75,161.5,155.0,156.0,43100.0
2001-11-02,156.0,173.0,155.0,161.0,8200.0
2001-11-05,81.11,84.0,80.0,80.0,6600.0
2001-11-06,80.0,80.0,76.0,76.0,5100.0
2001-11-07,76.0,77.0,72.2,72.5,16500.0
2001-11-08,72.5,76.0,71.5,74.0,8900.0
2001-11-12,74.0,75.0,72.6,75.0,5700.0
2001-11-13,75.0,75.5,72.05,75.45,4100.0
2001-11-14,75.45,74.5,73.55,73.8,1900.0
2001-11-15,73.8,75.0,73.8,75.0,4900.0
2001-11-16,75.0,76.0,74.05,75.0,4400.0
2001-11-19,75.0,75.0,73.5,73.5,5000.0
2001-11-20,73.5,74.5,74.0,74.0,3200.0
2001-11-21,74.0,74.05,73.75,74.05,700.0
2001-11-22,74.05,73.8,72.5,72.5,2700.0
2001-11-24,72.5,72.5,71.5,71.5,6000.0
2001-11-26,71.5,72.75,72.0,72.0,400.0
2001-11-27,72.0,73.5,72.5,72.5,1300.0
2001-11-28,72.5,74.0,72.5,72.8,5200.0
2001-11-29,72.8,73.0,72.5,73.0,1000.0
2001-12-01,73.0,73.0,72.0,73.0,5100.0
2001-12-03,73.0,73.0,73.0,73.0,500.0
2001-12-04,73.0,73.75,72.5,72.5,6500.0
2001-12-05,72.5,72.5,72.0,72.0,7700.0
2001-12-06,72.0,73.0,73.0,73.0,700.0
2001-12-08,73.0,74.0,72.0,72.0,5900.0
2001-12-10,72.0,72.75,71.25,72.0,8500.0
2001-12-11,72.0,71.75,71.5,71.75,2600.0
2001-12-12,71.75,72.5,71.75,71.75,3200.0
2001-12-15,71.75,72.25,71.75,71.75,3400.0
2001-12-20,71.75,72.45,71.0,72.0,6800.0
2001-12-21,72.0,73.0,72.0,73.0,10200.0
2001-12-24,73.0,72.0,70.0,70.0,12000.0
2001-12-26,70.0,71.4,70.85,71.2,4100.0
2001-12-27,71.2,70.6,69.0,69.0,9400.0
2001-12-28,69.0,69.25,68.0,69.25,8300.0
2001-12-31,69.25,70.75,70.0,70.3,3900.0
2002-01-01,70.3,71.1,70.0,70.5,5600.0
2002-01-02,70.5,73.0,70.5,72.0,16000.0
2002-01-03,72.0,72.4,71.75,72.3,4900.0
2002-01-04,72.3,73.0,72.3,72.75,1500.0
2002-01-07,72.75,73.85,72.5,73.65,8300.0
2002-01-08,73.65,73.0,72.25,72.3,6400.0
2002-01-09,72.3,73.45,72.75,73.45,15000.0
2002-01-10,73.45,73.5,73.0,73.0,2800.0
2002-01-11,73.0,73.0,72.5,72.5,2400.0
2002-01-14,72.5,74.0,73.0,74.0,3000.0
2002-01-15,74.0,74.0,73.65,73.9,2700.0
2002-01-16,73.9,74.3,73.85,74.3,5400.0
2002-01-17,74.3,76.5,74.5,76.0,12300.0
2002-01-18,76.0,80.0,76.85,80.0,10900.0
2002-01-21,80.0,85.0,81.0,82.25,10600.0
2002-01-22,82.25,84.45,81.5,83.5,9600.0
2002-01-23,83.5,84.8,83.35,84.15,14900.0
2002-01-24,84.15,90.45,84.0,90.45,101500.0
2002-01-25,90.45,97.2,94.5,97.2,24600.0
2002-01-28,97.2,104.45,102.5,104.45,55200.0
2002-01-29,104.45,109.0,103.0,106.0,60300.0
2002-01-30,106.0,106.0,104.5,104.55,30900.0
2002-01-31,104.55,104.95,99.6,99.6,23900.0
2002-02-01,99.6,105.0,100.0,103.7,37300.0
2002-02-04,103.7,109.9,105.0,106.0,31100.0
2002-02-06,106.0,106.0,103.5,104.4,12600.0
2002-02-07,104.4,106.0,104.5,106.0,14600.0
2002-02-08,106.0,113.0,108.0,111.5,44300.0
2002-02-11,111.5,115.0,111.0,113.0,14700.0
2002-02-12,113.0,114.95,109.0,110.25,10000.0
2002-02-13,110.25,110.25,105.1,106.55,24500.0
