Date,Open,High,Low,Close,Volume
2002-03-22,2.6,2.5,2.5,2.5,0.0
2002-05-14,2.5,4.0,4.0,4.0,5000.0
2002-05-15,4.0,5.5,5.5,5.5,500.0
2002-05-16,5.5,7.0,6.3,6.5,4000.0
2002-05-17,6.5,6.0,6.0,6.0,500.0
2002-05-29,6.0,5.5,5.5,5.5,0.0
2003-01-07,5.5,5.0,5.0,5.0,0.0
2003-01-23,5.0,4.0,4.0,4.0,1000.0
2003-01-27,4.0,3.0,3.0,3.0,500.0
2003-01-28,3.0,4.0,4.0,4.0,500.0
2003-02-21,4.0,4.75,3.8,4.2,2000.0
2003-02-27,4.2,3.2,3.2,3.2,500.0
2003-04-01,3.2,3.25,3.25,3.25,0.0
2003-04-07,3.25,3.3,3.3,3.3,0.0
2003-04-08,3.3,3.65,3.65,3.65,0.0
2003-04-09,3.65,3.7,3.7,3.7,0.0
2003-04-17,3.7,4.25,4.25,4.25,0.0
2003-04-21,4.25,5.0,4.25,5.0,3000.0
2003-04-28,5.0,5.0,5.0,5.0,500.0
2003-05-05,5.0,4.75,4.75,4.75,0.0
2003-05-06,4.75,4.75,4.7,4.75,500.0
2003-05-16,4.75,5.0,5.0,5.0,500.0
2003-06-03,5.0,4.75,4.0,4.0,3000.0
2003-06-06,4.0,5.5,5.4,5.5,3000.0
2003-06-11,5.5,5.5,5.5,5.5,500.0
2003-06-16,5.5,5.75,5.75,5.75,0.0
2003-06-20,5.75,6.0,6.0,6.0,1000.0
2003-06-25,6.0,5.5,5.5,5.5,1000.0
2003-12-16,5.5,5.25,5.25,5.25,0.0
2004-03-12,5.25,6.0,6.0,6.0,1000.0
2004-03-18,6.0,6.5,6.0,6.5,2000.0
2004-03-19,6.5,6.75,6.15,6.75,2500.0
2004-03-22,6.75,6.75,6.75,6.75,3000.0
2004-03-24,6.75,6.1,6.05,6.05,2000.0
2004-03-25,6.05,7.55,7.45,7.55,3000.0
2004-03-26,7.55,7.4,7.4,7.4,0.0
2004-03-30,7.4,7.0,7.0,7.0,0.0
2004-03-31,7.0,6.75,6.75,6.75,0.0
2004-04-01,6.75,6.5,6.5,6.5,0.0
2004-04-08,6.5,6.25,6.25,6.25,0.0
2004-04-09,6.25,5.25,5.25,5.25,500.0
2004-05-24,5.25,5.0,5.0,5.0,500.0
2004-06-02,5.0,6.25,4.0,4.0,2000.0
