Date,Open,High,Low,Close,Volume
2001-01-03,19.5,19.5,19.5,19.5,0.0
2001-05-10,19.5,20.0,20.0,20.0,1000.0
2001-07-23,20.0,20.0,20.0,20.0,6000.0
2001-07-26,20.0,20.0,20.0,20.0,3000.0
2001-11-19,20.0,25.0,25.0,25.0,500.0
2001-12-05,16.88,16.88,16.88,16.88,0.0
2002-03-22,16.88,18.05,18.05,18.05,0.0
2002-03-26,18.05,18.3,18.3,18.3,0.0
2002-03-27,18.3,19.05,19.05,19.05,0.0
2002-03-28,19.05,20.0,20.0,20.0,0.0
2002-03-29,20.0,21.0,21.0,21.0,0.0
2002-04-01,21.0,22.0,22.0,22.0,0.0
2002-04-09,22.0,20.35,20.35,20.35,500.0
2002-04-10,20.35,21.0,21.0,21.0,0.0
2002-04-11,21.0,22.05,22.05,22.05,0.0
2002-04-17,22.05,22.05,22.05,22.05,0.0
2002-04-23,22.05,22.5,22.5,22.5,0.0
2002-04-24,22.5,24.15,24.15,24.15,500.0
2002-04-25,24.15,25.95,25.95,25.95,500.0
2002-04-26,25.95,27.85,27.85,27.85,500.0
2002-05-03,27.85,28.5,28.5,28.5,0.0
2002-05-09,28.5,28.0,28.0,28.0,0.0
2002-05-13,28.0,28.5,28.5,28.5,500.0
2002-05-14,28.5,30.6,30.6,30.6,500.0
2002-07-02,30.6,30.0,30.0,30.0,0.0
2002-07-18,30.0,29.95,29.95,29.95,0.0
2002-07-25,29.95,29.9,29.9,29.9,0.0
2002-07-26,29.9,29.5,29.5,29.5,0.0
2002-08-07,29.5,29.25,29.25,29.25,0.0
2002-08-13,29.25,29.0,29.0,29.0,0.0
2002-08-15,29.0,28.9,28.9,28.9,0.0
2002-08-19,28.9,29.25,29.25,29.25,1000.0
2002-08-26,29.25,29.5,29.5,29.5,0.0
2002-08-29,29.5,30.0,29.5,30.0,1500.0
2002-09-03,30.0,30.0,30.0,30.0,500.0
2002-09-11,30.0,31.0,31.0,31.0,14000.0
2002-09-16,31.0,33.3,33.3,33.3,0.0
2002-09-17,33.3,35.75,35.75,35.75,1000.0
2002-09-18,35.75,36.0,36.0,36.0,0.0
2002-09-24,36.0,37.0,37.0,37.0,500.0
2002-09-25,37.0,37.0,37.0,37.0,500.0
2002-09-27,37.0,37.25,37.25,37.25,0.0
2002-09-30,37.25,37.75,37.75,37.75,0.0
2002-10-01,37.75,40.5,37.75,40.5,2000.0
2002-10-07,30.4,32.65,32.65,32.65,500.0
2002-11-13,32.65,32.7,32.7,32.7,0.0
2002-11-14,32.7,35.0,35.0,35.0,500.0
2002-12-02,35.0,35.5,35.5,35.5,0.0
2002-12-11,35.5,37.5,37.5,37.5,500.0
2002-12-26,37.5,38.5,38.5,38.5,0.0
2003-01-16,38.5,40.0,40.0,40.0,500.0
2003-01-20,40.0,40.0,40.0,40.0,500.0
2003-01-21,40.0,40.0,40.0,40.0,500.0
2003-03-28,40.0,39.0,39.0,39.0,500.0
2003-03-31,39.0,40.5,40.5,40.5,0.0
2003-04-08,40.5,43.0,43.0,43.0,500.0
2003-04-15,43.0,46.0,46.0,46.0,500.0
2003-04-18,46.0,45.5,45.5,45.5,500.0
2003-04-29,45.5,45.0,45.0,45.0,500.0
2003-05-22,45.0,47.0,47.0,47.0,500.0
2003-05-23,47.0,48.0,48.0,48.0,500.0
2003-05-27,48.0,51.5,51.5,51.5,500.0
2003-06-03,51.5,55.0,55.0,55.0,500.0
2003-06-16,55.0,59.0,58.0,58.0,1000.0
2003-06-20,58.0,60.0,60.0,60.0,0.0
2003-07-14,60.0,64.5,64.5,64.5,500.0
2003-07-15,64.5,66.0,66.0,66.0,500.0
2003-07-23,66.0,67.0,67.0,67.0,500.0
2003-08-20,67.0,64.0,64.0,64.0,0.0
2003-08-25,64.0,64.0,64.0,64.0,500.0
2003-09-04,64.0,66.0,66.0,66.0,0.0
2003-09-05,66.0,68.0,68.0,68.0,0.0
2003-09-08,68.0,73.1,73.1,73.1,1000.0
2003-09-09,73.1,76.0,73.5,73.5,1000.0
2003-09-10,73.5,73.0,73.0,73.0,2500.0
2003-09-11,73.0,76.0,74.0,76.0,1000.0
2003-09-12,76.0,76.0,76.0,76.0,2000.0
2003-09-15,76.0,75.5,73.0,75.5,3000.0
2003-09-17,75.5,74.0,74.0,74.0,0.0
2003-09-18,74.0,72.5,72.5,72.5,0.0
2003-09-19,72.5,71.9,71.9,71.9,0.0
2003-09-30,71.9,71.0,71.0,71.0,0.0
2003-10-01,71.0,70.0,70.0,70.0,0.0
2003-10-08,70.0,67.0,67.0,67.0,0.0
2003-11-06,63.0,59.85,59.85,59.85,0.0
2003-11-07,59.85,64.3,64.3,64.3,100.0
2003-11-10,64.3,61.1,61.1,61.1,0.0
2003-11-12,61.1,58.05,58.05,58.05,500.0
2003-11-18,58.05,58.5,58.5,58.5,200.0
2004-01-07,58.5,62.85,62.75,62.85,800.0
2004-02-11,62.85,60.0,59.75,59.75,3800.0
