Date,Open,High,Low,Close,Volume
2001-01-02,23.9,23.5,23.25,23.25,900.0
2001-01-03,23.25,24.0,24.0,24.0,500.0
2001-01-04,24.0,24.5,23.25,24.5,2600.0
2001-01-05,24.5,24.0,24.0,24.0,2000.0
2001-01-08,24.0,25.0,25.0,25.0,500.0
2001-01-16,25.0,24.7,24.7,24.7,500.0
2001-01-17,24.7,24.45,24.45,24.45,1000.0
2001-01-24,24.45,24.1,24.0,24.0,400.0
2001-02-02,24.0,26.0,25.0,26.0,1500.0
2001-02-06,26.0,25.5,23.0,23.0,4500.0
2001-02-07,23.0,24.0,23.9,24.0,1500.0
2001-02-08,24.0,25.55,24.5,25.55,3000.0
2001-02-12,25.55,27.0,24.95,25.5,1200.0
2001-02-13,25.5,25.25,25.0,25.0,1500.0
2001-02-15,25.0,25.2,25.2,25.2,100.0
2001-02-16,25.2,25.25,25.0,25.25,7500.0
2001-02-19,25.25,26.0,25.0,26.0,1600.0
2001-02-20,26.0,24.5,24.5,24.5,1100.0
2001-03-13,24.5,23.75,23.75,23.75,1000.0
2001-03-19,23.75,22.25,22.25,22.25,100.0
2001-03-21,22.25,23.5,23.5,23.5,600.0
2001-03-22,23.5,22.75,22.5,22.6,7900.0
2001-03-26,22.6,22.6,22.6,22.6,100.0
2001-03-27,22.6,22.5,22.5,22.5,500.0
2001-04-12,22.5,23.1,23.1,23.1,500.0
2001-04-13,23.1,23.1,23.0,23.0,1500.0
2001-04-16,23.0,23.9,23.9,23.9,1000.0
2001-04-20,23.9,23.0,23.0,23.0,1000.0
2001-04-24,23.0,22.5,22.5,22.5,400.0
2001-04-25,22.5,22.7,22.7,22.7,300.0
2001-04-30,22.7,23.0,23.0,23.0,1000.0
2001-05-08,23.0,23.5,22.5,22.5,1400.0
2001-05-11,22.5,22.5,21.3,22.5,1900.0
2001-05-14,22.5,22.95,22.95,22.95,100.0
2001-05-16,22.95,22.9,22.0,22.9,2800.0
2001-05-18,22.9,22.65,22.6,22.6,400.0
2001-05-21,22.6,22.5,22.5,22.5,700.0
2001-05-22,22.5,22.5,22.05,22.5,700.0
2001-05-23,22.5,22.5,22.5,22.5,900.0
2001-05-24,22.5,22.05,22.0,22.0,500.0
2001-05-25,22.0,22.15,22.0,22.05,1300.0
2001-05-29,22.05,22.5,22.5,22.5,300.0
2001-05-31,22.5,23.0,22.9,23.0,700.0
2001-06-01,23.0,23.0,23.0,23.0,300.0
2001-06-04,23.0,24.25,23.5,24.25,900.0
2001-06-06,24.25,24.3,24.0,24.3,1300.0
2001-06-07,24.3,24.0,23.5,23.5,500.0
2001-06-08,23.5,23.5,23.05,23.05,1500.0
2001-06-15,23.05,22.6,22.6,22.6,1000.0
2001-06-28,22.6,23.0,23.0,23.0,500.0
2001-07-03,23.0,22.5,22.5,22.5,400.0
2001-07-06,22.5,22.5,22.0,22.0,4500.0
2001-07-10,22.0,22.25,22.25,22.25,500.0
2001-07-16,22.25,22.2,22.05,22.05,400.0
2001-07-18,22.05,22.1,22.1,22.1,500.0
2001-07-20,22.1,22.05,22.05,22.05,100.0
2001-07-26,22.05,22.05,22.05,22.05,100.0
2001-07-30,22.05,22.05,22.05,22.05,100.0
2001-07-31,22.05,22.1,22.0,22.0,1400.0
2001-08-07,22.0,22.25,22.0,22.25,800.0
2001-08-10,22.25,22.0,22.0,22.0,700.0
2001-08-16,22.0,22.5,22.2,22.2,700.0
2001-08-17,22.2,22.95,22.5,22.5,900.0
2001-08-21,22.5,22.6,22.5,22.5,300.0
2001-08-29,22.5,23.0,23.0,23.0,200.0
2001-08-31,23.0,22.1,22.1,22.1,1000.0
2001-09-05,22.1,22.0,21.0,21.0,14500.0
2001-09-06,21.0,21.0,21.0,21.0,300.0
