Date,Open,High,Low,Close,Volume
2001-08-06,400.0,400.0,400.0,400.0,0.0
2001-08-16,400.0,350.0,350.0,350.0,20.0
2001-08-24,350.0,311.0,305.0,305.0,180.0
2001-09-12,305.0,300.0,300.0,300.0,40.0
2001-09-24,300.0,300.0,300.0,300.0,60.0
2001-09-25,300.0,285.0,285.0,285.0,40.0
2001-10-02,285.0,280.0,280.0,280.0,100.0
2001-10-04,280.0,290.0,290.0,290.0,20.0
2001-10-10,290.0,303.0,303.0,303.0,40.0
2001-10-11,303.0,300.0,300.0,300.0,20.0
2001-10-18,300.0,325.0,325.0,325.0,20.0
2001-11-22,325.0,310.0,310.0,310.0,20.0
2001-12-01,310.0,325.0,310.0,325.0,60.0
2001-12-03,325.0,325.0,325.0,325.0,10.0
2001-12-24,315.0,315.0,315.0,315.0,0.0
2002-01-14,315.0,338.5,338.5,338.5,10.0
2002-01-16,338.5,363.0,350.0,363.0,70.0
2002-01-23,363.0,390.0,390.0,390.0,220.0
2002-02-08,390.0,418.0,418.0,418.0,250.0
2002-02-20,418.0,425.0,425.0,425.0,10.0
2002-03-06,425.0,455.0,455.0,455.0,100.0
2002-03-08,455.0,488.0,488.0,488.0,10.0
2002-03-13,488.0,523.0,523.0,523.0,10.0
2002-03-22,523.0,509.0,509.0,509.0,0.0
2002-03-26,509.0,500.0,500.0,500.0,0.0
2002-04-01,500.0,485.0,485.0,485.0,0.0
2002-04-12,485.0,484.0,484.0,484.0,0.0
2002-04-15,484.0,470.0,470.0,470.0,0.0
2002-04-16,470.0,455.0,455.0,455.0,0.0
2002-04-19,455.0,450.0,450.0,450.0,0.0
2002-04-30,450.0,440.0,440.0,440.0,0.0
2002-05-14,440.0,425.0,425.0,425.0,10.0
2002-05-30,425.0,430.0,425.0,430.0,500.0
2002-05-31,430.0,430.0,425.0,430.0,310.0
2002-06-04,430.0,440.0,440.0,440.0,0.0
2002-06-05,440.0,430.0,429.0,430.0,200.0
2002-06-06,430.0,440.0,440.0,440.0,0.0
2002-06-07,440.0,440.0,440.0,440.0,30.0
2002-06-10,440.0,429.0,429.0,429.0,100.0
2002-06-12,429.0,420.0,420.0,420.0,100.0
2002-06-13,420.0,410.0,410.0,410.0,50.0
2002-06-19,410.0,425.0,410.0,410.0,200.0
2002-06-20,410.0,425.0,425.0,425.0,200.0
2002-06-26,425.0,414.5,414.5,414.5,10.0
2002-07-17,414.5,440.0,440.0,440.0,100.0
2002-07-19,440.0,440.0,440.0,440.0,50.0
2002-07-24,440.0,450.0,449.0,450.0,210.0
2002-07-31,450.0,429.0,429.0,429.0,10.0
2002-08-07,429.0,441.0,441.0,441.0,0.0
2002-08-13,441.0,460.8,460.8,460.8,0.0
2002-08-15,460.8,495.35,495.35,495.35,30.0
2002-08-16,495.35,532.0,524.0,532.0,140.0
2002-08-20,532.0,570.0,542.0,570.0,130.0
2002-08-22,570.0,590.0,590.0,590.0,100.0
2002-08-23,590.0,590.0,590.0,590.0,100.0
2002-08-28,590.0,575.0,575.0,575.0,200.0
2002-08-29,575.0,610.0,575.0,610.0,200.0
2002-09-02,610.0,580.0,580.0,580.0,50.0
2002-09-03,580.0,575.0,575.0,575.0,10.0
2002-09-10,545.0,545.0,545.0,545.0,0.0
2002-09-23,520.0,525.0,520.0,525.0,0.0
2002-10-01,525.0,564.35,564.35,564.35,100.0
2002-10-02,564.35,565.0,565.0,565.0,20.0
2002-10-03,565.0,600.0,565.0,600.0,50.0
2002-10-04,600.0,600.0,600.0,600.0,120.0
2002-10-07,600.0,610.0,610.0,610.0,10.0
2002-10-08,610.0,610.0,610.0,610.0,10.0
2002-10-09,610.0,655.75,620.0,655.75,40.0
2002-10-11,655.75,700.0,623.0,700.0,30.0
2002-10-14,700.0,752.5,752.5,752.5,0.0
2002-10-15,752.5,808.9,808.9,808.9,0.0
2002-10-16,808.9,869.55,869.55,869.55,0.0
2002-10-17,869.55,934.75,934.75,934.75,0.0
2002-10-18,934.75,1004.85,1004.85,1004.85,0.0
2002-10-21,1004.85,1080.2,1080.2,1080.2,0.0
2002-10-22,1080.2,1161.2,1161.2,1161.2,0.0
2002-10-23,1161.2,1248.25,1248.25,1248.25,0.0
2002-10-24,1248.25,1341.85,1341.85,1341.85,0.0
2002-10-25,1341.85,1442.45,1442.45,1442.45,0.0
2002-10-28,1442.45,1550.6,1550.6,1550.6,190.0
2002-10-29,155.06,166.65,155.06,166.65,0.0
2002-10-30,166.65,179.1,179.1,179.1,0.0
2002-10-31,179.1,192.5,192.5,192.5,0.0
2002-11-01,192.5,206.9,206.9,206.9,0.0
2002-11-04,206.9,222.4,222.4,222.4,2470.0
2002-11-05,222.4,239.05,239.05,239.05,1360.0
2002-11-06,239.05,256.95,256.95,256.95,130.0
2002-11-07,256.95,276.2,276.2,276.2,600.0
2002-11-08,276.2,296.9,296.9,296.9,10.0
2002-11-11,296.9,319.15,319.15,319.15,0.0
2002-11-12,319.15,343.05,343.05,343.05,0.0
2002-11-13,343.05,368.75,368.75,368.75,500.0
2002-11-14,368.75,396.4,370.0,396.4,9010.0
2002-11-15,396.4,410.0,376.6,376.6,2240.0
2002-11-18,376.6,376.5,357.8,360.0,600.0
2002-11-19,360.0,359.9,342.0,350.0,260.0
2002-11-20,350.0,355.5,332.5,332.5,410.0
2002-11-21,332.5,339.9,330.0,339.9,160.0
2002-11-22,339.9,323.0,323.0,323.0,260.0
2002-11-25,323.0,329.0,320.0,325.0,640.0
2002-11-26,325.0,324.0,323.0,324.0,120.0
2002-11-28,324.0,319.0,319.0,319.0,0.0
2002-11-29,319.0,324.0,323.0,323.0,10.0
2002-12-02,323.0,315.0,307.0,307.0,650.0
2002-12-04,307.0,300.1,295.0,300.1,340.0
2002-12-09,300.1,290.0,290.0,290.0,20.0
2002-12-10,290.0,299.9,280.0,299.9,30.0
2002-12-11,299.9,306.9,284.95,306.9,170.0
2002-12-12,306.9,298.0,291.6,297.0,80.0
2002-12-13,297.0,295.0,282.2,295.0,220.0
2002-12-16,295.0,300.0,280.25,287.0,810.0
2002-12-17,287.0,295.0,290.0,290.0,20.0
2002-12-18,290.0,293.95,293.95,293.95,10.0
2002-12-19,293.95,299.95,285.0,294.95,40.0
2002-12-20,294.95,304.45,294.0,294.0,30.0
2002-12-23,294.0,290.0,289.9,290.0,90.0
2002-12-24,290.0,301.0,295.0,298.95,450.0
2002-12-26,298.95,299.95,290.0,298.95,30.0
2002-12-27,298.95,296.95,290.0,296.95,60.0
2002-12-30,296.95,299.9,290.0,297.45,30.0
2002-12-31,297.45,294.9,290.0,292.95,130.0
2003-01-01,292.95,289.0,289.0,289.0,20.0
2003-01-02,289.0,285.0,280.0,280.0,60.0
2003-01-03,280.0,284.45,275.0,275.0,180.0
2003-01-06,275.0,277.0,261.25,261.25,20.0
2003-01-07,261.25,274.95,260.0,268.95,130.0
2003-01-08,268.95,280.0,266.5,270.0,610.0
2003-01-09,270.0,288.95,275.0,275.0,130.0
2003-01-10,275.0,279.0,274.0,279.0,120.0
2003-01-13,279.0,285.0,283.7,284.95,130.0
2003-01-14,284.95,287.95,271.0,284.85,520.0
2003-01-15,284.85,287.75,270.7,278.0,70.0
2003-01-16,278.0,284.95,271.0,275.0,790.0
2003-01-20,275.0,268.95,265.0,268.95,60.0
