Date,Open,High,Low,Close,Volume
2001-01-01,21.9,22.45,21.6,22.4,47728000.0
2001-01-02,22.4,22.95,22.25,22.3,50313500.0
2001-01-03,22.3,22.7,22.0,22.7,44902500.0
2001-01-04,22.7,22.85,22.4,22.65,45840500.0
2001-01-05,22.65,23.4,22.6,22.7,110704500.0
2001-01-08,22.7,23.15,22.3,22.35,104652000.0
2001-01-09,22.35,22.6,22.05,22.6,58658000.0
2001-01-10,22.6,22.75,22.3,22.5,43011000.0
2001-01-11,22.5,22.55,22.0,22.05,37646500.0
2001-01-12,22.05,22.2,21.5,21.55,62527500.0
2001-01-15,21.55,21.6,21.2,21.35,38931000.0
2001-01-16,21.35,21.5,21.2,21.4,19758500.0
2001-01-17,21.4,21.5,21.05,21.45,31735500.0
2001-01-18,21.45,21.6,21.0,21.1,31433000.0
2001-01-19,21.1,21.4,21.0,21.35,28604500.0
2001-01-22,21.35,21.95,21.45,21.85,38618000.0
2001-01-23,21.85,22.05,21.8,21.9,39799000.0
2001-01-24,21.9,22.05,21.6,21.75,37683500.0
2001-01-25,21.75,21.85,20.65,20.75,67479000.0
2001-01-26,20.75,20.7,19.85,20.05,97433500.0
2001-01-29,20.05,20.2,19.75,19.8,32555500.0
2001-01-30,19.8,20.55,19.75,20.55,47894000.0
2001-01-31,20.55,20.7,20.3,20.5,42648000.0
2001-02-01,20.5,20.75,20.35,20.4,40122500.0
2001-02-02,20.4,20.65,20.35,20.55,21905500.0
2001-02-06,20.55,20.95,20.7,20.75,28142500.0
2001-02-07,20.75,20.8,20.55,20.65,10248500.0
2001-02-08,20.65,20.85,20.6,20.65,18713500.0
2001-02-09,20.65,20.7,20.5,20.6,13952500.0
2001-02-12,20.6,21.4,20.75,21.25,59750500.0
2001-02-13,21.25,21.35,21.05,21.05,17857000.0
2001-02-14,21.05,21.2,20.85,21.1,30230500.0
2001-02-15,21.1,21.25,20.95,21.05,34351500.0
2001-02-16,21.05,21.15,20.95,21.1,14643500.0
2001-02-19,21.1,21.25,20.95,21.15,28512500.0
2001-02-20,21.15,21.4,20.8,20.8,39214000.0
2001-02-21,20.8,20.95,20.05,20.55,66318500.0
2001-02-22,20.55,20.65,20.0,20.15,42591500.0
2001-02-23,20.15,20.15,19.65,19.7,32234500.0
2001-02-26,19.7,19.75,19.25,19.75,41526000.0
2001-02-27,19.75,20.05,19.65,20.0,38288000.0
2001-02-28,20.0,20.1,19.35,19.5,47301000.0
2001-03-01,19.5,19.75,19.3,19.6,27697500.0
2001-03-02,19.6,19.6,19.35,19.55,43673000.0
2001-03-09,19.55,19.65,18.95,19.15,46369000.0
2001-03-12,19.15,19.4,19.0,19.2,32987000.0
2001-03-13,19.2,19.3,18.95,19.3,38084500.0
2001-03-14,19.3,19.45,19.2,19.3,20328500.0
2001-03-15,19.3,19.35,19.05,19.15,25521000.0
2001-03-16,19.15,19.35,19.15,19.3,8972500.0
2001-03-19,19.3,19.5,19.2,19.3,15356000.0
2001-03-20,19.3,19.35,19.2,19.35,6342500.0
2001-03-21,19.35,19.45,19.0,19.05,22157000.0
2001-03-22,19.05,19.1,18.4,18.45,43470000.0
2001-03-26,18.45,18.4,18.0,18.1,15795500.0
2001-03-27,18.1,18.45,17.85,18.4,22259000.0
2001-03-28,18.4,18.55,18.2,18.2,15196000.0
2001-03-29,18.2,18.25,17.75,17.9,31432500.0
2001-03-30,17.9,18.1,17.75,17.95,17459500.0
2001-04-02,17.95,18.2,17.9,18.15,12687500.0
2001-04-03,18.15,18.4,17.5,17.7,57487000.0
2001-04-06,17.7,17.7,17.2,17.45,33002000.0
2001-04-09,17.45,18.0,17.25,17.85,57375000.0
2001-04-10,17.85,17.95,17.55,17.65,20821000.0
2001-04-11,17.65,17.75,17.6,17.65,12490500.0
2001-04-12,17.65,18.25,17.55,18.25,44530500.0
2001-04-13,18.25,18.55,18.1,18.5,31105500.0
2001-04-16,18.5,18.65,18.4,18.45,20119500.0
2001-04-17,18.45,18.75,18.3,18.6,32509000.0
2001-04-18,18.6,18.7,18.45,18.55,19978500.0
2001-04-19,18.55,18.9,18.25,18.25,48521000.0
2001-04-20,18.25,18.85,18.25,18.65,43357500.0
2001-04-23,18.65,18.95,18.65,18.7,25742500.0
2001-04-24,18.7,18.75,18.35,18.4,23161000.0
2001-04-25,18.4,18.55,18.25,18.4,20693000.0
2001-04-26,18.4,18.5,18.35,18.4,11012000.0
2001-04-27,18.4,18.5,17.95,18.1,37240000.0
2001-04-30,18.1,18.2,17.8,18.1,26126500.0
2001-05-02,18.1,18.2,18.05,18.2,7553000.0
2001-05-03,18.2,18.25,18.0,18.05,7633500.0
2001-05-04,18.05,18.1,17.8,18.05,16025500.0
2001-05-07,18.05,18.2,18.05,18.15,5741000.0
2001-05-08,18.15,18.15,17.8,17.8,11182500.0
2001-05-09,17.8,17.85,17.6,17.7,21895500.0
2001-05-10,17.7,17.8,17.6,17.7,12066000.0
2001-05-11,17.7,17.75,17.5,17.7,13026500.0
2001-05-14,17.7,17.85,17.6,17.7,6174500.0
2001-05-15,17.7,17.75,17.5,17.65,5867000.0
2001-05-16,17.65,18.25,17.8,18.25,34654000.0
2001-05-17,18.25,18.45,18.1,18.4,18760000.0
2001-05-18,18.4,18.55,18.2,18.2,25115000.0
2001-05-21,18.2,18.35,18.25,18.3,4750500.0
2001-05-22,18.3,18.3,17.95,17.95,14070000.0
2001-05-23,17.95,17.95,17.65,17.7,18218000.0
2001-05-24,17.7,18.05,17.7,18.05,19917000.0
2001-05-25,18.05,18.05,17.8,17.85,11590000.0
2001-05-28,17.85,18.0,17.8,17.95,2977500.0
2001-05-29,17.95,18.15,17.9,18.05,7879500.0
2001-05-30,18.05,18.25,18.0,18.15,13608500.0
2001-05-31,18.15,18.3,18.1,18.2,9872500.0
2001-06-01,18.2,18.4,18.2,18.25,8097000.0
2001-06-04,18.25,18.75,18.35,18.7,20950500.0
2001-06-06,18.7,18.8,18.05,18.05,37870500.0
2001-06-07,18.05,18.2,17.9,18.05,13545000.0
2001-06-08,18.05,18.1,17.85,18.1,14865500.0
2001-06-11,18.1,18.25,18.1,18.2,5609000.0
2001-06-12,18.2,18.25,18.1,18.15,4857000.0
2001-06-13,18.15,18.2,18.1,18.2,2447500.0
2001-06-14,18.2,18.3,18.15,18.15,5655000.0
2001-06-15,18.15,18.25,18.0,18.2,7154500.0
2001-06-18,18.2,18.35,18.2,18.3,3421000.0
2001-06-19,18.3,18.3,17.8,17.85,14770500.0
2001-06-20,17.85,18.2,17.65,18.15,19416000.0
2001-06-21,18.15,18.2,17.55,17.7,17085500.0
2001-06-22,17.7,17.9,17.55,17.85,15536000.0
2001-06-25,17.85,18.05,17.8,17.95,5482500.0
2001-06-26,17.95,18.05,17.85,17.95,5611500.0
2001-06-27,17.95,18.2,17.85,18.15,9718500.0
2001-06-28,18.15,18.25,18.05,18.15,9587500.0
2001-06-29,18.15,18.2,17.9,17.95,7755000.0
2001-07-03,17.95,17.85,17.35,17.4,19096000.0
2001-07-04,17.4,17.7,17.4,17.5,15194500.0
2001-07-05,17.5,17.6,17.05,17.2,25583000.0
2001-07-06,17.2,17.25,16.9,16.95,10160500.0
2001-07-09,16.95,17.15,16.65,16.65,12956000.0
2001-07-10,16.65,16.95,16.7,16.75,17962000.0
2001-07-11,16.75,17.1,16.6,17.0,14405500.0
2001-07-12,17.0,17.05,16.85,17.0,10926000.0
2001-07-13,17.0,17.05,16.75,16.8,9934000.0
2001-07-16,16.8,17.05,16.75,16.8,6064000.0
2001-07-17,16.8,16.65,16.05,16.3,29295000.0
2001-07-18,16.3,16.4,16.2,16.35,10020500.0
2001-07-19,16.35,16.45,16.15,16.2,9875500.0
2001-07-20,16.2,16.2,15.65,15.7,28494500.0
2001-07-23,15.7,15.85,15.5,15.8,14383500.0
2001-07-24,15.8,16.1,15.8,16.05,15278000.0
2001-07-25,16.05,16.1,15.55,15.55,11979000.0
2001-07-26,15.55,15.6,15.25,15.45,22175500.0
2001-07-27,15.45,15.45,15.1,15.25,12330000.0
2001-07-30,15.25,15.3,15.05,15.25,6360500.0
