Date,Open,High,Low,Close,Volume
2001-01-02,25.0,25.0,25.0,25.0,500.0
2001-01-03,25.0,25.0,25.0,25.0,1000.0
2001-01-04,25.0,25.0,25.0,25.0,1000.0
2001-01-09,25.0,24.0,21.0,21.0,2500.0
2001-01-11,21.0,19.0,17.0,18.0,3000.0
2001-01-18,18.0,18.0,18.0,18.0,0.0
2001-01-23,18.0,19.95,19.5,19.5,1000.0
2001-01-30,19.5,24.9,21.0,24.9,1000.0
2001-01-31,24.9,21.05,21.05,21.05,500.0
2001-02-08,21.05,21.05,21.05,21.05,0.0
2001-02-16,21.05,21.0,21.0,21.0,500.0
2001-02-26,21.0,21.0,21.0,21.0,500.0
2001-03-02,21.0,20.0,20.0,20.0,500.0
2001-03-14,20.0,18.5,18.5,18.5,500.0
2001-03-15,18.5,17.55,17.55,17.55,500.0
2001-03-16,17.55,17.55,17.55,17.55,0.0
2001-03-28,13.55,13.55,13.55,13.55,0.0
2001-04-26,13.55,13.0,13.0,13.0,1000.0
2001-05-02,13.0,14.0,13.25,14.0,1500.0
2001-05-04,14.0,14.0,14.0,14.0,0.0
2001-05-09,14.0,14.5,14.5,14.5,500.0
2001-05-15,14.5,15.0,15.0,15.0,500.0
2001-05-16,15.0,15.5,15.4,15.5,2000.0
2001-05-29,15.5,15.0,15.0,15.0,500.0
2001-06-25,15.0,12.0,12.0,12.0,500.0
2001-06-28,12.0,12.0,12.0,12.0,500.0
2001-07-09,12.0,14.0,14.0,14.0,500.0
2001-07-11,14.0,13.5,13.5,13.5,500.0
2001-07-17,13.5,13.5,13.5,13.5,500.0
2001-07-27,13.5,13.5,10.2,10.2,1000.0
2001-07-30,10.2,13.5,13.5,13.5,500.0
2001-08-06,13.5,12.0,12.0,12.0,500.0
2001-08-07,12.0,12.0,12.0,12.0,500.0
2001-10-11,12.0,11.75,11.75,11.75,500.0
2001-10-15,11.75,11.5,11.5,11.5,500.0
2001-10-18,11.5,11.5,11.5,11.5,500.0
2001-10-25,11.5,11.5,11.5,11.5,500.0
2001-11-12,11.5,11.55,11.55,11.55,500.0
2001-12-08,11.55,12.0,12.0,12.0,500.0
2001-12-20,12.0,13.05,13.0,13.05,1000.0
2001-12-21,13.05,12.0,12.0,12.0,500.0
2002-02-27,12.0,12.0,12.0,12.0,500.0
2002-03-04,12.0,12.0,12.0,12.0,500.0
2002-03-08,12.0,12.75,12.75,12.75,1000.0
2002-03-12,12.75,12.95,12.95,12.95,1000.0
2002-03-15,12.95,12.35,12.35,12.35,2000.0
2002-03-19,12.35,12.7,12.7,12.7,500.0
2002-03-20,12.7,12.9,12.35,12.9,2500.0
2002-03-21,12.9,12.35,12.0,12.0,2000.0
2002-03-22,12.0,12.2,12.2,12.2,0.0
2002-03-28,10.2,10.2,10.2,10.2,500.0
2002-04-01,10.2,10.25,10.25,10.25,0.0
2002-04-03,10.25,10.3,10.3,10.3,0.0
2002-04-04,10.3,10.4,10.4,10.4,0.0
2002-04-08,10.4,11.9,11.9,11.9,0.0
2002-04-11,11.9,11.9,11.9,11.9,0.0
2002-04-26,11.9,11.9,11.9,11.9,500.0
2002-04-29,11.9,12.0,12.0,12.0,500.0
2002-05-07,12.0,12.05,12.05,12.05,0.0
2002-05-14,12.05,12.0,12.0,12.0,500.0
2002-05-20,12.0,11.05,11.05,11.05,3000.0
2002-05-24,11.05,11.95,11.95,11.95,500.0
2002-05-27,11.95,12.0,12.0,12.0,0.0
2002-06-10,12.0,12.0,12.0,12.0,1000.0
2002-06-11,12.0,12.05,12.05,12.05,0.0
2002-07-04,12.05,12.0,12.0,12.0,1000.0
2002-07-15,12.0,12.0,12.0,12.0,1000.0
2002-07-22,12.0,12.5,12.5,12.5,2000.0
2002-07-24,12.5,13.1,12.7,13.1,7500.0
2002-07-30,13.1,13.0,13.0,13.0,0.0
2002-07-31,13.0,13.0,12.0,13.0,3000.0
2002-08-06,13.0,12.75,12.75,12.75,0.0
2002-08-08,12.75,14.0,13.0,14.0,27500.0
2002-08-09,14.0,15.5,14.4,15.5,11500.0
2002-08-12,15.5,17.0,15.15,15.15,3500.0
2002-08-13,15.15,15.5,14.75,14.75,4500.0
2002-08-15,14.75,15.0,14.6,14.6,1000.0
2002-08-23,14.6,14.75,14.75,14.75,500.0
2002-08-27,14.75,14.5,14.5,14.5,0.0
2002-08-30,14.5,14.0,14.0,14.0,0.0
2002-09-13,14.0,13.75,13.75,13.75,0.0
2002-09-16,13.75,13.0,13.0,13.0,500.0
2002-09-17,13.0,12.55,12.5,12.55,500.0
2002-09-18,12.55,12.4,12.4,12.4,500.0
2002-09-19,12.4,13.0,13.0,13.0,500.0
2002-09-24,13.0,12.75,12.75,12.75,0.0
2002-09-25,12.75,12.25,12.25,12.25,1000.0
2002-10-01,12.25,12.5,12.25,12.5,5500.0
2002-10-02,12.5,12.25,12.25,12.25,3000.0
2002-10-03,12.25,12.5,12.25,12.5,2000.0
2002-10-08,12.5,12.65,12.25,12.25,5000.0
2002-10-09,12.25,12.6,12.5,12.6,2500.0
2002-10-16,12.6,12.5,12.5,12.5,0.0
2002-10-18,12.5,12.0,12.0,12.0,1000.0
2002-10-23,12.0,12.5,12.5,12.5,1000.0
2002-10-24,12.5,13.95,13.0,13.95,2000.0
2002-10-28,13.95,13.5,13.5,13.5,1000.0
2002-10-29,13.5,13.0,13.0,13.0,500.0
2002-11-01,13.0,12.5,12.5,12.5,500.0
2002-11-18,12.5,14.0,14.0,14.0,1000.0
2002-12-10,14.0,14.95,14.95,14.95,1000.0
2002-12-11,14.95,14.0,14.0,14.0,1000.0
2002-12-12,14.0,14.0,14.0,14.0,1000.0
2002-12-13,14.0,14.1,14.1,14.1,0.0
2002-12-16,14.1,14.0,14.0,14.0,1000.0
2002-12-17,14.0,15.0,15.0,15.0,1000.0
2002-12-18,15.0,14.5,14.5,14.5,0.0
2002-12-31,14.5,13.9,13.9,13.9,500.0
2003-01-02,13.9,13.0,13.0,13.0,2000.0
2003-01-07,13.0,12.95,12.95,12.95,0.0
2003-01-08,12.95,13.5,13.45,13.5,2000.0
2003-01-13,13.5,13.2,13.2,13.2,0.0
2003-01-16,13.2,13.5,13.5,13.5,1000.0
2003-01-17,13.5,13.5,13.5,13.5,2000.0
2003-01-20,13.5,13.4,13.4,13.4,0.0
2003-01-21,13.4,12.5,12.5,12.5,500.0
2003-01-29,12.5,12.0,12.0,12.0,500.0
2003-02-19,12.0,11.5,11.5,11.5,0.0
2003-02-25,11.5,10.5,10.5,10.5,500.0
2003-03-26,9.5,9.85,9.85,9.85,0.0
2003-03-28,9.85,10.05,10.05,10.05,0.0
2003-04-07,10.05,11.55,11.0,11.55,3000.0
2003-04-17,11.55,11.5,11.5,11.5,0.0
2003-04-21,11.5,11.0,11.0,11.0,3500.0
2003-04-24,11.0,11.05,11.05,11.05,0.0
2003-04-28,11.05,11.25,11.25,11.25,0.0
2003-04-29,11.25,11.35,11.35,11.35,0.0
2003-04-30,11.35,11.55,11.55,11.55,0.0
2003-05-02,11.55,11.75,11.75,11.75,500.0
2003-05-05,11.75,11.75,11.75,11.75,1500.0
2003-05-06,11.75,11.9,11.9,11.9,0.0
2003-05-09,11.9,12.3,12.3,12.3,0.0
2003-05-12,12.3,12.6,12.6,12.6,0.0
2003-05-13,12.6,13.1,13.0,13.0,5500.0
2003-05-14,13.0,13.9,13.5,13.9,1500.0
2003-05-16,13.9,14.95,14.85,14.95,4000.0
2003-05-20,14.95,14.0,14.0,14.0,500.0
2003-05-22,14.0,14.0,14.0,14.0,500.0
2003-05-23,14.0,14.0,13.95,13.95,1500.0
2003-05-26,13.95,13.9,13.9,13.9,1500.0
2003-05-27,13.9,15.4,15.4,15.4,500.0
2003-05-28,15.4,15.25,15.25,15.25,2000.0
2003-05-30,15.25,15.25,15.25,15.25,1500.0
2003-06-02,15.25,15.0,15.0,15.0,0.0
2003-06-04,15.0,15.0,15.0,15.0,500.0
2003-06-06,15.0,14.0,14.0,14.0,500.0
2003-06-09,14.0,15.5,15.35,15.35,7000.0
2003-06-11,15.35,14.9,14.5,14.5,3000.0
2003-06-12,14.5,13.6,13.6,13.6,1000.0
2003-06-16,13.6,13.8,13.8,13.8,0.0
2003-06-17,13.8,14.25,14.25,14.25,0.0
2003-06-18,14.25,14.8,14.75,14.8,3000.0
2003-06-24,14.8,15.1,15.1,15.1,500.0
2003-07-07,15.1,15.6,15.5,15.6,7500.0
2003-07-08,15.6,16.6,16.25,16.6,12000.0
2003-07-09,16.6,17.6,17.55,17.55,500.0
2003-07-10,17.55,18.2,17.9,17.9,2000.0
2003-07-11,17.9,18.0,17.5,17.5,2500.0
2003-07-16,17.5,17.0,17.0,17.0,0.0
2003-07-17,17.0,18.35,18.35,18.35,500.0
2003-07-21,18.35,18.25,18.25,18.25,0.0
2003-07-22,18.25,17.25,17.25,17.25,1000.0
2003-07-23,17.25,17.5,17.5,17.5,1000.0
2003-07-24,17.5,17.25,17.25,17.25,1000.0
2003-07-25,17.25,16.75,16.75,16.75,2000.0
2003-07-28,16.75,17.5,17.5,17.5,500.0
2003-07-30,17.5,17.0,16.5,17.0,1500.0
2003-07-31,17.0,16.9,16.9,16.9,0.0
2003-08-01,16.9,16.75,16.75,16.75,0.0
2003-08-04,16.75,16.7,16.7,16.7,0.0
2003-08-07,16.7,16.0,15.7,16.0,1500.0
2003-08-08,16.0,16.5,16.0,16.5,8000.0
2003-08-11,16.5,17.0,17.0,17.0,1000.0
2003-08-12,17.0,16.0,16.0,16.0,2000.0
2003-08-13,16.0,16.05,16.05,16.05,0.0
2003-08-15,16.05,15.75,15.75,15.75,500.0
2003-08-21,15.75,16.0,15.95,16.0,1500.0
2003-08-25,16.0,16.0,16.0,16.0,500.0
2003-08-29,16.0,16.0,16.0,16.0,500.0
2003-09-04,16.0,15.1,15.1,15.1,500.0
2003-09-10,15.1,15.6,15.6,15.6,0.0
2003-09-12,15.6,16.0,16.0,16.0,0.0
2003-09-16,16.0,15.6,15.6,15.6,500.0
2003-09-19,15.6,15.6,15.5,15.5,2000.0
2003-09-22,15.5,15.05,15.0,15.0,6500.0
2003-09-23,15.0,15.5,15.0,15.0,7000.0
2003-09-25,15.0,14.3,14.3,14.3,500.0
2003-09-30,14.3,15.8,15.8,15.8,1000.0
2003-10-20,15.8,15.5,15.5,15.5,0.0
2003-10-29,15.5,15.0,15.0,15.0,0.0
2003-11-03,15.0,15.0,15.0,15.0,500.0
2003-11-17,15.0,14.5,14.5,14.5,0.0
2003-12-10,14.5,14.0,13.95,14.0,1500.0
2003-12-11,14.0,13.9,13.9,13.9,500.0
2003-12-12,13.9,15.25,13.0,13.0,3500.0
2003-12-18,13.0,14.0,14.0,14.0,1000.0
2003-12-23,14.0,14.75,14.0,14.75,2500.0
