Date,Open,High,Low,Close,Volume
2007-06-21,15.65,16.65,15.7,16.65,3109000.0
2007-06-22,16.65,17.65,16.65,17.65,4589500.0
2007-06-25,17.65,18.65,17.9,18.65,4525000.0
2007-06-26,18.65,19.65,18.65,19.65,2502500.0
2007-06-27,19.65,20.65,20.35,20.65,634500.0
2007-06-28,20.65,21.65,21.65,21.65,264000.0
2007-06-29,21.65,22.7,20.7,22.7,6508000.0
2007-07-02,22.7,23.2,21.6,21.6,2692000.0
2007-07-03,21.6,21.75,20.55,21.25,2851500.0
2007-07-04,21.25,22.3,20.6,22.3,2069000.0
2007-07-05,22.3,23.4,22.7,23.05,4209000.0
2007-07-06,23.05,24.2,22.85,24.2,2763000.0
2007-07-09,24.2,25.4,25.4,25.4,227000.0
2007-07-10,25.4,26.65,25.0,26.65,10300000.0
2007-07-11,26.65,27.95,26.95,27.95,3563000.0
2007-07-12,27.95,29.3,29.15,29.3,608500.0
2007-07-13,29.3,30.75,29.5,30.75,5821500.0
2007-07-16,30.75,31.5,29.25,29.25,2506000.0
2007-07-17,29.25,30.5,27.8,29.9,8282500.0
2007-07-18,29.9,30.5,28.45,28.45,4099000.0
2007-07-19,28.45,28.35,27.05,27.05,1575500.0
2007-07-20,27.05,25.7,25.7,25.7,159000.0
2007-07-23,25.7,26.95,25.7,26.95,1883500.0
2007-07-24,26.95,27.9,26.5,27.2,2470000.0
2007-07-25,27.2,27.3,25.85,25.85,1453000.0
2007-07-26,25.85,27.1,24.6,27.1,3796000.0
2007-07-27,27.1,26.85,25.75,25.75,1701500.0
2007-07-30,25.75,25.75,24.5,24.7,1573000.0
2007-07-31,24.7,25.7,23.6,25.35,1456500.0
2007-08-01,25.35,26.25,24.75,25.95,1308500.0
2007-08-02,25.95,26.9,25.55,25.6,983000.0
2007-08-03,25.6,26.4,24.95,26.4,891000.0
2007-08-06,26.4,26.45,25.5,25.9,570000.0
2007-08-07,25.9,25.8,24.65,24.7,477000.0
2007-08-08,24.7,25.9,24.65,25.9,1314500.0
2007-08-09,25.9,24.65,24.65,24.65,80000.0
2007-08-10,24.65,25.4,23.45,23.45,757000.0
2007-08-13,23.45,23.6,22.3,22.3,427500.0
2007-08-15,22.3,22.0,21.2,21.2,543500.0
2007-08-16,21.2,22.25,20.2,22.25,1951000.0
2007-08-17,22.25,23.0,21.7,22.55,1079500.0
2007-08-20,22.55,23.1,22.5,22.55,587500.0
2007-08-21,22.55,22.6,21.45,21.45,271500.0
2007-08-22,21.45,22.5,20.4,22.5,1529000.0
2007-08-23,22.5,23.6,22.1,22.6,2439000.0
2007-08-24,22.6,22.8,21.5,21.85,1053000.0
2007-08-27,21.85,22.0,20.8,20.8,496000.0
2007-08-28,20.8,20.5,19.8,19.8,649000.0
2007-08-29,19.8,20.6,19.15,20.15,923000.0
2007-08-30,20.15,20.85,20.15,20.7,710500.0
2007-08-31,20.7,20.6,19.7,19.75,475000.0
2007-09-03,19.75,19.25,18.75,18.9,541000.0
2007-09-04,18.9,19.2,18.5,18.75,680500.0
2007-09-05,18.75,19.65,19.1,19.6,454000.0
2007-09-06,19.6,20.1,19.65,19.7,528000.0
2007-09-07,19.7,19.5,18.7,18.7,459000.0
2007-09-10,18.7,19.3,18.15,19.05,281500.0
2007-09-11,19.05,19.5,18.95,18.95,171000.0
2007-09-12,18.95,19.95,19.0,19.95,790500.0
2007-09-13,19.95,20.95,20.0,20.95,1298500.0
2007-09-14,20.95,21.8,20.25,20.4,856000.0
2007-09-17,20.4,21.4,20.45,21.4,708500.0
2007-09-18,21.4,22.45,21.7,22.35,1484500.0
2007-09-19,22.35,22.9,22.1,22.3,1006500.0
2007-09-20,22.3,22.0,21.2,21.2,619500.0
2007-09-21,21.2,21.65,20.5,20.65,461500.0
2007-09-24,20.65,21.65,20.6,21.65,444500.0
2007-09-25,21.65,22.2,21.4,21.45,587500.0
2007-09-26,21.45,21.65,21.0,21.0,236500.0
2007-09-27,21.0,21.5,20.9,21.3,415000.0
2007-09-28,21.3,21.3,20.65,21.15,151500.0
2007-10-01,21.15,22.2,21.75,22.2,1170500.0
2007-10-02,22.2,22.85,22.0,22.4,1162500.0
2007-10-03,22.4,22.55,21.9,22.05,454000.0
2007-10-04,22.05,22.35,21.55,21.8,263000.0
2007-10-05,21.8,22.5,21.85,22.2,699000.0
2007-10-08,22.2,23.3,22.7,23.3,1374500.0
2007-10-09,23.3,23.9,23.1,23.15,1257500.0
2007-10-11,23.15,23.3,22.6,23.2,619000.0
2007-10-17,23.2,24.35,22.55,24.35,951500.0
2007-10-18,24.35,25.55,24.9,25.55,428500.0
2007-10-19,25.55,26.8,25.85,26.8,1848500.0
2007-10-22,26.8,28.1,27.6,28.1,515000.0
2007-10-23,28.1,29.5,26.7,27.1,3609500.0
2007-10-24,27.1,28.45,26.1,27.6,5782000.0
2007-10-25,27.6,28.95,27.6,28.95,4040500.0
2007-10-26,28.95,30.35,30.35,30.35,299500.0
2007-10-29,30.35,31.85,30.7,31.85,3247000.0
2007-10-30,31.85,33.4,30.7,31.5,8307000.0
2007-10-31,31.5,33.05,30.65,32.7,9318500.0
2007-11-01,32.7,33.2,31.1,31.1,3651500.0
2007-11-02,31.1,31.55,29.55,29.55,3884000.0
2007-11-05,29.55,29.0,28.1,28.1,928000.0
2007-11-06,28.1,27.75,26.7,26.8,2234500.0
2007-11-07,26.8,28.1,26.2,28.1,1550000.0
2007-11-08,28.1,29.3,26.95,28.95,3197000.0
2007-11-12,28.95,30.35,29.0,30.35,1629500.0
2007-11-13,30.35,31.85,31.0,31.85,2503000.0
2007-11-14,31.85,33.1,30.3,30.3,6455000.0
2007-11-15,30.3,30.3,28.8,30.0,2102000.0
2007-11-16,30.0,31.3,30.1,31.2,2327500.0
2007-11-19,31.2,31.7,29.75,31.0,2091500.0
2007-11-20,31.0,32.4,30.5,31.75,2581500.0
2007-11-22,30.25,31.75,30.55,30.95,2720500.0
2007-11-23,30.95,32.45,30.55,32.45,3656000.0
2007-11-26,32.45,33.75,32.1,32.5,4074500.0
2007-11-27,32.5,33.7,32.0,33.4,5142500.0
2007-11-28,33.4,35.05,33.3,35.05,4872500.0
2007-11-29,35.05,36.65,34.15,34.15,6702000.0
2007-11-30,34.15,35.1,34.1,34.8,1574000.0
2007-12-03,34.8,35.15,33.2,33.6,1879500.0
2007-12-04,33.6,34.9,32.75,34.5,2945000.0
2007-12-05,34.5,36.1,34.9,35.75,7930000.0
