Date,Open,High,Low,Close,Volume
2001-01-04,59.0,63.0,63.0,63.0,500.0
2001-01-10,63.0,70.0,65.0,70.0,5000.0
2001-01-11,70.0,66.0,66.0,66.0,1000.0
2001-01-12,66.0,68.0,68.0,68.0,500.0
2001-01-17,68.0,70.0,70.0,70.0,500.0
2001-01-31,70.0,70.0,70.0,70.0,0.0
2001-02-07,70.0,62.0,62.0,62.0,500.0
2001-02-08,62.0,64.0,63.95,64.0,1000.0
2001-02-15,64.0,68.0,66.0,68.0,2000.0
2001-03-13,68.0,65.0,65.0,65.0,2000.0
2001-03-14,65.0,62.0,62.0,62.0,500.0
2001-03-16,62.0,65.0,65.0,65.0,500.0
2001-03-20,65.0,60.0,60.0,60.0,500.0
2001-03-21,60.0,62.0,62.0,62.0,500.0
2001-03-22,62.0,61.0,58.25,61.0,1000.0
2001-04-10,61.0,52.0,52.0,52.0,500.0
2001-04-11,52.0,61.0,53.55,61.0,2500.0
2001-05-17,61.0,59.0,59.0,59.0,500.0
2001-05-31,59.0,55.0,55.0,55.0,2000.0
2001-06-04,55.0,59.0,55.0,57.0,4000.0
2001-06-06,57.0,59.0,55.0,59.0,3000.0
2001-06-07,59.0,60.0,55.0,60.0,1000.0
2001-06-08,60.0,60.0,60.0,60.0,2000.0
2001-06-20,60.0,59.0,57.0,59.0,2000.0
2001-06-29,59.0,65.0,60.0,65.0,1000.0
2001-07-05,65.0,57.0,57.0,57.0,500.0
2001-07-10,57.0,65.0,61.0,65.0,42500.0
2001-08-02,65.0,60.0,57.0,60.0,1000.0
2001-08-03,60.0,63.0,57.0,63.0,2000.0
2001-08-09,63.0,65.0,65.0,65.0,500.0
2001-08-16,65.0,64.8,64.8,64.8,500.0
2001-08-28,64.8,56.0,56.0,56.0,500.0
2001-09-07,56.0,55.0,55.0,55.0,1500.0
2001-09-24,55.0,60.0,57.0,60.0,2000.0
2001-09-25,60.0,57.0,57.0,57.0,1000.0
2001-09-26,57.0,60.0,58.0,60.0,1000.0
2001-09-27,60.0,60.0,60.0,60.0,500.0
2001-10-01,60.0,62.75,60.0,62.75,115500.0
2001-10-12,62.75,62.75,61.0,62.75,136000.0
2001-10-30,62.75,62.5,62.5,62.5,500.0
2001-10-31,62.5,65.0,65.0,65.0,500.0
2001-11-05,59.5,59.5,59.5,59.5,0.0
2001-11-08,59.5,59.0,59.0,59.0,1000.0
2001-11-13,59.0,59.0,59.0,59.0,500.0
2001-11-14,59.0,62.0,61.0,62.0,1500.0
