Date,Open,High,Low,Close,Volume
2001-01-01,3.0,1.0,1.0,1.0,1500.0
2001-01-03,1.0,1.1,1.0,1.0,3000.0
2001-02-12,1.0,1.25,1.25,1.25,1500.0
2001-03-27,1.25,1.25,1.25,1.25,3000.0
2001-05-07,1.25,2.0,1.25,2.0,5000.0
2001-05-08,2.0,2.0,2.0,2.0,4000.0
2001-05-09,2.0,2.0,2.0,2.0,500.0
2001-05-11,2.0,2.0,2.0,2.0,4500.0
2001-05-15,2.0,2.25,2.0,2.25,9000.0
2001-05-16,2.25,2.05,2.05,2.05,1500.0
2001-05-22,2.05,2.1,2.0,2.1,3500.0
2001-06-04,2.1,1.5,1.5,1.5,1000.0
2001-06-07,1.5,2.1,2.1,2.1,2500.0
2001-09-26,2.1,2.1,2.1,2.1,1000.0
2001-11-13,2.1,2.5,2.5,2.5,2500.0
2001-11-14,2.5,2.4,2.4,2.4,1000.0
2001-11-15,2.4,2.3,2.3,2.3,3000.0
2001-12-04,2.3,1.05,1.05,1.05,1000.0
2001-12-06,1.05,1.0,1.0,1.0,1000.0
2002-01-18,1.0,2.0,1.25,2.0,7000.0
2002-01-28,2.0,1.9,1.9,1.9,500.0
2002-03-21,1.9,1.9,1.9,1.9,1000.0
2002-05-09,1.9,1.75,1.75,1.75,0.0
2002-05-15,1.75,1.95,1.95,1.95,1000.0
2002-05-17,1.95,2.25,2.2,2.25,1000.0
2002-05-21,2.25,2.2,2.2,2.2,0.0
2002-05-27,2.2,2.1,2.1,2.1,500.0
2002-05-28,2.1,2.05,2.05,2.05,0.0
2002-05-29,2.05,2.1,2.05,2.05,1000.0
2002-05-30,2.05,2.05,2.05,2.05,500.0
2002-05-31,2.05,2.75,2.75,2.75,500.0
2002-06-06,2.75,2.25,2.25,2.25,4000.0
2002-06-07,2.25,2.5,2.5,2.5,500.0
2002-06-10,2.5,2.5,2.5,2.5,7500.0
2002-06-21,2.5,2.8,2.5,2.8,7000.0
2002-06-25,2.8,2.5,2.5,2.5,1000.0
2002-07-01,2.5,2.5,2.1,2.5,1500.0
2002-07-03,2.5,3.35,3.35,3.35,500.0
2002-07-22,3.35,3.1,3.1,3.1,0.0
2002-07-23,3.1,3.0,3.0,3.0,0.0
2002-07-24,3.0,2.9,2.9,2.9,0.0
2002-07-26,2.9,2.9,2.9,2.9,0.0
2002-08-02,2.9,3.0,3.0,3.0,500.0
2002-08-07,3.0,2.75,2.75,2.75,0.0
2002-09-04,2.75,2.75,2.75,2.75,500.0
2002-09-05,2.75,2.5,2.5,2.5,0.0
2002-09-06,2.5,2.5,2.5,2.5,500.0
2002-09-09,2.5,2.5,2.5,2.5,500.0
2002-09-12,2.5,1.9,1.9,1.9,4500.0
2002-09-13,1.9,2.05,2.0,2.0,4500.0
2002-09-25,2.0,1.5,1.5,1.5,3000.0
2002-09-27,1.5,2.1,2.0,2.0,7500.0
2002-10-16,2.0,2.0,2.0,2.0,1000.0
2002-10-22,2.0,1.75,1.75,1.75,500.0
2002-12-02,1.75,2.0,2.0,2.0,500.0
2002-12-11,2.0,2.5,2.5,2.5,2000.0
2002-12-17,2.5,2.5,2.5,2.5,1000.0
2003-01-09,2.5,3.0,2.0,3.0,6500.0
2003-01-10,3.0,3.0,2.5,3.0,1500.0
2003-01-14,3.0,2.5,2.5,2.5,0.0
2003-01-28,2.5,1.5,1.5,1.5,5000.0
2003-01-29,1.5,1.7,1.7,1.7,0.0
2003-01-30,1.7,1.95,1.95,1.95,2500.0
2003-02-28,1.95,1.1,1.1,1.1,2500.0
2003-03-03,1.1,1.9,1.1,1.9,5000.0
2003-03-17,1.9,1.75,1.75,1.75,0.0
2003-03-28,1.75,1.5,1.5,1.5,500.0
2003-04-02,1.5,1.5,1.5,1.5,500.0
2003-04-15,1.5,1.6,1.6,1.6,0.0
2003-04-16,1.6,2.2,2.1,2.2,7500.0
2003-04-17,2.2,2.5,2.25,2.5,15500.0
2003-04-18,2.5,3.0,2.5,2.9,9000.0
2003-04-21,2.9,4.4,3.1,4.25,23500.0
2003-04-22,4.25,4.5,3.85,3.85,5000.0
2003-04-23,3.85,3.5,3.5,3.5,3000.0
2003-04-24,3.5,3.65,3.0,3.0,5500.0
2003-05-05,3.0,2.75,2.65,2.75,2000.0
2003-05-06,2.75,2.75,2.75,2.75,500.0
2003-05-07,2.75,3.0,3.0,3.0,5000.0
2003-05-08,3.0,3.25,3.0,3.0,4000.0
2003-05-09,3.0,3.25,3.25,3.25,1000.0
2003-05-20,3.25,2.8,2.75,2.8,500.0
2003-05-21,2.8,2.8,2.8,2.8,2500.0
2003-05-27,2.8,2.65,2.65,2.65,4500.0
2003-05-28,2.65,2.9,2.9,2.9,1000.0
2003-05-30,2.9,3.25,3.25,3.25,4500.0
2003-06-02,3.25,3.3,3.3,3.3,0.0
2003-06-03,3.3,3.5,3.5,3.5,0.0
2003-06-04,3.5,3.1,3.1,3.1,500.0
2003-06-05,3.1,3.1,3.1,3.1,2000.0
2003-06-06,3.1,3.2,3.05,3.2,7500.0
2003-06-09,3.2,3.95,3.1,3.95,6500.0
2003-06-11,3.95,3.75,3.75,3.75,0.0
